,boxscore
1316,2018-11-08-20-south-dakota-state
735,2018-11-09-19-campbell
2446,2018-11-09-19-east-carolina
1454,2018-11-09-19-elon
1509,2018-11-09-19-florida
3968,2018-11-09-19-harvard
1873,2018-11-09-19-iowa-state
1528,2018-11-09-19-north-carolina-wilmington
4042,2018-11-09-20-binghamton
1628,2018-11-09-20-louisiana-state
2359,2018-11-09-20-pennsylvania
2892,2018-11-09-21-auburn
1297,2018-11-09-22-brigham-young
5527,2018-11-10-13-iupui
2115,2018-11-10-14-high-point
4137,2018-11-10-14-st-bonaventure
557,2018-11-10-15-oregon-state
2870,2018-11-10-18-georgetown
2084,2018-11-10-19-dayton
3713,2018-11-10-20-saint-louis
3467,2018-11-10-21-grand-canyon
4810,2018-11-10-21-north-texas
3542,2018-11-11-13-cornell
3667,2018-11-11-13-duke
3516,2018-11-11-14-njit
2490,2018-11-11-14-virginia
5080,2018-11-11-15-iowa
5417,2018-11-11-15-rutgers
4880,2018-11-11-16-east-carolina
880,2018-11-11-17-connecticut
834,2018-11-11-17-mississippi-state
88,2018-11-11-17-texas-christian
1215,2018-11-11-18-michigan-state
322,2018-11-11-23-hawaii
4293,2018-11-12-19-maryland-baltimore-county
5125,2018-11-12-19-north-carolina
4544,2018-11-12-19-saint-josephs
2052,2018-11-12-20-baylor
3327,2018-11-12-20-depaul
3173,2018-11-12-20-duquesne
5376,2018-11-12-20-iowa-state
4518,2018-11-12-20-northwestern
918,2018-11-12-20-south-dakota
1739,2018-11-12-20-texas
5208,2018-11-12-20-texas-san-antonio
391,2018-11-12-21-arizona-state
3225,2018-11-12-21-grand-canyon
5384,2018-11-12-21-kansas
5480,2018-11-12-23-washington
3900,2018-11-13-18-xavier
4008,2018-11-13-19-central-connecticut-state
2254,2018-11-13-19-charleston-southern
2566,2018-11-13-19-college-of-charleston
1379,2018-11-13-19-furman
1549,2018-11-13-19-georgia-state
4324,2018-11-13-19-lehigh
679,2018-11-13-19-miami-fl
1516,2018-11-13-19-north-carolina-wilmington
3443,2018-11-13-19-pennsylvania
3661,2018-11-13-19-providence
3029,2018-11-13-19-savannah-state
995,2018-11-13-20-illinois-state
108,2018-11-13-20-oral-roberts
2018,2018-11-13-20-saint-louis
4928,2018-11-13-21-brigham-young
2545,2018-11-13-21-new-mexico
1359,2018-11-13-22-nevada-las-vegas
4121,2018-11-14-11-richmond
4066,2018-11-14-19-albany-ny
2849,2018-11-14-19-boston-college
114,2018-11-14-19-clemson
172,2018-11-14-19-duke
4948,2018-11-14-19-marshall
1740,2018-11-14-19-michigan-state
764,2018-11-14-19-notre-dame
5052,2018-11-14-20-arizona
2180,2018-11-14-20-bradley
4343,2018-11-14-20-loyola-il
5209,2018-11-14-20-oklahoma-state
2056,2018-11-14-20-texas-pan-american
5375,2018-11-14-22-san-diego-state
5550,2018-11-14-22-seattle
2785,2018-11-15-11-virginia-tech
4744,2018-11-15-13-cal-state-fullerton
1811,2018-11-15-14-northeastern
169,2018-11-15-18-central-michigan
3548,2018-11-15-19-cornell
5336,2018-11-15-19-lipscomb
4241,2018-11-15-19-pittsburgh
3727,2018-11-15-19-troy
4538,2018-11-15-19-west-virginia
2667,2018-11-15-19-wichita-state
3199,2018-11-15-20-illinois-chicago
466,2018-11-15-20-san-jose-state
106,2018-11-15-21-brigham-young
4437,2018-11-15-21-depaul
847,2018-11-15-21-idaho-state
0,2018-11-15-21-texas-christian
4832,2018-11-15-22-santa-clara
1887,2018-11-15-23-gonzaga
4760,2018-11-16-11-cal-state-fullerton
2879,2018-11-16-11-central-connecticut-state
1698,2018-11-16-11-montana
2802,2018-11-16-11-northeastern
3933,2018-11-16-12-baylor
2786,2018-11-16-13-alabama
2616,2018-11-16-13-central-florida
5578,2018-11-16-13-oregon-state
1018,2018-11-16-13-tulsa
3153,2018-11-16-14-campbell
2000,2018-11-16-14-miami-oh
603,2018-11-16-15-maryland-baltimore-county
2192,2018-11-16-15-missouri
2159,2018-11-16-16-manhattan
2305,2018-11-16-16-wichita-state
3229,2018-11-16-17-jacksonville
878,2018-11-16-17-morehead-state
1259,2018-11-16-17-pennsylvania
4263,2018-11-16-18-davidson
4672,2018-11-16-18-fordham
1340,2018-11-16-18-high-point
2469,2018-11-16-18-iowa
4533,2018-11-16-18-monmouth
4050,2018-11-16-18-stony-brook
1000,2018-11-16-19-akron
4012,2018-11-16-19-brown
205,2018-11-16-19-charlotte
3803,2018-11-16-19-cincinnati
2269,2018-11-16-19-cleveland-state
2162,2018-11-16-19-dayton
4570,2018-11-16-19-georgetown
113,2018-11-16-19-georgia
2443,2018-11-16-19-georgia-tech
3069,2018-11-16-19-kansas-state
5379,2018-11-16-19-louisville
2534,2018-11-16-19-maryland
447,2018-11-16-19-mercer
1514,2018-11-16-19-middle-tennessee
3013,2018-11-16-19-north-carolina
4026,2018-11-16-19-northwestern
3966,2018-11-16-19-rhode-island
4104,2018-11-16-19-richmond
2904,2018-11-16-19-savannah-state
3629,2018-11-16-19-temple
2082,2018-11-16-19-virginia
1831,2018-11-16-20-butler
3496,2018-11-16-20-columbia
1140,2018-11-16-20-florida-gulf-coast
4587,2018-11-16-20-lehigh
1683,2018-11-16-20-loyola-il
3398,2018-11-16-20-pepperdine
1976,2018-11-16-20-siena
1611,2018-11-16-20-south-alabama
3149,2018-11-16-20-texas-arlington
5311,2018-11-16-20-vanderbilt
193,2018-11-16-20-weber-state
2971,2018-11-16-21-grand-canyon
392,2018-11-16-21-mississippi-state
253,2018-11-16-21-west-virginia
554,2018-11-16-21-wyoming
5029,2018-11-16-22-nevada-las-vegas
2829,2018-11-16-23-ucla
1998,2018-11-17-11-north-dakota-state
2109,2018-11-17-12-duquesne
3192,2018-11-17-12-notre-dame
2034,2018-11-17-12-pittsburgh
4383,2018-11-17-13-fairfield
2951,2018-11-17-13-marquette
3607,2018-11-17-14-eastern-michigan
695,2018-11-17-14-miami-fl
1855,2018-11-17-14-providence
3399,2018-11-17-14-towson
4177,2018-11-17-15-canisius
3737,2018-11-17-15-drake
4652,2018-11-17-15-fordham
2208,2018-11-17-15-kennesaw-state
2060,2018-11-17-15-lamar
3677,2018-11-17-15-massachusetts-lowell
4927,2018-11-17-15-rice
4601,2018-11-17-15-wright-state
667,2018-11-17-16-la-salle
2214,2018-11-17-16-morehead-state
5323,2018-11-17-16-njit
1416,2018-11-17-16-north-carolina-asheville
1197,2018-11-17-17-california-santa-barbara
3076,2018-11-17-17-eastern-kentucky
5002,2018-11-17-17-miami-oh
1613,2018-11-17-17-southeast-missouri-state
5145,2018-11-17-17-southeastern-louisiana
1391,2018-11-17-17-villanova
3504,2018-11-17-18-columbia
571,2018-11-17-18-new-mexico
2740,2018-11-17-18-north-texas
468,2018-11-17-18-san-jose-state
4290,2018-11-17-19-northern-kentucky
151,2018-11-17-19-southern-methodist
3047,2018-11-17-20-eastern-illinois
2124,2018-11-17-20-high-point
3040,2018-11-17-20-illinois-chicago
3684,2018-11-17-20-pepperdine
2131,2018-11-17-20-seton-hall
3135,2018-11-17-20-south-alabama
1974,2018-11-17-20-stony-brook
633,2018-11-17-20-wisconsin
1039,2018-11-17-21-cal-state-northridge
3274,2018-11-18-10-valparaiso
2321,2018-11-18-11-appalachian-state
4163,2018-11-18-11-holy-cross
3400,2018-11-18-11-towson
4669,2018-11-18-12-florida-international
3835,2018-11-18-12-georgetown
5373,2018-11-18-13-evansville
4970,2018-11-18-13-massachusetts-lowell
4549,2018-11-18-13-monmouth
2343,2018-11-18-13-providence
2670,2018-11-18-13-wichita-state
2978,2018-11-18-14-campbell
1717,2018-11-18-14-florida-atlantic
3461,2018-11-18-14-lafayette
4633,2018-11-18-14-navy
2261,2018-11-18-14-ohio-state
5400,2018-11-18-14-oklahoma
1614,2018-11-18-15-jacksonville
1426,2018-11-18-15-manhattan
1339,2018-11-18-15-south-dakota
4224,2018-11-18-15-troy
3678,2018-11-18-16-brown
2505,2018-11-18-16-george-washington
5315,2018-11-18-16-kent-state
4953,2018-11-18-16-maryland
