boxscore,date,location,losing_abbr,losing_name,winning_abbr,winning_name,team_name,conf,winner,home_team,away_team,home_team_name,away_team_name,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage
2018-11-15-21-texas-christian,"November 15, 2018","Ed & Rae Schollmaier Arena, Fort Worth, Texas",FRESNO-STATE,Fresno State,TEXAS-CHRISTIAN,TCU,TCU,mwc,Home,TEXAS-CHRISTIAN,FRESNO-STATE,TCU,Fresno State,0.5737704918032787,0.4533333333333333,0.4,1.0,0.5327102803738317,0.5714285714285714,0.4214876033057851,1.0
2018-11-23-14-fresno-state,"November 23, 2018","Titan Gym, Fullerton, California",FRESNO-STATE,Fresno State,MIAMI-FL,Miami (FL),Miami (FL),mwc,Away,MIAMI-FL,FRESNO-STATE,Miami (FL),Fresno State,0.5333333333333333,0.4747474747474748,0.4626436781609196,0.6666666666666666,0.546,0.5272727272727272,0.42738589211618255,1.0
2018-12-29-19-fresno-state,"December 29, 2018","Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,UTAH-VALLEY,Utah Valley,Utah Valley,mwc,Away,UTAH-VALLEY,FRESNO-STATE,Utah Valley,Fresno State,0.5579268292682927,0.5186206896551724,0.4595645412130638,0.8181818181818182,0.5570719602977667,0.5268456375838926,0.5023781212841855,0.7142857142857143
2019-01-12-20-fresno-state,"January 12, 2019","Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,NEVADA,Nevada,Nevada,mwc,Away,NEVADA,FRESNO-STATE,Nevada,Fresno State,0.5530474040632054,0.5164948453608248,0.4651711924439197,0.8,0.5317460317460317,0.5194085027726433,0.4638429752066116,0.9375
2019-02-23-20-nevada,"February 23, 2019","Lawlor Events Center, Reno, Nevada",FRESNO-STATE,Fresno State,NEVADA,Nevada,Nevada,mwc,Home,NEVADA,FRESNO-STATE,Nevada,Fresno State,0.5413057961359093,0.5150976909413855,0.4735758407687028,0.7307692307692307,0.5394566623544631,0.5243553008595988,0.4649578195976639,0.9230769230769232
2019-01-26-16-colorado-state,"January 26, 2019","Moby Arena, Fort Collins, Colorado",FRESNO-STATE,Fresno State,COLORADO-STATE,Colorado State,Colorado State,mwc,Home,COLORADO-STATE,FRESNO-STATE,Colorado State,Fresno State,0.5460210930009588,0.5212489158716392,0.4660433070866142,0.7777777777777778,0.5360777058279371,0.4926948051948052,0.53839590443686,0.3684210526315789
2019-02-05-22-fresno-state,"February 5, 2019","Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,UTAH-STATE,Utah State,Utah State,mwc,Away,UTAH-STATE,FRESNO-STATE,Utah State,Fresno State,0.5376124284546198,0.5193571950328707,0.4674280879864636,0.7619047619047619,0.5422751729438893,0.5795374912403644,0.4510739856801909,0.7727272727272727
2019-03-15-23-utah-state,"March 15, 2019","Thomas & Mack Center, Las Vegas, Nevada",FRESNO-STATE,Fresno State,UTAH-STATE,Utah State,Utah State,mwc,Home,UTAH-STATE,FRESNO-STATE,Utah State,Fresno State,0.5486456605859591,0.5146401985111663,0.478513356562137,0.7419354838709677,0.5420685959271169,0.5714973519499278,0.4632553075666848,0.8125
2019-02-20-22-fresno-state,"February 20, 2019","Save Mart Center, Fresno, California",FRESNO-STATE,Fresno State,AIR-FORCE,Air Force,Air Force,mwc,Away,AIR-FORCE,FRESNO-STATE,Air Force,Fresno State,0.5446675900277008,0.5154894671623296,0.4725196288365453,0.76,0.5198092443140132,0.4944480731548008,0.5332625619249823,0.4
2018-12-16-17-texas-christian,"December 16, 2018","Ed & Rae Schollmaier Arena, Fort Worth, Texas",INDIANA-STATE,Indiana State,TEXAS-CHRISTIAN,TCU,TCU,mvc,Home,TEXAS-CHRISTIAN,INDIANA-STATE,TCU,Indiana State,0.5222222222222223,0.5229540918163673,0.4721627408993576,0.75,0.5714285714285714,0.5432330827067671,0.4258130081300813,0.875
2018-12-25-21-texas-christian,"December 25, 2018","Stan Sheriff Center, Honolulu, Hawaii",INDIANA-STATE,Indiana State,TEXAS-CHRISTIAN,TCU,TCU,mvc,Home,TEXAS-CHRISTIAN,INDIANA-STATE,TCU,Indiana State,0.5182539682539683,0.507183908045977,0.4792944785276074,0.7272727272727273,0.5590909090909091,0.5432098765432098,0.4363496932515337,0.9090909090909092
2019-03-07-19-indiana-state,"March 7, 2019","Scottrade Center, St. Louis, Missouri",INDIANA-STATE,Indiana State,VALPARAISO,Valparaiso,Valparaiso,mvc,Away,VALPARAISO,INDIANA-STATE,Valparaiso,Indiana State,0.4948826008428657,0.4790647090810223,0.5157480314960631,0.5,0.5062987402519497,0.5071090047393365,0.4915303738317757,0.4516129032258064
2019-01-02-21-loyola-il,"January 2, 2019","Joseph J. Gentile Center, Chicago, Illinois",INDIANA-STATE,Indiana State,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,Home,LOYOLA-IL,INDIANA-STATE,Loyola (IL),Indiana State,0.5204081632653061,0.5026666666666667,0.4852528089887641,0.6666666666666666,0.5512048192771084,0.5185659411011524,0.4731774415405777,0.5384615384615384
2019-01-19-14-indiana-state,"January 19, 2019","Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,Away,LOYOLA-IL,INDIANA-STATE,Loyola (IL),Indiana State,0.4915522703273496,0.4908759124087591,0.4843276036400405,0.5882352941176471,0.561816192560175,0.5157894736842106,0.4880581516095535,0.6111111111111112
2018-12-05-19-indiana-state,"December 5, 2018","Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,NORTH-TEXAS,North Texas,North Texas,mvc,Away,NORTH-TEXAS,INDIANA-STATE,North Texas,Indiana State,0.5178571428571429,0.5291005291005291,0.4438202247191011,0.8333333333333334,0.5631067961165048,0.5660036166365279,0.4354508196721312,0.8888888888888888
2018-11-06-19-ball-state,"November 6, 2018","Worthen Arena, Muncie, Indiana",INDIANA-STATE,Indiana State,BALL-STATE,Ball State,Ball State,mvc,Home,BALL-STATE,INDIANA-STATE,Ball State,Indiana State,,,,,,,,
2019-01-30-21-southern-illinois,"January 30, 2019","The SIU Arena, Carbondale, Illinois",INDIANA-STATE,Indiana State,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,Home,SOUTHERN-ILLINOIS,INDIANA-STATE,Southern Illinois,Indiana State,0.4981634527089073,0.4915390813859791,0.4933920704845815,0.55,0.5244122965641953,0.5011895321173672,0.4987593052109181,0.4761904761904762
2019-02-16-12-indiana-state,"February 16, 2019","Hulman Center, Terre Haute, Indiana",INDIANA-STATE,Indiana State,SOUTHERN-ILLINOIS,Southern Illinois,Southern Illinois,mvc,Away,SOUTHERN-ILLINOIS,INDIANA-STATE,Southern Illinois,Indiana State,0.4981831395348838,0.4841628959276018,0.5110163468372424,0.52,0.5277177825773938,0.4958413307741522,0.5040431266846361,0.5
2019-01-27-14-illinois-state,"January 27, 2019","Redbird Arena, Normal, Illinois",INDIANA-STATE,Indiana State,ILLINOIS-STATE,Illinois State,Illinois State,mvc,Home,ILLINOIS-STATE,INDIANA-STATE,Illinois State,Indiana State,0.4971264367816092,0.4895222129086337,0.4888991674375578,0.5789473684210527,0.5038038884192729,0.4868913857677903,0.5085689802913453,0.55
2019-02-09-20-bradley,"February 9, 2019","Carver Arena, Peoria, Illinois",INDIANA-STATE,Indiana State,BRADLEY,Bradley,Bradley,mvc,Home,BRADLEY,INDIANA-STATE,Bradley,Indiana State,0.5015961691939346,0.4929577464788733,0.5007686395080707,0.5217391304347826,0.4926640926640927,0.5069674850696748,0.4914196567862715,0.5
