,Home_Win,boxscore,away_pregame_eFG,away_pregame_rebound_percentage,away_pregame_eFG_allowed,away_pregame_win_percentage,home_pregame_eFG,home_pregame_rebound_percentage,home_pregame_eFG_allowed,home_pregame_win_percentage
1316,1,2018-11-08-20-south-dakota-state,0.4454545454545454,0.4307692307692308,0.5522388059701493,0.0,0.5431034482758621,0.569620253164557,0.4071428571428571,1.0
735,0,2018-11-09-19-campbell,0.5486111111111112,0.4084507042253521,0.5793650793650794,1.0,0.5901639344262295,0.6190476190476191,0.4313725490196079,1.0
2446,0,2018-11-09-19-east-carolina,0.4918032786885246,0.581081081081081,0.4122807017543859,1.0,0.5347222222222222,0.5657894736842105,0.4406779661016949,1.0
1454,0,2018-11-09-19-elon,0.5555555555555556,0.5,0.3923076923076923,1.0,0.5677966101694916,0.5645161290322581,0.4523809523809524,1.0
1509,1,2018-11-09-19-florida,0.5625,0.4666666666666667,0.5,1.0,0.4259259259259259,0.4909090909090909,0.59375,0.0
3968,0,2018-11-09-19-harvard,0.6181818181818182,0.5172413793103449,0.425,1.0,0.5,0.46875,0.5423728813559322,0.0
1873,1,2018-11-09-19-iowa-state,0.484375,0.5466666666666666,0.4098360655737705,1.0,0.5522388059701493,0.5692307692307692,0.4454545454545454,1.0
1528,0,2018-11-09-19-north-carolina-wilmington,0.5793650793650794,0.5915492957746479,0.5486111111111112,0.0,0.6160714285714286,0.5737704918032787,0.484375,1.0
4042,0,2018-11-09-20-binghamton,0.5227272727272727,0.4264705882352941,0.5258620689655172,0.0,0.5727272727272728,0.4166666666666667,0.5283018867924528,1.0
1628,1,2018-11-09-20-louisiana-state,0.5234375,0.5846153846153846,0.5089285714285714,1.0,0.5303030303030303,0.5833333333333334,0.4722222222222222,1.0
2359,1,2018-11-09-20-pennsylvania,0.5,0.5142857142857142,0.4732142857142857,1.0,0.6111111111111112,0.4603174603174603,0.4833333333333333,1.0
2892,1,2018-11-09-21-auburn,0.4384615384615385,0.532258064516129,0.4245283018867925,1.0,0.6351351351351351,0.625,0.4456521739130434,1.0
1297,1,2018-11-09-22-brigham-young,0.6076923076923076,0.578125,0.5784313725490197,1.0,0.4202898550724637,0.4642857142857143,0.4393939393939394,0.0
5527,1,2018-11-10-13-iupui,0.4107142857142857,0.484375,0.5769230769230769,0.0,0.4375,0.4666666666666667,0.5378787878787878,0.0
2115,0,2018-11-10-14-high-point,0.4833333333333333,0.5074626865671642,0.5727272727272728,0.0,0.4523809523809524,0.4354838709677419,0.5677966101694916,0.0
4137,1,2018-11-10-14-st-bonaventure,0.4732142857142857,0.4761904761904762,0.5566037735849056,0.0,0.5166666666666667,0.4677419354838709,0.5603448275862069,0.0
557,1,2018-11-10-15-oregon-state,0.4051724137931034,0.4193548387096774,0.5851063829787234,0.0,0.559322033898305,0.5172413793103449,0.456140350877193,1.0
2870,1,2018-11-10-18-georgetown,0.4918032786885246,0.5671641791044776,0.5,1.0,0.5288461538461539,0.5652173913043478,0.3809523809523809,1.0
2084,1,2018-11-10-19-dayton,0.4491525423728814,0.4545454545454545,0.5081967213114754,0.0,0.475,0.5223880597014925,0.5087719298245614,1.0
3713,1,2018-11-10-20-saint-louis,0.6129032258064516,0.5185185185185185,0.5,1.0,0.5185185185185185,0.5555555555555556,0.4913793103448276,1.0
3467,1,2018-11-10-21-grand-canyon,0.4122807017543859,0.4189189189189189,0.4918032786885246,0.0,0.4071428571428571,0.4303797468354431,0.5431034482758621,0.0
4810,1,2018-11-10-21-north-texas,0.55,0.5328467153284672,0.5950704225352113,0.5,0.6330645161290323,0.5757575757575758,0.3728070175438597,1.0
3542,0,2018-11-11-13-cornell,0.5190839694656488,0.5686274509803921,0.3914728682170542,1.0,0.5550458715596329,0.5645161290322581,0.5044642857142857,0.5
3667,1,2018-11-11-13-duke,0.5196078431372549,0.4516129032258064,0.5480769230769231,1.0,0.620253164556962,0.5352112676056338,0.4745762711864407,1.0
3516,1,2018-11-11-14-njit,0.5535714285714286,0.5,0.4328358208955224,0.0,0.5301724137931034,0.4929577464788733,0.4409090909090909,1.0
2490,1,2018-11-11-14-virginia,0.5137614678899083,0.4545454545454545,0.462406015037594,0.0,0.5740740740740741,0.5151515151515151,0.3658536585365853,1.0
5080,1,2018-11-11-15-iowa,0.5107142857142857,0.5172413793103449,0.4130434782608696,0.5,0.5212765957446809,0.5522388059701493,0.4296875,1.0
5417,1,2018-11-11-15-rutgers,0.4824561403508772,0.4626865671641791,0.5,0.0,0.6307692307692307,0.5774647887323944,0.3968253968253968,1.0
4880,1,2018-11-11-16-east-carolina,0.5131578947368421,0.5581395348837209,0.5040322580645161,0.5,0.5223214285714286,0.5234375,0.4519230769230769,0.5
880,1,2018-11-11-17-connecticut,0.3925619834710744,0.425531914893617,0.575,0.0,0.5390625,0.5166666666666667,0.4758064516129033,1.0
834,1,2018-11-11-17-mississippi-state,0.4710743801652893,0.3985507246376812,0.5458015267175572,0.0,0.6328125,0.4848484848484849,0.4152542372881356,1.0
88,1,2018-11-11-17-texas-christian,0.4312977099236641,0.5035971223021583,0.5330578512396694,0.5,0.49,0.578125,0.4396551724137931,1.0
1215,1,2018-11-11-18-michigan-state,0.5336134453781513,0.4893617021276596,0.4273504273504273,0.5,0.5423728813559322,0.5,0.5217391304347826,0.0
322,0,2018-11-11-23-hawaii,0.5450819672131147,0.5317460317460317,0.4158415841584158,1.0,0.6242937853107344,0.5730337078651685,0.4337349397590361,1.0
4293,1,2018-11-12-19-maryland-baltimore-county,0.3923076923076923,0.5,0.5555555555555556,0.0,0.4763779527559055,0.5167785234899329,0.3949579831932773,0.5
5125,1,2018-11-12-19-north-carolina,0.5642201834862385,0.5461538461538461,0.4364406779661017,1.0,0.5616438356164384,0.625,0.4344262295081967,1.0
4544,1,2018-11-12-19-saint-josephs,0.4070796460176992,0.4122137404580153,0.5826086956521739,0.0,0.5740740740740741,0.5,0.4596774193548387,1.0
2052,1,2018-11-12-20-baylor,0.5689655172413793,0.4202898550724637,0.4385964912280701,1.0,0.5038461538461538,0.5735294117647058,0.5,0.5
3327,1,2018-11-12-20-depaul,0.4545454545454545,0.4160583941605839,0.5149253731343284,0.0,0.5087719298245614,0.5384615384615384,0.4193548387096774,1.0
3173,1,2018-11-12-20-duquesne,0.5082644628099173,0.3986013986013986,0.4796747967479675,0.0,0.6229508196721312,0.4761904761904762,0.5263157894736842,1.0
5376,1,2018-11-12-20-iowa-state,0.4672131147540984,0.4078947368421053,0.5362318840579711,0.5,0.5338983050847458,0.4918032786885246,0.4848484848484849,1.0
4518,1,2018-11-12-20-northwestern,0.5151515151515151,0.4605263157894737,0.4692307692307692,1.0,0.5083333333333333,0.5714285714285714,0.4285714285714285,1.0
918,1,2018-11-12-20-south-dakota,0.5540540540540541,0.5362318840579711,0.5819672131147541,1.0,0.515625,0.5625,0.5,1.0
1739,1,2018-11-12-20-texas,0.5695652173913044,0.5338345864661654,0.412,1.0,0.4705882352941176,0.5167785234899329,0.4444444444444444,1.0
5208,0,2018-11-12-20-texas-san-antonio,0.4797297297297297,0.55,0.476923076923077,0.0,0.5948275862068966,0.5652173913043478,0.4855072463768116,1.0
391,1,2018-11-12-21-arizona-state,0.4793388429752066,0.5539568345323741,0.4798387096774194,0.5,0.4963235294117647,0.6064516129032258,0.4545454545454545,1.0
3225,1,2018-11-12-21-grand-canyon,0.4513274336283186,0.472,0.5511811023622047,0.0,0.4856115107913669,0.56,0.4508928571428572,0.5
5384,1,2018-11-12-21-kansas,0.5166666666666667,0.53125,0.4836065573770492,1.0,0.5217391304347826,0.5,0.5423728813559322,1.0
5480,1,2018-11-12-23-washington,0.556,0.5692307692307692,0.4517543859649123,1.0,0.5136363636363637,0.4426229508196721,0.467479674796748,0.5
3900,0,2018-11-13-18-xavier,0.56640625,0.6041666666666666,0.5217391304347826,1.0,0.5081967213114754,0.5454545454545454,0.4491525423728814,1.0
4008,1,2018-11-13-19-central-connecticut-state,0.4924812030075188,0.4565217391304348,0.5114503816793893,0.5,0.5378151260504201,0.5307692307692308,0.5258620689655172,0.5
2254,1,2018-11-13-19-charleston-southern,0.5217391304347826,0.55,0.5372340425531915,0.5,0.4555555555555556,0.4685314685314685,0.5166666666666667,0.5
2566,1,2018-11-13-19-college-of-charleston,0.5763888888888888,0.5813953488372093,0.3823529411764705,1.0,0.5201612903225806,0.5757575757575758,0.5384615384615384,1.0
1379,1,2018-11-13-19-furman,0.4793814432989691,0.4351851851851852,0.5368852459016393,0.0,0.556910569105691,0.5241935483870968,0.4257425742574257,1.0
1549,1,2018-11-13-19-georgia-state,0.5163934426229508,0.5073529411764706,0.3949579831932773,0.5,0.4457364341085272,0.5031446540880503,0.4224806201550387,0.5
4324,1,2018-11-13-19-lehigh,0.5825688073394495,0.5511811023622047,0.5233644859813084,0.5,0.4958333333333334,0.5608108108108109,0.4358974358974359,0.5
679,1,2018-11-13-19-miami-fl,0.5341880341880342,0.5607476635514018,0.5,1.0,0.4918032786885246,0.4938271604938271,0.4098360655737705,1.0
1516,0,2018-11-13-19-north-carolina-wilmington,0.4871794871794872,0.5357142857142857,0.532,0.0,0.6209677419354839,0.4869565217391305,0.5727272727272728,0.5
3443,1,2018-11-13-19-pennsylvania,0.5420168067226889,0.5071428571428571,0.5037878787878788,0.5,0.5921052631578947,0.52,0.5,1.0
3661,1,2018-11-13-19-providence,0.508695652173913,0.4285714285714285,0.5625,0.5,0.6106194690265486,0.5225225225225225,0.5855855855855856,0.5
