,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOFSTRA_homegame,HOFSTRA_homegame2,HOFSTRA_home,HOFSTRA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-hofstra,51.6,16,7.7,3,100.0,82.1,32,0.523,66,0.47,31,0.212,14,0.7140000000000001,10,0,200,111.3,36.8,14,14,79,,8.5,6,0.33299999999999996,22,0.318,7,59.7,46,0.544,13.2,11,44,0.545,24,1.0,1,"November 6, 2019",41.4,12,0.0,0,111.3,63.2,24,0.485,68,0.426,29,0.10300000000000001,7,0.7140000000000001,5,1,200,100.0,17.9,7,17,71,,8.5,6,0.426,29,0.276,8,40.3,31,0.498,10.1,8,39,0.5379999999999999,21,0.0,0,"Mack Sports Complex, Hempstead, New York",HOFSTRA,Hofstra,71.0,Away,SAN-JOSE-STATE,San Jose State,Hofstra,colonial,0,False,True,True,Home,False,8,21,68,31,77,7,24,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-hofstra,60.0,18,8.1,3,122.1,81.8,18,0.446,74,0.405,30,0.122,9,0.889,8,1,200,96.1,32.5,13,26,74,,7.8,6,0.324,24,0.25,6,50.0,31,0.473,11.4,10,50,0.48,24,0.5,1,"November 9, 2019",55.2,16,4.0,2,96.1,67.5,27,0.609,55,0.527,29,0.636,35,0.7709999999999999,27,1,200,122.1,18.2,4,16,94,,6.5,5,0.327,18,0.5,9,50.0,31,0.6559999999999999,13.5,11,37,0.541,20,0.5,1,"Mack Sports Complex, Hempstead, New York",MONMOUTH,Monmouth,77.0,Home,HOFSTRA,Hofstra,Hofstra,colonial,1,True,False,True,Home,True,9,20,55,31,62,6,24,74,1,0,8,21,68,0.4852941176470588,31,77,0.4025974025974026,7,24,66,0.5227272727272727,0.0
2,2019-11-13-19-bucknell,37.5,9,12.8,5,114.7,62.5,20,0.429,63,0.381,24,0.429,27,0.63,17,2,200,94.7,25.0,10,16,71,,12.0,9,0.302,19,0.316,6,41.7,30,0.46799999999999997,11.8,10,44,0.409,18,0.33299999999999996,1,"November 13, 2019",61.3,19,15.9,7,94.7,75.0,30,0.575,67,0.46299999999999997,31,0.16399999999999998,11,0.818,9,1,200,114.7,37.5,12,22,86,,6.7,5,0.418,28,0.536,15,58.3,42,0.595,16.3,14,39,0.41,16,0.667,2,"Sojka Pavilion, Lewisburg, Pennsylvania",HOFSTRA,Hofstra,75.0,Home,BUCKNELL,Bucknell,Hofstra,colonial,2,False,False,False,Away,False,6,18,63,30,72,15,16,67,0,1,17,41,123,0.540650406504065,62,139,0.4460431654676259,13,48,140,0.4821428571428572,0.5
3,2019-11-15-17-hofstra,43.5,10,3.6,2,127.6,54.3,19,0.391,64,0.359,23,0.43799999999999994,28,0.679,19,0,200,79.3,14.6,6,16,69,,4.6,4,0.297,19,0.21100000000000002,4,32.9,25,0.446,18.2,17,45,0.42200000000000004,19,0.0,0,"November 15, 2019",66.7,30,11.1,5,79.3,85.4,35,0.608,83,0.542,45,0.18100000000000002,15,0.667,10,2,200,127.6,45.7,16,17,111,,13.8,12,0.337,28,0.39299999999999996,11,67.1,51,0.616,10.9,11,55,0.618,34,0.5,2,"Mack Sports Complex, Hempstead, New York","New York Tech
			","New York Tech
			",86.7,Home,HOFSTRA,Hofstra,Hofstra,colonial,3,True,False,True,Home,True,11,34,83,51,76,4,19,64,1,0,23,59,186,0.5026881720430108,92,211,0.4360189573459716,28,64,207,0.5120772946859904,0.3333333333333333
4,2019-11-21-23-ucla,46.2,12,5.1,2,111.4,68.8,22,0.604,53,0.491,26,0.5660000000000001,30,0.8,24,2,200,125.7,10.3,3,17,88,,11.4,8,0.45299999999999996,24,0.5,12,41.0,25,0.654,8.3,6,29,0.483,14,0.6,3,"November 21, 2019",75.9,22,3.4,1,125.7,89.7,26,0.525,61,0.475,29,0.295,18,0.778,14,1,200,111.4,31.3,10,22,78,,1.4,1,0.361,22,0.273,6,59.0,36,0.561,13.8,11,39,0.59,23,0.8,4,"Pauley Pavilion, Los Angeles, California",UCLA,UCLA,70.4,Away,HOFSTRA,Hofstra,Hofstra,colonial,4,False,False,False,Away,True,12,14,53,25,61,6,23,61,1,0,34,93,269,0.5353159851301115,143,287,0.4982578397212544,32,83,271,0.4833948339483395,0.5
5,2019-11-24-20-cal-state-fullerton,48.4,15,2.7,1,79.2,81.1,30,0.5820000000000001,61,0.508,31,0.14800000000000002,9,0.889,8,2,200,109.7,42.9,12,13,79,,11.1,8,0.344,21,0.429,9,64.6,42,0.605,20.7,17,40,0.55,22,0.667,4,"November 24, 2019",52.4,11,7.5,3,109.7,57.1,16,0.38299999999999995,60,0.35,21,0.2,12,0.917,11,3,200,79.2,18.9,7,15,57,,9.7,7,0.38299999999999995,23,0.174,4,35.4,23,0.434,18.7,15,37,0.45899999999999996,17,0.4,2,"Titan Gym, Fullerton, California",CAL-STATE-FULLERTON,Cal State Fullerton,72.0,Away,HOFSTRA,Hofstra,Hofstra,colonial,5,False,False,False,Away,True,9,22,61,42,65,4,17,60,1,0,46,107,322,0.546583850931677,168,348,0.4827586206896552,38,106,332,0.4909638554216868,0.6
6,2019-11-27-22-san-diego,31.8,7,4.5,2,108.2,75.0,24,0.402,61,0.361,22,0.39299999999999996,24,0.833,20,3,200,94.5,18.9,7,16,69,,5.5,4,0.39299999999999996,24,0.20800000000000002,5,44.9,31,0.47700000000000004,10.1,8,37,0.45899999999999996,17,0.5710000000000001,4,"November 27, 2019",46.9,15,13.5,5,94.5,81.1,30,0.53,67,0.478,32,0.209,14,0.5710000000000001,8,5,200,108.2,25.0,8,20,79,,6.8,5,0.34299999999999997,23,0.304,7,55.1,38,0.536,8.7,7,44,0.568,25,0.375,3,"Jenny Craig Pavillion, San Diego, California",HOFSTRA,Hofstra,73.0,Home,SAN-DIEGO,San Diego,Hofstra,colonial,6,False,False,False,Away,False,5,17,61,31,69,7,25,67,0,1,55,129,383,0.5522193211488251,210,413,0.5084745762711864,42,123,392,0.4744897959183674,0.6666666666666666
7,2019-12-01-15-holy-cross,40.7,11,0.0,0,87.3,77.8,21,0.526,57,0.474,27,0.614,35,0.8859999999999999,31,3,200,115.2,32.1,9,17,91,,16.5,13,0.281,16,0.375,6,54.5,30,0.618,19.0,17,41,0.512,21,0.625,5,"December 1, 2019",62.1,18,4.9,2,115.2,67.9,19,0.574,54,0.537,29,0.222,12,0.583,7,7,200,87.3,22.2,6,24,69,,10.1,8,0.33299999999999996,18,0.222,4,45.5,25,0.578,28.0,23,36,0.6940000000000001,25,0.0,0,"FAU Arena, Boca Raton, Florida",HOLY-CROSS,Holy Cross,79.2,Away,HOFSTRA,Hofstra,Hofstra,colonial,7,False,False,False,Away,True,6,21,57,30,55,4,25,54,1,0,60,146,444,0.5315315315315315,241,482,0.5,49,148,459,0.4825708061002178,0.5714285714285714
8,2019-12-02-14-hofstra,52.4,11,8.7,4,88.9,62.5,20,0.435,54,0.389,21,0.278,15,0.667,10,3,200,79.2,17.6,6,21,57,,12.5,9,0.35200000000000004,19,0.263,5,39.4,26,0.466,19.8,15,35,0.457,16,0.5710000000000001,4,"December 2, 2019",40.9,9,0.0,0,79.2,82.4,28,0.39299999999999996,61,0.361,22,0.27899999999999997,17,0.941,16,3,200,88.9,37.5,12,14,64,,11.1,8,0.24600000000000002,15,0.267,4,60.6,40,0.46299999999999997,19.9,17,46,0.391,18,0.667,6,"FAU Arena, Boca Raton, Florida",CANISIUS,Canisius,72.1,Home,HOFSTRA,Hofstra,Hofstra,colonial,8,True,False,True,Home,True,4,18,61,40,66,5,16,54,1,0,66,167,501,0.5309381237524949,271,537,0.5046554934823091,53,173,513,0.4922027290448343,0.625
9,2019-12-07-14-st-bonaventure,18.8,3,3.3,1,109.0,58.6,17,0.302,58,0.276,16,0.345,20,0.5,10,4,200,67.2,31.7,13,20,45,,10.4,7,0.32799999999999996,19,0.158,3,42.9,30,0.33299999999999996,17.3,14,39,0.33299999999999996,13,0.6,6,"December 7, 2019",70.4,19,7.7,3,67.2,68.3,28,0.6,55,0.491,27,0.23600000000000002,13,0.5379999999999999,7,4,200,109.0,41.4,12,19,73,,11.9,8,0.455,25,0.48,12,57.1,40,0.597,21.9,17,30,0.5,15,0.556,5,"Reilly Center, St. Bonaventure, New York",HOFSTRA,Hofstra,67.3,Home,ST-BONAVENTURE,St. Bonaventure,Hofstra,colonial,9,False,False,False,Away,False,3,13,58,30,70,12,15,55,0,1,70,185,562,0.5160142348754448,311,603,0.5157545605306799,58,189,567,0.4867724867724868,0.6666666666666666
