,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CINCINNATI_homegame,CINCINNATI_homegame2,CINCINNATI_home,CINCINNATI_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-ohio-state,47.4,9,3.0,1,98.5,59.4,19,0.368,57,0.33299999999999996,19,0.40399999999999997,23,0.609,14,1,200,86.2,35.0,14,27,56,,9.2,6,0.368,21,0.19,4,45.8,33,0.41200000000000003,15.2,12,36,0.41700000000000004,15,0.0,0,"November 6, 2019",45.0,9,5.6,2,86.2,65.0,26,0.45899999999999996,49,0.408,20,0.5920000000000001,29,0.655,19,0,200,98.5,40.6,13,18,64,18.0,3.1,2,0.327,16,0.313,5,54.2,39,0.51,18.5,14,33,0.455,15,1.0,1,"Value City Arena, Columbus, Ohio",CINCINNATI,Cincinnati,64.9,Home,OHIO-STATE,Ohio State,Cincinnati,aac,0,False,False,False,Away,False,4,15,57,33,72,5,15,49,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-cincinnati,68.2,15,8.8,3,117.4,66.7,20,0.387,62,0.355,22,0.27399999999999997,17,0.647,11,1,200,85.5,26.3,10,17,59,,10.1,7,0.306,19,0.21100000000000002,4,44.1,30,0.42100000000000004,13.7,11,43,0.419,18,0.5,1,"November 11, 2019",64.5,20,9.3,4,85.5,73.7,28,0.608,60,0.517,31,0.2,12,0.667,8,1,200,117.4,33.3,10,18,81,,10.1,7,0.433,26,0.423,11,55.9,38,0.616,15.5,12,34,0.588,20,0.5,1,"Fifth Third Arena, Cincinnati, Ohio",DRAKE,Drake,69.4,Home,CINCINNATI,Cincinnati,Cincinnati,aac,1,True,False,True,Home,True,11,20,60,38,68,4,18,62,1,0,4,15,57,0.3684210526315789,33,72,0.4583333333333333,5,15,49,0.4591836734693878,0.0
2,2019-11-14-19-cincinnati,47.6,10,2.8,1,110.4,60.7,17,0.358,67,0.313,21,0.11900000000000001,8,0.625,5,3,200,68.8,10.9,5,23,53,,14.3,11,0.358,24,0.25,6,29.7,22,0.374,15.6,13,43,0.349,15,0.0,0,"November 14, 2019",70.0,21,11.6,5,68.8,89.1,41,0.578,58,0.517,30,0.466,27,0.667,18,1,200,110.4,39.3,11,11,85,,10.4,8,0.379,22,0.318,7,70.3,52,0.6,18.6,16,36,0.639,23,0.667,2,"Fifth Third Arena, Cincinnati, Ohio",ALABAMA-AM,Alabama A&M,77.3,Home,CINCINNATI,Cincinnati,Cincinnati,aac,2,True,False,True,Home,True,7,23,58,52,74,6,15,67,1,0,15,35,117,0.4914529914529914,71,140,0.5071428571428571,9,33,111,0.4189189189189189,0.5
3,2019-11-22-17-cincinnati,33.3,9,3.0,1,95.7,60.0,18,0.484,62,0.435,27,0.145,9,0.556,5,2,200,94.2,36.4,12,22,65,,5.8,4,0.242,15,0.4,6,47.6,30,0.49,18.5,15,47,0.447,21,0.5,2,"November 22, 2019",31.8,7,8.5,4,94.2,63.6,21,0.45899999999999996,49,0.449,22,0.612,30,0.7,21,1,200,95.7,40.0,12,17,66,,5.8,4,0.327,16,0.063,1,52.4,33,0.522,21.5,17,33,0.636,21,0.75,3,"Virgin Islands Sport & Fitness Center , St. Thomas",ILLINOIS-STATE,Illinois State,68.8,Home,CINCINNATI,Cincinnati,Cincinnati,aac,3,True,False,True,Home,True,1,21,49,33,63,6,21,62,1,0,22,58,175,0.52,123,214,0.5747663551401869,15,48,178,0.3960674157303371,0.6666666666666666
4,2019-11-24-19-bowling-green-state,50.0,11,9.1,4,97.8,81.4,35,0.449,59,0.373,22,0.932,55,0.564,31,2,225,90.3,18.6,8,28,84,,5.4,5,0.441,26,0.34600000000000003,9,50.0,43,0.493,17.8,18,33,0.39399999999999996,13,0.6,3,"November 24, 2019",50.0,15,9.1,3,90.3,81.4,35,0.47200000000000003,72,0.41700000000000004,30,0.41700000000000004,30,0.767,23,1,225,97.8,18.6,8,35,91,,7.5,7,0.389,28,0.28600000000000003,8,50.0,43,0.528,12.3,12,44,0.5,22,0.833,5,"Virgin Islands Sport & Fitness Center , St. Thomas",CINCINNATI,Cincinnati,82.4,Home,BOWLING-GREEN-STATE,Bowling Green State,Cincinnati,aac,4,False,False,False,Away,False,9,13,59,43,86,8,22,72,0,1,23,79,224,0.5066964285714286,156,277,0.5631768953068592,21,69,240,0.41875,0.75
5,2019-11-25-17-cincinnati,39.3,11,9.3,4,98.8,73.9,17,0.47700000000000004,66,0.424,28,0.22699999999999998,15,0.9329999999999999,14,3,225,93.9,25.0,9,20,77,,14.6,12,0.33299999999999996,22,0.318,7,44.1,26,0.526,19.9,18,44,0.47700000000000004,21,0.5710000000000001,4,"November 25, 2019",45.2,14,6.8,3,93.9,75.0,27,0.589,56,0.5539999999999999,31,0.35700000000000004,20,0.75,15,2,225,98.8,26.1,6,17,81,,7.3,6,0.23199999999999998,13,0.308,4,55.9,33,0.618,25.3,22,43,0.628,27,0.667,4,"Virgin Islands Sport & Fitness Center , St. Thomas",VALPARAISO,Valparaiso,72.7,Home,CINCINNATI,Cincinnati,Cincinnati,aac,5,True,False,True,Home,True,4,27,56,33,59,7,21,66,1,0,32,92,283,0.4946996466431096,199,363,0.5482093663911846,29,91,312,0.4310897435897436,0.6
6,2019-11-30-19-cincinnati,55.0,11,2.4,1,91.1,81.6,31,0.397,63,0.317,20,0.317,20,0.75,15,6,225,82.3,23.1,9,22,65,,3.8,3,0.508,32,0.313,10,51.9,40,0.44799999999999995,17.3,15,31,0.32299999999999995,10,0.33299999999999996,3,"November 30, 2019",75.0,18,22.6,7,82.3,76.9,30,0.434,61,0.39299999999999996,24,0.475,29,0.655,19,2,225,91.1,18.4,7,14,72,,8.9,7,0.311,19,0.263,5,48.1,37,0.48100000000000004,13.0,11,42,0.452,19,0.7140000000000001,5,"Fifth Third Arena, Cincinnati, Ohio",NEVADA-LAS-VEGAS,UNLV,69.9,Home,CINCINNATI,Cincinnati,Cincinnati,aac,6,True,False,True,Home,True,5,19,61,37,77,10,10,63,1,0,36,119,339,0.5103244837758112,232,422,0.5497630331753555,36,112,378,0.4391534391534391,0.6666666666666666
7,2019-12-03-19-cincinnati,62.5,15,14.7,5,120.6,66.7,18,0.516,61,0.39299999999999996,24,0.213,13,0.769,10,4,200,107.4,28.6,10,22,73,,7.4,5,0.45899999999999996,28,0.536,15,45.2,28,0.5429999999999999,15.2,12,33,0.273,9,0.6,6,"December 3, 2019",66.7,16,18.2,6,107.4,71.4,25,0.5660000000000001,53,0.45299999999999996,24,0.491,26,0.846,22,2,200,120.6,33.3,9,17,82,,8.8,6,0.358,19,0.632,12,54.8,34,0.627,14.6,11,34,0.353,12,0.75,6,"Fifth Third Arena, Cincinnati, Ohio",VERMONT,Vermont,68.3,Home,CINCINNATI,Cincinnati,Cincinnati,aac,7,True,False,True,Home,True,12,12,53,34,62,15,9,61,1,0,41,138,400,0.49875,269,499,0.5390781563126252,46,122,441,0.4331065759637188,0.7142857142857143
8,2019-12-07-17-xavier,37.5,9,12.2,5,101.4,82.4,28,0.45,60,0.4,24,0.317,19,0.632,12,3,200,91.7,32.5,13,22,66,,6.9,5,0.4,24,0.25,6,55.4,41,0.478,18.0,15,36,0.5,18,0.667,6,"December 7, 2019",60.7,17,8.3,3,91.7,67.5,27,0.517,60,0.467,28,0.25,15,0.733,11,1,200,101.4,17.6,6,17,73,,11.1,8,0.317,19,0.316,6,44.6,33,0.544,14.2,11,41,0.537,22,0.9,9,"Cintas Center, Cincinnati, Ohio",CINCINNATI,Cincinnati,71.6,Home,XAVIER,Xavier,Cincinnati,aac,8,False,False,False,Away,False,6,18,60,41,74,6,22,60,0,1,53,150,453,0.5066225165562914,303,561,0.5401069518716578,61,131,502,0.4432270916334661,0.75
9,2019-12-14-19-cincinnati,29.6,8,6.1,2,100.0,61.5,16,0.526,58,0.466,27,0.138,8,0.75,6,4,200,101.5,26.7,8,15,67,,7.6,5,0.414,24,0.292,7,42.9,24,0.542,16.3,12,34,0.588,20,0.667,8,"December 14, 2019",44.0,11,17.6,6,101.5,73.3,22,0.529,52,0.48100000000000004,25,0.327,17,0.647,11,4,200,100.0,38.5,10,11,66,,7.6,5,0.365,19,0.263,5,57.1,32,0.5489999999999999,21.2,16,33,0.606,20,0.6,6,"Fifth Third Arena, Cincinnati, Ohio",CINCINNATI,Cincinnati,65.9,Away,COLGATE,Colgate,Cincinnati,aac,9,False,True,True,Home,False,5,20,52,32,56,7,20,58,0,1,59,168,513,0.5,344,635,0.5417322834645669,67,153,562,0.45106761565836295,0.6666666666666666
