,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ALBANY-NY_homegame,ALBANY-NY_homegame2,ALBANY-NY_home,ALBANY-NY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-09-19-albany-ny,56.7,17,24.1,7,89.7,73.5,25,0.542,59,0.508,30,0.254,15,0.667,10,1,200,94.9,14.8,4,24,74,,7.7,6,0.271,16,0.25,4,47.5,29,0.56,18.6,15,43,0.605,26,0.5,1,"November 9, 2019",57.9,11,0.0,0,94.9,85.2,23,0.397,58,0.32799999999999996,19,0.534,31,0.774,24,1,200,89.7,26.5,9,17,70,,6.4,5,0.5,29,0.276,8,52.5,32,0.48100000000000004,17.3,15,29,0.379,11,0.0,0,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),77.9,Away,LEHIGH,Lehigh,Albany (NY),america-east,0,False,True,True,Home,False,8,11,58,32,61,4,26,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-19-albany-ny,60.0,12,5.6,2,116.9,72.7,16,0.379,58,0.345,20,0.31,18,0.722,13,2,200,80.3,22.2,8,17,57,,11.3,8,0.397,23,0.174,4,41.4,24,0.428,15.4,12,35,0.457,16,0.0,0,"November 13, 2019",48.4,15,11.4,4,80.3,77.8,28,0.627,55,0.564,31,0.345,19,0.737,14,1,200,116.9,27.3,6,18,83,,7.0,5,0.345,19,0.368,7,58.6,34,0.648,17.0,13,36,0.667,24,0.5,1,"SEFCU Arena, Albany, New York",CANISIUS,Canisius,70.8,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,1,True,False,True,Home,True,7,24,55,34,58,4,16,58,1,0,8,11,58,0.3965517241379311,32,61,0.5245901639344263,4,26,59,0.5423728813559322,0.0
2,2019-11-16-19-manhattan,73.3,11,14.3,5,86.4,71.4,25,0.33,53,0.28300000000000003,15,0.396,21,0.762,16,2,200,77.3,17.1,6,20,51,,4.5,3,0.45299999999999996,24,0.20800000000000002,5,44.3,31,0.405,15.0,11,29,0.345,10,0.33299999999999996,1,"November 16, 2019",50.0,10,10.3,3,77.3,82.9,29,0.418,55,0.364,20,0.345,19,0.579,11,0,200,86.4,28.6,10,22,57,,6.1,4,0.364,20,0.3,6,55.7,39,0.445,13.6,10,35,0.4,14,1.0,2,"Draddy Gymnasium, Riverdale, New York",ALBANY-NY,Albany (NY),66.0,Home,MANHATTAN,Manhattan,Albany (NY),america-east,2,False,False,False,Away,False,5,10,53,31,70,6,14,55,0,1,15,35,113,0.5088495575221239,66,119,0.5546218487394958,8,42,117,0.4615384615384616,0.5
3,2019-11-19-19-albany-ny,52.6,10,10.5,4,97.5,72.2,26,0.303,71,0.268,19,0.19699999999999998,14,0.643,9,0,200,65.0,25.0,13,22,52,,13.8,11,0.324,23,0.217,5,44.3,39,0.335,17.2,16,48,0.292,14,0.0,0,"November 19, 2019",57.1,16,14.6,7,65.0,75.0,39,0.541,61,0.45899999999999996,28,0.39299999999999996,24,0.5,12,2,200,97.5,27.8,10,14,78,,7.5,6,0.377,23,0.435,10,55.7,49,0.539,18.3,16,38,0.474,18,0.5,2,"SEFCU Arena, Albany, New York","SUNY-Potsdam
			","SUNY-Potsdam
			",79.5,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,3,True,False,True,Home,True,10,18,61,49,88,5,14,71,1,0,20,45,166,0.4518072289156626,97,189,0.5132275132275133,14,56,172,0.4476744186046512,0.3333333333333333
4,2019-11-22-19-quinnipiac,79.3,23,4.2,1,126.5,77.8,21,0.478,68,0.426,29,0.10300000000000001,7,0.5710000000000001,4,3,200,101.5,30.6,11,15,69,,10.3,7,0.426,29,0.24100000000000002,7,50.8,32,0.484,11.2,9,39,0.564,22,0.4,2,"November 22, 2019",80.0,24,12.8,5,101.5,69.4,25,0.675,57,0.526,30,0.21100000000000002,12,0.75,9,2,200,126.5,22.2,6,10,86,,8.8,6,0.579,33,0.515,17,49.2,31,0.6859999999999999,13.8,10,24,0.542,13,0.33299999999999996,1,"TD Bank Sports Center, Hamden, Connecticut",ALBANY-NY,Albany (NY),68.0,Home,QUINNIPIAC,Quinnipiac,Albany (NY),america-east,4,False,False,False,Away,False,7,22,68,32,63,17,13,57,0,1,30,63,227,0.4757709251101322,146,277,0.5270758122743683,19,70,243,0.4053497942386831,0.5
5,2019-11-23-16-albany-ny,38.1,8,2.1,1,100.0,87.9,29,0.39799999999999996,59,0.35600000000000004,21,0.322,19,0.9470000000000001,18,4,200,90.3,25.0,9,13,65,,4.2,3,0.33899999999999997,20,0.25,5,55.1,38,0.478,17.2,14,39,0.41,16,0.33299999999999996,2,"November 23, 2019",69.0,20,10.3,4,90.3,75.0,27,0.5329999999999999,61,0.475,29,0.14800000000000002,9,0.778,7,3,200,100.0,12.1,4,22,72,,9.7,7,0.23,14,0.5,7,44.9,31,0.552,13.3,10,47,0.46799999999999997,22,0.5,3,"TD Bank Sports Center, Hamden, Connecticut",SACRED-HEART,Sacred Heart,72.2,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,5,True,False,True,Home,True,7,22,61,31,69,5,16,59,1,0,37,85,295,0.476271186440678,178,340,0.5235294117647059,36,83,300,0.4566666666666666,0.4
6,2019-11-24-13-presbyterian,60.0,12,9.8,4,92.3,69.4,25,0.45,50,0.4,20,0.48,24,0.833,20,3,200,100.0,30.0,9,13,65,,6.2,4,0.4,20,0.25,5,51.5,34,0.529,15.4,11,30,0.5,15,0.5710000000000001,4,"November 24, 2019",50.0,11,0.0,0,100.0,70.0,21,0.429,56,0.39299999999999996,22,0.28600000000000003,16,0.75,12,6,200,92.3,30.6,11,22,60,,9.2,6,0.268,15,0.267,4,48.5,32,0.47200000000000003,17.1,13,41,0.439,18,0.14300000000000002,1,"TD Bank Sports Center, Hamden, Connecticut",PRESBYTERIAN,Presbyterian,64.5,Away,ALBANY-NY,Albany (NY),Albany (NY),america-east,6,False,False,False,Away,True,5,15,50,34,66,4,18,56,1,0,44,107,356,0.4859550561797753,209,409,0.511002444987775,41,99,359,0.44707520891364905,0.5
7,2019-11-30-10-albany-ny,64.0,16,6.3,2,97.1,85.2,23,0.433,67,0.373,25,0.149,10,0.6,6,4,200,91.4,26.3,10,18,64,,11.4,8,0.38799999999999996,26,0.308,8,50.8,33,0.446,13.3,11,41,0.415,17,0.33299999999999996,2,"November 30, 2019",54.5,12,17.1,7,91.4,73.7,28,0.52,49,0.449,22,0.469,23,0.7390000000000001,17,3,200,97.1,14.8,4,11,68,,8.6,6,0.34700000000000003,17,0.41200000000000003,7,49.2,32,0.5670000000000001,16.9,12,32,0.469,15,0.625,5,"SEFCU Arena, Albany, New York",AMERICAN,American,70.3,Home,ALBANY-NY,Albany (NY),Albany (NY),america-east,7,True,False,True,Home,True,7,15,49,32,65,8,17,67,1,0,49,122,406,0.4815270935960591,243,475,0.511578947368421,45,117,415,0.4445783132530121,0.5714285714285714
8,2019-12-04-19-albany-ny,56.5,13,3.7,1,83.9,84.4,27,0.5710000000000001,49,0.469,23,0.163,8,0.625,5,3,200,98.4,15.4,4,9,61,,9.7,6,0.469,23,0.435,10,53.4,31,0.578,19.8,13,26,0.5,13,0.7,7,"December 4, 2019",73.7,14,15.4,4,98.4,84.6,22,0.425,53,0.358,19,0.132,7,1.0,7,4,200,83.9,15.6,5,11,52,,11.3,7,0.491,26,0.26899999999999996,7,46.6,27,0.462,15.1,10,27,0.444,12,0.556,5,"SEFCU Arena, Albany, New York",ALBANY-NY,Albany (NY),61.6,Away,YALE,Yale,Albany (NY),america-east,8,False,True,True,Home,False,7,12,53,27,58,10,13,49,0,1,56,137,455,0.4857142857142857,275,540,0.5092592592592593,53,134,482,0.4429460580912863,0.625
9,2019-12-07-19-bucknell,55.0,11,3.8,1,90.3,85.3,29,0.547,43,0.465,20,0.605,26,0.654,17,5,200,88.9,23.1,6,21,64,,8.3,6,0.442,19,0.368,7,58.3,35,0.578,26.9,20,24,0.542,13,0.5,5,"December 7, 2019",45.0,9,12.5,3,88.9,76.9,20,0.435,54,0.37,20,0.40700000000000003,22,0.818,18,7,200,90.3,14.7,5,23,65,,18.1,13,0.519,28,0.25,7,41.7,25,0.504,19.1,15,26,0.5,13,0.364,4,"Sojka Pavilion, Lewisburg, Pennsylvania",ALBANY-NY,Albany (NY),71.9,Home,BUCKNELL,Bucknell,Albany (NY),america-east,9,False,False,False,Away,False,7,13,43,35,60,7,13,54,0,1,63,149,508,0.4793307086614173,302,598,0.5050167224080268,63,147,531,0.4548022598870056,0.5555555555555556
