,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-SANTA-BARBARA_homegame,CALIFORNIA-SANTA-BARBARA_homegame2,CALIFORNIA-SANTA-BARBARA_home,CALIFORNIA-SANTA-BARBARA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-22-california-santa-barbara,36.4,8,3.8,1,122.1,68.4,13,0.41,61,0.361,22,0.262,16,0.75,12,2,200,91.2,21.1,8,18,62,,5.9,4,0.32799999999999996,20,0.3,6,36.8,21,0.452,10.5,8,41,0.39,16,0.0,0,"November 6, 2019",57.1,16,12.2,5,91.2,78.9,30,0.691,47,0.596,28,0.46799999999999997,22,0.818,18,0,200,122.1,31.6,6,19,83,,2.9,2,0.447,21,0.429,9,63.2,36,0.722,20.9,15,26,0.731,19,1.0,1,"The Thunderdome, Santa Barbara, California",JACKSON-STATE,Jackson State,67.5,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,0,True,False,True,Home,True,9,19,47,36,57,6,16,61,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-19-ucla,56.5,13,8.3,4,118.5,54.5,18,0.53,50,0.46,23,0.18,9,0.889,8,1,200,93.8,18.5,5,22,61,,7.7,5,0.44,22,0.318,7,38.3,23,0.562,20.6,14,28,0.5710000000000001,16,0.5,1,"November 10, 2019",42.3,11,10.7,3,93.8,81.5,22,0.483,60,0.433,26,0.45,27,0.7040000000000001,19,0,200,118.5,45.5,15,15,77,,7.7,5,0.2,12,0.5,6,61.7,37,0.529,10.0,8,48,0.41700000000000004,20,1.0,2,"Pauley Pavilion, Los Angeles, California",CALIFORNIA-SANTA-BARBARA,UCSB,64.6,Home,UCLA,UCLA,UC Santa Barbara,big-west,1,False,False,False,Away,False,7,16,50,23,60,6,20,60,0,1,9,19,47,0.6914893617021277,36,57,0.631578947368421,6,16,61,0.4098360655737705,1.0
2,2019-11-16-17-california-santa-barbara,60.7,17,2.2,1,114.1,84.6,22,0.6509999999999999,53,0.528,28,0.34,18,0.722,13,1,200,115.5,20.7,6,16,82,,5.6,4,0.47200000000000003,25,0.52,13,50.9,28,0.6659999999999999,17.6,13,28,0.536,15,0.8,4,"November 16, 2019",61.8,21,3.6,1,115.5,79.3,23,0.607,61,0.557,34,0.18,11,0.636,7,2,200,114.1,15.4,4,14,81,,8.5,6,0.24600000000000002,15,0.4,6,49.1,27,0.612,14.3,11,46,0.609,28,0.33299999999999996,1,"The Thunderdome, Santa Barbara, California",CALIFORNIA-SANTA-BARBARA,UCSB,70.9,Away,RICE,Rice,UC Santa Barbara,big-west,2,False,True,True,Home,False,6,28,61,27,55,13,15,53,0,1,16,35,97,0.6082474226804123,59,117,0.5042735042735043,12,36,121,0.4462809917355372,0.5
3,2019-11-20-22-oregon-state,45.8,11,0.0,0,111.4,85.2,23,0.408,65,0.369,24,0.292,19,0.737,14,3,200,95.7,37.5,15,19,67,,4.3,3,0.415,27,0.185,5,56.7,38,0.45299999999999996,16.0,14,38,0.5,19,0.25,1,"November 20, 2019",46.7,14,18.4,7,95.7,62.5,25,0.604,53,0.5660000000000001,30,0.415,22,0.636,14,1,200,111.4,14.8,4,18,78,,10.0,7,0.28300000000000003,15,0.267,4,43.3,29,0.615,11.3,8,38,0.684,26,0.8,4,"Gill Coliseum, Corvallis, Oregon",CALIFORNIA-SANTA-BARBARA,UCSB,70.2,Home,OREGON-STATE,Oregon State,UC Santa Barbara,big-west,3,False,False,False,Away,False,5,19,65,38,67,4,26,53,0,1,22,63,158,0.6075949367088608,86,172,0.5,25,51,174,0.5086206896551724,0.3333333333333333
4,2019-11-23-16-california-santa-barbara,32.1,9,2.6,1,139.7,44.0,11,0.583,54,0.519,28,0.16699999999999998,9,0.667,6,0,200,109.5,16.0,4,20,69,,1.6,1,0.259,14,0.5,7,30.0,15,0.5920000000000001,12.1,8,40,0.525,21,0.0,0,"November 23, 2019",58.1,18,7.5,3,109.5,84.0,21,0.607,56,0.5539999999999999,31,0.39299999999999996,22,0.909,20,3,200,139.7,56.0,14,15,88,,3.2,2,0.321,18,0.33299999999999996,6,70.0,35,0.662,14.3,11,38,0.6579999999999999,25,0.4,2,"The Thunderdome, Santa Barbara, California","Menlo
			","Menlo
			",62.9,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,4,True,False,True,Home,True,6,25,56,35,50,7,21,54,1,0,27,82,223,0.5493273542600897,124,239,0.5188284518828452,29,77,227,0.5308370044052864,0.25
5,2019-11-27-22-california-santa-barbara,44.0,11,2.4,1,124.6,60.0,18,0.475,60,0.41700000000000004,25,0.3,18,0.722,13,4,200,107.7,36.8,14,20,70,,3.1,2,0.38299999999999995,23,0.304,7,47.1,32,0.511,13.9,11,37,0.486,18,0.429,3,"November 27, 2019",58.1,18,16.2,6,107.7,63.2,24,0.5760000000000001,59,0.525,31,0.322,19,0.684,13,3,200,124.6,40.0,12,17,81,,6.2,4,0.28800000000000003,17,0.353,6,52.9,36,0.595,11.8,9,42,0.595,25,0.5,3,"The Thunderdome, Santa Barbara, California",PORTLAND-STATE,Portland State,65.3,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,5,True,False,True,Home,True,6,25,59,36,68,7,18,60,1,0,33,107,279,0.5609318996415771,159,289,0.5501730103806228,36,98,281,0.5409252669039146,0.4
6,2019-11-29-22-california-santa-barbara,76.5,13,6.5,2,98.5,65.8,25,0.5,43,0.395,17,0.488,21,0.7140000000000001,15,4,200,85.3,7.7,2,20,58,,10.3,7,0.488,21,0.429,9,42.2,27,0.547,25.6,18,22,0.364,8,0.429,3,"November 29, 2019",43.5,10,9.1,2,85.3,92.3,24,0.44,58,0.397,23,0.397,23,0.696,16,3,200,98.5,34.2,13,21,67,,11.8,8,0.466,27,0.185,5,57.8,37,0.486,13.9,11,31,0.581,18,0.5710000000000001,4,"The Thunderdome, Santa Barbara, California",GRAMBLING,Grambling,68.0,Home,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,6,True,False,True,Home,True,5,18,58,37,64,9,8,43,1,0,39,132,338,0.5636094674556213,195,357,0.5462184873949579,43,116,341,0.5293255131964809,0.5
7,2019-12-03-22-cal-state-bakersfield,30.0,6,3.1,1,93.8,66.7,20,0.462,52,0.385,20,0.442,23,0.696,16,3,200,100.0,22.2,6,15,64,,4.7,3,0.34600000000000003,18,0.444,8,45.6,26,0.509,13.9,10,34,0.353,12,0.625,5,"December 3, 2019",27.3,6,8.8,3,100.0,77.8,21,0.47100000000000003,52,0.423,22,0.28800000000000003,15,0.733,11,6,200,93.8,33.3,10,22,60,,4.7,3,0.385,20,0.25,5,54.4,31,0.507,15.8,11,32,0.531,17,0.4,4,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,63.5,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,7,False,False,False,Away,True,8,12,52,26,57,5,17,52,1,0,44,150,396,0.5454545454545454,232,421,0.5510688836104513,52,124,384,0.5260416666666666,0.5714285714285714
8,2019-12-07-15-texas-arlington,59.1,13,8.6,3,98.6,73.0,27,0.5,53,0.415,22,0.45299999999999996,24,0.792,19,3,200,104.3,17.6,6,16,72,,11.6,8,0.47200000000000003,25,0.36,9,46.5,33,0.5589999999999999,14.8,11,28,0.46399999999999997,13,0.667,6,"December 7, 2019",66.7,16,10.7,3,104.3,82.4,28,0.474,58,0.414,24,0.345,20,0.65,13,6,200,98.6,27.0,10,16,68,,8.7,6,0.397,23,0.304,7,53.5,38,0.504,14.1,11,35,0.486,17,0.4,4,"College Park Center, Arlington, Texas",TEXAS-ARLINGTON,Texas-Arlington,69.0,Away,CALIFORNIA-SANTA-BARBARA,UCSB,UC Santa Barbara,big-west,8,False,False,False,Away,True,9,13,53,33,71,7,17,58,1,0,52,162,448,0.5357142857142857,258,478,0.5397489539748954,57,141,436,0.5194954128440367,0.625
9,2019-12-14-16-southern-utah,45.0,9,8.6,3,96.9,92.3,24,0.42200000000000004,51,0.392,20,0.51,26,0.6920000000000001,18,4,201,95.3,29.4,10,19,61,,4.7,3,0.294,15,0.2,3,56.7,34,0.48100000000000004,13.8,10,36,0.47200000000000003,17,0.6,6,"December 14, 2019",31.8,7,8.3,3,95.3,70.6,24,0.49,48,0.45799999999999996,22,0.43799999999999994,21,0.7140000000000001,15,4,201,96.9,7.7,2,22,62,,9.4,6,0.271,13,0.231,3,43.3,26,0.535,12.3,8,35,0.5429999999999999,19,0.6,6,"Centrum, Cedar City, Utah",CALIFORNIA-SANTA-BARBARA,UCSB,63.3,Home,SOUTHERN-UTAH,Southern Utah,UC Santa Barbara,big-west,9,False,False,False,Away,False,3,17,51,34,60,3,19,48,0,1,61,175,501,0.5319361277445109,291,549,0.5300546448087432,64,158,494,0.5141700404858299,0.6666666666666666
