,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-STATE_homegame,FLORIDA-STATE_homegame2,FLORIDA-STATE_home,FLORIDA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-pittsburgh,28.6,6,24.0,6,95.5,67.6,23,0.45299999999999996,53,0.396,21,0.28300000000000003,15,0.867,13,1,200,92.4,30.0,9,27,61,,6.1,4,0.377,20,0.3,6,50.0,32,0.507,20.1,15,33,0.455,15,0.0,0,"November 6, 2019",68.8,11,3.0,1,92.4,70.0,21,0.402,51,0.314,16,0.608,31,0.71,22,0,200,95.5,32.4,11,16,63,,7.6,5,0.51,26,0.34600000000000003,9,50.0,32,0.479,15.7,12,25,0.28,7,1.0,1,"Petersen Events Center, Pittsburgh, Pennsylvania",FLORIDA-STATE,Florida State,66.4,Home,PITTSBURGH,Pitt,Florida State,acc,0,False,False,False,Away,False,6,15,53,32,64,9,7,51,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-13-florida,55.0,11,17.9,5,77.3,76.5,26,0.409,55,0.364,20,0.418,23,0.7829999999999999,18,1,200,95.5,27.3,9,17,63,,12.1,8,0.309,17,0.294,5,52.2,35,0.478,12.1,9,38,0.395,15,0.5,1,"November 10, 2019",42.9,6,10.5,4,95.5,72.7,24,0.32,50,0.28,14,0.48,24,0.792,19,1,200,77.3,23.5,8,19,51,6.0,4.5,3,0.44,22,0.182,4,47.8,32,0.415,17.7,13,28,0.35700000000000004,10,0.5,1,"Stephen C. O'Connell Center, Gainesville, Florida",FLORIDA,Florida,66.2,Away,FLORIDA-STATE,Florida State,Florida State,acc,1,False,False,False,Away,True,5,15,55,35,67,4,10,50,1,0,6,15,53,0.4528301886792453,32,64,0.5,9,7,51,0.4019607843137255,0.0
2,2019-11-15-19-florida-state,37.0,10,2.9,1,109.7,66.7,18,0.525,60,0.45,27,0.233,14,0.7859999999999999,11,2,200,102.8,27.6,8,22,74,,6.9,5,0.38299999999999995,23,0.391,9,46.4,26,0.555,16.4,13,37,0.486,18,0.5,2,"November 15, 2019",40.0,10,16.2,6,102.8,72.4,21,0.509,55,0.455,25,0.509,28,0.821,23,1,200,109.7,33.3,9,18,79,,4.2,3,0.364,20,0.3,6,53.6,30,0.578,17.2,14,35,0.5429999999999999,19,0.667,2,"Donald L. Tucker Center, Tallahassee, Florida",WESTERN-CAROLINA,Western Carolina,72.5,Home,FLORIDA-STATE,Florida State,Florida State,acc,2,True,False,True,Home,True,6,19,55,30,56,9,18,60,1,0,11,30,108,0.4305555555555556,67,131,0.5114503816793893,13,17,101,0.3613861386138614,0.5
3,2019-11-20-18-florida-state,34.8,8,12.5,5,125.4,66.7,22,0.4320000000000001,59,0.39,23,0.102,6,0.33299999999999996,2,2,200,74.6,22.2,8,17,53,,5.6,4,0.40700000000000003,24,0.20800000000000002,5,43.5,30,0.428,20.6,16,35,0.514,18,0.6,3,"November 20, 2019",58.8,20,14.3,5,74.6,77.8,28,0.6,65,0.523,34,0.262,17,0.647,11,1,200,125.4,33.3,11,7,89,,14.1,10,0.385,25,0.4,10,56.5,39,0.609,13.2,11,40,0.6,24,0.75,3,"Donald L. Tucker Center, Tallahassee, Florida",CHATTANOOGA,Chattanooga,71.5,Home,FLORIDA-STATE,Florida State,Florida State,acc,3,True,False,True,Home,True,10,24,65,39,69,5,18,59,1,0,17,49,163,0.4570552147239264,97,187,0.5187165775401069,22,35,161,0.42236024844720504,0.6666666666666666
4,2019-11-23-14-florida-state,45.0,9,8.6,3,106.7,56.7,17,0.45399999999999996,54,0.37,20,0.315,17,0.941,16,4,200,86.7,24.1,7,19,65,,10.7,8,0.40700000000000003,22,0.409,9,40.7,24,0.524,25.5,21,32,0.344,11,0.33299999999999996,2,"November 23, 2019",53.6,15,15.6,5,86.7,75.9,22,0.542,60,0.467,28,0.28300000000000003,17,0.882,15,1,200,106.7,43.3,13,15,80,,14.7,11,0.41700000000000004,25,0.36,9,59.3,35,0.588,22.0,19,35,0.5429999999999999,19,0.8,4,"Donald L. Tucker Center, Tallahassee, Florida",SAINT-FRANCIS-PA,Saint Francis (PA),75.1,Home,FLORIDA-STATE,Florida State,Florida State,acc,4,True,False,True,Home,True,9,19,60,35,59,9,11,54,1,0,27,73,228,0.4978070175438597,136,256,0.53125,27,53,220,0.425,0.75
5,2019-11-25-19-florida-state,15.8,3,0.0,0,148.7,36.4,8,0.39399999999999996,52,0.365,19,0.5,26,0.5770000000000001,15,4,200,73.7,26.3,10,21,56,,11.8,9,0.26899999999999996,14,0.214,3,30.0,18,0.435,25.7,22,38,0.42100000000000004,16,0.429,3,"November 25, 2019",55.3,21,7.9,3,73.7,73.7,28,0.741,58,0.655,38,0.534,31,0.871,27,1,200,148.7,63.6,14,23,113,,17.1,13,0.397,23,0.435,10,70.0,42,0.777,18.3,16,35,0.8,28,0.833,5,"Donald L. Tucker Center, Tallahassee, Florida",CHICAGO-STATE,Chicago State,75.5,Home,FLORIDA-STATE,Florida State,Florida State,acc,5,True,False,True,Home,True,10,28,58,42,60,3,16,52,1,0,36,92,288,0.5069444444444444,171,315,0.5428571428571428,36,64,274,0.4306569343065693,0.8
6,2019-11-29-19-florida-state,35.7,5,16.3,7,83.3,78.8,26,0.39299999999999996,42,0.33299999999999996,14,0.69,29,0.828,24,1,200,79.2,22.2,6,20,57,17.0,5.6,4,0.524,22,0.22699999999999998,5,53.3,32,0.511,27.7,21,20,0.45,9,0.833,5,"November 29, 2019",36.8,7,10.0,2,79.2,77.8,21,0.38,54,0.35200000000000004,19,0.537,29,0.655,19,1,200,83.3,21.2,7,21,60,,18.1,13,0.204,11,0.273,3,46.7,28,0.44299999999999995,16.3,13,43,0.3720000000000001,16,0.857,6,"The Arena, Niceville, Florida",TENNESSEE,Tennessee,72.3,Home,FLORIDA-STATE,Florida State,Florida State,acc,6,True,False,True,Home,True,3,16,54,28,60,5,9,42,1,0,46,120,346,0.5462427745664741,213,375,0.568,39,80,326,0.4248466257668712,0.8333333333333334
7,2019-11-30-19-purdue,31.8,7,15.8,6,77.9,58.8,20,0.38799999999999996,58,0.379,22,0.431,25,0.72,18,1,225,81.8,23.7,9,16,63,,20.8,16,0.293,17,0.059000000000000004,1,40.3,29,0.451,15.9,13,41,0.512,21,0.875,7,"November 30, 2019",47.6,10,7.3,3,81.8,76.3,29,0.379,62,0.33899999999999997,21,0.27399999999999997,17,0.765,13,3,225,77.9,41.2,14,24,60,,7.8,6,0.387,24,0.20800000000000002,5,59.7,43,0.428,25.7,24,38,0.42100000000000004,16,0.5710000000000001,4,"The Arena, Niceville, Florida",PURDUE,Purdue,68.4,Away,FLORIDA-STATE,Florida State,Florida State,acc,7,False,False,False,Away,True,1,21,58,29,72,5,16,62,1,0,49,136,400,0.52375,241,435,0.5540229885057472,44,89,368,0.42119565217391297,0.8571428571428571
8,2019-12-03-21-indiana,28.0,7,6.7,2,115.9,64.3,18,0.5379999999999999,53,0.47200000000000003,25,0.302,16,0.43799999999999994,7,2,200,92.8,23.3,7,24,64,17.0,11.6,8,0.358,19,0.368,7,43.1,25,0.528,17.8,13,34,0.529,18,0.778,7,"December 3, 2019",40.0,10,11.8,4,92.8,76.7,23,0.633,45,0.556,25,0.8440000000000001,38,0.605,23,0,200,115.9,35.7,10,19,80,,7.2,5,0.33299999999999996,15,0.467,7,56.9,33,0.634,22.6,18,30,0.6,18,1.0,8,"Assembly Hall, Bloomington, Indiana",FLORIDA-STATE,Florida State,68.8,Home,INDIANA,Indiana,Florida State,acc,8,False,False,False,Away,False,7,18,53,25,58,7,18,45,0,1,50,157,458,0.5065502183406113,270,507,0.5325443786982249,49,105,430,0.41511627906976745,0.875
9,2019-12-08-14-florida-state,42.1,8,0.0,0,107.5,70.8,17,0.44299999999999995,53,0.358,19,0.18899999999999997,10,0.6,6,4,200,79.1,22.6,7,14,53,,7.5,5,0.509,27,0.33299999999999996,9,43.6,24,0.45899999999999996,23.9,18,26,0.385,10,0.556,5,"December 8, 2019",64.0,16,34.6,9,79.1,77.4,24,0.602,54,0.46299999999999997,25,0.185,10,0.7,7,2,200,107.5,29.2,7,14,72,17.0,9.0,6,0.593,32,0.469,15,56.4,31,0.613,18.2,13,22,0.455,10,0.8,8,"Donald L. Tucker Center, Tallahassee, Florida",CLEMSON,Clemson,66.8,Home,FLORIDA-STATE,Florida State,Florida State,acc,9,True,False,True,Home,True,15,10,54,31,55,9,10,53,1,0,57,175,511,0.5097847358121331,295,565,0.5221238938053098,56,123,475,0.4357894736842105,0.7777777777777778
