,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,BOWLING-GREEN-STATE_homegame,BOWLING-GREEN-STATE_homegame2,BOWLING-GREEN-STATE_home,BOWLING-GREEN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-bowling-green-state,29.6,8,2.1,1,110.6,54.1,20,0.413,75,0.36,27,0.24,18,0.611,11,0,200,85.9,16.0,8,20,73,,8.2,7,0.44,33,0.242,8,32.2,28,0.4370000000000001,11.7,11,42,0.452,19,0.0,0,"November 5, 2019",40.0,14,11.9,5,85.9,84.0,42,0.535,72,0.486,35,0.361,26,0.654,17,0,200,110.6,45.9,17,20,94,,4.7,4,0.33299999999999996,24,0.292,7,67.8,59,0.557,16.1,16,48,0.583,28,1.0,1,"Stroh Center, Bowling Green, Ohio","Tiffin
			","Tiffin
			",85.0,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,0,True,False,True,Home,True,7,28,72,59,87,8,19,75,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-louisiana-state,50.0,12,0.0,0,108.6,75.8,25,0.413,75,0.32,24,0.28,21,0.81,17,1,200,97.5,28.0,14,23,79,,13.6,11,0.467,35,0.4,14,47.0,39,0.465,9.7,9,40,0.25,10,0.5,1,"November 8, 2019",40.7,11,20.0,8,97.5,72.0,36,0.535,57,0.474,27,0.596,34,0.794,27,0,200,108.6,24.2,8,18,88,22.0,3.7,3,0.316,18,0.389,7,53.0,44,0.602,18.2,16,39,0.513,20,1.0,1,"Maravich Assembly Center, Baton Rouge, Louisiana",BOWLING-GREEN-STATE,Bowling Green State,80.6,Home,LOUISIANA-STATE,LSU,Bowling Green State,mac,1,False,False,False,Away,False,14,10,75,39,83,7,20,57,0,1,7,28,72,0.5347222222222222,59,87,0.6781609195402298,8,19,75,0.4133333333333333,1.0
2,2019-11-11-19-jacksonville,59.3,16,12.9,4,83.1,78.4,29,0.516,62,0.435,27,0.177,11,1.0,11,1,200,105.6,16.1,5,19,75,,11.3,8,0.435,27,0.37,10,50.0,34,0.5579999999999999,11.9,9,35,0.486,17,0.667,2,"November 11, 2019",62.5,10,0.0,0,105.6,83.9,26,0.39,50,0.32,16,0.54,27,0.741,20,2,200,83.1,21.6,8,12,59,,2.8,2,0.38,19,0.368,7,50.0,34,0.47,20.5,16,31,0.29,9,0.33299999999999996,1,"BankUnited Center, Coral Gables, Florida",JACKSONVILLE,Jacksonville,71.0,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,2,False,False,False,Away,True,10,17,62,34,68,7,9,50,1,0,21,38,147,0.4727891156462585,98,170,0.5764705882352941,15,39,132,0.4659090909090909,0.5
3,2019-11-15-11-bowling-green-state,58.3,14,2.3,1,108.6,71.9,23,0.41,67,0.358,24,0.209,14,0.7859999999999999,11,0,200,81.5,22.5,9,18,66,,7.4,6,0.32799999999999996,22,0.318,7,44.4,32,0.44799999999999995,17.9,16,45,0.37799999999999995,17,0.0,0,"November 15, 2019",51.6,16,4.4,2,81.5,77.5,31,0.515,65,0.47700000000000004,31,0.369,24,0.875,21,1,200,108.6,28.1,9,12,88,,14.8,12,0.33799999999999997,22,0.22699999999999998,5,55.6,40,0.5760000000000001,15.6,14,43,0.605,26,0.75,3,"Stroh Center, Bowling Green, Ohio","Fairmont State
			","Fairmont State
			",81.0,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,3,True,False,True,Home,True,5,26,65,40,72,7,17,67,1,0,31,55,209,0.4856459330143541,132,238,0.5546218487394958,22,48,182,0.445054945054945,0.6666666666666666
4,2019-11-22-20-western-kentucky,46.7,14,0.0,0,100.0,78.1,25,0.507,69,0.435,30,0.145,10,0.7,7,1,200,102.7,28.2,11,20,77,,5.3,4,0.304,21,0.47600000000000003,10,50.7,36,0.522,15.0,13,48,0.41700000000000004,20,0.8,4,"November 22, 2019",50.0,13,14.6,7,102.7,71.8,28,0.537,54,0.48100000000000004,26,0.519,28,0.607,17,1,200,100.0,21.9,7,15,75,,9.3,7,0.389,21,0.28600000000000003,6,49.3,35,0.557,16.4,13,33,0.606,20,0.8,4,"Virgin Islands Sport & Fitness Center , St. Thomas",WESTERN-KENTUCKY,Western Kentucky,74.5,Away,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,4,False,False,False,Away,True,10,20,69,36,71,6,20,54,1,0,36,81,274,0.4927007299270073,172,310,0.5548387096774193,29,65,249,0.4357429718875502,0.75
5,2019-11-24-19-bowling-green-state,50.0,11,9.1,4,97.8,81.4,35,0.449,59,0.373,22,0.932,55,0.564,31,2,225,90.3,18.6,8,28,84,,5.4,5,0.441,26,0.34600000000000003,9,50.0,43,0.493,17.8,18,33,0.39399999999999996,13,0.6,3,"November 24, 2019",50.0,15,9.1,3,90.3,81.4,35,0.47200000000000003,72,0.41700000000000004,30,0.41700000000000004,30,0.767,23,1,225,97.8,18.6,8,35,91,,7.5,7,0.389,28,0.28600000000000003,8,50.0,43,0.528,12.3,12,44,0.5,22,0.833,5,"Virgin Islands Sport & Fitness Center , St. Thomas",CINCINNATI,Cincinnati,82.4,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,5,True,False,True,Home,True,8,22,72,43,86,9,13,59,1,0,46,101,343,0.4956268221574344,208,381,0.5459317585301837,35,85,303,0.4537953795379538,0.8
6,2019-11-25-20-bowling-green-state,48.3,14,6.4,3,87.3,68.3,28,0.493,72,0.40299999999999997,29,0.16699999999999998,12,0.5,6,3,200,108.5,37.2,16,15,77,,5.6,4,0.375,27,0.48100000000000004,13,52.4,44,0.495,9.4,8,45,0.35600000000000004,16,0.625,5,"November 25, 2019",33.3,8,8.9,4,108.5,62.8,27,0.368,68,0.353,24,0.265,18,0.667,12,2,200,87.3,31.7,13,15,62,,4.2,3,0.309,21,0.095,2,47.6,40,0.405,9.5,8,47,0.46799999999999997,22,0.7140000000000001,5,"Virgin Islands Sport & Fitness Center , St. Thomas",BOWLING-GREEN-STATE,Bowling Green State,70.6,Away,NEVADA,Nevada,Bowling Green State,mac,6,False,True,True,Home,False,2,22,68,40,84,13,16,72,0,1,54,123,415,0.491566265060241,251,467,0.5374732334047109,44,98,362,0.4530386740331492,0.8333333333333334
7,2019-11-30-16-bowling-green-state,42.3,11,9.4,3,107.0,81.3,26,0.56,58,0.44799999999999995,26,0.10300000000000001,6,0.667,4,2,200,97.2,9.7,3,20,69,,5.6,4,0.586,34,0.382,13,46.0,29,0.5670000000000001,16.5,12,24,0.542,13,0.7140000000000001,5,"November 30, 2019",46.2,12,8.3,2,97.2,90.3,28,0.563,56,0.46399999999999997,26,0.46399999999999997,26,0.5,13,2,200,107.0,18.8,6,7,76,,8.5,6,0.429,24,0.45799999999999996,11,54.0,34,0.556,11.8,9,32,0.469,15,0.75,6,"Stroh Center, Bowling Green, Ohio",DARTMOUTH,Dartmouth,70.6,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,7,True,False,True,Home,True,11,15,56,34,63,13,13,58,1,0,56,145,483,0.474120082815735,291,551,0.5281306715063521,57,114,434,0.4596774193548387,0.7142857142857143
8,2019-12-07-16-bowling-green-state,56.5,13,6.1,2,104.6,82.9,29,0.52,50,0.46,23,0.38,19,0.684,13,5,200,100.0,22.6,7,17,65,,4.6,3,0.4,20,0.3,6,54.5,36,0.551,20.4,15,30,0.5670000000000001,17,0.5,5,"December 7, 2019",50.0,12,6.7,2,100.0,77.4,24,0.491,57,0.42100000000000004,24,0.281,16,0.75,12,2,200,104.6,17.1,6,17,68,,13.8,9,0.42100000000000004,24,0.33299999999999996,8,45.5,30,0.526,7.2,5,33,0.485,16,0.778,7,"Stroh Center, Bowling Green, Ohio",OAKLAND,Oakland,65.3,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,8,True,False,True,Home,True,8,16,57,30,66,6,17,50,1,0,67,160,539,0.4833024118738404,325,614,0.5293159609120521,70,127,492,0.4715447154471545,0.75
9,2019-12-15-16-bowling-green-state,33.3,8,7.9,3,100.0,71.4,20,0.48,51,0.47100000000000003,24,0.392,20,0.45,9,7,200,80.6,35.7,10,17,58,,13.9,10,0.098,5,0.2,1,53.6,30,0.479,26.9,22,46,0.5,23,0.364,4,"December 15, 2019",59.3,16,8.7,4,80.6,64.3,18,0.545,56,0.48200000000000004,27,0.268,15,0.733,11,2,200,100.0,28.6,8,19,72,,11.1,8,0.321,18,0.389,7,46.4,26,0.57,20.4,16,38,0.526,20,0.8,8,"Stroh Center, Bowling Green, Ohio",CLEVELAND-STATE,Cleveland State,71.8,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,9,True,False,True,Home,True,7,20,56,26,56,1,23,51,1,0,75,176,596,0.4840604026845637,355,680,0.5220588235294118,76,144,542,0.4760147601476015,0.7777777777777778
10,2019-12-20-19-bowling-green-state,60.0,15,2.9,1,94.4,65.7,23,0.484,63,0.397,25,0.20600000000000002,13,0.846,11,9,225,101.4,28.6,10,14,72,,9.9,7,0.444,28,0.39299999999999996,11,47.1,33,0.52,14.9,12,35,0.4,14,0.308,4,"December 20, 2019",61.5,16,8.6,3,101.4,71.4,25,0.469,64,0.406,26,0.141,9,0.778,7,3,225,94.4,34.3,12,18,67,,4.2,3,0.45299999999999996,29,0.276,8,52.9,37,0.491,17.1,14,35,0.514,18,0.727,8,"Boardwalk Hall, Atlantic City, New Jersey",BOWLING-GREEN-STATE,Bowling Green State,62.9,Away,NORFOLK-STATE,Norfolk State,Bowling Green State,mac,10,False,True,True,Home,False,8,18,64,37,70,11,14,63,0,1,82,196,652,0.4892638036809816,381,736,0.5176630434782609,77,167,593,0.4763912310286678,0.8
11,2019-12-21-14-bowling-green-state,84.2,16,12.0,6,94.1,70.7,29,0.46399999999999997,55,0.345,19,0.436,24,0.75,18,5,200,101.5,28.2,11,15,69,,8.8,6,0.6,33,0.39399999999999996,13,50.0,40,0.52,12.1,9,22,0.273,6,0.5,5,"December 21, 2019",64.0,16,13.6,3,101.5,71.8,28,0.384,73,0.342,25,0.13699999999999998,10,0.8,8,4,200,94.1,29.3,12,18,64,,4.4,3,0.315,23,0.261,6,50.0,40,0.41200000000000003,7.2,6,50,0.38,19,0.667,8,"Boardwalk Hall, Atlantic City, New Jersey",BOWLING-GREEN-STATE,Bowling Green State,68.1,Away,QUINNIPIAC,Quinnipiac,Bowling Green State,mac,11,False,True,True,Home,False,6,19,73,40,80,13,6,55,0,1,90,214,716,0.4874301675977654,418,806,0.5186104218362283,88,181,656,0.4771341463414634,0.7272727272727273
12,2019-12-31-12-bowling-green-state,56.0,14,4.8,2,115.7,66.7,22,0.434,68,0.368,25,0.221,15,0.6,9,8,200,97.1,39.5,17,17,68,,7.1,5,0.456,31,0.29,9,51.3,39,0.45299999999999996,14.8,13,37,0.4320000000000001,16,0.467,7,"December 31, 2019",48.1,13,8.1,3,97.1,60.5,26,0.516,61,0.44299999999999995,27,0.344,21,0.857,18,4,200,115.7,33.3,11,16,81,,10.0,7,0.311,19,0.474,9,48.7,37,0.5710000000000001,11.4,9,42,0.429,18,0.6920000000000001,9,"Stroh Center, Bowling Green, Ohio",HARTFORD,Hartford,70.1,Home,BOWLING-GREEN-STATE,Bowling Green State,Bowling Green State,mac,12,True,False,True,Home,True,9,18,61,37,76,9,16,68,1,0,96,233,789,0.4778200253485425,458,886,0.5169300225733634,101,187,711,0.4760900140646976,0.6666666666666666
13,2020-01-03-21-bowling-green-state,50.0,15,2.6,1,82.4,83.3,30,0.5670000000000001,60,0.5,30,0.267,16,0.688,11,3,200,106.8,16.1,5,17,79,,9.5,7,0.28300000000000003,17,0.47100000000000003,8,52.2,35,0.584,15.2,12,43,0.512,22,0.7859999999999999,11,"January 3, 2020",26.9,7,2.3,1,106.8,83.9,26,0.444,62,0.419,26,0.19399999999999998,12,0.5,6,5,200,82.4,16.7,6,17,61,,2.7,2,0.371,23,0.13,3,47.8,32,0.451,14.1,11,39,0.59,23,0.643,9,"Stroh Center, Bowling Green, Ohio",BOWLING-GREEN-STATE,Bowling Green State,73.7,Away,KENT-STATE,Kent State,Bowling Green State,mac,13,False,True,True,Home,False,3,23,62,32,67,8,22,60,0,1,105,251,850,0.4805882352941177,495,962,0.5145530145530145,110,203,779,0.472400513478819,0.6923076923076923
