,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-CENTRAL_homegame,NORTH-CAROLINA-CENTRAL_homegame2,NORTH-CAROLINA-CENTRAL_home,NORTH-CAROLINA-CENTRAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-09-14-stephen-f-austin,57.1,12,2.5,1,116.0,60.9,14,0.521,47,0.447,21,0.40399999999999997,19,0.789,15,1,200,79.0,14.8,4,17,64,,12.3,10,0.38299999999999995,18,0.389,7,36.0,18,0.5710000000000001,35.1,30,29,0.483,14,0.0,0,"November 9, 2019",54.3,19,10.3,3,79.0,85.2,23,0.6859999999999999,59,0.593,35,0.28800000000000003,17,0.765,13,0,200,116.0,39.1,9,15,94,,13.6,11,0.322,19,0.579,11,64.0,32,0.701,24.9,22,40,0.6,24,1.0,2,"William Johnson Coliseum, Nacogdoches, Texas",NORTH-CAROLINA-CENTRAL,North Carolina Central,81.1,Home,STEPHEN-F-AUSTIN,Stephen F. Austin,North Carolina Central,meac,0,False,False,False,Away,False,7,14,47,18,50,11,24,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-north-carolina-central,52.2,12,7.1,2,94.8,69.2,18,0.408,65,0.354,23,0.354,23,0.478,11,2,200,83.1,25.0,10,22,64,,6.5,5,0.446,29,0.24100000000000002,7,42.4,28,0.42100000000000004,14.8,13,36,0.444,16,0.33299999999999996,1,"November 11, 2019",69.6,16,5.6,2,83.1,75.0,30,0.598,46,0.5,23,0.5,23,0.7829999999999999,18,1,200,94.8,30.8,8,25,73,,7.8,6,0.391,18,0.5,9,57.6,38,0.6409999999999999,31.7,26,28,0.5,14,0.5,1,"McLendon-McDougald Gym, Durham, North Carolina",SOUTH-CAROLINA-UPSTATE,USC Upstate,76.9,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,1,True,False,True,Home,True,9,14,46,38,66,7,16,65,1,0,7,14,47,0.5212765957446809,18,50,0.36,11,24,59,0.6864406779661016,0.0
2,2019-11-15-19-akron,23.5,4,4.0,1,76.0,76.9,30,0.325,60,0.28300000000000003,17,0.2,12,0.667,8,2,200,62.7,15.4,6,29,47,,8.0,6,0.3,18,0.278,5,46.2,36,0.358,20.7,17,42,0.28600000000000003,12,0.33299999999999996,1,"November 15, 2019",69.2,9,11.9,5,62.7,84.6,33,0.314,51,0.255,13,0.608,31,0.8059999999999999,25,1,200,76.0,23.1,9,15,57,,4.0,3,0.51,26,0.231,6,53.8,42,0.434,20.8,17,25,0.28,7,0.667,2,"James A. Rhodes Arena, Akron, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,75.2,Home,AKRON,Akron,North Carolina Central,meac,2,False,False,False,Away,False,5,12,60,36,78,6,7,51,0,1,16,28,93,0.5591397849462365,56,116,0.4827586206896552,18,40,124,0.5403225806451613,0.5
3,2019-11-17-17-louisville,47.4,9,0.0,0,138.1,70.6,12,0.386,57,0.33299999999999996,19,0.439,25,0.56,14,3,200,92.1,34.2,13,22,58,,7.9,5,0.456,26,0.231,6,45.5,25,0.42100000000000004,10.5,8,31,0.419,13,0.25,1,"November 17, 2019",66.7,20,6.5,2,92.1,65.8,25,0.778,45,0.667,30,0.556,25,0.68,17,0,200,138.1,29.4,5,22,87,4.0,4.8,3,0.467,21,0.47600000000000003,10,54.5,30,0.765,16.4,11,24,0.833,20,1.0,4,"KFC Yum! Center, Louisville, Kentucky",NORTH-CAROLINA-CENTRAL,North Carolina Central,63.4,Home,LOUISVILLE,Louisville,North Carolina Central,meac,3,False,False,False,Away,False,6,13,57,25,55,10,20,45,0,1,21,40,153,0.4673202614379085,92,194,0.4742268041237113,24,47,175,0.4742857142857143,0.3333333333333333
4,2019-11-19-19-youngstown-state,50.0,10,15.0,6,103.1,57.1,20,0.45899999999999996,49,0.408,20,0.3670000000000001,18,0.833,15,4,200,93.8,20.0,6,16,60,,6.3,4,0.265,13,0.385,5,40.0,26,0.521,17.4,12,36,0.41700000000000004,15,0.2,1,"November 19, 2019",33.3,8,13.9,5,93.8,80.0,24,0.4270000000000001,62,0.387,24,0.242,15,0.867,13,2,200,103.1,42.9,15,15,66,,10.9,7,0.355,22,0.22699999999999998,5,60.0,39,0.47700000000000004,13.8,11,40,0.475,19,0.5,2,"Beeghly Center, Youngstown, Ohio",NORTH-CAROLINA-CENTRAL,North Carolina Central,64.3,Home,YOUNGSTOWN-STATE,Youngstown State,North Carolina Central,meac,4,False,False,False,Away,False,5,15,49,26,65,5,19,62,0,1,27,53,210,0.4452380952380952,117,249,0.4698795180722892,34,67,220,0.5363636363636364,0.25
5,2019-11-21-19-north-carolina-central,31.6,6,10.2,5,90.7,83.7,36,0.315,62,0.306,19,0.113,7,0.7140000000000001,5,0,200,58.7,17.1,7,16,44,,4.0,3,0.306,19,0.053,1,51.2,43,0.337,20.7,17,43,0.419,18,0.0,0,"November 21, 2019",56.0,14,20.9,9,58.7,82.9,34,0.41200000000000003,68,0.368,25,0.324,22,0.545,12,4,200,90.7,16.3,7,12,68,,12.0,9,0.27899999999999997,19,0.316,6,48.8,41,0.433,4.9,4,49,0.38799999999999996,19,0.33299999999999996,2,"McLendon-McDougald Gym, Durham, North Carolina","Bluefield State
			","Bluefield State
			",75.4,Home,NORTH-CAROLINA-CENTRAL,North Carolina Central,North Carolina Central,meac,5,True,False,True,Home,True,6,19,68,41,84,1,18,62,1,0,32,68,259,0.4478764478764479,143,314,0.4554140127388535,39,86,282,0.5124113475177305,0.2
6,2019-11-26-20-southern-illinois,55.6,10,12.0,3,108.5,84.2,16,0.42200000000000004,51,0.353,18,0.11800000000000001,6,0.833,5,5,200,81.4,29.0,9,14,48,,18.6,11,0.392,20,0.35,7,50.0,25,0.446,21.9,15,31,0.355,11,0.28600000000000003,2,"November 26, 2019",69.6,16,12.9,4,81.4,71.0,22,0.667,42,0.5479999999999999,23,0.214,9,0.889,8,4,200,108.5,15.8,3,12,64,,6.8,4,0.405,17,0.588,10,50.0,25,0.6920000000000001,23.3,14,25,0.52,13,0.429,3,"The SIU Arena, Carbondale, Illinois",NORTH-CAROLINA-CENTRAL,North Carolina Central,58.6,Home,SOUTHERN-ILLINOIS,Southern Illinois,North Carolina Central,meac,6,False,False,False,Away,False,7,11,51,25,50,10,13,42,0,1,38,87,327,0.44036697247706413,184,398,0.4623115577889447,40,104,344,0.4767441860465117,0.3333333333333333
7,2019-12-02-19-wofford,70.0,14,3.7,1,116.7,80.8,21,0.5,47,0.426,20,0.38299999999999995,18,0.667,12,6,200,89.4,24.0,6,12,59,,16.7,11,0.426,20,0.35,7,52.9,27,0.531,20.3,14,27,0.48100000000000004,13,0.25,2,"December 2, 2019",41.4,12,14.8,4,89.4,76.0,19,0.639,54,0.537,29,0.222,12,0.667,8,4,200,116.7,19.2,5,13,77,,13.6,9,0.5,27,0.40700000000000003,11,47.1,24,0.645,19.1,14,27,0.667,18,0.5,4,"Richardson Indoor Stadium, Spartanburg, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,66.1,Home,WOFFORD,Wofford,North Carolina Central,meac,7,False,False,False,Away,False,7,13,47,27,51,11,18,54,0,1,45,98,378,0.4378306878306879,209,448,0.4665178571428572,50,117,386,0.4974093264248705,0.2857142857142857
8,2019-12-04-19-georgia,47.8,11,4.4,2,130.1,33.3,10,0.39399999999999996,66,0.348,23,0.16699999999999998,11,0.636,7,7,200,80.8,28.9,13,18,59,,12.3,9,0.318,21,0.28600000000000003,6,30.7,23,0.414,16.5,14,45,0.37799999999999995,17,0.222,2,"December 4, 2019",51.4,19,13.3,6,80.8,71.1,32,0.593,70,0.529,37,0.22899999999999998,16,0.75,12,2,200,130.1,66.7,20,13,95,,11.0,8,0.35700000000000004,25,0.36,9,69.3,52,0.612,17.2,16,45,0.622,28,0.75,6,"Stegeman Coliseum, Athens, Georgia",NORTH-CAROLINA-CENTRAL,North Carolina Central,72.9,Home,GEORGIA,Georgia,North Carolina Central,meac,8,False,False,False,Away,False,6,17,66,23,75,9,28,70,0,1,52,111,425,0.4447058823529412,236,499,0.4729458917835671,61,135,440,0.5147727272727273,0.25
9,2019-12-07-17-charleston-southern,54.2,13,17.2,5,89.2,67.7,21,0.51,50,0.48,24,0.14,7,0.28600000000000003,2,8,200,81.5,24.0,6,19,53,,15.4,10,0.28,14,0.214,3,48.2,27,0.4970000000000001,23.2,16,36,0.583,21,0.2,2,"December 7, 2019",44.4,8,2.8,1,81.5,76.0,19,0.41200000000000003,51,0.353,18,0.392,20,0.8,16,5,200,89.2,32.3,10,11,58,,10.8,7,0.431,22,0.273,6,51.8,29,0.479,22.1,17,29,0.414,12,0.444,4,"CSU Fieldhouse, Charleston, South Carolina",NORTH-CAROLINA-CENTRAL,North Carolina Central,65.4,Home,CHARLESTON-SOUTHERN,Charleston Southern,North Carolina Central,meac,9,False,False,False,Away,False,3,21,50,27,56,6,12,51,0,1,58,128,491,0.4378818737270876,259,574,0.451219512195122,70,163,510,0.5254901960784314,0.2222222222222222
