,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MINNESOTA_homegame,MINNESOTA_homegame2,MINNESOTA_home,MINNESOTA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-minnesota,52.6,10,7.1,2,118.1,73.1,19,0.373,55,0.345,19,0.2,11,0.818,9,1,200,69.4,14.7,5,17,50,,9.7,7,0.345,19,0.158,3,40.0,24,0.415,21.1,16,36,0.444,16,0.0,0,"November 5, 2019",83.9,26,22.2,8,69.4,85.3,29,0.6579999999999999,57,0.544,31,0.24600000000000002,14,0.7140000000000001,10,0,200,118.1,26.9,7,13,85,,6.9,5,0.509,29,0.44799999999999995,13,60.0,36,0.6679999999999999,20.2,16,28,0.643,18,1.0,1,"Williams Arena, Minneapolis, Minnesota",CLEVELAND-STATE,Cleveland State,71.9,Home,MINNESOTA,Minnesota,Minnesota,big-ten,0,True,False,True,Home,True,13,18,57,36,60,3,16,55,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-minnesota,41.7,10,9.7,3,84.9,79.5,31,0.45,60,0.4,24,0.3670000000000001,22,0.773,17,0,200,97.3,25.8,8,15,71,,8.2,6,0.25,15,0.4,6,55.7,39,0.504,11.4,9,45,0.4,18,1.0,2,"November 9, 2019",44.0,11,11.1,5,97.3,74.2,23,0.46,63,0.397,25,0.19,12,0.33299999999999996,4,1,200,84.9,20.5,8,20,62,,4.1,3,0.508,32,0.25,8,44.3,31,0.451,16.0,13,31,0.5479999999999999,17,0.5,1,"Sanford Pentagon, Sioux Falls, South Dakota",MINNESOTA,Minnesota,72.6,Away,OKLAHOMA,Oklahoma,Minnesota,big-ten,1,False,True,True,Home,False,8,17,63,31,70,6,18,60,0,1,13,18,57,0.6578947368421053,36,60,0.6,3,16,55,0.3727272727272728,1.0
2,2019-11-12-20-butler,70.6,12,12.2,5,94.1,72.7,24,0.392,51,0.33299999999999996,17,0.41200000000000003,21,0.762,16,2,200,82.4,26.7,8,25,56,,7.4,5,0.451,23,0.261,6,50.8,32,0.45899999999999996,19.9,15,28,0.39299999999999996,11,0.33299999999999996,1,"November 12, 2019",38.1,8,10.7,3,82.4,73.3,22,0.409,55,0.382,21,0.473,26,0.731,19,0,200,94.1,27.3,9,20,64,,10.3,7,0.255,14,0.214,3,49.2,31,0.475,11.9,9,41,0.439,18,1.0,3,"Hinkle Fieldhouse, Indianapolis, Indiana",MINNESOTA,Minnesota,67.7,Home,BUTLER,Butler,Minnesota,big-ten,2,False,False,False,Away,False,6,11,51,32,63,3,18,55,0,1,21,35,120,0.5541666666666667,67,130,0.5153846153846153,9,34,115,0.4130434782608696,0.5
3,2019-11-15-21-utah,42.3,11,12.9,4,104.3,80.8,21,0.4320000000000001,74,0.35100000000000003,26,0.162,12,0.41700000000000004,5,3,200,98.6,28.6,14,23,69,,15.7,11,0.446,33,0.364,12,46.7,35,0.433,4.8,4,41,0.341,14,0.25,1,"November 15, 2019",48.0,12,14.6,6,98.6,71.4,35,0.606,47,0.532,25,0.511,24,0.667,16,0,200,104.3,19.2,5,18,73,,2.9,2,0.34,16,0.43799999999999994,7,53.3,40,0.625,21.8,16,31,0.581,18,1.0,3,"Jon M. Huntsman Center, Salt Lake City, Utah",MINNESOTA,Minnesota,69.6,Home,UTAH,Utah,Minnesota,big-ten,3,False,False,False,Away,False,12,14,74,35,75,7,18,47,0,1,27,46,171,0.5058479532163743,99,193,0.5129533678756477,12,52,170,0.4117647058823529,0.3333333333333333
4,2019-11-21-20-minnesota,40.9,9,0.0,0,109.3,78.6,22,0.371,66,0.33299999999999996,22,0.152,10,0.8,8,1,200,76.0,25.6,11,13,57,,13.3,10,0.33299999999999996,22,0.22699999999999998,5,46.5,33,0.40299999999999997,15.6,13,44,0.386,17,0.8,4,"November 21, 2019",71.9,23,13.6,6,76.0,74.4,32,0.619,63,0.508,32,0.111,7,0.5710000000000001,4,3,200,109.3,21.4,6,11,82,,9.3,7,0.47600000000000003,30,0.467,14,53.5,38,0.618,19.5,16,33,0.545,18,0.4,2,"Williams Arena, Minneapolis, Minnesota",CENTRAL-MICHIGAN,Central Michigan,74.5,Home,MINNESOTA,Minnesota,Minnesota,big-ten,4,True,False,True,Home,True,14,18,63,38,71,5,17,66,1,0,39,60,245,0.4836734693877551,134,268,0.5,19,70,217,0.4539170506912442,0.25
5,2019-11-24-19-minnesota,58.3,14,7.0,3,105.3,75.0,24,0.466,58,0.414,24,0.069,4,0.5,2,4,200,74.7,12.1,4,14,56,,9.3,7,0.397,23,0.261,6,43.1,28,0.467,24.1,19,35,0.514,18,0.2,1,"November 24, 2019",59.4,19,11.4,4,74.7,87.9,29,0.579,63,0.508,32,0.14300000000000002,9,0.667,6,3,200,105.3,25.0,8,14,79,,10.7,8,0.317,20,0.45,9,56.9,37,0.5870000000000001,18.3,15,43,0.535,23,0.5,3,"Williams Arena, Minneapolis, Minnesota",NORTH-DAKOTA,North Dakota,74.6,Home,MINNESOTA,Minnesota,Minnesota,big-ten,5,True,False,True,Home,True,9,23,63,37,65,6,18,58,1,0,53,78,308,0.5113636363636364,172,339,0.5073746312684366,24,87,283,0.4346289752650177,0.4
6,2019-11-29-15-minnesota,53.8,14,28.1,9,100.0,61.5,24,0.484,62,0.419,26,0.32299999999999995,20,0.65,13,0,200,107.4,42.1,16,24,73,,8.8,6,0.258,16,0.5,8,51.9,40,0.51,13.4,11,46,0.391,18,1.0,8,"November 29, 2019",57.1,12,13.0,6,107.4,57.9,22,0.402,61,0.344,21,0.4920000000000001,30,0.633,19,4,200,100.0,38.5,15,19,68,,5.9,4,0.475,29,0.24100000000000002,7,48.1,37,0.452,11.9,10,32,0.43799999999999994,14,0.429,3,"Williams Arena, Minneapolis, Minnesota",MINNESOTA,Minnesota,68.4,Away,DEPAUL,DePaul,Minnesota,big-ten,6,False,True,True,Home,False,7,14,61,37,77,8,18,62,0,1,62,101,371,0.522911051212938,209,404,0.5173267326732673,30,105,341,0.4398826979472141,0.5
7,2019-12-02-21-minnesota,34.8,8,3.3,1,120.0,90.9,20,0.48,50,0.46,23,0.34,17,0.706,12,3,200,92.3,18.5,5,13,60,,1.5,1,0.22,11,0.182,2,51.0,25,0.517,14.8,10,39,0.5379999999999999,21,0.625,5,"December 2, 2019",60.7,17,12.8,5,92.3,81.5,22,0.615,52,0.5379999999999999,28,0.365,19,0.737,14,4,200,120.0,9.1,2,19,78,,4.6,3,0.423,22,0.364,8,49.0,24,0.639,11.7,8,30,0.667,20,0.5,4,"Williams Arena, Minneapolis, Minnesota",CLEMSON,Clemson,65.1,Home,MINNESOTA,Minnesota,Minnesota,big-ten,7,True,False,True,Home,True,8,20,52,24,49,2,21,50,1,0,69,115,432,0.5057870370370371,246,481,0.5114345114345115,38,123,403,0.4466501240694789,0.42857142857142855
8,2019-12-09-20-iowa,66.7,14,22.5,9,109.1,69.7,23,0.42100000000000004,57,0.368,21,0.14,8,0.5,4,5,200,78.8,23.5,8,14,52,,3.0,2,0.439,25,0.24,6,46.3,31,0.428,18.8,14,32,0.469,15,0.444,4,"December 9, 2019",76.9,20,9.4,3,78.8,76.5,26,0.508,61,0.426,26,0.23,14,0.7140000000000001,10,3,200,109.1,30.3,10,13,72,,9.1,6,0.344,21,0.47600000000000003,10,53.7,36,0.532,10.6,8,40,0.4,16,0.7,7,"Carver-Hawkeye Arena, Iowa City, Iowa",MINNESOTA,Minnesota,66.2,Home,IOWA,Iowa,Minnesota,big-ten,8,False,False,False,Away,False,6,15,57,31,67,10,16,61,0,1,77,135,484,0.5175619834710744,270,530,0.5094339622641509,40,144,453,0.4503311258278146,0.5
9,2019-12-15-18-minnesota,47.8,11,7.9,3,112.0,59.1,13,0.442,60,0.38299999999999995,23,0.38299999999999995,23,0.7829999999999999,18,1,200,94.7,22.9,8,20,71,3.0,10.7,8,0.33299999999999996,20,0.35,7,36.8,21,0.501,16.6,14,40,0.4,16,0.9,9,"December 15, 2019",51.6,16,10.0,4,94.7,77.1,27,0.605,57,0.544,31,0.35100000000000003,20,0.75,15,5,200,112.0,40.9,9,17,84,,10.7,8,0.33299999999999996,19,0.368,7,63.2,36,0.632,19.6,16,38,0.632,24,0.5,5,"Williams Arena, Minneapolis, Minnesota",OHIO-STATE,Ohio State,75.2,Home,MINNESOTA,Minnesota,Minnesota,big-ten,9,True,False,True,Home,True,7,24,57,36,57,7,16,60,1,0,83,150,541,0.5073937153419593,301,597,0.5041876046901173,50,160,514,0.4571984435797665,0.4444444444444444
