,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-STATE_homegame,GEORGIA-STATE_homegame2,GEORGIA-STATE_home,GEORGIA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-21-13-georgia-state,73.7,14,8.8,3,114.1,69.2,18,0.40399999999999997,52,0.365,19,0.5770000000000001,30,0.9,27,6,200,97.2,26.7,8,23,69,,9.9,7,0.34600000000000003,18,0.222,4,46.4,26,0.521,14.4,11,34,0.441,15,0.5379999999999999,7,"December 21, 2019",50.0,13,20.6,7,97.2,73.3,22,0.542,59,0.441,26,0.322,19,0.895,17,3,200,114.1,30.8,8,22,81,,7.0,5,0.424,25,0.48,12,53.6,30,0.595,16.2,13,34,0.41200000000000003,14,0.727,8,"GSU Sports Arena, Atlanta, Georgia",TEXAS-STATE,Texas State,71.1,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,10,True,False,True,Home,True,12,14,59,30,56,4,15,52,1,0,75,215,639,0.5125195618153364,352,700,0.5028571428571429,66,167,596,0.4463087248322148,0.7
11,2019-12-23-19-southern-methodist,46.2,12,10.5,4,106.3,76.9,20,0.444,71,0.366,26,0.282,20,0.65,13,4,200,95.0,25.0,11,22,76,,13.8,11,0.4370000000000001,31,0.355,11,44.3,31,0.47200000000000003,13.1,12,40,0.375,15,0.667,8,"December 23, 2019",72.4,21,12.5,5,95.0,75.0,33,0.563,56,0.518,29,0.46399999999999997,26,0.846,22,2,200,106.3,23.1,6,17,85,,7.5,6,0.321,18,0.278,5,55.7,39,0.622,19.2,16,38,0.632,24,0.818,9,"Moody Coliseum, Dallas, Texas",GEORGIA-STATE,Georgia State,79.9,Home,SOUTHERN-METHODIST,SMU,Georgia State,sun-belt,11,False,False,False,Away,False,11,15,71,31,70,5,24,56,0,1,87,229,698,0.5150429799426934,382,756,0.5052910052910053,70,182,648,0.4429012345679013,0.7272727272727273
12,2019-12-30-19-georgia-state,38.9,7,8.8,3,102.5,65.6,21,0.257,70,0.257,18,0.34299999999999997,24,0.708,17,0,200,65.4,31.8,14,12,53,,11.1,9,0.243,17,0.0,0,46.1,35,0.326,15.7,15,53,0.34,18,0.0,0,"December 30, 2019",70.0,21,9.4,5,65.4,68.2,30,0.522,69,0.435,30,0.188,13,0.846,11,4,200,102.5,34.4,11,18,83,,12.3,10,0.507,35,0.34299999999999997,12,53.9,41,0.552,16.7,15,34,0.529,18,0.6920000000000001,9,"GSU Sports Arena, Atlanta, Georgia","Middle Georgia State
			","Middle Georgia State
			",80.8,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,12,True,False,True,Home,True,12,18,69,41,76,0,18,70,1,0,98,244,769,0.5084525357607282,413,826,0.5,75,206,704,0.4524147727272727,0.6666666666666666
13,2020-01-02-19-appalachian-state,59.3,16,2.5,1,76.9,59.5,25,0.4920000000000001,61,0.44299999999999995,27,0.213,13,0.6920000000000001,9,4,200,88.5,21.2,7,23,69,,20.5,16,0.361,22,0.273,6,42.7,32,0.514,21.2,18,39,0.5379999999999999,21,0.7140000000000001,10,"January 2, 2020",42.9,9,7.7,3,88.5,78.8,26,0.397,58,0.36200000000000004,21,0.483,28,0.5,14,6,200,76.9,40.5,17,14,60,,12.8,10,0.31,18,0.222,4,57.3,43,0.42100000000000004,25.4,24,40,0.425,17,0.5710000000000001,8,"Holmes Convocation Center, Boone, North Carolina",APPALACHIAN-STATE,Appalachian State,78.2,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,13,False,False,False,Away,True,6,21,61,32,75,4,17,58,1,0,110,262,838,0.5095465393794749,454,902,0.5033259423503326,75,224,774,0.4347545219638243,0.6923076923076923
14,2020-01-04-14-coastal-carolina,46.4,13,7.3,3,91.4,56.8,21,0.478,67,0.418,28,0.209,14,0.5710000000000001,8,5,200,88.9,46.2,18,21,72,,17.3,14,0.38799999999999996,26,0.308,8,51.3,39,0.489,23.9,23,41,0.488,20,0.667,10,"January 4, 2020",52.0,13,4.9,2,88.9,53.8,21,0.43799999999999994,65,0.385,25,0.4,26,0.654,17,6,200,91.4,43.2,16,16,74,,16.0,13,0.369,24,0.292,7,48.7,37,0.478,21.6,21,41,0.439,18,0.6,9,"The HTC Center, Conway, South Carolina",GEORGIA-STATE,Georgia State,80.5,Home,COASTAL-CAROLINA,Coastal Carolina,Georgia State,sun-belt,14,False,False,False,Away,False,8,20,67,39,76,7,18,65,0,1,116,283,899,0.5083426028921023,486,977,0.4974411463664278,79,241,832,0.43209134615384615,0.7142857142857143
15,2020-01-06-20-arkansas-state,50.0,16,0.0,0,128.6,63.6,21,0.589,62,0.516,32,0.27399999999999997,17,0.8240000000000001,14,6,200,124.3,35.5,11,29,87,,5.7,4,0.371,23,0.391,9,50.0,32,0.621,13.7,11,39,0.59,23,0.625,10,"January 6, 2020",64.0,16,10.3,4,124.3,64.5,20,0.5379999999999999,52,0.48100000000000004,25,0.8079999999999999,42,0.81,34,5,200,128.6,36.4,12,15,90,,11.4,8,0.327,17,0.353,6,50.0,32,0.625,11.3,9,35,0.5429999999999999,19,0.688,11,"Convocation Center, Jonesboro, Arkansas",GEORGIA-STATE,Georgia State,69.5,Home,ARKANSAS-STATE,Arkansas State,Georgia State,sun-belt,15,False,False,False,Away,False,9,23,62,32,64,6,19,52,0,1,124,303,966,0.5062111801242236,525,1053,0.4985754985754986,86,259,897,0.4325529542920847,0.6666666666666666
16,2020-01-09-19-georgia-state,58.8,10,10.5,4,120.0,76.2,16,0.33899999999999997,59,0.28800000000000003,17,0.271,16,0.75,12,10,200,69.3,33.3,11,15,52,,2.7,2,0.373,22,0.273,6,50.0,27,0.39,23.2,20,37,0.297,11,0.41200000000000003,7,"January 9, 2020",75.0,24,8.1,3,69.3,66.7,22,0.636,59,0.542,32,0.305,18,0.833,15,6,200,120.0,23.8,5,17,90,,20.0,15,0.35600000000000004,21,0.524,11,50.0,27,0.6659999999999999,15.2,12,38,0.5529999999999999,21,0.647,11,"GSU Sports Arena, Atlanta, Georgia",LOUISIANA-LAFAYETTE,Louisiana,75.1,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,16,True,False,True,Home,True,11,21,59,27,54,6,11,59,1,0,133,326,1028,0.5111867704280155,557,1117,0.4986571172784244,92,278,949,0.4383561643835616,0.625
17,2020-01-11-14-georgia-state,25.0,5,13.8,4,123.5,71.4,15,0.441,51,0.392,20,0.51,26,0.654,17,10,200,91.2,26.7,8,16,62,,5.9,4,0.294,15,0.33299999999999996,5,45.1,23,0.489,18.3,14,36,0.41700000000000004,15,0.375,6,"January 11, 2020",60.0,18,16.7,6,91.2,73.3,22,0.7020000000000001,52,0.5770000000000001,30,0.28800000000000003,15,0.733,11,6,200,123.5,28.6,6,20,84,,8.8,6,0.442,23,0.565,13,54.9,28,0.71,18.2,13,29,0.586,17,0.667,12,"GSU Sports Arena, Atlanta, Georgia",LOUISIANA-MONROE,Louisiana-Monroe,67.7,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,17,True,False,True,Home,True,13,17,52,28,51,5,15,51,1,0,144,347,1087,0.5179392824287029,584,1171,0.4987190435525192,98,289,1008,0.43253968253968256,0.6470588235294118
18,2020-01-16-20-south-alabama,56.5,13,15.9,7,90.0,71.9,23,0.535,57,0.40399999999999997,23,0.298,17,0.647,11,6,200,102.9,25.7,9,20,72,,7.1,5,0.614,35,0.429,15,47.8,32,0.5529999999999999,16.8,13,22,0.364,8,0.684,13,"January 16, 2020",34.8,8,9.1,2,102.9,74.3,26,0.48,50,0.46,23,0.48,24,0.625,15,8,200,90.0,28.1,9,20,63,,8.6,6,0.12,6,0.33299999999999996,2,52.2,35,0.513,22.9,18,44,0.47700000000000004,21,0.579,11,"Mitchell Center, Mobile, Alabama",SOUTH-ALABAMA,South Alabama,69.7,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,18,False,False,False,Away,True,15,8,57,32,67,2,21,50,1,0,157,364,1139,0.5263388937664618,612,1222,0.5008183306055647,103,304,1059,0.4329556185080264,0.6666666666666666
19,2020-01-18-15-troy,60.9,14,16.1,5,100.0,62.1,18,0.423,65,0.354,23,0.215,14,0.7140000000000001,10,7,200,86.7,27.5,11,21,65,,2.7,2,0.446,29,0.31,9,42.0,29,0.45399999999999996,17.4,15,36,0.389,14,0.65,13,"January 18, 2020",72.0,18,13.9,5,86.7,72.5,29,0.525,59,0.424,25,0.33899999999999997,20,0.65,13,12,200,100.0,37.9,11,15,75,,4.0,3,0.475,28,0.429,12,58.0,40,0.547,19.1,16,31,0.419,13,0.4,8,"Trojan Arena, Troy, Alabama",GEORGIA-STATE,Georgia State,74.6,Home,TROY,Troy,Georgia State,sun-belt,19,False,False,False,Away,False,9,14,65,29,69,12,13,59,0,1,172,372,1196,0.5267558528428093,644,1289,0.499612102404965,105,325,1109,0.4350766456266907,0.6842105263157895
