,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-STATE_homegame,GEORGIA-STATE_homegame2,GEORGIA-STATE_home,GEORGIA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-25-17-georgia-southern,37.9,11,5.7,2,93.9,75.7,28,0.428,76,0.382,29,0.303,23,0.7390000000000001,17,7,200,100.0,34.1,15,20,82,,11.0,9,0.342,26,0.26899999999999996,7,53.1,43,0.47200000000000003,10.4,10,50,0.44,22,0.667,14,"January 25, 2020",45.8,11,20.0,10,100.0,65.9,29,0.451,61,0.39299999999999996,24,0.541,33,0.667,22,9,200,93.9,24.3,9,21,77,,6.1,5,0.426,26,0.26899999999999996,7,46.9,38,0.502,16.6,15,35,0.486,17,0.5710000000000001,12,"Hanner Fieldhouse, Statesboro, Georgia",GEORGIA-SOUTHERN,Georgia Southern,82.3,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,20,False,False,False,Away,True,7,22,76,43,81,7,17,61,1,0,181,386,1261,0.5214115781126091,673,1358,0.4955817378497791,117,338,1168,0.4396404109589041,0.65
21,2020-01-30-19-georgia-state,37.5,9,4.2,1,107.0,67.9,19,0.491,56,0.429,24,0.518,29,0.621,18,11,200,102.8,31.4,11,22,73,,4.2,3,0.33899999999999997,19,0.368,7,47.6,30,0.523,14.9,12,37,0.45899999999999996,17,0.522,12,"January 30, 2020",54.5,12,8.1,3,102.8,68.6,24,0.49,52,0.423,22,0.635,33,0.758,25,7,200,107.0,32.1,9,19,76,,7.0,5,0.5379999999999999,28,0.25,7,52.4,33,0.562,16.3,13,24,0.625,15,0.682,15,"GSU Sports Arena, Atlanta, Georgia",SOUTH-ALABAMA,South Alabama,71.2,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,21,True,False,True,Home,True,7,15,52,33,63,7,17,56,1,0,188,408,1337,0.5160807778608826,716,1439,0.4975677553856845,124,355,1229,0.4401952807160293,0.6666666666666666
22,2020-02-01-14-georgia-state,44.8,13,7.1,3,102.6,62.8,27,0.5710000000000001,63,0.46,29,0.27,17,0.706,12,15,200,110.5,26.5,9,11,84,,2.6,2,0.524,33,0.424,14,46.8,36,0.591,14.5,12,30,0.5,15,0.375,9,"February 1, 2020",36.7,11,23.3,7,110.5,73.5,25,0.45399999999999996,76,0.395,30,0.145,11,0.818,9,8,200,102.6,37.2,16,16,78,,5.3,4,0.447,34,0.265,9,53.2,41,0.48,13.9,13,42,0.5,21,0.652,15,"GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,76.2,Away,TROY,Troy,Georgia State,sun-belt,22,False,True,True,Home,False,9,21,76,41,77,14,15,63,0,1,195,423,1389,0.5151187904967602,749,1502,0.4986684420772304,131,372,1285,0.4424124513618677,0.6818181818181818
23,2020-02-06-20-louisiana-lafayette,50.0,14,5.6,2,114.3,60.0,21,0.508,60,0.467,28,0.3,18,0.9440000000000001,17,9,200,111.4,46.7,14,18,78,,8.6,6,0.233,14,0.35700000000000004,5,53.8,35,0.569,17.1,14,46,0.5,23,0.625,15,"February 6, 2020",37.0,10,8.7,4,111.4,53.3,16,0.484,63,0.429,27,0.317,20,0.95,19,14,200,114.3,40.0,14,15,80,,7.1,5,0.429,27,0.259,7,46.2,30,0.552,14.3,12,36,0.556,20,0.41700000000000004,10,"Cajundome, Lafayette, Louisiana",GEORGIA-STATE,Georgia State,69.5,Home,LOUISIANA-LAFAYETTE,Louisiana,Georgia State,sun-belt,23,False,False,False,Away,False,5,23,60,35,65,7,20,63,0,1,204,444,1465,0.5119453924914675,790,1579,0.5003166561114629,145,387,1348,0.4484421364985163,0.6521739130434783
24,2020-02-08-15-louisiana-monroe,66.7,16,2.6,1,95.8,69.4,25,0.48200000000000004,57,0.42100000000000004,24,0.439,25,0.88,22,9,200,106.9,21.4,6,21,77,,9.7,7,0.456,26,0.26899999999999996,7,48.4,31,0.5589999999999999,13.9,11,31,0.5479999999999999,17,0.64,16,"February 8, 2020",34.8,8,0.0,0,106.9,78.6,22,0.46399999999999997,56,0.41100000000000003,23,0.46399999999999997,26,0.654,17,17,200,95.8,30.6,11,18,69,,6.9,5,0.304,17,0.353,6,51.6,33,0.505,16.2,13,39,0.436,17,0.261,6,"Fant-Ewing Coliseum, Monroe, Louisiana",LOUISIANA-MONROE,Louisiana-Monroe,72.1,Away,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,24,False,False,False,Away,True,7,17,57,31,64,6,17,56,1,0,209,467,1525,0.5118032786885246,825,1644,0.5018248175182481,152,407,1411,0.4500354358610914,0.625
25,2020-02-13-19-georgia-state,47.4,9,9.7,3,102.7,73.1,19,0.371,58,0.32799999999999996,19,0.483,28,0.7859999999999999,22,12,200,87.8,20.0,6,14,65,,16.2,12,0.36200000000000004,21,0.23800000000000002,5,44.6,25,0.456,12.5,10,37,0.37799999999999995,14,0.5379999999999999,14,"February 13, 2020",65.4,17,27.0,10,87.8,80.0,24,0.58,56,0.46399999999999997,26,0.28600000000000003,16,0.688,11,9,200,102.7,26.9,7,22,76,,6.8,5,0.446,25,0.52,13,55.4,31,0.597,20.2,16,31,0.419,13,0.654,17,"GSU Sports Arena, Atlanta, Georgia",APPALACHIAN-STATE,Appalachian State,74.0,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,25,True,False,True,Home,True,13,13,56,31,56,5,14,58,1,0,216,484,1582,0.5107458912768648,856,1708,0.5011709601873536,158,424,1467,0.4505794137695978,0.64
26,2020-02-15-14-georgia-state,52.0,13,14.8,4,117.9,69.0,20,0.483,58,0.431,25,0.5,29,0.828,24,14,200,102.6,39.3,11,28,80,,6.4,5,0.293,17,0.353,6,54.4,31,0.557,20.3,18,41,0.46299999999999997,19,0.48100000000000004,13,"February 15, 2020",48.0,12,7.3,3,102.6,60.7,17,0.535,57,0.439,25,0.596,34,0.912,31,9,200,117.9,31.0,9,23,92,,9.0,7,0.526,30,0.3670000000000001,11,45.6,26,0.629,16.3,14,27,0.519,14,0.667,18,"GSU Sports Arena, Atlanta, Georgia",COASTAL-CAROLINA,Coastal Carolina,78.5,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,26,True,False,True,Home,True,11,14,57,26,57,6,19,58,1,0,229,497,1638,0.5131257631257631,887,1764,0.5028344671201814,163,438,1525,0.44754098360655736,0.6538461538461539
27,2020-02-20-20-texas-arlington,50.0,12,14.3,6,89.7,82.1,32,0.397,68,0.353,24,0.25,17,0.47100000000000003,8,10,200,79.5,24.4,10,22,62,,5.1,4,0.368,25,0.24,6,52.5,42,0.40700000000000003,16.6,15,43,0.419,18,0.643,18,"February 20, 2020",44.0,11,9.3,4,79.5,75.6,31,0.435,62,0.40299999999999997,25,0.355,22,0.727,16,15,200,89.7,17.9,7,14,70,,11.5,9,0.32299999999999995,20,0.2,4,47.5,38,0.483,12.2,10,42,0.5,21,0.46399999999999997,13,"College Park Center, Arlington, Texas",GEORGIA-STATE,Georgia State,78.3,Home,TEXAS-ARLINGTON,Texas-Arlington,Georgia State,sun-belt,27,False,False,False,Away,False,6,18,68,42,80,4,21,62,0,1,240,511,1695,0.5138643067846608,913,1821,0.5013728720483251,169,457,1583,0.44883133291219207,0.6666666666666666
28,2020-02-22-17-texas-state,55.2,16,8.0,4,119.4,69.2,18,0.578,58,0.5,29,0.259,15,0.6,9,11,200,105.6,21.4,6,21,76,,5.6,4,0.44799999999999995,26,0.34600000000000003,9,44.4,24,0.583,15.7,12,32,0.625,20,0.621,18,"February 22, 2020",48.3,14,12.5,4,105.6,78.6,22,0.5,62,0.46799999999999997,29,0.484,30,0.8,24,10,200,119.4,30.8,8,15,86,,9.7,7,0.19399999999999998,12,0.33299999999999996,4,55.6,30,0.564,5.1,4,50,0.5,25,0.655,19,"Strahan Coliseum, San Marcos, Texas",GEORGIA-STATE,Georgia State,71.7,Home,TEXAS-STATE,Texas State,Georgia State,sun-belt,28,False,False,False,Away,False,9,20,58,24,54,4,25,62,0,1,246,529,1763,0.5093590470788428,955,1901,0.5023671751709626,173,478,1645,0.4483282674772037,0.6428571428571429
29,2020-02-28-19-georgia-state,60.0,15,5.9,2,83.3,81.6,31,0.51,52,0.48100000000000004,25,0.731,38,0.684,26,12,200,94.0,21.2,7,16,79,,11.9,10,0.26899999999999996,14,0.214,3,53.5,38,0.564,23.4,21,38,0.579,22,0.6,18,"February 28, 2020",52.2,12,7.9,3,94.0,78.8,26,0.424,66,0.348,23,0.242,16,0.875,14,12,200,83.3,18.4,7,28,70,,11.9,10,0.485,32,0.313,10,46.5,33,0.47600000000000003,19.8,18,34,0.382,13,0.6,18,"GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,84.3,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia State,sun-belt,29,False,True,True,Home,False,10,13,66,33,71,3,22,52,0,1,255,549,1821,0.5115321252059308,979,1955,0.50076726342711,177,503,1707,0.4502050380785003,0.6206896551724138
30,2020-03-03-19-georgia-state,63.2,12,10.8,4,121.9,75.0,18,0.457,46,0.413,19,1.0,46,0.609,28,10,200,95.9,32.3,10,22,70,,4.1,3,0.28300000000000003,13,0.308,4,50.9,28,0.516,19.5,16,33,0.455,15,0.677,21,"March 3, 2020",71.4,20,12.1,4,95.9,67.7,21,0.591,55,0.509,28,0.527,29,0.828,24,12,200,121.9,25.0,6,30,89,,8.2,6,0.327,18,0.5,9,49.1,27,0.647,12.9,10,37,0.514,19,0.613,19,"GSU Sports Arena, Atlanta, Georgia",ARKANSAS-LITTLE-ROCK,Little Rock,73.3,Home,GEORGIA-STATE,Georgia State,Georgia State,sun-belt,30,True,False,True,Home,True,9,19,55,27,55,4,15,46,1,0,265,562,1887,0.5084790673025967,1012,2026,0.4995064165844028,180,525,1759,0.4519613416714042,0.6
31,2020-03-11-19-georgia-state,23.3,7,8.3,3,86.1,76.9,30,0.5,64,0.469,30,0.391,25,0.68,17,13,200,112.5,41.7,15,18,81,,5.6,4,0.297,19,0.21100000000000002,4,60.0,45,0.534,11.8,10,45,0.578,26,0.606,20,"March 11, 2020",45.8,11,2.2,1,112.5,58.3,21,0.413,63,0.381,24,0.23800000000000002,15,0.667,10,13,200,86.1,23.1,9,22,62,,6.9,5,0.429,27,0.14800000000000002,4,40.0,30,0.442,14.7,12,36,0.556,20,0.594,19,"GSU Sports Arena, Atlanta, Georgia",GEORGIA-STATE,Georgia State,72.0,Away,GEORGIA-SOUTHERN,Georgia Southern,Georgia State,sun-belt,31,False,True,True,Home,False,4,20,63,30,75,4,26,64,0,1,274,581,1942,0.5108135942327497,1039,2081,0.4992791926958193,184,540,1805,0.4520775623268698,0.6129032258064516
