,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,OAKLAND_homegame,OAKLAND_homegame2,OAKLAND_home,OAKLAND_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-oakland,70.8,17,6.7,3,122.1,50.0,16,0.5,62,0.387,24,0.09699999999999999,6,0.667,4,0,200,85.7,26.5,9,23,66,,9.1,7,0.6609999999999999,41,0.341,14,37.9,25,0.509,23.6,20,21,0.47600000000000003,10,0.0,0,"November 5, 2019",60.6,20,9.5,2,85.7,73.5,25,0.57,64,0.516,33,0.5,32,0.6559999999999999,21,0,200,122.1,50.0,16,10,94,,11.7,9,0.297,19,0.368,7,62.1,41,0.593,16.1,15,45,0.578,26,1.0,1,"Athletics Center O'rena, Rochester, Michigan","Goshen
			","Goshen
			",77.0,Home,OAKLAND,Oakland,Oakland,horizon,0,True,False,True,Home,True,7,26,64,41,66,14,10,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-17-delaware,57.9,11,16.7,5,82.4,76.3,29,0.402,51,0.373,19,0.431,22,0.545,12,1,200,77.9,20.0,7,14,53,,14.7,10,0.235,12,0.25,3,49.3,36,0.431,17.6,13,39,0.41,16,0.5,1,"November 8, 2019",85.0,17,10.3,4,77.9,80.0,28,0.439,57,0.35100000000000003,20,0.228,13,0.462,6,0,200,82.4,23.7,9,20,56,,7.4,5,0.474,27,0.37,10,50.7,37,0.44299999999999995,19.3,15,30,0.33299999999999996,10,1.0,2,"Silver Spurs Arena, Kissimmee, Florida",OAKLAND,Oakland,68.3,Home,DELAWARE,Delaware,Oakland,horizon,1,False,False,False,Away,False,3,16,51,36,73,10,10,57,0,1,7,26,64,0.5703125,41,66,0.6212121212121212,14,10,62,0.5,1.0
2,2019-11-09-17-oakland,47.6,10,3.4,1,107.1,74.1,20,0.40299999999999997,62,0.33899999999999997,21,0.242,15,0.8,12,3,200,88.6,21.2,7,26,62,,5.7,4,0.484,30,0.267,8,45.0,27,0.44799999999999995,13.8,11,32,0.406,13,0.0,0,"November 9, 2019",61.9,13,3.1,1,88.6,78.8,26,0.521,48,0.43799999999999994,21,0.6459999999999999,31,0.8059999999999999,25,1,200,107.1,25.9,7,20,75,,4.3,3,0.396,19,0.42100000000000004,8,55.0,33,0.598,16.3,12,29,0.44799999999999995,13,0.667,2,"Silver Spurs Arena, Kissimmee, Florida",TEXAS-SAN-ANTONIO,UTSA,70.4,Home,OAKLAND,Oakland,Oakland,horizon,2,True,False,True,Home,True,8,13,48,33,60,8,13,62,1,0,10,42,115,0.4956521739130435,77,139,0.5539568345323741,24,20,119,0.4705882352941176,0.5
3,2019-11-10-13-oakland,47.6,10,2.6,1,96.8,61.5,16,0.462,53,0.396,21,0.113,6,0.5,3,2,200,82.5,3.4,1,13,52,,15.9,10,0.5660000000000001,30,0.233,7,30.9,17,0.466,12.6,8,23,0.609,14,0.5,2,"November 10, 2019",45.8,11,13.0,3,82.5,96.6,28,0.49,52,0.462,24,0.25,13,0.769,10,1,200,96.8,38.5,10,9,61,,6.3,4,0.25,13,0.231,3,69.1,38,0.524,19.5,14,39,0.5379999999999999,21,0.75,3,"Silver Spurs Arena, Kissimmee, Florida",SOUTHERN-ILLINOIS,Southern Illinois,62.5,Home,OAKLAND,Oakland,Oakland,horizon,3,True,False,True,Home,True,3,21,52,38,55,7,14,53,1,0,18,55,163,0.5030674846625767,110,199,0.5527638190954773,32,33,181,0.44751381215469616,0.6666666666666666
4,2019-11-16-12-maryland,57.9,11,6.5,2,112.7,72.4,21,0.423,52,0.365,19,0.28800000000000003,15,0.4,6,2,200,70.4,16.2,6,15,50,,11.3,8,0.40399999999999997,21,0.28600000000000003,6,40.9,27,0.423,23.5,18,31,0.419,13,0.6,3,"November 16, 2019",63.3,19,19.4,6,70.4,83.8,31,0.596,57,0.526,30,0.298,17,0.706,12,0,200,112.7,27.6,8,17,80,7.0,14.1,10,0.456,26,0.308,8,59.1,39,0.615,16.8,13,31,0.71,22,1.0,3,"Xfinity Center, College Park, Maryland",OAKLAND,Oakland,70.6,Home,MARYLAND,Maryland,Oakland,horizon,4,False,False,False,Away,False,6,13,52,27,66,8,22,57,0,1,21,76,215,0.5,148,254,0.5826771653543307,39,47,234,0.4508547008547009,0.75
5,2019-11-18-19-oakland,68.4,13,3.1,1,88.2,65.5,19,0.397,58,0.32799999999999996,19,0.138,8,0.5,4,2,200,73.5,10.8,4,25,50,,17.6,12,0.414,24,0.33299999999999996,8,34.8,23,0.405,17.4,13,34,0.324,11,0.6,3,"November 18, 2019",50.0,10,5.9,2,73.5,89.2,33,0.44799999999999995,48,0.41700000000000004,20,0.563,27,0.63,17,2,200,88.2,34.5,10,13,60,,13.2,9,0.33299999999999996,16,0.188,3,65.2,43,0.493,20.0,15,32,0.531,17,0.667,4,"Athletics Center O'rena, Rochester, Michigan",HARTFORD,Hartford,68.3,Home,OAKLAND,Oakland,Oakland,horizon,5,True,False,True,Home,True,3,17,48,43,66,8,11,58,1,0,27,89,267,0.4850187265917603,175,320,0.546875,47,69,291,0.4793814432989691,0.6
6,2019-11-25-20-northern-illinois,40.0,6,5.6,2,113.8,83.9,26,0.33,50,0.3,15,0.4,20,0.85,17,3,200,76.9,21.6,8,10,50,,7.7,5,0.42,21,0.14300000000000002,3,50.0,34,0.42,16.9,12,29,0.414,12,0.5710000000000001,4,"November 25, 2019",50.0,15,0.0,0,76.9,78.4,29,0.608,60,0.5,30,0.11699999999999999,7,0.14300000000000002,1,2,200,113.8,16.1,5,19,74,,9.2,6,0.4,24,0.542,13,50.0,34,0.584,12.5,9,36,0.47200000000000003,17,0.75,6,"Convocation Center, DeKalb, Illinois",OAKLAND,Oakland,65.4,Home,NORTHERN-ILLINOIS,Northern Illinois,Oakland,horizon,6,False,False,False,Away,False,3,12,50,34,68,13,17,60,0,1,30,106,315,0.4793650793650794,218,386,0.5647668393782384,55,80,349,0.4656160458452722,0.6666666666666666
7,2019-11-30-19-toledo,64.0,16,9.5,2,101.6,63.0,17,0.509,56,0.446,25,0.25,14,0.429,6,4,200,98.4,32.4,11,18,63,,7.8,5,0.41100000000000003,23,0.304,7,45.9,28,0.503,18.4,14,33,0.545,18,0.5,4,"November 30, 2019",68.2,15,9.1,3,98.4,67.6,23,0.519,53,0.415,22,0.28300000000000003,15,0.667,10,2,200,101.6,37.0,10,16,65,,10.9,7,0.604,32,0.344,11,54.1,33,0.541,16.8,12,21,0.524,11,0.7140000000000001,5,"John F. Savage Hall, Toledo, Ohio",OAKLAND,Oakland,63.9,Home,TOLEDO,Toledo,Oakland,horizon,7,False,False,False,Away,False,7,18,56,28,61,11,11,53,0,1,33,118,365,0.4589041095890411,252,454,0.5550660792951542,68,97,409,0.4865525672371638,0.5714285714285714
8,2019-12-03-19-western-michigan,36.0,9,7.7,2,98.4,69.0,29,0.5870000000000001,46,0.5429999999999999,25,0.522,24,0.75,18,4,200,114.3,20.8,5,17,72,,4.8,3,0.28300000000000003,13,0.308,4,51.5,34,0.627,15.0,10,33,0.636,21,0.556,5,"December 3, 2019",55.0,11,3.0,1,114.3,79.2,19,0.39299999999999996,61,0.32799999999999996,20,0.344,21,0.667,14,5,200,98.4,31.0,13,21,62,,12.7,8,0.574,35,0.22899999999999998,8,48.5,32,0.4370000000000001,6.6,5,26,0.462,12,0.444,4,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,62.7,Away,OAKLAND,Oakland,Oakland,horizon,8,False,False,False,Away,True,4,21,46,34,66,8,12,61,1,0,40,136,421,0.4655581947743468,280,515,0.5436893203883495,79,108,462,0.4902597402597403,0.5
9,2019-12-07-16-bowling-green-state,56.5,13,6.1,2,104.6,82.9,29,0.52,50,0.46,23,0.38,19,0.684,13,5,200,100.0,22.6,7,17,65,,4.6,3,0.4,20,0.3,6,54.5,36,0.551,20.4,15,30,0.5670000000000001,17,0.5,5,"December 7, 2019",50.0,12,6.7,2,100.0,77.4,24,0.491,57,0.42100000000000004,24,0.281,16,0.75,12,2,200,104.6,17.1,6,17,68,,13.8,9,0.42100000000000004,24,0.33299999999999996,8,45.5,30,0.526,7.2,5,33,0.485,16,0.778,7,"Stroh Center, Bowling Green, Ohio",OAKLAND,Oakland,65.3,Home,BOWLING-GREEN-STATE,Bowling Green State,Oakland,horizon,9,False,False,False,Away,False,6,17,50,36,66,8,16,57,0,1,44,157,467,0.4775160599571734,314,581,0.540447504302926,87,120,523,0.4789674952198853,0.5555555555555556
