,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WRIGHT-STATE_homegame,WRIGHT-STATE_homegame2,WRIGHT-STATE_home,WRIGHT-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-wright-state,13.8,4,0.0,0,121.5,61.3,19,0.493,69,0.42,29,0.145,10,0.9,9,0,200,97.5,30.6,11,16,77,,7.6,6,0.42,29,0.345,10,44.8,30,0.522,17.9,16,40,0.475,19,0.0,0,"November 5, 2019",51.4,19,7.5,3,97.5,69.4,25,0.614,70,0.529,37,0.171,12,0.833,10,0,200,121.5,38.7,12,14,96,,16.5,13,0.429,30,0.4,12,55.2,37,0.634,17.5,16,40,0.625,25,1.0,1,"Ervin J. Nutter Center, Dayton, Ohio","Central State (OH)
			","Central State (OH)
			",79.2,Home,WRIGHT-STATE,Wright State,Wright State,horizon,0,True,False,True,Home,True,12,25,70,37,67,10,19,69,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-14-miami-oh,22.9,8,9.8,4,101.3,81.1,30,0.507,75,0.467,35,0.267,20,0.6,12,0,200,110.0,40.5,17,18,88,,10.0,8,0.24,18,0.33299999999999996,6,59.5,47,0.521,13.4,13,57,0.509,29,1.0,2,"November 9, 2019",40.0,12,14.0,8,110.0,59.5,25,0.5379999999999999,65,0.462,30,0.231,15,0.733,11,1,200,101.3,18.9,7,23,81,,7.5,6,0.369,24,0.41700000000000004,10,40.5,32,0.562,16.4,14,41,0.488,20,0.0,0,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),79.8,Away,WRIGHT-STATE,Wright State,Wright State,horizon,1,False,False,False,Away,True,6,29,75,47,79,10,20,65,1,0,12,25,70,0.6142857142857143,37,67,0.5522388059701493,10,19,69,0.4927536231884058,1.0
2,2019-11-12-20-tennessee-tech,54.8,17,4.3,2,102.6,80.6,29,0.48,74,0.419,31,0.23,17,0.8240000000000001,14,0,225,109.0,46.5,20,13,85,,6.4,5,0.392,29,0.31,9,62.0,49,0.518,15.5,15,45,0.489,22,1.0,3,"November 12, 2019",48.4,15,6.7,3,109.0,53.5,23,0.531,65,0.47700000000000004,31,0.24600000000000002,16,0.688,11,2,225,102.6,19.4,7,17,80,,3.8,3,0.292,19,0.368,7,38.0,30,0.551,15.3,13,46,0.522,24,0.33299999999999996,1,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,69.2,Away,WRIGHT-STATE,Wright State,Wright State,horizon,2,False,False,False,Away,True,9,22,74,49,79,7,24,65,1,0,18,54,145,0.5586206896551724,84,146,0.5753424657534246,20,39,134,0.5149253731343284,1.0
3,2019-11-16-19-wright-state,48.0,12,7.7,3,95.9,75.0,27,0.527,55,0.455,25,0.364,20,0.7,14,0,200,97.3,27.6,8,19,72,,9.5,7,0.4,22,0.364,8,53.8,35,0.5579999999999999,21.0,17,33,0.515,17,1.0,3,"November 16, 2019",42.3,11,6.1,2,97.3,72.4,21,0.484,62,0.419,26,0.27399999999999997,17,0.647,11,1,200,95.9,25.0,9,18,71,,6.8,5,0.371,23,0.348,8,46.2,30,0.507,15.8,13,39,0.462,18,0.75,3,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,73.8,Away,KENT-STATE,Kent State,Wright State,horizon,3,False,True,True,Home,False,8,18,62,30,65,8,17,55,0,1,27,76,219,0.5319634703196348,133,225,0.5911111111111111,27,63,199,0.5201005025125628,1.0
4,2019-11-20-19-wright-state,25.0,5,2.6,1,125.7,60.0,15,0.42,56,0.35700000000000004,20,0.14300000000000002,8,0.5,4,0,200,72.9,24.3,9,14,51,,11.4,8,0.446,25,0.28,7,38.7,24,0.426,24.2,19,31,0.419,13,0.0,0,"November 20, 2019",63.6,21,12.9,4,72.9,75.7,28,0.644,59,0.5589999999999999,33,0.305,18,0.667,12,1,200,125.7,40.0,10,10,88,,15.7,11,0.33899999999999997,20,0.5,10,61.3,38,0.6509999999999999,15.2,12,39,0.59,23,0.8,4,"Ervin J. Nutter Center, Dayton, Ohio","Urbana
			","Urbana
			",69.7,Home,WRIGHT-STATE,Wright State,Wright State,horizon,4,True,False,True,Home,True,10,23,59,38,62,7,13,56,1,0,35,94,281,0.5213523131672598,163,290,0.5620689655172414,35,80,254,0.5216535433070866,0.75
5,2019-11-25-17-wright-state,36.4,8,7.3,3,109.1,77.8,21,0.408,60,0.3670000000000001,22,0.15,9,0.889,8,3,200,86.4,27.0,10,9,57,,6.1,4,0.35,21,0.23800000000000002,5,48.4,31,0.44299999999999995,16.9,13,39,0.436,17,0.25,1,"November 25, 2019",32.1,9,5.1,2,86.4,73.0,27,0.526,58,0.483,28,0.24100000000000002,14,0.7859999999999999,11,1,200,109.1,22.2,6,9,72,,10.6,7,0.293,17,0.294,5,51.6,33,0.557,9.8,7,41,0.561,23,0.833,5,"Germain Arena, Estero, Florida",WEBER-STATE,Weber State,66.5,Home,WRIGHT-STATE,Wright State,Wright State,horizon,5,True,False,True,Home,True,5,23,58,33,64,5,17,60,1,0,45,117,340,0.5426470588235294,201,352,0.5710227272727273,42,93,310,0.5032258064516129,0.8
6,2019-11-26-19-wright-state,44.4,12,0.0,0,93.3,78.1,25,0.525,60,0.45,27,0.233,14,0.643,9,2,200,96.0,19.4,6,27,72,,4.0,3,0.35,21,0.429,9,49.2,31,0.54,19.5,16,39,0.462,18,0.6,3,"November 26, 2019",50.0,11,7.7,3,96.0,80.6,25,0.48200000000000004,55,0.4,22,0.527,29,0.586,17,2,200,93.3,21.9,7,18,70,,12.0,9,0.491,27,0.33299999999999996,9,50.8,32,0.509,15.0,12,28,0.46399999999999997,13,0.7140000000000001,5,"Germain Arena, Estero, Florida",WRIGHT-STATE,Wright State,75.2,Away,LA-SALLE,La Salle,Wright State,horizon,6,False,True,True,Home,False,9,13,55,32,63,9,18,60,0,1,50,140,398,0.5402010050251256,234,416,0.5625,47,110,370,0.4878378378378378,0.8333333333333334
7,2019-11-27-17-wright-state,20.8,5,5.3,2,98.6,76.3,29,0.41,67,0.358,24,0.299,20,0.55,11,3,200,91.7,31.8,14,21,66,,2.8,2,0.38799999999999996,26,0.26899999999999996,7,52.4,43,0.431,12.7,11,41,0.415,17,0.5710000000000001,4,"November 27, 2019",37.5,9,4.9,2,91.7,68.2,30,0.465,57,0.42100000000000004,24,0.526,30,0.6,18,2,200,98.6,23.7,9,16,71,,6.9,5,0.33299999999999996,19,0.263,5,47.6,39,0.498,10.2,8,38,0.5,19,0.75,6,"Germain Arena, Estero, Florida",MIAMI-OH,Miami (OH),71.9,Home,WRIGHT-STATE,Wright State,Wright State,horizon,7,True,False,True,Home,True,5,19,57,39,82,7,17,67,1,0,59,153,453,0.5331125827814569,266,479,0.5553235908141962,56,128,430,0.4930232558139535,0.7142857142857143
8,2019-12-03-19-wright-state,25.0,8,14.6,6,98.7,73.7,28,0.53,66,0.485,32,0.106,7,0.5710000000000001,4,3,200,96.1,15.2,5,18,74,,5.2,4,0.22699999999999998,15,0.4,6,46.5,33,0.534,16.9,14,51,0.51,26,0.667,6,"December 3, 2019",39.3,11,7.8,4,96.1,84.8,28,0.47,66,0.424,28,0.303,20,0.7,14,2,200,98.7,26.3,10,11,76,,7.8,6,0.379,25,0.24,6,53.5,38,0.503,12.8,11,41,0.537,22,0.778,7,"Ervin J. Nutter Center, Dayton, Ohio",WESTERN-KENTUCKY,Western Kentucky,77.4,Home,WRIGHT-STATE,Wright State,Wright State,horizon,8,True,False,True,Home,True,6,22,66,38,71,6,26,66,1,0,64,172,510,0.5254901960784314,305,561,0.5436720142602496,63,145,497,0.4818913480885312,0.75
9,2019-12-07-14-wright-state,35.3,12,14.0,6,95.1,78.0,32,0.55,70,0.486,34,0.114,8,0.875,7,4,225,103.7,35.3,12,16,84,,6.2,5,0.314,22,0.409,9,58.7,44,0.569,21.4,20,48,0.521,25,0.556,5,"December 7, 2019",55.2,16,4.2,2,103.7,64.7,22,0.479,71,0.408,29,0.183,13,0.6920000000000001,9,3,225,95.1,22.0,9,14,77,,7.4,6,0.39399999999999996,28,0.35700000000000004,10,41.3,31,0.499,13.5,12,43,0.442,19,0.7,7,"Ervin J. Nutter Center, Dayton, Ohio",WRIGHT-STATE,Wright State,72.0,Away,INDIANA-STATE,Indiana State,Wright State,horizon,9,False,True,True,Home,False,10,19,71,31,75,9,25,70,0,1,70,194,576,0.5190972222222222,343,632,0.5427215189873418,69,171,563,0.4875666074600356,0.7777777777777778
