,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-MICHIGAN_homegame,WESTERN-MICHIGAN_homegame2,WESTERN-MICHIGAN_home,WESTERN-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-14-19-manhattan,57.9,11,0.0,0,84.1,70.6,24,0.42200000000000004,51,0.373,19,0.608,31,0.516,16,5,200,85.5,17.6,6,20,59,,14.5,10,0.294,15,0.33299999999999996,5,44.1,30,0.449,14.5,11,36,0.389,14,0.545,6,"December 14, 2019",36.8,7,11.1,4,85.5,82.4,28,0.45899999999999996,49,0.38799999999999996,19,0.429,21,0.619,13,4,200,84.1,29.4,10,23,58,,11.6,8,0.408,20,0.35,7,55.9,38,0.4920000000000001,24.6,19,29,0.414,12,0.5,4,"Draddy Gymnasium, Riverdale, New York",MANHATTAN,Manhattan,69.4,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,10,False,False,False,Away,True,5,14,51,30,68,7,12,49,1,0,77,160,588,0.4685374149659864,341,702,0.4857549857549858,73,187,604,0.4908940397350993,0.5
11,2019-12-18-19-western-michigan,40.0,10,2.8,1,115.1,68.0,17,0.44299999999999995,61,0.41,25,0.18,11,0.636,7,0,200,83.6,18.8,6,21,61,,11.0,8,0.311,19,0.21100000000000002,4,40.4,23,0.461,18.6,15,42,0.5,21,0.0,0,"December 18, 2019",46.9,15,7.1,3,83.6,81.3,26,0.657,54,0.593,32,0.37,20,0.65,13,5,200,115.1,32.0,8,15,84,,9.6,7,0.33299999999999996,18,0.389,7,59.6,34,0.6609999999999999,19.3,15,36,0.6940000000000001,25,0.583,7,"University Arena, Kalamazoo, Michigan","Aquinas
			","Aquinas
			",72.9,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,11,True,False,True,Home,True,7,25,54,34,57,4,21,61,1,0,82,174,639,0.4647887323943662,371,770,0.4818181818181818,80,199,653,0.4885145482388974,0.5454545454545454
12,2019-12-29-20-michigan-state,73.1,19,0.0,0,137.7,50.0,16,0.47600000000000003,62,0.419,26,0.09699999999999999,6,0.5,3,6,200,89.9,19.4,7,19,62,,5.8,4,0.419,26,0.26899999999999996,7,33.8,23,0.478,14.5,11,36,0.528,19,0.5379999999999999,7,"December 29, 2019",87.5,28,8.3,3,89.9,80.6,29,0.569,65,0.4920000000000001,32,0.4,26,0.8079999999999999,21,3,200,137.7,50.0,16,12,95,14.0,4.3,3,0.415,27,0.37,10,66.2,45,0.614,9.5,8,38,0.579,22,0.769,10,"Breslin Events Center, East Lansing, Michigan",WESTERN-MICHIGAN,Western Michigan,69.1,Home,MICHIGAN-STATE,Michigan State,Western Michigan,mac,12,False,False,False,Away,False,7,19,62,23,68,10,22,65,0,1,89,199,693,0.4797979797979798,405,827,0.4897218863361548,84,220,714,0.484593837535014,0.5833333333333334
13,2020-01-04-16-western-michigan,41.7,10,2.9,1,106.9,82.4,28,0.39399999999999996,71,0.33799999999999997,24,0.155,11,0.818,9,6,200,90.3,28.6,12,23,65,,8.3,6,0.465,33,0.242,8,52.6,40,0.426,10.6,9,38,0.42100000000000004,16,0.5710000000000001,8,"January 4, 2020",43.5,10,5.3,2,90.3,71.4,30,0.491,54,0.426,23,0.519,28,0.857,24,6,200,106.9,17.6,6,20,77,,2.8,2,0.37,20,0.35,7,47.4,36,0.5720000000000001,13.1,10,34,0.47100000000000003,16,0.5710000000000001,8,"University Arena, Kalamazoo, Michigan",OHIO,Ohio,72.3,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,13,True,False,True,Home,True,7,16,54,36,76,8,16,71,1,0,96,218,755,0.4794701986754967,428,895,0.4782122905027933,94,242,779,0.4916559691912709,0.5384615384615384
14,2020-01-07-19-akron,37.5,9,9.4,3,116.7,72.4,21,0.598,46,0.522,24,0.413,19,0.737,14,7,200,95.8,11.5,3,21,69,,5.6,4,0.326,15,0.467,7,43.6,24,0.627,26.9,20,31,0.5479999999999999,17,0.5329999999999999,8,"January 7, 2020",46.4,13,6.5,2,95.8,88.5,23,0.5489999999999999,61,0.45899999999999996,28,0.32799999999999996,20,0.85,17,3,200,116.7,27.6,8,21,84,,9.7,7,0.475,29,0.379,11,56.4,31,0.596,12.5,10,32,0.531,17,0.8,12,"James A. Rhodes Arena, Akron, Ohio",WESTERN-MICHIGAN,Western Michigan,72.3,Home,AKRON,Akron,Western Michigan,mac,14,False,False,False,Away,False,7,17,46,24,55,11,17,61,0,1,103,234,809,0.4802224969097652,464,971,0.4778578784757981,102,258,850,0.4835294117647059,0.5714285714285714
15,2020-01-11-19-toledo,52.2,12,7.9,3,98.5,65.5,19,0.397,63,0.365,23,0.175,11,0.818,9,8,200,86.8,20.5,8,18,59,,11.8,8,0.349,22,0.182,4,39.7,27,0.4320000000000001,9.4,7,41,0.46299999999999997,19,0.5,8,"January 11, 2020",66.7,18,9.8,4,86.8,79.5,31,0.527,56,0.48200000000000004,27,0.268,15,0.5329999999999999,8,7,200,98.5,34.5,10,17,67,,2.9,2,0.321,18,0.278,5,60.3,41,0.531,19.3,15,38,0.579,22,0.562,9,"John F. Savage Hall, Toledo, Ohio",WESTERN-MICHIGAN,Western Michigan,67.7,Home,TOLEDO,Toledo,Western Michigan,mac,15,False,False,False,Away,False,4,19,63,27,68,5,22,56,0,1,110,251,855,0.4865497076023392,488,1026,0.4756335282651072,113,275,911,0.4879253567508233,0.5333333333333333
16,2020-01-14-19-western-michigan,41.2,14,2.3,1,110.8,80.6,25,0.597,67,0.507,34,0.10400000000000001,7,0.7140000000000001,5,5,200,114.9,26.5,9,17,85,,8.1,6,0.418,28,0.429,12,52.3,34,0.604,12.5,10,39,0.564,22,0.706,12,"January 14, 2020",38.7,12,5.1,2,114.9,73.5,25,0.54,63,0.4920000000000001,31,0.302,19,0.737,14,9,200,110.8,19.4,6,14,82,,6.8,5,0.302,19,0.316,6,47.7,31,0.569,13.4,11,44,0.568,25,0.47100000000000003,8,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,74.2,Away,BOWLING-GREEN-STATE,Bowling Green State,Western Michigan,mac,16,False,True,True,Home,False,6,25,63,31,65,12,22,67,0,1,114,270,918,0.4803921568627451,515,1094,0.4707495429616088,118,297,967,0.4901758014477766,0.5
17,2020-01-18-16-western-michigan,52.0,13,9.1,4,103.1,63.0,17,0.509,55,0.455,25,0.145,8,0.875,7,5,200,96.9,32.1,9,16,63,,9.2,6,0.345,19,0.316,6,47.3,26,0.536,18.2,13,36,0.528,19,0.722,13,"January 18, 2020",64.0,16,2.8,1,96.9,67.9,19,0.467,61,0.41,25,0.23,14,0.7140000000000001,10,9,200,103.1,37.0,10,15,67,,10.8,7,0.27899999999999997,17,0.41200000000000003,7,52.7,29,0.495,13.0,10,44,0.409,18,0.5,9,"University Arena, Kalamazoo, Michigan",KENT-STATE,Kent State,65.2,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,17,True,False,True,Home,True,7,18,61,29,55,6,19,55,1,0,120,295,981,0.4841997961264016,546,1159,0.4710957722174288,130,319,1034,0.4970986460348162,0.4705882352941176
18,2020-01-21-19-buffalo,53.8,14,4.0,2,123.3,64.9,24,0.5770000000000001,52,0.5,26,0.5,26,0.731,19,10,200,108.2,25.0,7,19,79,,5.5,4,0.327,17,0.47100000000000003,8,47.7,31,0.614,18.1,14,35,0.514,18,0.474,9,"January 21, 2020",54.3,19,5.7,2,108.2,75.0,21,0.521,72,0.486,35,0.278,20,0.75,15,6,200,123.3,35.1,13,24,90,,9.6,7,0.306,22,0.22699999999999998,5,52.3,34,0.552,6.9,6,50,0.6,30,0.684,13,"Alumni Arena, Buffalo, New York",WESTERN-MICHIGAN,Western Michigan,72.9,Home,BUFFALO,Buffalo,Western Michigan,mac,18,False,False,False,Away,False,8,18,52,31,65,5,30,72,0,1,127,313,1042,0.4832053742802303,575,1214,0.4736408566721582,136,338,1089,0.4977043158861341,0.5
19,2020-01-25-16-northern-illinois,50.0,9,14.6,6,92.1,60.5,23,0.40700000000000003,54,0.33299999999999996,18,0.29600000000000004,16,0.5,8,11,200,82.5,20.6,7,12,52,,7.9,5,0.46299999999999997,25,0.32,8,41.7,30,0.42200000000000004,14.1,10,29,0.345,10,0.45,9,"January 25, 2020",52.2,12,10.3,3,82.5,79.4,27,0.413,63,0.365,23,0.175,11,0.545,6,9,200,92.1,39.5,15,15,58,,9.5,6,0.349,22,0.273,6,58.3,42,0.425,11.7,9,41,0.415,17,0.55,11,"Convocation Center, DeKalb, Illinois",WESTERN-MICHIGAN,Western Michigan,63.4,Home,NORTHERN-ILLINOIS,Northern Illinois,Western Michigan,mac,19,False,False,False,Away,False,8,10,54,30,72,6,17,63,0,1,135,331,1094,0.4876599634369287,606,1279,0.47380766223612203,141,368,1161,0.4991386735572782,0.4736842105263158
20,2020-02-01-14-western-michigan,40.0,12,15.2,5,106.8,82.4,28,0.551,59,0.508,30,0.39,23,0.87,20,8,200,116.4,21.9,7,19,85,,6.8,5,0.22,13,0.385,5,53.0,35,0.608,9.2,7,46,0.5429999999999999,25,0.6,12,"February 1, 2020",46.2,12,2.2,1,116.4,78.1,25,0.534,59,0.441,26,0.39,23,0.652,15,12,200,106.8,17.6,6,23,78,,4.1,3,0.441,26,0.423,11,47.0,31,0.5579999999999999,14.8,12,33,0.455,15,0.429,9,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,72.9,Away,CENTRAL-MICHIGAN,Central Michigan,Western Michigan,mac,20,False,True,True,Home,False,11,15,59,31,66,5,25,59,0,1,143,341,1148,0.4838850174216028,636,1351,0.4707623982235381,147,385,1224,0.4946895424836602,0.45
