,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-MICHIGAN_homegame,WESTERN-MICHIGAN_homegame2,WESTERN-MICHIGAN_home,WESTERN-MICHIGAN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
21,2020-02-04-19-miami-oh,31.6,6,5.4,2,89.6,75.0,30,0.512,41,0.46299999999999997,19,0.732,30,0.733,22,12,200,95.5,16.0,4,22,64,,3.0,2,0.293,12,0.33299999999999996,4,52.3,34,0.579,22.8,16,29,0.517,15,0.455,10,"February 4, 2020",50.0,11,10.3,3,95.5,84.0,21,0.426,61,0.361,22,0.311,19,0.42100000000000004,8,13,200,89.6,25.0,10,21,60,,9.0,6,0.39299999999999996,24,0.33299999999999996,8,47.7,31,0.428,9.2,7,37,0.37799999999999995,14,0.409,9,"Millett Hall, Oxford, Ohio",MIAMI-OH,Miami (OH),67.1,Away,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,21,False,False,False,Away,True,4,15,41,34,65,8,14,61,1,0,154,356,1207,0.4863297431648716,667,1417,0.4707127734650671,152,410,1283,0.4972720187061575,0.42857142857142855
22,2020-02-08-16-western-michigan,66.7,16,6.1,2,109.7,85.0,17,0.517,58,0.414,24,0.086,5,0.8,4,10,200,103.2,15.2,5,21,64,,8.1,5,0.466,27,0.444,12,41.5,22,0.53,10.4,7,31,0.387,12,0.565,13,"February 8, 2020",23.1,6,3.2,1,103.2,84.8,28,0.655,42,0.619,26,0.47600000000000003,20,0.65,13,12,200,109.7,15.0,3,12,68,,3.2,2,0.214,9,0.33299999999999996,3,58.5,31,0.66,20.4,13,33,0.6970000000000001,23,0.478,11,"University Arena, Kalamazoo, Michigan",BALL-STATE,Ball State,61.9,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,22,True,False,True,Home,True,3,23,42,31,53,12,12,58,1,0,158,371,1248,0.4871794871794872,701,1482,0.4730094466936573,160,424,1344,0.4940476190476191,0.4545454545454545
23,2020-02-11-19-ohio,31.8,7,7.9,3,102.8,79.4,27,0.48100000000000004,54,0.40700000000000003,22,0.204,11,0.818,9,13,200,85.9,20.6,7,23,61,,5.6,4,0.33299999999999996,18,0.444,8,50.0,34,0.515,22.4,17,36,0.389,14,0.45799999999999996,11,"February 11, 2020",48.0,12,5.6,2,85.9,79.4,27,0.466,59,0.424,25,0.40700000000000003,24,0.75,18,12,200,102.8,20.6,7,15,73,,14.1,10,0.35600000000000004,21,0.23800000000000002,5,50.0,34,0.518,11.5,9,38,0.526,20,0.5,12,"Convocation Center, Athens, Ohio",WESTERN-MICHIGAN,Western Michigan,70.8,Home,OHIO,Ohio,Western Michigan,mac,23,False,False,False,Away,False,8,14,54,34,68,5,20,59,0,1,161,394,1290,0.4926356589147287,732,1535,0.4768729641693811,172,436,1402,0.4950071326676177,0.4782608695652174
24,2020-02-15-14-eastern-michigan,61.1,11,9.7,3,113.1,76.2,16,0.466,44,0.409,18,0.318,14,0.7140000000000001,10,14,200,83.6,32.0,8,14,51,,6.6,4,0.4320000000000001,19,0.263,5,52.2,24,0.503,26.4,18,25,0.52,13,0.44,11,"February 15, 2020",48.1,13,8.0,2,83.6,68.0,17,0.598,51,0.529,27,0.255,13,0.615,8,11,200,113.1,23.8,5,17,69,,18.0,11,0.392,20,0.35,7,47.8,22,0.603,15.0,10,31,0.645,20,0.56,14,"Convocation Center, Ypsilanti, Michigan",WESTERN-MICHIGAN,Western Michigan,61.4,Home,EASTERN-MICHIGAN,Eastern Michigan,Western Michigan,mac,24,False,False,False,Away,False,5,13,44,24,46,7,20,51,0,1,169,408,1344,0.4921875,766,1603,0.4778540237055521,177,456,1461,0.4938398357289528,0.4583333333333333
25,2020-02-18-19-western-michigan,36.4,8,7.0,3,93.1,75.8,25,0.44799999999999995,58,0.379,22,0.466,27,0.7040000000000001,19,6,200,98.6,32.5,13,14,71,,9.7,7,0.414,24,0.33299999999999996,8,52.1,38,0.501,15.7,13,34,0.41200000000000003,14,0.769,20,"February 18, 2020",33.3,10,2.9,1,98.6,67.5,27,0.5,65,0.462,30,0.062,4,0.5,2,15,200,93.1,24.2,8,21,67,,6.9,5,0.33799999999999997,22,0.22699999999999998,5,47.9,35,0.501,18.3,15,43,0.581,25,0.423,11,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,72.4,Away,AKRON,Akron,Western Michigan,mac,25,False,True,True,Home,False,5,25,65,35,73,8,14,58,0,1,174,421,1388,0.4913544668587896,790,1649,0.4790782292298363,184,476,1512,0.4973544973544973,0.44
26,2020-02-22-14-western-michigan,54.2,13,23.5,8,88.1,80.6,29,0.491,55,0.436,24,0.327,18,0.778,14,14,200,101.5,15.6,5,15,68,,11.9,8,0.327,18,0.33299999999999996,6,50.0,34,0.535,10.0,7,37,0.486,18,0.48100000000000004,13,"February 22, 2020",42.1,8,0.0,0,101.5,84.4,27,0.38799999999999996,58,0.32799999999999996,19,0.24100000000000002,14,1.0,14,16,200,88.1,19.4,7,17,59,,4.5,3,0.414,24,0.292,7,50.0,34,0.456,13.5,10,34,0.353,12,0.40700000000000003,11,"University Arena, Kalamazoo, Michigan",WESTERN-MICHIGAN,Western Michigan,66.6,Away,TOLEDO,Toledo,Western Michigan,mac,26,False,True,True,Home,False,7,12,58,34,68,6,18,55,0,1,179,446,1453,0.4917412250516173,825,1722,0.4790940766550522,192,490,1570,0.4955414012738854,0.4230769230769231
27,2020-02-25-19-ball-state,47.6,10,4.3,1,98.6,80.0,20,0.5,54,0.389,21,0.185,10,0.7,7,17,200,84.7,18.8,6,19,61,,11.1,8,0.35200000000000004,19,0.632,12,45.6,26,0.519,23.6,18,35,0.257,9,0.39299999999999996,11,"February 25, 2020",61.9,13,2.9,1,84.7,81.3,26,0.542,48,0.43799999999999994,21,0.479,23,0.826,19,12,200,98.6,20.0,5,15,71,,13.9,10,0.521,25,0.4,10,54.4,31,0.602,24.6,19,23,0.478,11,0.5710000000000001,16,"Worthen Arena, Muncie, Indiana",WESTERN-MICHIGAN,Western Michigan,71.8,Home,BALL-STATE,Ball State,Western Michigan,mac,27,False,False,False,Away,False,12,9,54,26,57,10,11,48,0,1,186,458,1511,0.4877564526803441,859,1790,0.4798882681564246,198,508,1625,0.4953846153846154,0.4074074074074074
28,2020-02-29-16-western-michigan,22.2,6,13.8,4,104.3,82.6,19,0.536,56,0.48200000000000004,27,0.321,18,0.5,9,12,200,100.0,13.3,4,17,69,,13.0,9,0.321,18,0.33299999999999996,6,43.4,23,0.534,14.7,11,38,0.5529999999999999,21,0.586,17,"February 29, 2020",61.5,16,7.9,3,100.0,86.7,26,0.667,48,0.542,26,0.271,13,0.615,8,17,200,104.3,17.4,4,18,72,,2.9,2,0.396,19,0.632,12,56.6,30,0.665,22.9,16,29,0.483,14,0.414,12,"University Arena, Kalamazoo, Michigan",NORTHERN-ILLINOIS,Northern Illinois,68.9,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,28,True,False,True,Home,True,12,14,48,30,53,6,21,56,1,0,198,467,1565,0.4881789137380192,885,1847,0.4791553871142393,208,519,1673,0.4967124925283921,0.3928571428571429
29,2020-03-03-19-western-michigan,15.8,3,10.3,3,100.0,74.2,23,0.375,56,0.33899999999999997,19,0.33899999999999997,19,0.632,12,14,200,77.1,16.7,6,23,54,,8.6,6,0.35700000000000004,20,0.2,4,43.3,29,0.415,16.8,13,36,0.41700000000000004,15,0.5329999999999999,16,"March 3, 2020",81.8,18,8.3,3,77.1,83.3,30,0.48100000000000004,54,0.40700000000000003,22,0.46299999999999997,25,0.72,18,17,200,100.0,25.8,8,18,70,,4.3,3,0.46299999999999997,25,0.32,8,56.7,38,0.531,14.5,11,29,0.483,14,0.433,13,"University Arena, Kalamazoo, Michigan",EASTERN-MICHIGAN,Eastern Michigan,70.5,Home,WESTERN-MICHIGAN,Western Michigan,Western Michigan,mac,29,True,False,True,Home,True,8,14,54,38,67,4,15,56,1,0,210,481,1613,0.4934903905765654,915,1900,0.481578947368421,214,540,1729,0.4979757085020243,0.4137931034482759
30,2020-03-06-19-central-michigan,34.6,9,9.5,4,110.4,70.6,24,0.467,60,0.433,26,0.33299999999999996,20,0.6,12,18,200,88.3,27.3,9,16,68,,3.9,3,0.233,14,0.28600000000000003,4,49.3,33,0.489,19.8,17,46,0.478,22,0.419,13,"March 6, 2020",54.8,17,8.7,4,88.3,72.7,24,0.537,68,0.456,31,0.235,16,0.75,12,17,200,110.4,29.4,10,19,85,,9.1,7,0.382,26,0.423,11,50.7,34,0.562,12.8,11,42,0.47600000000000003,20,0.452,14,"McGuirk Arena, Mt. Pleasant, Michigan",WESTERN-MICHIGAN,Western Michigan,77.1,Home,CENTRAL-MICHIGAN,Central Michigan,Western Michigan,mac,30,False,False,False,Away,False,4,22,60,33,67,11,20,68,0,1,218,495,1667,0.4931013797240552,953,1967,0.4844941535332994,218,555,1785,0.4941176470588236,0.43333333333333335
31,2020-03-09-19-toledo,35.7,10,12.5,6,105.6,68.3,28,0.484,64,0.43799999999999994,28,0.21899999999999997,14,0.7859999999999999,11,19,200,101.4,31.3,10,14,73,,5.6,4,0.313,20,0.3,6,52.1,38,0.517,14.6,12,44,0.5,22,0.406,13,"March 9, 2020",55.2,16,9.1,4,101.4,68.8,22,0.479,70,0.414,29,0.171,12,0.75,9,15,200,105.6,31.7,13,13,76,,8.3,6,0.314,22,0.409,9,47.9,35,0.502,9.6,8,48,0.41700000000000004,20,0.531,17,"John F. Savage Hall, Toledo, Ohio",WESTERN-MICHIGAN,Western Michigan,71.7,Home,TOLEDO,Toledo,Western Michigan,mac,31,False,False,False,Away,False,6,22,64,38,73,9,20,70,0,1,222,517,1727,0.4921829762594094,986,2034,0.4847590953785644,229,575,1853,0.495682676740421,0.41935483870967744
