,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,HOUSTON_homegame,HOUSTON_homegame2,HOUSTON_home,HOUSTON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-12-20-houston,41.2,7,0.0,0,116.7,57.7,15,0.418,49,0.34700000000000003,17,0.469,23,0.652,15,3,200,77.8,3.3,1,16,56,,6.9,5,0.429,21,0.33299999999999996,7,28.6,16,0.467,16.9,12,28,0.35700000000000004,10,0.0,0,"November 12, 2019",45.5,15,7.1,2,77.8,96.7,29,0.586,64,0.516,33,0.21899999999999997,14,0.643,9,0,200,116.7,42.3,11,20,84,,6.9,5,0.344,22,0.409,9,71.4,40,0.594,15.6,13,42,0.5710000000000001,24,1.0,1,"Hofheinz Pavilion, Houston, Texas",ALABAMA-STATE,Alabama State,71.8,Home,HOUSTON,Houston,Houston,aac,0,True,False,True,Home,True,9,24,64,40,56,7,10,49,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-15-21-houston,57.1,16,0.0,0,97.3,67.7,21,0.525,61,0.45899999999999996,28,0.23,14,0.5710000000000001,8,1,200,98.6,25.8,8,16,72,,5.5,4,0.361,22,0.364,8,46.8,29,0.532,18.3,15,39,0.513,20,0.75,3,"November 15, 2019",44.8,13,20.5,8,98.6,74.2,23,0.5,62,0.46799999999999997,29,0.226,14,0.643,9,1,200,97.3,32.3,10,15,71,,6.8,5,0.27399999999999997,17,0.235,4,53.2,33,0.517,16.0,13,45,0.556,25,0.5,1,"Hofheinz Pavilion, Houston, Texas",HOUSTON,Houston,73.2,Away,BRIGHAM-YOUNG,BYU,Houston,aac,1,False,True,True,Home,False,4,25,62,33,62,8,20,61,0,1,9,24,64,0.5859375,40,56,0.7142857142857143,7,10,49,0.4183673469387755,1.0
2,2019-11-19-20-rice,42.4,14,3.3,1,114.1,83.3,30,0.59,67,0.493,33,0.418,28,0.643,18,1,200,124.4,42.1,16,24,97,,7.7,6,0.38799999999999996,26,0.5,13,62.2,46,0.604,13.1,12,41,0.488,20,0.667,2,"November 19, 2019",53.6,15,0.0,0,124.4,57.9,22,0.5660000000000001,61,0.45899999999999996,28,0.4920000000000001,30,0.667,20,2,200,114.1,16.7,6,19,89,,9.0,7,0.508,31,0.419,13,37.8,28,0.591,12.9,11,30,0.5,15,0.667,4,"Tudor Fieldhouse, Houston, Texas",RICE,Rice,78.3,Away,HOUSTON,Houston,Houston,aac,2,False,False,False,Away,True,13,20,67,46,74,13,15,61,1,0,13,49,126,0.5436507936507936,73,118,0.6186440677966102,15,30,110,0.4772727272727273,0.5
3,2019-11-22-21-oregon,33.3,9,11.1,3,120.0,87.5,21,0.431,65,0.415,27,0.185,12,0.833,10,2,200,101.5,42.1,16,20,66,,4.6,3,0.308,20,0.1,2,59.7,37,0.467,11.4,9,45,0.556,25,0.5,2,"November 22, 2019",65.4,17,4.4,2,101.5,57.9,22,0.6459999999999999,48,0.542,26,0.43799999999999994,21,0.762,16,0,200,120.0,12.5,3,16,78,11.0,6.2,4,0.43799999999999994,21,0.47600000000000003,10,40.3,25,0.6729999999999999,16.1,11,27,0.593,16,1.0,5,"Matthew Knight Arena, Eugene, Oregon",HOUSTON,Houston,64.8,Home,OREGON,Oregon,Houston,aac,3,False,False,False,Away,False,2,25,65,37,62,10,16,48,0,1,26,69,193,0.5595854922279793,119,192,0.6197916666666666,28,45,171,0.5087719298245614,0.6666666666666666
4,2019-11-26-20-houston,47.8,11,0.0,0,141.8,50.0,17,0.415,65,0.354,23,0.4,26,0.731,19,5,200,92.4,26.8,11,30,73,,6.3,5,0.354,23,0.348,8,37.3,28,0.47200000000000003,16.4,15,42,0.35700000000000004,15,0.0,0,"November 26, 2019",58.3,21,26.2,11,92.4,73.2,30,0.601,69,0.522,36,0.536,37,0.784,29,2,200,141.8,50.0,17,22,112,,8.9,7,0.304,21,0.524,11,62.7,47,0.647,8.6,8,48,0.521,25,0.6,3,"Hofheinz Pavilion, Houston, Texas",HOUSTON-BAPTIST,Houston Baptist,79.5,Home,HOUSTON,Houston,Houston,aac,4,True,False,True,Home,True,11,25,69,47,75,8,15,65,1,0,28,94,258,0.5271317829457365,156,254,0.6141732283464567,38,61,219,0.5388127853881278,0.5
5,2019-12-04-20-houston,73.7,14,5.7,2,101.5,61.1,22,0.375,56,0.33899999999999997,19,0.446,25,0.72,18,3,200,89.6,21.6,8,28,60,,4.5,3,0.28600000000000003,16,0.25,4,41.1,30,0.442,10.7,8,40,0.375,15,0.667,6,"December 4, 2019",52.6,10,25.0,10,89.6,78.4,29,0.406,53,0.358,19,0.604,32,0.7809999999999999,25,2,200,101.5,38.9,14,23,68,,3.0,2,0.34,18,0.278,5,58.9,43,0.499,14.1,11,35,0.4,14,0.667,4,"Hofheinz Pavilion, Houston, Texas",TEXAS-STATE,Texas State,66.5,Home,HOUSTON,Houston,Houston,aac,5,True,False,True,Home,True,5,14,53,43,73,4,15,56,1,0,39,119,327,0.5428134556574924,203,329,0.6170212765957447,46,76,284,0.5105633802816901,0.6
6,2019-12-08-12-south-carolina,61.5,16,16.2,6,82.4,76.5,26,0.5870000000000001,52,0.5,26,0.423,22,0.682,15,2,200,111.8,42.9,12,15,76,,2.9,2,0.327,17,0.529,9,61.3,38,0.608,20.6,16,35,0.486,17,0.7140000000000001,5,"December 8, 2019",70.0,14,11.4,4,111.8,57.1,16,0.371,62,0.32299999999999995,20,0.258,16,0.625,10,4,200,82.4,23.5,8,20,56,,5.9,4,0.40299999999999997,25,0.24,6,38.7,24,0.402,10.4,8,37,0.37799999999999995,14,0.6,6,"The Colonial Life Arena, Columbia, South Carolina",SOUTH-CAROLINA,South Carolina,68.0,Away,HOUSTON,Houston,Houston,aac,6,False,False,False,Away,True,9,17,52,38,62,6,14,62,1,0,44,133,380,0.5236842105263158,246,402,0.6119402985074627,50,91,340,0.4882352941176471,0.6666666666666666
7,2019-12-11-20-houston,58.8,10,0.0,0,106.0,50.0,14,0.35,60,0.28300000000000003,17,0.45,27,0.778,21,7,200,94.0,25.6,11,20,63,,6.0,4,0.467,28,0.28600000000000003,8,35.2,25,0.433,6.5,5,32,0.281,9,0.364,4,"December 11, 2019",52.0,13,18.8,6,94.0,74.4,32,0.518,56,0.446,25,0.33899999999999997,19,0.684,13,2,200,106.0,50.0,14,24,71,,1.5,1,0.35700000000000004,20,0.4,8,64.8,46,0.546,19.9,16,36,0.47200000000000003,17,0.75,6,"Hofheinz Pavilion, Houston, Texas",TEXAS-ARLINGTON,Texas-Arlington,66.9,Home,HOUSTON,Houston,Houston,aac,7,True,False,True,Home,True,8,17,56,46,71,8,9,60,1,0,53,150,432,0.53125,284,464,0.6120689655172413,56,105,402,0.4701492537313433,0.7142857142857143
8,2019-12-15-15-houston,57.1,12,9.4,3,90.2,61.0,25,0.451,51,0.41200000000000003,21,0.373,19,0.789,15,2,200,100.0,29.0,9,18,61,,4.9,3,0.275,14,0.28600000000000003,4,47.2,34,0.508,13.2,9,37,0.45899999999999996,17,0.8,8,"December 15, 2019",47.4,9,13.5,5,100.0,71.0,22,0.369,61,0.311,19,0.262,16,0.625,10,3,200,90.2,39.0,16,16,55,,6.6,4,0.475,29,0.24100000000000002,7,52.8,38,0.401,11.7,9,32,0.375,12,0.667,6,"Hofheinz Pavilion, Houston, Texas",HOUSTON,Houston,60.8,Away,OKLAHOMA-STATE,Oklahoma State,Houston,aac,8,False,True,True,Home,False,7,12,61,38,72,4,17,51,0,1,61,167,488,0.5297131147540983,330,535,0.616822429906542,64,114,462,0.4545454545454545,0.75
9,2019-12-19-20-houston,45.0,9,7.4,4,102.7,63.2,24,0.39299999999999996,61,0.32799999999999996,20,0.23,14,0.643,9,2,200,76.0,13.5,5,16,57,,5.3,4,0.41,25,0.32,8,38.7,29,0.42100000000000004,16.2,13,36,0.33299999999999996,12,0.8,8,"December 19, 2019",58.6,17,30.6,11,76.0,86.5,32,0.485,66,0.439,29,0.318,21,0.619,13,3,200,102.7,36.8,14,17,77,,8.0,6,0.182,12,0.5,6,61.3,46,0.507,13.8,12,54,0.426,23,0.7,7,"Hofheinz Pavilion, Houston, Texas",TEXAS-EL-PASO,UTEP,74.8,Home,HOUSTON,Houston,Houston,aac,9,True,False,True,Home,True,6,23,66,46,75,8,12,61,1,0,68,179,549,0.51183970856102,368,607,0.6062602965403624,68,131,513,0.4541910331384015,0.6666666666666666
