,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,PEPPERDINE_homegame,PEPPERDINE_homegame2,PEPPERDINE_home,PEPPERDINE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-california,61.5,16,11.4,4,122.5,78.3,18,0.44299999999999995,70,0.371,26,0.129,9,1.0,9,1,200,100.0,25.0,10,14,71,,4.2,3,0.414,29,0.345,10,44.4,28,0.478,10.8,9,41,0.39,16,0.0,0,"November 5, 2019",38.7,12,2.4,1,100.0,75.0,30,0.667,54,0.574,31,0.33299999999999996,18,0.833,15,0,200,122.5,21.7,5,13,87,,5.6,4,0.35200000000000004,19,0.526,10,55.6,35,0.695,16.2,12,35,0.6,21,1.0,1,"Haas Pavilion, Berkeley, California",PEPPERDINE,Pepperdine,71.4,Home,CALIFORNIA,California,Pepperdine,wcc,0,False,False,False,Away,False,10,16,70,28,63,10,21,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-20-pepperdine,61.5,16,6.1,2,108.5,78.1,25,0.509,56,0.46399999999999997,26,0.429,24,0.667,16,1,200,102.8,32.4,11,20,73,,11.3,8,0.28600000000000003,16,0.313,5,54.5,36,0.542,16.3,13,40,0.525,21,0.5,1,"November 9, 2019",75.0,18,5.0,2,102.8,67.6,23,0.509,56,0.429,24,0.446,25,0.8,20,1,200,108.5,21.9,7,19,77,,7.0,5,0.41100000000000003,23,0.391,9,45.5,30,0.5670000000000001,14.1,11,33,0.455,15,0.5,1,"Firestone Fieldhouse, Malibu, California",CALIFORNIA-IRVINE,UC-Irvine,70.6,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,1,True,False,True,Home,True,9,15,56,30,66,5,21,56,1,0,10,16,70,0.4428571428571429,28,63,0.4444444444444444,10,21,54,0.6666666666666666,0.0
2,2019-11-12-22-cal-state-northridge,64.5,20,12.5,4,106.5,77.4,24,0.595,63,0.4920000000000001,31,0.365,23,0.826,19,1,200,122.1,35.3,12,24,94,,7.8,6,0.444,28,0.46399999999999997,13,55.4,36,0.636,16.1,14,35,0.514,18,0.667,2,"November 12, 2019",57.7,15,2.9,1,122.1,64.7,22,0.58,56,0.46399999999999997,26,0.5,28,0.607,17,3,200,106.5,22.6,7,22,82,,6.5,5,0.429,24,0.542,13,44.6,29,0.5920000000000001,19.0,16,32,0.406,13,0.0,0,"The Matadome, Northridge, California",CAL-STATE-NORTHRIDGE,Cal State Northridge,77.1,Away,PEPPERDINE,Pepperdine,Pepperdine,wcc,2,False,False,False,Away,True,13,18,63,36,65,13,13,56,1,0,19,31,126,0.4722222222222222,58,129,0.4496124031007752,15,42,110,0.5863636363636363,0.5
3,2019-11-16-20-abilene-christian,39.1,9,3.1,1,94.5,70.0,21,0.52,51,0.451,23,0.451,23,0.87,20,1,200,100.0,18.5,5,22,73,,12.3,9,0.41200000000000003,21,0.33299999999999996,7,45.6,26,0.589,21.8,17,30,0.5329999999999999,16,0.75,3,"November 16, 2019",45.0,9,0.0,0,100.0,81.5,22,0.45,50,0.4,20,0.66,33,0.727,24,2,200,94.5,30.0,9,20,69,,13.7,10,0.36,18,0.278,5,54.4,31,0.525,18.9,15,32,0.469,15,0.33299999999999996,1,"Moody Coliseum , Abilene, Texas",ABILENE-CHRISTIAN,Abilene Christian,72.8,Away,PEPPERDINE,Pepperdine,Pepperdine,wcc,3,False,False,False,Away,True,7,16,51,26,57,5,15,50,1,0,32,49,189,0.5132275132275133,94,194,0.4845360824742268,28,55,166,0.5843373493975904,0.6666666666666666
4,2019-11-19-21-southern-california,16.7,5,2.6,1,118.2,64.3,18,0.539,64,0.469,30,0.281,18,0.833,15,2,200,109.1,25.0,8,22,84,,10.4,8,0.344,22,0.409,9,43.3,26,0.579,14.3,12,42,0.5,21,0.6,3,"November 19, 2019",78.6,22,11.9,5,109.1,75.0,24,0.534,59,0.475,28,0.5760000000000001,34,0.8240000000000001,28,0,200,118.2,35.7,10,14,91,,7.8,6,0.33899999999999997,20,0.35,7,56.7,34,0.605,14.9,13,39,0.5379999999999999,21,1.0,5,"Galen Center, Los Angeles, California",PEPPERDINE,Pepperdine,77.4,Home,SOUTHERN-CALIFORNIA,USC,Pepperdine,wcc,4,False,False,False,Away,False,9,21,64,26,60,7,21,59,0,1,39,65,240,0.5145833333333333,120,251,0.4780876494023905,33,70,216,0.5532407407407407,0.75
5,2019-11-23-22-pepperdine,62.5,15,4.9,2,96.0,74.3,26,0.473,56,0.429,24,0.589,33,0.727,24,0,200,102.7,36.4,12,14,77,,13.3,10,0.268,15,0.33299999999999996,5,55.9,38,0.537,17.5,15,41,0.46299999999999997,19,1.0,4,"November 23, 2019",73.9,17,12.2,5,102.7,63.6,21,0.466,58,0.397,23,0.345,20,0.9,18,3,200,96.0,25.7,9,23,72,,8.0,6,0.293,17,0.47100000000000003,8,44.1,30,0.5329999999999999,20.3,17,41,0.366,15,0.5,3,"Firestone Fieldhouse, Malibu, California",PEPPERDINE,Pepperdine,75.1,Away,SACRAMENTO-STATE,Sacramento State,Pepperdine,wcc,5,False,True,True,Home,False,8,15,58,30,68,5,19,56,0,1,48,86,304,0.5197368421052632,146,311,0.4694533762057878,40,91,275,0.5490909090909091,0.6
6,2019-11-28-23-arizona,63.3,19,2.8,1,124.0,66.7,18,0.619,59,0.508,30,0.322,19,0.9470000000000001,18,4,200,121.3,29.6,8,20,91,,8.0,6,0.45799999999999996,27,0.48100000000000004,13,48.1,26,0.669,18.2,15,32,0.531,17,0.429,3,"November 28, 2019",64.7,22,9.4,3,121.3,70.4,19,0.705,56,0.607,34,0.429,24,0.583,14,0,200,124.0,33.3,9,20,93,14.0,8.0,6,0.35700000000000004,20,0.55,11,51.9,28,0.69,20.3,17,36,0.639,23,1.0,7,"Anaheim Convention Center, Anaheim, California",PEPPERDINE,Pepperdine,75.2,Home,ARIZONA,Arizona,Pepperdine,wcc,6,False,False,False,Away,False,13,17,59,26,54,11,23,56,0,1,56,101,362,0.511049723756906,176,379,0.4643799472295514,45,110,331,0.5362537764350453,0.5
7,2019-11-29-21-pepperdine,55.2,16,9.1,3,92.9,74.3,26,0.589,56,0.518,29,0.321,18,0.667,12,2,200,111.4,37.0,10,18,78,,11.4,8,0.35700000000000004,20,0.4,8,58.1,36,0.604,18.0,14,36,0.583,21,0.667,4,"November 29, 2019",69.6,16,8.3,3,111.4,63.0,17,0.447,57,0.40399999999999997,23,0.281,16,0.875,14,5,200,92.9,25.7,9,17,65,,10.0,7,0.42100000000000004,24,0.20800000000000002,5,41.9,26,0.503,19.0,15,33,0.545,18,0.375,3,"Anaheim Convention Center, Anaheim, California",PEPPERDINE,Pepperdine,69.6,Away,CENTRAL-FLORIDA,UCF,Pepperdine,wcc,7,False,True,True,Home,False,5,18,57,26,62,8,21,56,0,1,69,118,421,0.5261282660332541,202,433,0.4665127020785219,56,133,387,0.5607235142118863,0.42857142857142855
8,2019-12-01-18-pepperdine,59.3,16,2.6,1,108.5,66.7,24,0.526,57,0.474,27,0.474,27,0.741,20,4,200,112.7,38.2,13,24,80,,11.3,8,0.316,18,0.33299999999999996,6,52.9,37,0.573,18.9,16,39,0.5379999999999999,21,0.556,5,"December 1, 2019",53.8,14,7.7,3,112.7,61.8,21,0.508,60,0.433,26,0.38299999999999995,23,0.696,16,6,200,108.5,33.3,12,20,77,,7.0,5,0.3670000000000001,22,0.409,9,47.1,33,0.5429999999999999,13.6,11,38,0.447,17,0.33299999999999996,3,"Anaheim Convention Center, Anaheim, California",PEPPERDINE,Pepperdine,71.4,Away,PROVIDENCE,Providence,Pepperdine,wcc,8,False,True,True,Home,False,9,17,60,33,70,6,21,57,0,1,74,136,478,0.5167364016736402,228,495,0.4606060606060606,64,154,443,0.5643340857787811,0.375
9,2019-12-06-21-pepperdine,45.5,10,8.3,4,101.3,58.6,17,0.47200000000000003,53,0.415,22,0.45299999999999996,24,0.625,15,4,200,85.5,19.4,6,21,65,,9.2,7,0.377,20,0.3,6,38.3,23,0.505,23.0,19,33,0.485,16,0.429,3,"December 6, 2019",50.0,15,6.1,2,85.5,80.6,25,0.469,65,0.462,30,0.262,17,0.941,16,6,200,101.3,41.4,12,21,77,,13.2,10,0.262,17,0.059000000000000004,1,61.7,37,0.527,15.2,13,48,0.604,29,0.4,4,"Firestone Fieldhouse, Malibu, California",IDAHO-STATE,Idaho State,75.7,Home,PEPPERDINE,Pepperdine,Pepperdine,wcc,9,True,False,True,Home,True,1,29,65,37,60,6,16,53,1,0,83,153,538,0.5157992565055762,261,565,0.4619469026548673,70,175,500,0.56,0.3333333333333333
