,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TOWSON_homegame,TOWSON_homegame2,TOWSON_home,TOWSON_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-towson,57.9,11,2.0,1,109.1,75.0,24,0.479,48,0.396,19,0.354,17,0.706,12,1,200,87.9,20.7,6,11,58,,3.0,2,0.542,26,0.308,8,49.2,30,0.517,21.3,15,22,0.5,11,0.0,0,"November 5, 2019",48.3,14,4.5,1,87.9,79.3,23,0.524,62,0.46799999999999997,29,0.145,9,0.778,7,0,200,109.1,25.0,8,17,72,,10.6,7,0.19399999999999998,12,0.583,7,50.8,31,0.5429999999999999,12.0,9,50,0.44,22,1.0,1,"SECU Arena, Towson, Maryland",GEORGE-WASHINGTON,George Washington,66.2,Home,TOWSON,Towson,Towson,colonial,0,True,False,True,Home,True,7,22,62,31,61,8,11,48,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-towson,41.7,5,10.0,6,131.6,40.5,15,0.24,50,0.24,12,0.24,12,0.583,7,0,200,40.8,19.4,7,10,31,,5.3,4,0.24,12,0.0,0,30.1,22,0.278,32.0,26,38,0.316,12,0.0,0,"November 8, 2019",41.9,18,21.1,8,40.8,80.6,29,0.5589999999999999,85,0.506,43,0.11800000000000001,10,0.5,5,0,200,131.6,59.5,22,17,100,,25.0,19,0.294,25,0.36,9,69.9,51,0.557,10.1,10,60,0.5670000000000001,34,1.0,2,"SECU Arena, Towson, Maryland","Bryn Athyn
			","Bryn Athyn
			",76.2,Home,TOWSON,Towson,Towson,colonial,1,True,False,True,Home,True,9,34,85,51,73,0,12,50,1,0,7,22,62,0.5241935483870968,31,61,0.5081967213114754,8,11,48,0.4791666666666667,1.0
2,2019-11-11-19-towson,39.3,11,18.6,8,102.6,74.4,29,0.4920000000000001,66,0.424,28,0.364,24,0.792,19,0,225,107.7,28.1,9,24,84,,9.0,7,0.409,27,0.33299999999999996,9,53.5,38,0.5429999999999999,8.4,7,39,0.48700000000000004,19,1.0,2,"November 11, 2019",32.0,8,7.7,3,107.7,71.9,23,0.41200000000000003,68,0.368,25,0.441,30,0.8,24,1,225,102.6,25.6,10,22,80,,5.1,4,0.368,25,0.24,6,46.5,33,0.486,9.0,8,43,0.442,19,0.667,2,"SECU Arena, Towson, Maryland",TOWSON,Towson,69.2,Away,KENT-STATE,Kent State,Towson,colonial,2,False,True,True,Home,False,6,19,68,33,71,9,19,66,0,1,16,56,147,0.54421768707483,82,134,0.6119402985074627,8,23,98,0.35714285714285715,1.0
3,2019-11-14-19-florida,47.6,10,9.1,3,103.1,77.4,24,0.5,48,0.43799999999999994,21,0.33299999999999996,16,0.75,12,2,200,93.8,20.0,5,20,60,,7.8,5,0.396,19,0.316,6,51.8,29,0.54,17.9,12,29,0.517,15,0.5,2,"November 14, 2019",56.5,13,3.4,1,93.8,80.0,20,0.48200000000000004,55,0.418,23,0.364,20,0.65,13,1,200,103.1,22.6,7,13,66,15.0,4.7,3,0.4,22,0.318,7,48.2,27,0.512,11.1,8,33,0.485,16,0.667,2,"Stephen C. O'Connell Center, Gainesville, Florida",TOWSON,Towson,64.1,Home,FLORIDA,Florida,Towson,colonial,3,False,False,False,Away,False,6,15,48,29,56,7,16,55,0,1,22,75,215,0.5023255813953489,115,205,0.5609756097560976,17,42,164,0.4115853658536585,0.6666666666666666
4,2019-11-21-19-towson,70.4,19,11.6,5,75.0,80.5,33,0.5529999999999999,57,0.474,27,0.24600000000000002,14,0.7140000000000001,10,0,200,107.4,27.6,8,18,73,18.0,10.3,7,0.386,22,0.409,9,58.6,41,0.573,14.8,11,35,0.514,18,1.0,5,"November 21, 2019",33.3,6,8.6,3,107.4,72.4,21,0.33899999999999997,59,0.305,18,0.305,18,0.611,11,3,200,75.0,19.5,8,16,51,,5.9,4,0.271,16,0.25,4,41.4,29,0.377,13.0,10,43,0.326,14,0.4,2,"TD Arena, Charleston, South Carolina",TOWSON,Towson,68.1,Away,XAVIER,Xavier,Towson,colonial,4,False,True,True,Home,False,4,14,59,29,70,9,18,57,0,1,28,90,263,0.5019011406844106,144,261,0.5517241379310345,24,58,219,0.4292237442922374,0.5
5,2019-11-22-19-towson,57.7,15,6.5,3,92.4,62.5,20,0.41700000000000004,72,0.361,26,0.319,23,0.696,16,2,200,96.2,40.9,18,22,76,,7.6,6,0.431,31,0.258,8,50.0,38,0.45799999999999996,12.7,12,41,0.439,18,0.6,3,"November 22, 2019",56.0,14,14.6,6,96.2,59.1,26,0.449,59,0.424,25,0.441,26,0.769,20,4,200,92.4,37.5,12,24,73,,11.4,9,0.22,13,0.231,3,50.0,38,0.512,23.0,21,46,0.478,22,0.33299999999999996,2,"TD Arena, Charleston, South Carolina",TOWSON,Towson,78.6,Away,BUFFALO,Buffalo,Towson,colonial,5,False,True,True,Home,False,3,22,59,38,76,8,18,72,0,1,32,104,322,0.4720496894409938,173,331,0.5226586102719033,33,76,276,0.4547101449275362,0.4
6,2019-11-24-18-towson,52.0,13,12.8,5,98.7,80.0,24,0.434,68,0.368,25,0.162,11,0.455,5,5,200,83.1,26.2,11,12,64,,9.1,7,0.485,33,0.273,9,48.6,35,0.4370000000000001,16.1,14,35,0.457,16,0.28600000000000003,2,"November 24, 2019",60.7,17,11.4,4,83.1,73.8,31,0.532,62,0.452,28,0.177,11,0.909,10,4,200,98.7,20.0,6,15,76,,9.1,7,0.371,23,0.435,10,51.4,37,0.565,19.3,16,39,0.462,18,0.429,3,"TD Arena, Charleston, South Carolina",SAINT-JOSEPHS,St. Joseph's,76.7,Home,TOWSON,Towson,Towson,colonial,6,True,False,True,Home,True,10,18,62,37,72,9,16,68,1,0,35,126,381,0.46850393700787396,211,407,0.5184275184275184,41,94,348,0.4468390804597701,0.3333333333333333
7,2019-12-04-19-morgan-state,50.0,12,9.4,3,89.4,72.0,18,0.539,51,0.47100000000000003,24,0.5489999999999999,28,0.75,21,4,200,115.2,44.4,12,19,76,,15.2,10,0.33299999999999996,17,0.41200000000000003,7,57.7,30,0.591,18.1,14,34,0.5,17,0.5,4,"December 4, 2019",47.6,10,11.8,4,115.2,55.6,15,0.489,46,0.457,21,0.37,17,0.8240000000000001,14,7,200,89.4,28.0,7,22,59,,7.6,5,0.304,14,0.214,3,42.3,22,0.546,25.2,18,32,0.563,18,0.3,3,"Hill Field House, Baltimore, Maryland",MORGAN-STATE,Morgan State,65.7,Away,TOWSON,Towson,Towson,colonial,7,False,False,False,Away,True,7,17,51,30,52,3,18,46,1,0,45,144,443,0.4774266365688488,248,479,0.5177453027139874,50,110,416,0.4447115384615384,0.42857142857142855
8,2019-12-07-19-vermont,38.5,5,8.0,2,90.2,63.6,21,0.292,53,0.245,13,0.264,14,0.5,7,5,200,62.3,33.3,13,24,38,,13.1,8,0.47200000000000003,25,0.2,5,47.2,34,0.319,20.2,15,28,0.28600000000000003,8,0.444,4,"December 7, 2019",58.8,10,10.7,3,62.3,66.7,26,0.41700000000000004,48,0.354,17,0.43799999999999994,21,0.7140000000000001,15,4,200,90.2,36.4,12,17,55,,3.3,2,0.479,23,0.261,6,52.8,38,0.474,20.8,15,25,0.44,11,0.636,7,"Roy L. Patrick Gymnasium, Burlington, Vermont",TOWSON,Towson,61.3,Home,VERMONT,Vermont,Towson,colonial,8,False,False,False,Away,False,5,8,53,34,72,6,11,48,0,1,52,161,494,0.4838056680161944,278,531,0.5235404896421846,53,128,462,0.4491341991341991,0.5
9,2019-12-10-19-towson,38.5,10,3.1,1,124.2,61.3,19,0.59,50,0.52,26,0.28,14,0.857,12,6,200,114.5,13.0,3,20,71,,1.6,1,0.36,18,0.389,7,40.7,22,0.627,12.5,8,32,0.594,19,0.455,5,"December 10, 2019",40.0,10,6.3,2,114.5,87.0,20,0.556,54,0.46299999999999997,25,0.40700000000000003,22,0.773,17,5,200,124.2,38.7,12,19,77,,4.8,3,0.40700000000000003,22,0.455,10,59.3,32,0.597,12.4,9,32,0.469,15,0.5,5,"SECU Arena, Towson, Maryland",MARYLAND-BALTIMORE-COUNTY,UMBC,61.6,Home,TOWSON,Towson,Towson,colonial,9,True,False,True,Home,True,10,15,54,32,54,7,19,50,1,0,57,169,547,0.4652650822669104,312,603,0.5174129353233831,59,139,510,0.44607843137254893,0.4444444444444444
