,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WAKE-FOREST_homegame,WAKE-FOREST_homegame2,WAKE-FOREST_home,WAKE-FOREST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-18-boston-college,46.2,12,2.3,1,102.7,80.6,29,0.46,62,0.419,26,0.27399999999999997,17,0.765,13,1,200,93.3,32.4,11,23,70,,2.7,2,0.226,14,0.35700000000000004,5,57.1,40,0.499,19.7,17,48,0.43799999999999994,21,0.0,0,"November 6, 2019",48.1,13,6.3,3,93.3,67.6,23,0.484,62,0.435,27,0.435,27,0.63,17,0,200,102.7,19.4,7,20,77,,12.0,9,0.29,18,0.33299999999999996,6,42.9,30,0.515,7.5,6,44,0.47700000000000004,21,1.0,1,"Silvio O. Conte Forum, Chestnut Hill, Massachusetts",WAKE-FOREST,Wake Forest,75.0,Home,BOSTON-COLLEGE,Boston College,Wake Forest,acc,0,False,False,False,Away,False,5,21,62,40,70,6,21,62,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-wake-forest,40.0,10,9.6,5,84.4,77.8,35,0.444,63,0.397,25,0.14300000000000002,9,0.778,7,2,200,81.8,8.1,3,24,63,,10.4,8,0.413,26,0.231,6,46.3,38,0.46799999999999997,14.1,11,37,0.514,19,0.0,0,"November 10, 2019",36.4,8,2.7,1,81.8,91.9,34,0.371,62,0.355,22,0.46799999999999997,29,0.655,19,1,200,84.4,22.2,10,15,65,,3.9,3,0.161,10,0.2,2,53.7,44,0.429,14.8,13,52,0.385,20,0.5,1,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",COLUMBIA,Columbia,77.0,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,1,True,False,True,Home,True,2,20,62,44,82,6,19,63,1,0,5,21,62,0.4596774193548387,40,70,0.5714285714285714,6,21,62,0.4838709677419355,0.0
2,2019-11-13-19-wake-forest,36.0,9,7.7,3,130.7,66.7,14,0.528,53,0.47200000000000003,25,0.5660000000000001,30,0.767,23,2,200,105.3,13.3,4,30,79,,9.3,7,0.358,19,0.316,6,35.3,18,0.5870000000000001,14.2,11,34,0.5589999999999999,19,0.33299999999999996,1,"November 13, 2019",69.7,23,5.9,2,105.3,86.7,26,0.745,47,0.7020000000000001,33,0.851,40,0.7,28,1,200,130.7,33.3,7,23,98,,4.0,3,0.17,8,0.5,4,64.7,33,0.742,20.8,17,39,0.7440000000000001,29,0.667,2,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,75.1,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,2,True,False,True,Home,True,4,29,47,33,51,6,19,53,1,0,7,41,124,0.4153225806451613,84,152,0.5526315789473685,12,40,125,0.46399999999999997,0.5
3,2019-11-17-18-charlotte,54.2,13,22.7,10,90.5,79.4,27,0.45299999999999996,64,0.375,24,0.188,12,0.583,7,2,225,87.8,26.8,11,14,65,,10.8,8,0.391,25,0.4,10,50.7,38,0.466,17.8,15,39,0.359,14,0.5,2,"November 17, 2019",72.7,16,10.3,4,87.8,73.2,30,0.43799999999999994,56,0.39299999999999996,22,0.39299999999999996,22,0.818,18,1,225,90.5,20.6,7,16,67,,13.5,10,0.214,12,0.41700000000000004,5,49.3,37,0.504,17.6,14,44,0.386,17,0.667,2,"Dale F. Halton Arena, Charlotte, North Carolina",WAKE-FOREST,Wake Forest,65.4,Home,CHARLOTTE,Charlotte,Wake Forest,acc,3,False,False,False,Away,False,10,14,64,38,75,5,17,56,0,1,11,70,171,0.5058479532163743,117,203,0.5763546798029556,18,59,178,0.4831460674157304,0.6666666666666666
4,2019-11-22-19-davidson,48.4,15,13.9,5,97.2,91.2,31,0.563,64,0.484,31,0.188,12,0.833,10,2,200,113.9,30.3,10,17,82,,5.6,4,0.344,22,0.455,10,61.2,41,0.588,14.8,12,42,0.5,21,0.6,3,"November 22, 2019",34.6,9,4.8,2,113.9,69.7,23,0.484,61,0.426,26,0.23,14,0.7859999999999999,11,3,200,97.2,8.8,3,11,70,,9.7,7,0.41,25,0.28,7,38.8,26,0.517,10.6,8,36,0.528,19,0.4,2,"Spectrum Center, Charlotte, North Carolina",DAVIDSON,Davidson,72.2,Away,WAKE-FOREST,Wake Forest,Wake Forest,acc,4,False,False,False,Away,True,10,21,64,41,67,7,19,61,1,0,21,84,235,0.4914893617021277,155,278,0.5575539568345323,23,76,234,0.4722222222222222,0.5
5,2019-11-28-16-college-of-charleston,68.4,13,10.8,4,86.2,83.3,30,0.415,53,0.358,19,0.509,27,0.778,21,2,200,100.0,33.3,12,18,65,,6.2,4,0.396,21,0.28600000000000003,6,58.3,42,0.494,14.5,11,32,0.406,13,0.667,4,"November 28, 2019",42.9,9,9.4,3,100.0,66.7,24,0.445,55,0.382,21,0.255,14,0.5,7,3,200,86.2,16.7,6,23,56,,7.7,5,0.327,18,0.389,7,41.7,30,0.45399999999999996,14.1,10,37,0.37799999999999995,14,0.5,3,"Anaheim Convention Center, Anaheim, California",COLLEGE-OF-CHARLESTON,College of Charleston,65.2,Away,WAKE-FOREST,Wake Forest,Wake Forest,acc,5,False,False,False,Away,True,6,13,53,42,72,7,14,55,1,0,31,105,299,0.5066889632107023,196,345,0.5681159420289855,30,95,295,0.4745762711864407,0.6
6,2019-11-29-14-wake-forest,73.1,19,12.5,6,112.8,55.9,19,0.528,54,0.48100000000000004,26,0.389,21,0.857,18,5,200,96.2,14.3,4,20,75,,7.7,6,0.24100000000000002,13,0.385,5,37.1,23,0.586,20.2,16,41,0.512,21,0.375,3,"November 29, 2019",63.3,19,7.3,3,96.2,85.7,24,0.46399999999999997,69,0.435,30,0.36200000000000004,25,0.96,24,2,200,112.8,44.1,15,17,88,,10.3,8,0.304,21,0.19,4,62.9,39,0.544,14.9,14,48,0.542,26,0.7140000000000001,5,"Anaheim Convention Center, Anaheim, California",LONG-BEACH-STATE,Long Beach State,77.9,Home,WAKE-FOREST,Wake Forest,Wake Forest,acc,6,True,False,True,Home,True,4,26,69,39,62,5,21,54,1,0,37,118,352,0.4928977272727273,238,417,0.5707434052757794,37,109,350,0.47,0.6666666666666666
7,2019-12-01-21-arizona,73.7,14,7.1,3,102.8,71.4,25,0.364,59,0.322,19,0.441,26,0.885,23,3,200,93.0,24.3,9,21,66,,7.0,5,0.271,16,0.313,5,47.2,34,0.46299999999999997,11.3,9,43,0.326,14,0.625,5,"December 1, 2019",56.0,14,11.6,5,93.0,75.7,28,0.483,58,0.431,25,0.414,24,0.708,17,0,200,102.8,28.6,10,20,73,14.0,5.6,4,0.276,16,0.375,6,52.8,38,0.526,13.8,11,42,0.452,19,1.0,9,"Anaheim Convention Center, Anaheim, California",WAKE-FOREST,Wake Forest,70.9,Home,ARIZONA,Arizona,Wake Forest,acc,7,False,False,False,Away,False,5,14,59,34,72,6,19,58,0,1,41,144,421,0.4881235154394299,277,479,0.5782881002087683,42,130,404,0.4777227722772277,0.7142857142857143
8,2019-12-04-21-penn-state,52.9,9,5.0,2,98.7,60.5,23,0.32799999999999996,58,0.293,17,0.379,22,0.727,16,4,200,70.1,22.0,9,17,54,,9.1,7,0.207,12,0.33299999999999996,4,40.5,32,0.39399999999999996,21.9,19,46,0.28300000000000003,13,0.556,5,"December 4, 2019",40.0,12,13.0,6,70.1,78.0,32,0.478,68,0.441,30,0.25,17,0.647,11,1,200,98.7,39.5,15,21,76,,15.6,12,0.41200000000000003,28,0.179,5,59.5,47,0.5,15.6,14,40,0.625,25,0.875,7,"Bryce Jordan Center, University Park, Pennsylvania",WAKE-FOREST,Wake Forest,76.8,Home,PENN-STATE,Penn State,Wake Forest,acc,8,False,False,False,Away,False,4,13,58,32,79,5,25,68,0,1,46,158,480,0.4729166666666666,311,551,0.5644283121597096,48,149,462,0.4783549783549784,0.625
9,2019-12-07-14-wake-forest,52.9,18,13.5,5,103.8,80.8,21,0.615,65,0.523,34,0.24600000000000002,16,0.688,11,2,200,115.2,34.4,11,23,91,,15.2,12,0.33799999999999997,22,0.545,12,55.2,32,0.627,19.1,17,43,0.512,22,0.778,7,"December 7, 2019",37.0,10,7.0,3,115.2,65.6,21,0.596,52,0.519,27,0.5579999999999999,29,0.69,20,5,200,103.8,19.2,5,18,82,,10.1,8,0.28800000000000003,15,0.5329999999999999,8,44.8,26,0.623,22.7,19,37,0.514,19,0.5,5,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,79.2,Away,NORTH-CAROLINA-STATE,NC State,Wake Forest,acc,9,False,True,True,Home,False,8,19,52,26,58,12,22,65,0,1,50,171,538,0.4572490706319702,343,630,0.5444444444444444,53,174,530,0.4783018867924528,0.5555555555555556
