,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,GEORGIA-TECH_homegame,GEORGIA-TECH_homegame2,GEORGIA-TECH_home,GEORGIA-TECH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-north-carolina-state,66.7,20,16.4,9,100.0,68.3,28,0.541,61,0.4920000000000001,30,0.361,22,0.727,16,0,225,101.2,18.8,6,22,82,,12.3,10,0.32799999999999996,20,0.3,6,46.6,34,0.574,17.5,15,41,0.585,24,1.0,1,"November 5, 2019",48.1,13,14.6,6,101.2,81.3,26,0.43,71,0.38,27,0.324,23,0.87,20,1,225,100.0,31.7,13,19,81,,6.2,5,0.225,16,0.43799999999999994,7,53.4,39,0.494,13.8,13,55,0.364,20,0.0,0,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,72.2,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,0,False,False,False,Away,True,6,24,61,34,73,7,20,71,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-georgia-tech,25.0,4,0.0,0,81.0,83.3,30,0.23600000000000002,74,0.21600000000000005,16,0.135,10,0.6,6,1,200,51.9,19.2,10,22,41,,6.3,5,0.405,30,0.1,3,45.5,40,0.26,14.2,13,44,0.295,13,0.667,2,"November 11, 2019",75.0,15,22.7,10,51.9,80.8,42,0.44299999999999995,53,0.377,20,0.509,27,0.63,17,0,200,81.0,16.7,6,17,64,,8.9,7,0.45299999999999996,24,0.292,7,54.5,48,0.486,19.8,16,29,0.44799999999999995,13,1.0,2,"McCamish Pavilion, Atlanta, Georgia",ELON,Elon,78.8,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,1,True,False,True,Home,True,7,13,53,48,88,3,13,74,1,0,6,24,61,0.5409836065573771,34,73,0.4657534246575342,7,20,71,0.4295774647887324,1.0
2,2019-11-20-19-georgia,37.9,11,22.4,11,103.8,67.5,27,0.532,62,0.46799999999999997,29,0.371,23,0.522,12,1,200,98.7,24.2,8,25,78,,7.6,6,0.306,19,0.42100000000000004,8,47.9,35,0.535,17.2,15,43,0.488,21,0.667,2,"November 20, 2019",40.7,11,2.3,1,98.7,75.8,25,0.462,65,0.415,27,0.47700000000000004,31,0.71,22,0,200,103.8,32.5,13,23,82,,10.1,8,0.24600000000000002,16,0.375,6,52.1,38,0.514,12.3,11,49,0.429,21,1.0,4,"Stegeman Coliseum, Athens, Georgia",GEORGIA-TECH,Georgia Tech,78.8,Home,GEORGIA,Georgia,Georgia Tech,acc,2,False,False,False,Away,False,8,21,62,35,73,6,21,65,0,1,13,37,114,0.4956140350877193,82,161,0.5093167701863354,10,33,145,0.3310344827586207,1.0
3,2019-11-25-19-georgia-tech,63.6,14,9.8,4,78.2,72.2,26,0.4320000000000001,59,0.373,22,0.271,16,0.688,11,0,225,79.5,7.7,3,22,62,,19.2,15,0.424,25,0.28,7,38.7,29,0.465,17.5,14,34,0.441,15,1.0,6,"November 25, 2019",31.8,7,2.9,1,79.5,92.3,36,0.434,53,0.415,22,0.415,22,0.682,15,2,225,78.2,27.8,10,16,61,,7.7,6,0.226,12,0.16699999999999998,2,61.3,46,0.48100000000000004,27.7,24,41,0.488,20,0.5,2,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,68.9,Away,ARKANSAS,Arkansas,Georgia Tech,acc,3,False,True,True,Home,False,2,20,53,46,75,7,15,59,0,1,21,58,176,0.5085227272727273,117,234,0.5,16,54,210,0.37142857142857133,0.6666666666666666
4,2019-12-01-18-georgia-tech,50.0,13,5.0,2,103.0,66.7,18,0.41200000000000003,68,0.382,26,0.162,11,0.818,9,3,200,98.5,47.4,18,23,65,,7.6,5,0.132,9,0.444,4,55.4,36,0.444,12.1,10,59,0.373,22,0.625,5,"December 1, 2019",46.2,12,15.3,9,98.5,52.6,20,0.54,50,0.52,26,0.5,25,0.56,14,2,200,103.0,33.3,9,15,68,,4.5,3,0.2,10,0.2,2,44.6,29,0.5489999999999999,17.6,13,40,0.6,24,0.6,3,"McCamish Pavilion, Atlanta, Georgia",BETHUNE-COOKMAN,Bethune-Cookman,65.6,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,4,True,False,True,Home,True,2,24,50,29,65,4,22,68,1,0,23,78,229,0.4912663755458515,163,309,0.5275080906148867,23,69,269,0.3847583643122677,0.5
5,2019-12-04-19-georgia-tech,66.7,14,4.0,2,91.3,70.0,28,0.369,65,0.32299999999999995,21,0.27699999999999997,18,0.444,8,4,200,70.0,25.0,11,14,56,,8.8,7,0.4,26,0.231,6,46.4,39,0.381,18.9,17,39,0.385,15,0.5,4,"December 4, 2019",59.4,19,20.5,8,70.0,75.0,33,0.473,73,0.43799999999999994,32,0.11,8,0.5,4,2,200,91.3,30.0,12,17,73,,12.5,10,0.315,23,0.217,5,53.6,45,0.475,17.3,16,50,0.54,27,0.667,4,"McCamish Pavilion, Atlanta, Georgia",NEBRASKA,Nebraska,80.2,Home,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,5,True,False,True,Home,True,5,27,73,45,84,6,15,65,1,0,25,102,279,0.5,192,374,0.5133689839572193,27,91,337,0.3902077151335312,0.6
6,2019-12-07-12-georgia-tech,79.3,23,15.0,6,78.8,73.0,27,0.632,57,0.509,29,0.526,30,0.833,25,4,200,121.3,38.1,8,19,97,,17.5,14,0.579,33,0.424,14,60.3,35,0.6809999999999999,19.5,17,24,0.625,15,0.556,5,"December 7, 2019",79.2,19,8.3,2,121.3,61.9,13,0.444,63,0.381,24,0.28600000000000003,18,0.389,7,3,200,78.8,27.0,10,20,63,,10.0,8,0.365,23,0.348,8,39.7,23,0.44,21.1,19,40,0.4,16,0.5710000000000001,4,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,80.4,Away,SYRACUSE,Syracuse,Georgia Tech,acc,6,False,True,True,Home,False,8,16,63,23,58,14,15,57,0,1,30,129,352,0.4943181818181818,237,458,0.5174672489082971,33,106,402,0.3868159203980099,0.6666666666666666
7,2019-12-14-17-kentucky,47.8,11,10.3,4,98.5,73.1,19,0.48100000000000004,53,0.434,23,0.113,6,0.33299999999999996,2,4,200,77.9,11.1,3,18,53,,7.4,5,0.321,17,0.294,5,41.5,22,0.474,21.2,15,36,0.5,18,0.5,4,"December 14, 2019",75.0,18,13.9,5,77.9,88.9,24,0.51,51,0.47100000000000003,24,0.353,18,0.833,15,1,200,98.5,26.9,7,13,67,8.0,11.8,8,0.235,12,0.33299999999999996,4,58.5,31,0.563,21.4,16,39,0.513,20,0.889,8,"Rupp Arena, Lexington, Kentucky",GEORGIA-TECH,Georgia Tech,68.2,Home,KENTUCKY,Kentucky,Georgia Tech,acc,7,False,False,False,Away,False,5,18,53,22,53,4,20,51,0,1,38,145,415,0.4867469879518072,260,516,0.5038759689922481,47,121,459,0.4172113289760349,0.5714285714285714
8,2019-12-18-19-georgia-tech,68.0,17,8.6,3,64.4,75.0,24,0.5770000000000001,52,0.48100000000000004,25,0.212,11,0.455,5,4,200,89.0,16.7,4,17,65,,15.1,11,0.442,23,0.435,10,50.0,28,0.568,26.0,20,29,0.517,15,0.6,6,"December 18, 2019",52.9,9,17.2,5,89.0,83.3,20,0.373,51,0.33299999999999996,17,0.294,15,0.6,9,5,200,64.4,25.0,8,11,47,,12.3,9,0.314,16,0.25,4,50.0,28,0.40399999999999997,28.5,23,35,0.371,13,0.444,4,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,73.2,Away,BALL-STATE,Ball State,Georgia Tech,acc,8,False,True,True,Home,False,4,13,51,28,56,10,15,52,0,1,43,163,468,0.4861111111111111,282,569,0.4956063268892794,51,141,510,0.4264705882352941,0.5
9,2019-12-22-17-boise-state,18.5,5,13.5,5,78.9,83.8,31,0.527,56,0.48200000000000004,27,0.35700000000000004,20,0.75,15,5,200,97.4,37.0,10,26,74,,9.2,7,0.41100000000000003,23,0.217,5,64.1,41,0.565,22.7,19,33,0.667,22,0.5,5,"December 22, 2019",47.4,9,9.1,3,97.4,63.0,17,0.386,57,0.33299999999999996,19,0.386,22,0.727,16,5,200,78.9,16.2,6,21,60,,11.8,9,0.35100000000000003,20,0.3,6,35.9,23,0.445,19.4,16,37,0.35100000000000003,13,0.545,6,"Stan Sheriff Center, Honolulu, Hawaii",BOISE-STATE,Boise State,76.0,Away,GEORGIA-TECH,Georgia Tech,Georgia Tech,acc,9,False,False,False,Away,True,5,22,56,41,64,6,13,57,1,0,47,176,519,0.4749518304431599,310,625,0.496,61,156,562,0.4403914590747331,0.4444444444444444
