,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MARIST_homegame,MARIST_homegame2,MARIST_home,MARIST_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-virginia-military-institute,40.9,9,19.2,5,83.6,84.4,27,0.414,58,0.379,22,0.22399999999999998,13,0.769,10,0,200,86.6,18.9,7,8,58,,9.0,6,0.276,16,0.25,4,49.3,34,0.452,13.6,10,42,0.429,18,1.0,1,"November 8, 2019",68.2,15,4.8,2,86.6,81.1,30,0.465,57,0.386,22,0.14,8,0.375,3,2,200,83.6,15.6,5,15,56,,9.0,6,0.544,31,0.29,9,50.7,35,0.461,15.4,11,26,0.5,13,0.0,0,"Cameron Hall, Lexington, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,67.0,Away,MARIST,Marist,Marist,maac,0,False,False,False,Away,True,4,18,58,34,69,9,13,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-19-marist,45.8,11,2.3,1,85.0,62.8,27,0.604,48,0.5,24,0.16699999999999998,8,0.5,4,1,200,103.3,20.0,5,18,62,,6.7,4,0.5,24,0.41700000000000004,10,47.1,32,0.598,17.6,11,24,0.583,14,0.667,2,"November 12, 2019",21.1,4,8.3,2,103.3,80.0,20,0.35,60,0.317,19,0.3,18,0.5,9,1,200,85.0,37.2,16,15,51,,8.3,5,0.28300000000000003,17,0.235,4,52.9,36,0.3720000000000001,12.8,10,43,0.349,15,0.5,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,60.2,Away,HARTFORD,Hartford,Marist,maac,1,False,True,True,Home,False,4,15,60,36,68,10,14,48,0,1,4,18,58,0.4137931034482759,34,69,0.4927536231884058,9,13,57,0.4649122807017544,1.0
2,2019-11-16-19-fordham,64.3,9,0.0,0,96.7,55.2,16,0.327,52,0.26899999999999996,14,0.28800000000000003,15,0.467,7,2,200,68.3,22.0,9,20,41,,15.0,9,0.40399999999999997,21,0.28600000000000003,6,35.7,25,0.34700000000000003,17.0,12,31,0.258,8,0.33299999999999996,1,"November 16, 2019",68.4,13,9.7,3,68.3,78.0,32,0.45899999999999996,49,0.38799999999999996,19,0.38799999999999996,19,0.684,13,0,200,96.7,44.8,13,20,58,,13.3,8,0.3670000000000001,18,0.389,7,64.3,45,0.5,18.5,13,31,0.387,12,1.0,3,"Rose Hill Gym, Bronx, New York",MARIST,Marist,60.1,Home,FORDHAM,Fordham,Marist,maac,2,False,False,False,Away,False,6,8,52,25,70,7,12,49,0,1,8,33,118,0.3813559322033898,70,137,0.5109489051094891,19,27,105,0.5285714285714286,0.5
3,2019-11-23-19-marist,69.2,18,3.3,1,102.7,83.3,30,0.5589999999999999,59,0.441,26,0.237,14,0.929,13,4,200,108.2,18.5,5,14,79,,5.5,4,0.508,30,0.467,14,55.6,35,0.602,16.6,13,29,0.414,12,0.33299999999999996,2,"November 23, 2019",44.8,13,10.3,3,108.2,81.5,22,0.523,64,0.45299999999999996,29,0.203,13,0.615,8,3,200,102.7,16.7,6,14,75,,6.8,5,0.531,34,0.265,9,44.4,28,0.534,11.4,9,30,0.667,20,0.25,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,73.4,Away,CITADEL,Citadel,Marist,maac,3,False,True,True,Home,False,9,20,64,28,63,14,12,59,0,1,14,41,170,0.3647058823529412,95,207,0.4589371980676328,26,39,154,0.5064935064935064,0.3333333333333333
4,2019-11-30-19-marist,76.9,20,2.6,1,85.3,78.4,29,0.5,58,0.44799999999999995,26,0.31,18,0.444,8,3,225,88.0,17.1,6,10,66,,6.7,5,0.44799999999999995,26,0.231,6,48.6,35,0.496,17.5,14,32,0.625,20,0.5,3,"November 30, 2019",44.0,11,6.3,2,88.0,82.9,29,0.455,67,0.373,25,0.10400000000000001,7,0.429,3,4,225,85.3,21.6,8,18,64,,14.7,11,0.418,28,0.39299999999999996,11,51.4,37,0.455,15.6,13,39,0.359,14,0.2,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,66.6,Away,ARMY,Army,Marist,maac,4,False,True,True,Home,False,11,14,67,37,72,6,20,58,0,1,23,61,234,0.4081196581196581,123,270,0.4555555555555556,40,51,213,0.5211267605633803,0.25
5,2019-12-07-19-navy,47.4,9,14.8,4,80.3,73.5,25,0.425,53,0.358,19,0.151,8,0.75,6,5,225,77.3,14.8,4,22,51,,7.6,5,0.358,19,0.368,7,47.5,29,0.449,21.0,15,34,0.353,12,0.16699999999999998,1,"December 7, 2019",68.8,11,8.8,3,77.3,85.2,23,0.39,50,0.32,16,0.46,23,0.609,14,4,225,80.3,26.5,9,15,53,,7.6,5,0.46,23,0.304,7,52.5,32,0.435,17.8,13,27,0.33299999999999996,9,0.556,5,"Alumni Hall, Annapolis, Maryland",MARIST,Marist,59.0,Home,NAVY,Navy,Marist,maac,5,False,False,False,Away,False,7,12,53,29,61,7,9,50,0,1,34,75,301,0.4186046511627907,160,342,0.4678362573099415,46,71,271,0.5166051660516605,0.2
6,2019-12-16-19-rider,32.0,8,4.2,1,110.4,79.3,23,0.583,48,0.521,25,0.271,13,0.615,8,6,200,95.5,23.1,6,32,64,,6.0,4,0.33299999999999996,16,0.375,6,52.7,29,0.591,26.1,19,32,0.594,19,0.14300000000000002,1,"December 16, 2019",43.8,7,3.1,1,95.5,76.9,20,0.46299999999999997,40,0.4,16,1.2,48,0.7709999999999999,37,2,200,110.4,20.7,6,17,74,,14.9,10,0.4,16,0.313,5,47.3,26,0.589,15.3,11,24,0.45799999999999996,11,0.778,7,"Alumni Gymnasium, Lawrenceville, New Jersey",MARIST,Marist,67.5,Home,RIDER,Rider,Marist,maac,6,False,False,False,Away,False,6,19,48,29,55,5,11,40,0,1,41,87,354,0.4194915254237288,189,403,0.4689826302729528,53,80,321,0.4968847352024922,0.16666666666666666
7,2019-12-18-19-marist,73.9,17,6.7,3,84.8,69.4,25,0.519,54,0.426,23,0.24100000000000002,13,0.615,8,5,200,97.0,34.4,11,20,64,,1.5,1,0.519,28,0.35700000000000004,10,52.9,36,0.532,20.1,15,26,0.5,13,0.545,6,"December 18, 2019",19.0,4,15.4,4,97.0,65.6,21,0.39,59,0.35600000000000004,21,0.322,19,0.526,10,7,200,84.8,30.6,11,15,56,,10.6,7,0.237,14,0.28600000000000003,4,47.1,32,0.41200000000000003,12.9,10,45,0.37799999999999995,17,0.125,1,"McCann Recreation Center, Poughkeepsie, New York",MARIST,Marist,65.6,Away,NEW-HAMPSHIRE,New Hampshire,Marist,maac,7,False,True,True,Home,False,4,17,59,32,68,10,13,54,0,1,47,106,402,0.4390547263681592,218,458,0.4759825327510917,58,91,361,0.4930747922437673,0.14285714285714285
8,2019-12-21-13-bethune-cookman,45.0,9,6.7,2,113.3,77.8,21,0.349,63,0.317,20,0.27,17,0.706,12,8,200,74.7,31.6,12,22,56,,9.3,7,0.444,28,0.14300000000000002,4,50.8,33,0.39399999999999996,18.5,16,35,0.457,16,0.111,1,"December 21, 2019",70.8,17,5.7,2,74.7,68.4,26,0.537,54,0.444,24,0.574,31,0.871,27,7,200,113.3,22.2,6,15,85,,12.0,9,0.444,24,0.41700000000000004,10,49.2,32,0.618,15.1,12,30,0.467,14,0.462,6,"Moore Gymnasium, Daytona Beach, Florida",MARIST,Marist,74.9,Home,BETHUNE-COOKMAN,Bethune-Cookman,Marist,maac,8,False,False,False,Away,False,4,16,63,33,65,10,14,54,0,1,51,123,461,0.4327548806941432,250,526,0.4752851711026616,68,104,415,0.4963855421686747,0.125
9,2019-12-28-14-columbia,55.0,11,13.8,4,107.8,76.2,16,0.4270000000000001,55,0.364,20,0.182,10,0.7,7,9,200,84.4,28.1,9,20,54,,14.1,9,0.345,19,0.368,7,47.2,25,0.452,19.1,14,36,0.361,13,0.1,1,"December 28, 2019",73.9,17,13.9,5,84.4,71.9,23,0.602,44,0.523,23,0.5,22,0.727,16,9,200,107.8,23.8,5,13,69,,12.5,8,0.341,15,0.467,7,52.8,28,0.634,19.5,13,29,0.552,16,0.308,4,"Levien Gym, New York, New York",MARIST,Marist,63.6,Home,COLUMBIA,Columbia,Marist,maac,9,False,False,False,Away,False,7,13,55,25,53,7,16,44,0,1,55,139,524,0.4227099236641221,283,591,0.478849407783418,78,118,469,0.5010660980810234,0.1111111111111111
