,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WEST-VIRGINIA_homegame,WEST-VIRGINIA_homegame2,WEST-VIRGINIA_home,WEST-VIRGINIA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-west-virginia,54.2,13,4.2,2,111.9,74.3,26,0.46799999999999997,62,0.387,24,0.5,31,0.8390000000000001,26,1,200,100.0,26.3,10,28,84,,7.1,6,0.5,31,0.32299999999999995,10,49.3,36,0.547,17.5,16,31,0.452,14,0.5,1,"November 8, 2019",58.6,17,16.1,5,100.0,73.7,28,0.516,61,0.475,29,0.6559999999999999,40,0.775,31,0,200,111.9,25.7,9,23,94,,14.3,12,0.213,13,0.385,5,50.7,37,0.588,15.1,14,48,0.5,24,1.0,1,"WVU Coliseum, Morgantown, West Virginia",AKRON,Akron,83.9,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,0,True,False,True,Home,True,5,24,61,37,73,10,14,62,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-15-19-pittsburgh,56.5,13,11.6,5,80.3,76.7,33,0.45,60,0.38299999999999995,23,0.317,19,0.737,14,0,200,103.0,47.4,18,27,68,,6.1,4,0.38299999999999995,23,0.348,8,63.0,51,0.493,14.9,12,37,0.405,15,1.0,2,"November 15, 2019",50.0,8,2.7,1,103.0,52.6,20,0.309,55,0.29100000000000004,16,0.564,31,0.613,19,2,200,80.3,23.3,10,21,53,,9.1,6,0.218,12,0.16699999999999998,2,37.0,30,0.38,12.7,10,43,0.326,14,0.5,2,"Petersen Events Center, Pittsburgh, Pennsylvania",PITTSBURGH,Pitt,66.4,Away,WEST-VIRGINIA,West Virginia,West Virginia,big-12,1,False,False,False,Away,True,8,15,60,51,81,2,14,55,1,0,5,24,61,0.5163934426229508,37,73,0.5068493150684932,10,14,62,0.4677419354838709,1.0
2,2019-11-18-19-west-virginia,60.0,12,4.4,2,103.0,58.6,17,0.45299999999999996,53,0.377,20,0.321,17,0.765,13,3,200,91.0,20.0,6,20,61,,11.9,8,0.5660000000000001,30,0.267,8,39.0,23,0.499,16.6,12,23,0.522,12,0.4,2,"November 18, 2019",46.2,12,8.7,2,91.0,80.0,24,0.519,54,0.48100000000000004,26,0.35200000000000004,19,0.684,13,0,200,103.0,41.4,12,15,69,,10.4,7,0.16699999999999998,9,0.444,4,61.0,36,0.547,19.4,15,45,0.489,22,1.0,3,"WVU Coliseum, Morgantown, West Virginia",NORTHERN-COLORADO,Northern Colorado,66.6,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,2,True,False,True,Home,True,4,22,54,36,59,8,12,53,1,0,13,39,121,0.4834710743801653,88,154,0.5714285714285714,12,28,117,0.3931623931623932,1.0
3,2019-11-22-19-west-virginia,47.1,8,0.0,0,101.5,65.7,23,0.385,52,0.327,17,0.115,6,0.667,4,3,200,64.7,26.5,9,16,44,,7.4,5,0.385,20,0.3,6,46.4,32,0.401,28.7,22,32,0.344,11,0.5,3,"November 22, 2019",48.1,13,18.8,6,64.7,73.5,25,0.45899999999999996,61,0.44299999999999995,27,0.344,21,0.619,13,0,200,101.5,34.3,12,10,69,,19.1,13,0.295,18,0.111,2,53.6,37,0.486,12.5,10,43,0.581,25,1.0,4,"WVU Coliseum, Morgantown, West Virginia",BOSTON-UNIVERSITY,Boston University,68.4,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,3,True,False,True,Home,True,2,25,61,37,69,6,11,52,1,0,17,61,175,0.4942857142857143,124,213,0.5821596244131455,20,40,170,0.4117647058823529,1.0
4,2019-11-26-20-west-virginia,31.8,7,10.8,4,87.0,73.7,28,0.4270000000000001,55,0.4,22,0.218,12,0.667,8,1,200,79.7,29.4,10,26,55,,5.8,4,0.364,20,0.15,3,52.8,38,0.45299999999999996,22.0,17,35,0.5429999999999999,19,0.857,6,"November 26, 2019",50.0,10,8.6,3,79.7,70.6,24,0.40700000000000003,54,0.37,20,0.46299999999999997,25,0.64,16,0,200,87.0,26.3,10,17,60,,13.0,9,0.315,17,0.235,4,47.2,34,0.455,18.8,15,37,0.4320000000000001,16,1.0,5,"Hard Rock Hotel Riviera Maya, Cancun",NORTHERN-IOWA,Northern Iowa,69.3,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,4,True,False,True,Home,True,4,16,54,34,72,3,19,55,1,0,19,86,236,0.4851694915254237,161,282,0.5709219858156028,26,51,222,0.40540540540540543,1.0
5,2019-11-27-20-west-virginia,31.6,6,11.4,5,102.7,55.9,19,0.355,62,0.306,19,0.452,28,0.679,19,1,200,86.3,26.8,11,26,63,,4.1,3,0.40299999999999997,25,0.24,6,40.0,30,0.418,10.8,9,37,0.35100000000000003,13,0.857,6,"November 27, 2019",44.0,11,21.6,8,86.3,73.2,30,0.467,61,0.41,25,0.4920000000000001,30,0.6,18,0,200,102.7,44.1,15,25,75,,6.8,5,0.27899999999999997,17,0.41200000000000003,7,60.0,45,0.498,13.9,12,44,0.409,18,1.0,6,"Hard Rock Hotel Riviera Maya, Cancun",WICHITA-STATE,Wichita State,72.8,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,5,True,False,True,Home,True,7,18,61,45,75,6,13,62,1,0,23,102,290,0.4706896551724138,195,354,0.5508474576271186,29,70,277,0.40974729241877256,1.0
6,2019-12-01-14-west-virginia,31.3,10,5.8,3,108.9,63.2,24,0.5379999999999999,66,0.485,32,0.22699999999999998,15,0.667,10,3,200,102.5,23.3,7,21,81,,12.7,10,0.152,10,0.7,7,45.6,31,0.5539999999999999,15.2,13,56,0.446,25,0.625,5,"December 1, 2019",48.3,14,8.9,5,102.5,76.7,23,0.47700000000000004,65,0.446,29,0.47700000000000004,31,0.774,24,0,200,108.9,36.8,14,14,86,,6.3,5,0.2,13,0.308,4,54.4,37,0.539,14.2,13,52,0.48100000000000004,25,1.0,7,"WVU Coliseum, Morgantown, West Virginia",RHODE-ISLAND,Rhode Island,78.9,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,6,True,False,True,Home,True,4,25,65,37,68,7,25,66,1,0,30,120,351,0.4700854700854701,240,429,0.5594405594405595,35,83,339,0.3997050147492625,1.0
7,2019-12-07-12-st-johns-ny,59.3,16,11.3,6,84.3,71.1,32,0.47,67,0.40299999999999997,27,0.179,12,0.41700000000000004,5,1,200,81.9,31.6,12,22,68,,7.2,6,0.358,24,0.375,9,53.0,44,0.46799999999999997,23.3,22,43,0.419,18,0.875,7,"December 7, 2019",39.1,9,11.6,5,81.9,68.4,26,0.34299999999999997,70,0.32899999999999996,23,0.386,27,0.815,22,2,200,84.3,28.9,13,20,70,,18.1,15,0.243,17,0.11800000000000001,2,47.0,39,0.423,13.7,13,53,0.396,21,0.8,8,"Madison Square Garden (IV), New York, New York",WEST-VIRGINIA,West Virginia,82.8,Home,ST-JOHNS-NY,St. John's (NY),West Virginia,big-12,7,False,False,False,Away,False,9,18,67,44,83,2,21,70,0,1,34,145,416,0.4711538461538462,277,497,0.5573440643863179,42,108,405,0.4222222222222222,1.0
8,2019-12-12-19-west-virginia,15.8,3,4.0,2,118.3,50.0,18,0.355,55,0.345,19,0.4,22,0.636,14,5,200,74.6,23.5,8,19,53,,11.3,8,0.255,14,0.071,1,37.1,26,0.405,17.8,14,41,0.439,18,0.444,4,"December 12, 2019",61.8,21,2.4,1,74.6,76.5,26,0.552,67,0.507,34,0.239,16,0.625,10,1,200,118.3,50.0,18,17,84,,12.7,9,0.254,17,0.353,6,62.9,44,0.563,15.9,14,50,0.56,28,0.889,8,"WVU Coliseum, Morgantown, West Virginia",AUSTIN-PEAY,Austin Peay,71.0,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,8,True,False,True,Home,True,6,28,67,44,70,1,18,55,1,0,43,163,483,0.4710144927536232,321,580,0.553448275862069,44,129,475,0.4105263157894737,0.875
9,2019-12-14-14-west-virginia,36.4,8,5.6,2,115.3,48.6,18,0.39299999999999996,61,0.361,22,0.24600000000000002,15,0.6,9,5,200,79.2,26.5,9,26,57,,12.5,9,0.41,25,0.16,4,38.0,27,0.418,15.1,12,36,0.5,18,0.545,6,"December 14, 2019",51.9,14,16.7,6,79.2,73.5,25,0.4920000000000001,61,0.44299999999999995,27,0.4920000000000001,30,0.767,23,1,200,115.3,51.4,19,17,83,,6.9,5,0.41,25,0.24,6,62.0,44,0.551,17.7,16,36,0.583,21,0.9,9,"WVU Coliseum, Morgantown, West Virginia",NICHOLLS-STATE,Nicholls State,71.7,Home,WEST-VIRGINIA,West Virginia,West Virginia,big-12,9,True,False,True,Home,True,6,21,61,44,71,4,18,61,1,0,49,191,550,0.4809090909090909,365,650,0.5615384615384615,45,147,530,0.4047169811320755,0.8888888888888888
