,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LONG-ISLAND-UNIVERSITY_homegame,LONG-ISLAND-UNIVERSITY_homegame2,LONG-ISLAND-UNIVERSITY_home,LONG-ISLAND-UNIVERSITY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-rhode-island,68.2,15,2.3,1,101.3,65.1,28,0.419,68,0.324,22,0.17600000000000002,12,0.667,8,1,200,86.7,17.8,8,16,65,,8.0,6,0.647,44,0.295,13,40.9,36,0.441,14.1,12,24,0.375,9,0.0,0,"November 5, 2019",66.7,18,8.3,2,86.7,82.2,37,0.45,70,0.386,27,0.243,17,0.765,13,0,200,101.3,34.9,15,14,76,,6.7,5,0.371,26,0.34600000000000003,9,59.1,52,0.48700000000000004,11.4,10,44,0.409,18,1.0,1,"Ryan Center, Kingston, Rhode Island",LONG-ISLAND-UNIVERSITY,LIU,75.4,Home,RHODE-ISLAND,Rhode Island,Long Island University,northeast,0,False,False,False,Away,False,13,9,68,36,88,9,18,70,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-long-island-university,50.0,15,12.1,4,93.7,80.0,28,0.507,69,0.435,30,0.348,24,0.708,17,1,200,110.1,40.5,15,19,87,,7.6,6,0.36200000000000004,25,0.4,10,59.7,43,0.541,14.0,13,44,0.455,20,0.5,1,"November 8, 2019",51.7,15,20.5,9,110.1,59.5,22,0.5,66,0.439,29,0.182,12,0.667,8,2,200,93.7,20.0,7,22,74,,5.1,4,0.5,33,0.242,8,40.3,29,0.516,17.4,15,33,0.636,21,0.0,0,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,79.1,Away,MASSACHUSETTS-LOWELL,UMass-Lowell,Long Island University,northeast,1,False,True,True,Home,False,8,21,66,29,72,10,20,69,0,1,13,9,68,0.4191176470588235,36,88,0.4090909090909091,9,18,70,0.45,0.0
2,2019-11-13-19-george-mason,34.5,10,8.2,4,105.3,71.4,25,0.5,63,0.46,29,0.28600000000000003,18,0.611,11,3,200,97.4,23.5,8,16,74,,7.9,6,0.33299999999999996,21,0.23800000000000002,5,47.8,33,0.517,16.5,14,42,0.5710000000000001,24,0.0,0,"November 13, 2019",35.5,11,16.7,7,97.4,76.5,26,0.5,67,0.46299999999999997,31,0.254,17,0.765,13,0,200,105.3,28.6,10,16,80,,9.2,7,0.26899999999999996,18,0.278,5,52.2,36,0.5329999999999999,11.8,10,49,0.531,26,1.0,3,"EagleBank Arena, Fairfax, Virginia",LONG-ISLAND-UNIVERSITY,LIU,76.3,Home,GEORGE-MASON,George Mason,Long Island University,northeast,2,False,False,False,Away,False,5,24,63,33,69,5,26,67,0,1,21,30,134,0.45895522388059706,65,160,0.40625,19,38,139,0.4784172661870504,0.0
3,2019-11-18-19-delaware-state,54.8,17,14.9,7,103.7,77.1,27,0.617,60,0.517,31,0.38299999999999995,23,0.7829999999999999,18,3,200,113.6,7.4,2,17,92,,7.4,6,0.467,28,0.429,12,46.8,29,0.649,12.5,10,32,0.594,19,0.25,1,"November 18, 2019",38.7,12,6.3,2,113.6,92.6,25,0.486,70,0.44299999999999995,31,0.314,22,0.727,16,4,200,103.7,22.9,8,21,84,,7.4,6,0.32899999999999996,23,0.261,6,53.2,33,0.522,12.1,11,47,0.532,25,0.0,0,"Memorial Hall, Dover, Delaware",DELAWARE-STATE,Delaware State,81.2,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,3,False,False,False,Away,True,12,19,60,29,62,6,25,70,1,0,26,54,197,0.4720812182741117,98,229,0.4279475982532751,24,64,206,0.4854368932038835,0.0
4,2019-11-22-22-san-diego-state,55.0,11,5.4,2,109.5,80.0,28,0.511,46,0.435,20,0.565,26,0.654,17,4,198,86.5,15.4,4,16,64,,2.7,2,0.457,21,0.33299999999999996,7,52.5,32,0.5479999999999999,26.8,21,25,0.52,13,0.2,1,"November 22, 2019",81.3,26,8.0,2,86.5,84.6,22,0.552,67,0.478,32,0.179,12,0.583,7,0,198,109.5,20.0,7,21,81,,10.8,8,0.44799999999999995,30,0.33299999999999996,10,47.5,29,0.557,7.7,6,37,0.595,22,1.0,5,"Viejas Arena, San Diego, California",LONG-ISLAND-UNIVERSITY,LIU,74.3,Home,SAN-DIEGO-STATE,San Diego State,Long Island University,northeast,4,False,False,False,Away,False,7,13,46,32,61,10,22,67,0,1,38,73,257,0.5058365758754864,127,291,0.436426116838488,30,89,276,0.4855072463768116,0.25
5,2019-11-24-14-texas-tech,42.9,9,0.0,0,129.7,59.4,19,0.52,50,0.42,21,0.38,19,0.737,14,5,200,89.2,10.7,3,22,66,,6.8,5,0.48,24,0.41700000000000004,10,36.7,22,0.5589999999999999,24.6,19,26,0.423,11,0.16699999999999998,1,"November 24, 2019",62.9,22,11.5,3,89.2,89.3,25,0.596,68,0.515,35,0.294,20,0.75,15,0,200,129.7,40.6,13,17,96,12.0,5.4,4,0.27899999999999997,19,0.579,11,63.3,38,0.619,10.5,9,49,0.49,24,1.0,5,"United Supermarkets Arena, Lubbock, Texas",LONG-ISLAND-UNIVERSITY,LIU,74.3,Home,TEXAS-TECH,Texas Tech,Long Island University,northeast,5,False,False,False,Away,False,10,11,50,22,60,11,24,68,0,1,45,86,303,0.5066006600660066,159,352,0.4517045454545455,40,111,343,0.4985422740524781,0.2
6,2019-11-28-16-north-florida,50.0,16,5.1,2,110.5,75.0,27,0.597,62,0.516,32,0.33899999999999997,21,0.857,18,6,200,107.0,10.7,3,19,92,,7.0,6,0.40299999999999997,25,0.4,10,46.9,30,0.639,17.4,15,37,0.595,22,0.14300000000000002,1,"November 28, 2019",45.5,15,5.4,2,107.0,89.3,25,0.535,71,0.465,33,0.35200000000000004,25,0.76,19,3,200,110.5,25.0,9,20,95,,9.3,8,0.451,32,0.313,10,53.1,34,0.573,14.6,14,39,0.59,23,0.625,5,"Orleans Arena, Paradise, Nevada",LONG-ISLAND-UNIVERSITY,LIU,85.9,Home,NORTH-FLORIDA,North Florida,Long Island University,northeast,6,False,False,False,Away,False,10,22,62,30,64,10,23,71,0,1,55,97,353,0.5084985835694051,181,412,0.4393203883495146,51,135,411,0.5145985401459854,0.16666666666666666
7,2019-11-29-14-long-island-university,56.5,13,4.8,1,113.9,90.9,20,0.452,62,0.371,23,0.242,15,0.867,13,7,200,95.8,33.3,12,20,69,,8.3,6,0.419,26,0.385,10,55.2,32,0.499,16.9,14,36,0.361,13,0.125,1,"November 29, 2019",57.7,15,11.1,4,95.8,66.7,24,0.667,48,0.542,26,0.43799999999999994,21,0.857,18,6,200,113.9,9.1,2,17,82,,11.1,8,0.563,27,0.444,12,44.8,26,0.7070000000000001,21.8,16,21,0.667,14,0.25,2,"Orleans Arena, Paradise, Nevada",CAL-POLY,Cal Poly,71.6,Home,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,7,True,False,True,Home,True,12,14,48,26,58,10,13,62,1,0,65,119,415,0.5216867469879518,211,476,0.4432773109243697,61,158,482,0.5176348547717843,0.14285714285714285
8,2019-12-07-13-army,42.3,11,10.8,4,92.3,73.5,25,0.556,63,0.413,26,0.429,27,0.556,15,6,200,109.0,11.6,5,23,85,,14.1,11,0.7140000000000001,45,0.4,18,39.0,30,0.561,10.7,9,18,0.444,8,0.33299999999999996,3,"December 7, 2019",46.4,13,5.6,1,109.0,88.4,38,0.5,60,0.467,28,0.3670000000000001,22,0.545,12,4,200,92.3,26.5,9,23,72,,1.3,1,0.38299999999999995,23,0.174,4,61.0,47,0.511,17.7,15,37,0.649,24,0.5,4,"Christl Arena, West Point, New York",ARMY,Army,78.1,Away,LONG-ISLAND-UNIVERSITY,LIU,Long Island University,northeast,8,False,False,False,Away,True,18,8,63,30,77,4,24,60,1,0,77,133,463,0.5367170626349892,237,534,0.4438202247191011,71,171,544,0.5101102941176471,0.25
9,2019-12-14-14-rider,38.5,10,6.8,4,108.5,53.3,24,0.484,62,0.419,26,0.32299999999999995,20,0.7,14,7,200,90.2,20.5,8,24,74,,7.3,6,0.387,24,0.33299999999999996,8,38.1,32,0.517,18.4,16,38,0.474,18,0.3,3,"December 14, 2019",51.6,16,15.8,6,90.2,79.5,31,0.424,79,0.392,31,0.3670000000000001,29,0.759,22,2,200,108.5,46.7,21,20,89,,12.2,10,0.253,20,0.25,5,61.9,52,0.48,12.4,13,59,0.441,26,0.75,6,"Alumni Gymnasium, Lawrenceville, New Jersey",LONG-ISLAND-UNIVERSITY,LIU,82.1,Home,RIDER,Rider,Long Island University,northeast,9,False,False,False,Away,False,8,18,62,32,84,5,26,79,0,1,95,141,526,0.5389733840304183,267,611,0.4369885433715221,75,195,604,0.5091059602649006,0.3333333333333333
