,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LIBERTY_homegame,LIBERTY_homegame2,LIBERTY_home,LIBERTY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-23-19-north-florida,32.1,9,8.3,2,110.9,80.0,20,0.536,56,0.5,28,0.23199999999999998,13,0.769,10,2,200,109.4,20.7,6,18,70,,6.3,4,0.23199999999999998,13,0.308,4,48.1,26,0.563,10.2,7,43,0.5579999999999999,24,0.905,19,"January 23, 2020",36.0,9,4.7,2,109.4,79.3,23,0.5770000000000001,52,0.48100000000000004,25,0.28800000000000003,15,0.733,11,9,200,110.9,20.0,5,18,71,,3.1,2,0.5379999999999999,28,0.35700000000000004,10,51.9,28,0.6,14.6,10,24,0.625,15,0.5710000000000001,12,"UNF Arena , Jacksonville, Florida",LIBERTY,Liberty,63.7,Home,NORTH-FLORIDA,North Florida,Liberty,atlantic-sun,20,False,False,False,Away,False,4,24,56,26,54,10,15,52,0,1,159,330,1029,0.5524781341107872,625,1174,0.5323679727427598,109,259,1012,0.4174901185770751,0.95
21,2020-01-25-16-stetson,68.8,11,17.9,5,87.3,95.0,19,0.406,48,0.33299999999999996,16,0.16699999999999998,8,0.5,4,3,200,78.2,16.7,5,15,43,,5.5,3,0.563,27,0.259,7,48.0,24,0.415,13.4,8,21,0.429,9,0.8640000000000001,19,"January 25, 2020",37.5,6,9.5,2,78.2,83.3,25,0.439,41,0.39,16,0.341,14,0.857,12,11,200,87.3,5.0,1,14,48,,7.3,4,0.317,13,0.308,4,52.0,26,0.504,16.0,9,28,0.429,12,0.5,11,"Edmunds Center, DeLand, Florida",LIBERTY,Liberty,55.2,Home,STETSON,Stetson,Liberty,atlantic-sun,21,False,False,False,Away,False,7,9,48,24,50,4,12,41,0,1,163,354,1085,0.5516129032258065,651,1228,0.5301302931596091,119,274,1064,0.4252819548872181,0.9047619047619048
22,2020-01-30-19-liberty,50.0,8,0.0,0,140.7,47.6,10,0.419,43,0.3720000000000001,16,0.302,13,0.6920000000000001,9,20,200,76.3,14.8,4,17,45,,5.1,3,0.302,13,0.308,4,29.2,14,0.45799999999999996,21.1,13,30,0.4,12,0.048,1,"January 30, 2020",43.8,14,6.7,2,76.3,85.2,23,0.614,57,0.561,32,0.316,18,0.722,13,3,200,140.7,52.4,11,15,83,,8.5,5,0.35100000000000003,20,0.3,6,70.8,34,0.633,8.5,6,37,0.703,26,0.87,20,"Vines Center, Lynchburg, Virginia",KENNESAW-STATE,Kennesaw State,59.4,Home,LIBERTY,Liberty,Liberty,atlantic-sun,22,True,False,True,Home,True,6,26,57,34,48,4,12,43,1,0,170,363,1133,0.5454545454545454,675,1278,0.528169014084507,123,286,1105,0.4257918552036199,0.8636363636363636
23,2020-02-01-19-liberty,16.7,3,3.8,1,107.0,88.9,16,0.444,45,0.4,18,0.133,6,1.0,6,17,200,80.7,26.9,7,10,46,,12.3,7,0.42200000000000004,19,0.21100000000000002,4,52.3,23,0.48100000000000004,23.9,15,26,0.5379999999999999,14,0.292,7,"February 1, 2020",40.0,10,11.5,3,80.7,73.1,19,0.633,45,0.556,25,0.133,6,0.667,4,3,200,107.0,11.1,2,8,61,,19.3,11,0.42200000000000004,19,0.368,7,47.7,21,0.637,20.1,12,26,0.6920000000000001,18,0.875,21,"Vines Center, Lynchburg, Virginia",FLORIDA-GULF-COAST,Florida Gulf Coast,56.9,Home,LIBERTY,Liberty,Liberty,atlantic-sun,23,True,False,True,Home,True,7,18,45,21,44,4,14,45,1,0,176,389,1190,0.5487394957983194,709,1326,0.5346907993966817,127,298,1148,0.4255226480836237,0.8695652173913043
24,2020-02-06-19-jacksonville,44.8,13,5.4,2,98.4,84.0,21,0.542,59,0.4920000000000001,29,0.22,13,0.5379999999999999,7,3,200,112.7,31.3,10,12,71,,4.8,3,0.39,23,0.261,6,54.4,31,0.545,11.0,8,36,0.639,23,0.88,22,"February 6, 2020",33.3,8,8.3,3,112.7,68.8,22,0.52,51,0.47100000000000003,24,0.275,14,0.643,9,14,200,98.4,16.0,4,17,62,,4.8,3,0.275,14,0.35700000000000004,5,45.6,26,0.5379999999999999,14.9,10,37,0.514,19,0.44,11,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,63.4,Away,LIBERTY,Liberty,Liberty,atlantic-sun,24,False,False,False,Away,True,6,23,59,31,57,5,19,51,1,0,183,407,1235,0.5518218623481781,730,1370,0.5328467153284672,131,312,1193,0.4262363788767812,0.875
25,2020-02-08-16-north-alabama,45.8,11,8.3,3,81.2,75.0,30,0.5920000000000001,49,0.49,24,0.3670000000000001,18,0.889,16,3,200,107.2,24.0,6,15,74,,7.2,5,0.469,23,0.435,10,55.4,36,0.643,21.9,16,26,0.5379999999999999,14,0.885,23,"February 8, 2020",36.8,7,7.7,2,107.2,76.0,19,0.36200000000000004,58,0.32799999999999996,19,0.345,20,0.7,14,14,200,81.2,25.0,10,20,56,,11.6,8,0.379,22,0.182,4,44.6,29,0.415,16.3,13,36,0.41700000000000004,15,0.41700000000000004,10,"Flowers Hall, Florence, Alabama",NORTH-ALABAMA,North Alabama,69.0,Away,LIBERTY,Liberty,Liberty,atlantic-sun,25,False,False,False,Away,True,10,14,49,36,65,4,15,58,1,0,189,430,1294,0.5513910355486863,761,1427,0.5332866152768044,136,331,1244,0.43006430868167206,0.88
26,2020-02-15-19-liberty,36.8,7,2.7,1,100.0,77.1,27,0.439,49,0.38799999999999996,19,0.22399999999999998,11,0.545,6,18,200,79.0,6.9,2,17,49,,6.5,4,0.38799999999999996,19,0.263,5,45.3,29,0.452,15.7,10,30,0.467,14,0.28,7,"February 15, 2020",61.9,13,3.3,1,79.0,93.1,27,0.445,55,0.382,21,0.29100000000000004,16,0.813,13,3,200,100.0,22.9,8,12,62,,1.6,1,0.327,18,0.389,7,54.7,35,0.495,10.1,7,37,0.37799999999999995,14,0.889,24,"Vines Center, Lynchburg, Virginia",NJIT,NJIT,61.9,Home,LIBERTY,Liberty,Liberty,atlantic-sun,26,True,False,True,Home,True,7,14,55,35,64,5,14,49,1,0,199,444,1343,0.5528667163067759,797,1492,0.5341823056300268,140,346,1302,0.4270353302611367,0.8846153846153846
27,2020-02-20-19-liberty,67.9,19,8.6,3,130.2,76.0,19,0.619,59,0.475,28,0.102,6,0.667,4,11,200,122.2,30.0,9,22,77,,4.8,3,0.695,41,0.415,17,50.9,28,0.622,14.0,10,18,0.611,11,0.621,18,"February 20, 2020",63.0,17,16.7,3,122.2,70.0,21,0.604,48,0.563,27,0.688,33,0.727,24,3,200,130.2,24.0,6,11,82,,11.1,7,0.271,13,0.308,4,49.1,27,0.644,8.8,6,35,0.657,23,0.893,25,"Vines Center, Lynchburg, Virginia",NORTH-FLORIDA,North Florida,63.3,Home,LIBERTY,Liberty,Liberty,atlantic-sun,27,True,False,True,Home,True,4,23,48,27,55,17,11,59,1,0,206,458,1398,0.5486409155937053,832,1556,0.5347043701799485,145,360,1351,0.4274611398963731,0.8888888888888888
28,2020-02-22-17-liberty,53.3,8,3.7,1,120.3,66.7,14,0.42,44,0.341,15,0.4320000000000001,19,0.632,12,14,200,76.6,25.8,8,21,49,,7.8,5,0.386,17,0.41200000000000003,7,42.3,22,0.462,23.4,16,27,0.29600000000000004,8,0.517,15,"February 22, 2020",66.7,18,7.4,2,76.6,74.2,23,0.585,53,0.509,27,0.434,23,0.652,15,3,200,120.3,33.3,7,14,77,,14.1,9,0.491,26,0.308,8,57.7,30,0.602,13.7,10,27,0.7040000000000001,19,0.897,26,"Vines Center, Lynchburg, Virginia",STETSON,Stetson,64.0,Home,LIBERTY,Liberty,Liberty,atlantic-sun,28,True,False,True,Home,True,8,19,53,30,52,7,8,44,1,0,210,481,1446,0.5504840940525588,859,1611,0.5332091868404718,162,371,1410,0.43546099290780144,0.8928571428571429
29,2020-02-27-19-kennesaw-state,56.7,17,4.0,1,89.7,80.8,21,0.636,55,0.545,30,0.16399999999999998,9,0.667,6,3,200,131.0,36.0,9,15,76,,6.9,4,0.436,24,0.41700000000000004,10,58.8,30,0.6409999999999999,10.6,7,31,0.645,20,0.9,27,"February 27, 2020",42.1,8,6.5,2,131.0,64.0,16,0.446,46,0.413,19,0.28300000000000003,13,0.846,11,27,200,89.7,19.2,5,12,52,,5.2,3,0.457,21,0.14300000000000002,3,41.2,21,0.498,17.5,11,25,0.64,16,0.036000000000000004,1,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,57.7,Away,LIBERTY,Liberty,Liberty,atlantic-sun,29,False,False,False,Away,True,10,20,55,30,51,3,16,46,1,0,218,500,1499,0.5517011340893929,889,1663,0.534576067348166,169,379,1454,0.4350068775790922,0.8965517241379308
30,2020-02-29-14-lipscomb,46.2,12,9.7,3,118.5,84.6,22,0.555,55,0.473,26,0.273,15,0.667,10,4,200,109.2,20.7,6,19,71,,12.3,8,0.364,20,0.45,9,50.9,28,0.5710000000000001,14.0,10,35,0.486,17,0.871,27,"February 29, 2020",73.1,19,8.6,3,109.2,79.3,23,0.685,46,0.565,26,0.522,24,0.583,14,15,200,118.5,15.4,4,18,77,,10.8,7,0.326,15,0.733,11,49.1,27,0.6709999999999999,16.3,11,31,0.484,15,0.483,14,"Allen Arena, Nashville, Tennessee",LIBERTY,Liberty,65.3,Home,LIPSCOMB,Lipscomb,Liberty,atlantic-sun,30,False,False,False,Away,False,9,17,55,28,55,11,15,46,0,1,228,520,1554,0.5546975546975547,919,1714,0.5361726954492415,172,395,1500,0.43533333333333335,0.9
31,2020-03-03-19-liberty,55.6,10,3.8,1,87.3,87.5,28,0.364,55,0.327,18,0.218,12,0.75,9,21,200,77.8,8.1,3,19,49,,7.9,5,0.345,19,0.21100000000000002,4,44.9,31,0.40399999999999997,7.7,5,36,0.389,14,0.3,9,"March 3, 2020",47.1,8,19.4,7,77.8,91.9,34,0.413,46,0.37,17,0.522,24,0.708,17,4,200,87.3,12.5,4,12,55,,3.2,2,0.435,20,0.2,4,55.1,38,0.479,13.7,9,26,0.5,13,0.875,28,"Vines Center, Lynchburg, Virginia",NJIT,NJIT,62.6,Home,LIBERTY,Liberty,Liberty,atlantic-sun,31,True,False,True,Home,True,4,13,46,38,69,4,14,55,1,0,237,537,1609,0.5546923555003107,947,1769,0.5353306953080836,183,410,1546,0.4427554980595084,0.8709677419354839
32,2020-03-05-19-liberty,39.1,9,6.5,2,115.8,82.1,23,0.531,49,0.469,23,0.265,13,0.769,10,17,200,108.8,25.9,7,17,62,,1.8,1,0.408,20,0.3,6,54.5,30,0.562,14.1,9,29,0.586,17,0.485,16,"March 5, 2020",59.1,13,6.9,2,108.8,74.1,20,0.542,48,0.45799999999999996,22,0.354,17,0.8240000000000001,14,4,200,115.8,17.9,5,13,66,,8.8,5,0.354,17,0.47100000000000003,8,45.5,25,0.588,8.3,5,31,0.452,14,0.879,29,"Vines Center, Lynchburg, Virginia",STETSON,Stetson,56.6,Home,LIBERTY,Liberty,Liberty,atlantic-sun,32,True,False,True,Home,True,8,14,48,25,55,6,17,49,1,0,241,550,1655,0.5507552870090634,985,1838,0.5359085963003264,187,424,1601,0.4400374765771393,0.875
33,2020-03-08-15-liberty,43.5,10,8.0,2,119.7,90.5,19,0.511,47,0.489,23,0.27699999999999997,13,0.6920000000000001,9,16,200,93.4,14.8,4,11,57,,6.6,4,0.27699999999999997,13,0.154,2,47.9,23,0.536,19.8,13,34,0.618,21,0.5,16,"March 8, 2020",60.7,17,5.9,2,93.4,85.2,23,0.644,52,0.5379999999999999,28,0.154,8,0.75,6,4,200,119.7,9.5,2,14,73,,14.8,9,0.519,27,0.40700000000000003,11,52.1,25,0.654,11.2,7,25,0.68,17,0.882,30,"Vines Center, Lynchburg, Virginia",LIPSCOMB,Lipscomb,61.5,Home,LIBERTY,Liberty,Liberty,atlantic-sun,33,True,False,True,Home,True,11,17,52,25,48,2,21,47,1,0,249,564,1703,0.5504991192014093,1010,1893,0.5335446381405177,193,441,1650,0.4427272727272728,0.8787878787878788
