,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LIBERTY_homegame,LIBERTY_homegame2,LIBERTY_home,LIBERTY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-08-18-grand-canyon,59.1,13,3.1,1,95.3,77.4,24,0.542,48,0.45799999999999996,22,0.583,28,0.643,18,0,200,109.4,20.0,6,15,70,,4.7,3,0.396,19,0.42100000000000004,8,49.2,30,0.5710000000000001,13.0,9,29,0.483,14,1.0,11,"December 8, 2019",34.8,8,10.3,3,109.4,80.0,24,0.48100000000000004,53,0.434,23,0.264,14,0.7140000000000001,10,7,200,95.3,22.6,7,21,61,,3.1,2,0.396,21,0.23800000000000002,5,50.8,31,0.511,15.7,11,32,0.563,18,0.364,4,"Talking Stick Resort Arena, Phoenix, Arizona",GRAND-CANYON,Grand Canyon,64.0,Away,LIBERTY,Liberty,Liberty,atlantic-sun,10,False,False,False,Away,True,8,14,48,30,61,5,18,53,1,0,93,157,519,0.5712909441233139,335,610,0.5491803278688525,47,124,515,0.37766990291262137,1.0
11,2019-12-14-20-vanderbilt,36.4,8,11.1,3,84.8,84.8,28,0.462,53,0.415,22,0.226,12,1.0,12,0,200,92.4,21.4,6,15,61,,7.6,5,0.415,22,0.22699999999999998,5,55.7,34,0.52,18.2,13,31,0.5479999999999999,17,1.0,12,"December 14, 2019",50.0,9,22.6,7,92.4,78.6,22,0.42200000000000004,51,0.353,18,0.373,19,0.684,13,3,200,84.8,15.2,5,15,56,,10.6,7,0.47100000000000003,24,0.292,7,44.3,27,0.466,15.6,11,27,0.40700000000000003,11,0.667,6,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,65.9,Away,LIBERTY,Liberty,Liberty,atlantic-sun,11,False,False,False,Away,True,5,17,53,34,61,7,11,51,1,0,101,171,567,0.5687830687830688,365,671,0.5439642324888226,52,142,568,0.3873239436619718,1.0
12,2019-12-20-17-liberty,47.6,10,3.4,1,104.8,82.8,24,0.5,48,0.43799999999999994,21,0.292,14,0.429,6,6,200,85.7,17.9,5,18,54,,7.9,5,0.41700000000000004,20,0.3,6,50.9,29,0.494,18.1,12,28,0.536,15,0.455,5,"December 20, 2019",56.0,14,3.6,1,85.7,82.1,23,0.528,54,0.46299999999999997,25,0.24100000000000002,13,0.6920000000000001,9,0,200,104.8,17.2,5,14,66,,7.9,5,0.46299999999999997,25,0.28,7,49.1,28,0.5479999999999999,13.1,9,29,0.621,18,1.0,13,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",TOWSON,Towson,62.9,Home,LIBERTY,Liberty,Liberty,atlantic-sun,12,True,False,True,Home,True,7,18,54,28,57,6,15,48,1,0,106,188,620,0.5596774193548387,399,732,0.5450819672131147,59,153,619,0.3901453957996769,1.0
13,2019-12-21-15-liberty,54.2,13,0.0,0,129.0,94.1,16,0.565,54,0.444,24,0.13,7,0.857,6,3,200,108.1,12.9,4,14,67,,4.8,3,0.5,27,0.48100000000000004,13,41.7,20,0.584,13.6,9,27,0.40700000000000003,11,0.75,9,"December 21, 2019",41.2,14,11.1,3,108.1,87.1,27,0.725,51,0.667,34,0.157,8,0.75,6,0,200,129.0,5.9,1,12,80,,8.1,5,0.235,12,0.5,6,58.3,28,0.73,12.8,8,39,0.718,28,1.0,14,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",AKRON,Akron,62.1,Home,LIBERTY,Liberty,Liberty,atlantic-sun,13,True,False,True,Home,True,6,28,51,28,48,13,11,54,1,0,113,206,674,0.5571216617210683,427,789,0.541191381495564,65,168,667,0.3980509745127436,1.0
14,2019-12-29-13-louisiana-state,50.0,10,4.0,2,121.3,70.4,19,0.49,49,0.408,20,0.184,9,1.0,9,1,200,93.4,20.7,6,11,57,,4.9,3,0.51,25,0.32,8,44.6,25,0.535,19.7,13,24,0.5,12,0.9329999999999999,14,"December 29, 2019",37.5,12,16.7,4,93.4,79.3,23,0.5670000000000001,60,0.5329999999999999,32,0.11699999999999999,7,0.857,6,4,200,121.3,29.6,8,11,74,,14.8,9,0.16699999999999998,10,0.4,4,55.4,31,0.584,8.7,6,50,0.56,28,0.667,8,"Maravich Assembly Center, Baton Rouge, Louisiana",LIBERTY,Liberty,60.8,Home,LOUISIANA-STATE,LSU,Liberty,atlantic-sun,14,False,False,False,Away,False,8,12,49,25,56,4,28,60,0,1,119,234,725,0.5689655172413793,455,837,0.5436081242532855,78,179,721,0.4105409153952843,1.0
15,2020-01-02-17-florida-gulf-coast,60.0,15,14.3,3,82.1,77.3,17,0.585,47,0.532,25,0.191,9,0.444,4,1,200,105.4,18.2,4,12,59,,21.4,12,0.34,16,0.313,5,47.7,21,0.575,13.6,8,31,0.645,20,0.938,15,"January 2, 2020",62.5,10,12.9,4,105.4,81.8,18,0.46299999999999997,40,0.4,16,0.275,11,0.818,9,13,200,82.1,22.7,5,10,46,,7.1,4,0.475,19,0.263,5,52.3,23,0.509,27.5,17,21,0.524,11,0.188,3,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,56.3,Away,LIBERTY,Liberty,Liberty,atlantic-sun,15,False,False,False,Away,True,5,20,47,21,44,5,11,40,1,0,127,246,774,0.563953488372093,480,893,0.5375139977603584,82,207,781,0.4225352112676056,0.9333333333333332
16,2020-01-04-16-njit,48.0,12,8.8,3,61.3,88.9,32,0.547,53,0.47200000000000003,25,0.20800000000000002,11,0.636,7,1,200,104.8,14.8,4,16,65,,8.1,5,0.377,20,0.4,8,57.1,36,0.5579999999999999,10.8,7,33,0.515,17,0.941,16,"January 4, 2020",41.7,5,3.0,1,104.8,85.2,23,0.275,51,0.235,12,0.294,15,0.667,10,11,200,61.3,11.1,4,10,38,,9.7,6,0.33299999999999996,17,0.235,4,42.9,27,0.327,13.5,9,34,0.235,8,0.214,3,"Estelle and Zoom Fleisher Athletic Center, Newark, New Jersey",NJIT,NJIT,62.2,Away,LIBERTY,Liberty,Liberty,atlantic-sun,16,False,False,False,Away,True,8,17,53,36,63,4,8,51,1,0,132,266,821,0.5651644336175395,501,937,0.5346851654215582,87,218,821,0.4244823386114495,0.9375
17,2020-01-09-19-liberty,64.7,11,0.0,0,100.0,77.4,24,0.465,43,0.395,17,0.3720000000000001,16,0.75,12,10,200,82.5,8.7,2,14,52,,3.2,2,0.442,19,0.316,6,48.1,26,0.514,23.1,15,24,0.45799999999999996,11,0.375,6,"January 9, 2020",59.1,13,12.5,3,82.5,91.3,21,0.47100000000000003,52,0.423,22,0.365,19,0.737,14,1,200,100.0,22.6,7,13,63,,11.1,7,0.365,19,0.263,5,51.9,28,0.516,13.0,9,33,0.515,17,0.9440000000000001,17,"Vines Center, Lynchburg, Virginia",NORTH-ALABAMA,North Alabama,63.3,Home,LIBERTY,Liberty,Liberty,atlantic-sun,17,True,False,True,Home,True,5,17,52,28,54,6,11,43,1,0,140,283,874,0.5640732265446224,537,1000,0.537,91,226,872,0.4157110091743119,0.9411764705882352
18,2020-01-11-17-liberty,42.9,6,0.0,0,94.7,72.4,21,0.294,51,0.275,14,0.17600000000000002,9,0.778,7,10,200,64.9,31.3,10,11,37,,8.8,5,0.255,13,0.154,2,50.8,31,0.335,19.1,13,38,0.316,12,0.444,8,"January 11, 2020",47.6,10,5.3,2,64.9,68.8,22,0.49,50,0.42,21,0.14,7,0.7140000000000001,5,1,200,94.7,27.6,8,12,54,,15.8,9,0.38,19,0.368,7,49.2,30,0.506,17.2,11,31,0.452,14,0.9470000000000001,18,"Vines Center, Lynchburg, Virginia",JACKSONVILLE,Jacksonville,57.3,Home,LIBERTY,Liberty,Liberty,atlantic-sun,18,True,False,True,Home,True,7,14,50,30,61,2,12,51,1,0,145,300,926,0.5588552915766739,565,1054,0.5360531309297912,97,237,915,0.4180327868852459,0.9444444444444444
19,2020-01-18-19-liberty,60.0,12,0.0,0,108.1,71.4,25,0.5429999999999999,46,0.435,20,0.304,14,0.7140000000000001,10,12,200,96.8,16.7,4,19,60,,4.8,3,0.565,26,0.385,10,49.2,29,0.57,22.3,15,20,0.5,10,0.368,7,"January 18, 2020",43.5,10,0.0,0,96.8,83.3,20,0.5,53,0.434,23,0.415,22,0.636,14,1,200,108.1,28.6,10,11,67,,11.3,7,0.415,22,0.318,7,50.8,30,0.528,10.0,7,31,0.516,16,0.95,19,"Vines Center, Lynchburg, Virginia",LIPSCOMB,Lipscomb,62.1,Home,LIBERTY,Liberty,Liberty,atlantic-sun,19,True,False,True,Home,True,7,16,53,30,59,10,10,46,1,0,152,314,976,0.555327868852459,595,1115,0.5336322869955157,99,249,966,0.4114906832298137,0.9473684210526316
