,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SOUTHERN-ILLINOIS-EDWARDSVILLE_homegame,SOUTHERN-ILLINOIS-EDWARDSVILLE_homegame2,SOUTHERN-ILLINOIS-EDWARDSVILLE_home,SOUTHERN-ILLINOIS-EDWARDSVILLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-southern-illinois-edwardsville,80.0,12,2.3,1,87.1,63.6,21,0.433,45,0.33299999999999996,15,0.444,20,0.65,13,0,200,74.3,25.0,8,21,52,,7.1,5,0.644,29,0.31,9,44.6,29,0.47700000000000004,29.9,23,16,0.375,6,0.0,0,"November 5, 2019",56.5,13,18.8,3,74.3,75.0,24,0.4320000000000001,59,0.39,23,0.254,15,0.667,10,0,200,87.1,36.4,12,22,61,,10.0,7,0.271,16,0.313,5,55.4,36,0.461,20.6,17,43,0.419,18,1.0,1,"Sam Vadalabene Center , Edwardsville, Illinois","Quincy
			","Quincy
			",70.3,Home,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,ovc,0,True,False,True,Home,True,5,18,59,36,65,9,6,45,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-21-iowa,42.3,11,9.7,3,116.0,75.9,22,0.452,62,0.419,26,0.065,4,1.0,4,1,200,80.0,20.0,6,25,60,,8.0,6,0.29,18,0.222,4,47.5,28,0.469,20.1,16,44,0.5,22,0.5,1,"November 8, 2019",65.4,17,9.1,4,80.0,80.0,24,0.536,56,0.46399999999999997,26,0.5710000000000001,32,0.8440000000000001,27,0,200,116.0,24.1,7,8,87,,12.0,9,0.446,25,0.32,8,52.5,31,0.611,14.6,12,31,0.581,18,1.0,1,"Carver-Hawkeye Arena, Iowa City, Iowa",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,75.1,Home,IOWA,Iowa,SIU Edwardsville,ovc,1,False,False,False,Away,False,4,22,62,28,59,8,18,56,0,1,5,18,59,0.4322033898305085,36,65,0.5538461538461539,9,6,45,0.43333333333333335,1.0
2,2019-11-12-20-southern-illinois-edwardsville,55.2,16,4.0,2,98.7,73.7,28,0.5329999999999999,61,0.475,29,0.4920000000000001,30,0.8,24,1,200,115.6,35.3,12,16,89,,7.8,6,0.32799999999999996,20,0.35,7,55.6,40,0.591,15.9,14,41,0.537,22,0.667,2,"November 12, 2019",53.1,17,4.9,2,115.6,64.7,22,0.5,68,0.47100000000000003,32,0.235,16,0.5,8,2,200,98.7,26.3,10,23,76,,11.7,9,0.265,18,0.222,4,44.4,32,0.503,13.8,12,50,0.56,28,0.33299999999999996,1,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,77.4,Away,VALPARAISO,Valparaiso,SIU Edwardsville,ovc,2,False,True,True,Home,False,4,28,68,32,72,7,22,61,0,1,9,40,121,0.44214876033057854,64,124,0.5161290322580645,17,24,101,0.4900990099009901,0.5
3,2019-11-16-14-incarnate-word,59.1,13,13.8,4,79.7,76.7,23,0.402,61,0.361,22,0.19699999999999998,12,0.667,8,2,200,82.6,29.0,9,18,57,,8.7,6,0.295,18,0.278,5,52.5,32,0.4270000000000001,17.4,14,43,0.395,17,0.5,2,"November 16, 2019",75.0,15,16.3,7,82.6,71.0,22,0.462,53,0.377,20,0.20800000000000002,11,0.545,6,3,200,79.7,23.3,7,14,55,,8.7,6,0.45299999999999996,24,0.375,9,47.5,29,0.47200000000000003,21.7,16,29,0.379,11,0.25,1,"McDermott Center, San Antonio, Texas",INCARNATE-WORD,Incarnate Word,69.5,Away,SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,SIU Edwardsville,ovc,3,False,False,False,Away,True,5,17,61,32,61,9,11,53,1,0,13,68,189,0.462962962962963,96,196,0.4897959183673469,24,46,162,0.5061728395061729,0.3333333333333333
4,2019-11-18-20-south-dakota,42.9,9,5.9,2,102.9,79.3,23,0.41100000000000003,56,0.375,21,0.23199999999999998,13,0.769,10,3,200,81.2,12.5,4,23,56,,7.2,5,0.25,14,0.28600000000000003,4,44.3,27,0.45,15.1,11,42,0.405,17,0.4,2,"November 18, 2019",54.2,13,2.4,1,81.2,87.5,28,0.52,51,0.47100000000000003,24,0.49,25,0.72,18,0,200,102.9,20.7,6,15,71,,2.9,2,0.33299999999999996,17,0.294,5,55.7,34,0.565,15.1,11,34,0.5589999999999999,19,1.0,5,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,68.5,Home,SOUTH-DAKOTA,South Dakota,SIU Edwardsville,ovc,4,False,False,False,Away,False,4,17,56,27,61,5,19,51,0,1,18,85,250,0.44799999999999995,128,257,0.4980544747081712,33,57,215,0.4953488372093024,0.5
5,2019-11-23-15-southern-illinois-edwardsville,66.7,14,10.8,4,88.9,92.6,25,0.48100000000000004,54,0.389,21,0.35200000000000004,19,0.8420000000000001,16,2,200,94.4,27.6,8,12,68,,9.7,7,0.444,24,0.41700000000000004,10,58.9,33,0.539,21.4,17,30,0.3670000000000001,11,0.7140000000000001,5,"November 23, 2019",72.0,18,10.0,3,94.4,72.4,21,0.519,52,0.48100000000000004,25,0.25,13,0.769,10,4,200,88.9,7.4,2,19,64,,8.3,6,0.28800000000000003,15,0.267,4,41.1,23,0.55,20.6,15,37,0.568,21,0.33299999999999996,2,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,71.6,Away,NORTHERN-ILLINOIS,Northern Illinois,SIU Edwardsville,ovc,5,False,True,True,Home,False,4,21,52,23,56,10,11,54,0,1,22,102,306,0.4411764705882353,155,318,0.4874213836477987,38,76,266,0.5,0.4
6,2019-11-26-22-pacific,45.0,9,10.0,4,113.0,60.0,15,0.396,53,0.377,20,0.18899999999999997,10,0.8,8,5,200,72.5,17.9,5,15,50,,11.6,8,0.396,21,0.095,2,37.7,20,0.433,23.9,18,32,0.563,18,0.28600000000000003,2,"November 26, 2019",58.1,18,15.6,5,72.5,82.1,23,0.609,55,0.564,31,0.309,17,0.647,11,3,200,113.0,40.0,10,13,78,,14.5,10,0.273,15,0.33299999999999996,5,62.3,33,0.618,19.4,15,40,0.65,26,0.667,6,"A.G. Spanos Center, Stockton, California",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,69.4,Home,PACIFIC,Pacific,SIU Edwardsville,ovc,6,False,False,False,Away,False,2,18,53,20,53,5,26,55,0,1,26,123,358,0.452513966480447,178,374,0.4759358288770054,48,87,320,0.496875,0.3333333333333333
7,2019-11-29-17-california-riverside,55.0,11,4.3,1,113.1,76.2,16,0.441,51,0.392,20,0.157,8,0.75,6,6,200,83.6,12.5,4,17,51,,4.9,3,0.275,14,0.35700000000000004,5,37.7,20,0.465,16.8,11,37,0.405,15,0.25,2,"November 29, 2019",69.2,18,5.4,2,83.6,87.5,28,0.618,51,0.51,26,0.11800000000000001,6,1.0,6,2,200,113.1,23.8,5,13,69,,9.8,6,0.5489999999999999,28,0.39299999999999996,11,62.3,33,0.6409999999999999,17.0,11,23,0.652,15,0.75,6,"UC Riverside Student Recreation Center, Riverside, California",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,60.8,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,SIU Edwardsville,ovc,7,False,False,False,Away,False,5,15,51,20,53,11,15,51,0,1,28,141,411,0.4452554744525548,198,427,0.4637002341920375,53,113,375,0.5133333333333333,0.2857142857142857
8,2019-12-04-20-southern-illinois-edwardsville,67.9,19,5.0,2,111.0,68.4,26,0.667,48,0.583,28,0.563,27,0.9259999999999999,25,6,200,121.9,17.6,3,27,89,,8.2,6,0.33299999999999996,16,0.5,8,52.7,29,0.732,18.9,14,32,0.625,20,0.4,4,"December 4, 2019",70.4,19,0.0,0,121.9,82.4,14,0.516,64,0.42200000000000004,27,0.43799999999999994,28,0.536,15,7,200,111.0,31.6,12,21,81,,6.8,5,0.375,24,0.5,12,47.3,26,0.524,10.5,9,40,0.375,15,0.222,2,"Sam Vadalabene Center , Edwardsville, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,73.1,Away,CHICAGO-STATE,Chicago State,SIU Edwardsville,ovc,8,False,True,True,Home,False,12,15,64,26,55,8,20,48,0,1,33,156,462,0.4448051948051948,218,480,0.4541666666666666,64,128,426,0.5258215962441315,0.25
9,2019-12-15-16-northwestern,72.7,16,13.3,6,105.9,64.9,24,0.51,48,0.45799999999999996,22,0.125,6,0.833,5,8,200,79.4,9.1,2,24,54,,2.9,2,0.354,17,0.294,5,44.1,26,0.531,24.0,16,31,0.5479999999999999,17,0.2,2,"December 15, 2019",76.9,20,6.5,2,79.4,90.9,20,0.43,64,0.406,26,0.43799999999999994,28,0.607,17,4,200,105.9,35.1,13,10,72,,14.7,10,0.297,19,0.158,3,55.9,33,0.466,7.3,6,45,0.511,23,0.556,5,"Welsh-Ryan Arena, Evanston, Illinois",SOUTHERN-ILLINOIS-EDWARDSVILLE,SIU-Edwardsville,67.6,Home,NORTHWESTERN,Northwestern,SIU Edwardsville,ovc,9,False,False,False,Away,False,5,17,48,26,59,3,23,64,0,1,45,171,526,0.4534220532319392,244,535,0.4560747663551402,72,148,474,0.540084388185654,0.2222222222222222
