,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,FLORIDA-INTERNATIONAL_homegame,FLORIDA-INTERNATIONAL_homegame2,FLORIDA-INTERNATIONAL_home,FLORIDA-INTERNATIONAL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-mississippi-state,57.1,16,11.6,5,111.6,50.0,13,0.525,60,0.467,28,0.16699999999999998,10,0.6,6,1,200,100.0,37.5,12,20,69,,11.6,8,0.433,26,0.26899999999999996,7,43.1,25,0.5329999999999999,19.9,16,34,0.618,21,0.0,0,"November 5, 2019",45.2,14,14.7,5,100.0,62.5,20,0.588,57,0.544,31,0.298,17,0.588,10,0,200,111.6,50.0,13,15,77,,14.5,10,0.24600000000000002,14,0.35700000000000004,5,56.9,33,0.5920000000000001,21.8,18,43,0.605,26,1.0,1,"Humphrey Coliseum, Starkville, Mississippi",FLORIDA-INTERNATIONAL,Florida International,69.4,Home,MISSISSIPPI-STATE,Mississippi State,Florida International,cusa,0,False,False,False,Away,False,7,21,60,25,58,5,26,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-florida-international,65.0,13,2.4,1,116.1,86.7,26,0.4270000000000001,55,0.364,20,0.273,15,0.8,12,0,200,67.8,3.1,1,14,59,,3.4,3,0.473,26,0.26899999999999996,7,43.5,27,0.475,32.0,29,29,0.44799999999999995,13,0.0,0,"November 8, 2019",65.0,26,41.4,12,67.8,96.9,31,0.708,65,0.615,40,0.231,15,0.6,9,1,200,116.1,13.3,4,20,101,,20.7,18,0.354,23,0.522,12,56.5,35,0.7,18.3,16,42,0.667,28,0.5,1,"FIU Arena, Miami, Florida","Ave Maria
			","Ave Maria
			",87.1,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,1,True,False,True,Home,True,12,28,65,35,62,7,13,55,1,0,7,21,60,0.525,25,58,0.4310344827586207,5,26,57,0.5877192982456141,0.0
2,2019-11-13-21-north-carolina-state,46.2,12,15.2,7,111.7,57.5,23,0.608,51,0.51,26,0.392,20,0.75,15,2,200,100.0,26.3,5,23,77,,10.4,8,0.451,23,0.435,10,47.5,28,0.636,26.0,21,28,0.5710000000000001,16,0.33299999999999996,1,"November 13, 2019",35.5,11,14.3,4,100.0,73.7,14,0.493,69,0.449,31,0.406,28,0.643,18,1,200,111.7,42.5,17,17,86,,10.4,8,0.33299999999999996,23,0.261,6,52.5,31,0.522,12.9,12,46,0.5429999999999999,25,0.667,2,"PNC Arena, Raleigh, North Carolina",FLORIDA-INTERNATIONAL,Florida International,76.9,Home,NORTH-CAROLINA-STATE,NC State,Florida International,cusa,2,False,False,False,Away,False,10,16,51,28,59,6,25,69,0,1,19,49,125,0.62,60,120,0.5,12,39,112,0.5089285714285714,0.5
3,2019-11-19-19-cleveland-state,69.2,27,19.0,8,76.3,76.7,33,0.664,73,0.534,39,0.21899999999999997,16,0.625,10,2,200,133.8,40.0,14,20,107,,10.0,8,0.493,36,0.528,19,60.3,47,0.664,14.9,14,37,0.541,20,0.5,2,"November 19, 2019",58.8,10,5.4,2,133.8,60.0,21,0.313,64,0.266,17,0.406,26,0.8079999999999999,21,4,200,76.3,23.3,10,19,61,,12.5,10,0.344,22,0.273,6,39.7,31,0.39899999999999997,14.7,13,42,0.262,11,0.2,1,"Wolstein Center, Cleveland, Ohio",CLEVELAND-STATE,Cleveland State,80.0,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,3,False,False,False,Away,True,19,20,73,47,78,6,11,64,1,0,29,65,176,0.6164772727272727,88,179,0.4916201117318436,18,64,181,0.5027624309392266,0.3333333333333333
4,2019-11-22-15-eastern-kentucky,52.9,18,20.0,8,83.3,64.3,27,0.617,60,0.5670000000000001,34,0.33299999999999996,20,0.75,15,2,200,106.0,30.0,9,20,89,,17.9,15,0.35,21,0.28600000000000003,6,50.0,36,0.64,23.4,21,39,0.718,28,0.6,3,"November 22, 2019",52.4,11,2.6,1,106.0,70.0,21,0.38299999999999995,64,0.32799999999999996,21,0.43799999999999994,28,0.75,21,3,200,83.3,35.7,15,22,70,,13.1,11,0.375,24,0.292,7,50.0,36,0.45299999999999996,23.9,24,40,0.35,14,0.5,3,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",EASTERN-KENTUCKY,Eastern Kentucky,83.9,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,4,False,False,False,Away,True,6,28,60,36,72,7,14,64,1,0,48,85,249,0.6305220883534136,135,257,0.5252918287937743,24,75,245,0.4530612244897959,0.5
5,2019-11-23-13-north-carolina-wilmington,40.9,9,15.7,8,83.5,70.3,26,0.419,62,0.355,22,0.29,18,0.611,11,3,200,79.7,18.4,7,19,63,,10.1,8,0.387,24,0.33299999999999996,8,44.0,33,0.446,16.7,14,38,0.368,14,0.5,3,"November 23, 2019",28.0,7,10.5,4,79.7,81.6,31,0.386,66,0.379,25,0.303,20,0.75,15,3,200,83.5,29.7,11,14,66,,6.3,5,0.22699999999999998,15,0.067,1,56.0,42,0.4370000000000001,16.7,15,51,0.47100000000000003,24,0.5710000000000001,4,"St. Elizabeths East Entertainment & Sports Arena, Washington, District of Columbia",FLORIDA-INTERNATIONAL,Florida International,78.5,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,Florida International,cusa,5,False,False,False,Away,False,8,14,62,33,75,1,24,66,0,1,54,113,309,0.627831715210356,171,329,0.5197568389057751,31,89,309,0.43851132686084143,0.6
6,2019-11-26-19-florida-international,40.7,11,12.5,4,118.5,65.5,19,0.44299999999999995,70,0.386,27,0.386,27,0.741,20,0,200,101.2,32.6,14,15,82,,9.9,8,0.271,19,0.42100000000000004,8,45.8,33,0.495,13.7,13,51,0.373,19,0.0,0,"November 26, 2019",76.5,26,17.6,9,101.2,67.4,29,0.643,63,0.54,34,0.302,19,0.789,15,3,200,118.5,34.5,10,21,96,,9.9,8,0.4920000000000001,31,0.419,13,54.2,39,0.6659999999999999,20.1,18,32,0.6559999999999999,21,0.5710000000000001,4,"FIU Arena, Miami, Florida","Keiser
			","Keiser
			",80.9,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,6,True,False,True,Home,True,13,21,63,39,72,8,19,70,1,0,62,127,371,0.5929919137466307,204,404,0.504950495049505,32,113,375,0.4293333333333333,0.5
7,2019-11-30-19-florida-international,44.4,12,8.8,3,94.6,76.9,30,0.552,58,0.466,27,0.207,12,0.41700000000000004,5,4,200,93.2,29.0,9,15,69,,5.4,4,0.483,28,0.35700000000000004,10,55.7,39,0.542,23.1,19,30,0.5670000000000001,17,0.5,4,"November 30, 2019",34.6,9,10.0,3,93.2,71.0,22,0.484,61,0.426,26,0.262,16,0.688,11,3,200,94.6,23.1,9,19,70,,16.2,12,0.44299999999999995,27,0.259,7,44.3,31,0.51,18.1,15,34,0.5589999999999999,19,0.625,5,"FIU Arena, Miami, Florida",NEW-HAMPSHIRE,New Hampshire,74.2,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,7,True,False,True,Home,True,7,19,61,31,70,10,17,58,1,0,75,148,434,0.6002304147465438,243,476,0.5105042016806722,40,132,445,0.4314606741573034,0.5714285714285714
8,2019-12-04-19-florida-international,52.6,10,18.5,5,89.9,73.2,30,0.316,68,0.27899999999999997,19,0.20600000000000002,14,0.7140000000000001,10,9,200,67.1,38.3,18,12,53,,8.9,7,0.485,33,0.152,5,54.5,48,0.355,23.7,23,35,0.4,14,0.182,2,"December 4, 2019",79.2,19,22.9,8,67.1,61.7,29,0.455,66,0.364,24,0.28800000000000003,19,0.579,11,3,200,89.9,26.8,11,15,71,,13.9,11,0.591,39,0.308,12,45.5,40,0.473,15.8,14,27,0.444,12,0.667,6,"FIU Arena, Miami, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,78.8,Home,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,8,True,False,True,Home,True,12,12,66,40,88,5,14,68,1,0,82,167,495,0.5858585858585859,274,546,0.5018315018315018,50,149,503,0.4453280318091452,0.625
9,2019-12-07-13-kennesaw-state,50.0,16,9.8,5,101.3,51.4,19,0.507,69,0.46399999999999997,32,0.33299999999999996,23,0.609,14,3,200,105.0,34.3,12,26,84,,8.8,7,0.304,21,0.28600000000000003,6,43.1,31,0.525,16.8,16,48,0.542,26,0.7,7,"December 7, 2019",35.7,10,10.4,5,105.0,65.7,23,0.469,64,0.43799999999999994,28,0.516,33,0.636,21,8,200,101.3,48.6,18,20,81,,8.8,7,0.203,13,0.308,4,56.9,41,0.508,16.0,15,51,0.47100000000000003,24,0.0,0,"KSU Convocation Center , Kennesaw, Georgia",KENNESAW-STATE,Kennesaw State,80.3,Away,FLORIDA-INTERNATIONAL,Florida International,Florida International,cusa,9,False,False,False,Away,True,6,26,69,31,72,4,24,64,1,0,94,179,561,0.5704099821746881,314,634,0.4952681388012618,55,163,571,0.4299474605954466,0.6666666666666666
