,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LONG-BEACH-STATE_homegame,LONG-BEACH-STATE_homegame2,LONG-BEACH-STATE_home,LONG-BEACH-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-23-ucla,25.0,6,14.7,5,100.0,61.8,21,0.5479999999999999,52,0.462,24,0.308,16,0.5,8,1,200,94.2,14.3,4,25,65,,5.8,4,0.365,19,0.474,9,40.3,25,0.545,19.2,14,33,0.455,15,0.0,0,"November 6, 2019",61.9,13,18.2,6,94.2,85.7,24,0.44299999999999995,53,0.396,21,0.585,31,0.71,22,0,200,100.0,38.2,13,16,69,,15.9,11,0.358,19,0.263,5,59.7,37,0.509,16.3,13,34,0.47100000000000003,16,1.0,1,"Pauley Pavilion, Los Angeles, California",LONG-BEACH-STATE,Long Beach State,68.7,Home,UCLA,UCLA,Cal State Long Beach,big-west,0,False,False,False,Away,False,9,15,52,25,62,5,16,53,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-18-long-beach-state,38.1,8,4.3,2,92.5,75.0,24,0.444,54,0.389,21,0.37,20,0.7,14,2,200,77.5,32.4,11,19,62,,3.8,3,0.389,21,0.28600000000000003,6,53.0,35,0.488,31.6,29,33,0.455,15,0.0,0,"November 9, 2019",32.1,9,3.0,1,77.5,67.6,23,0.5,62,0.452,28,0.258,16,0.75,12,1,200,92.5,25.0,8,21,74,,12.5,10,0.258,16,0.375,6,47.0,31,0.532,19.8,17,46,0.478,22,0.5,1,"The Walter Pyramid, Long Beach, California",SAN-DIEGO,San Diego,80.1,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,1,True,False,True,Home,True,6,22,62,31,66,6,15,54,1,0,9,15,52,0.5480769230769231,25,62,0.4032258064516129,5,16,53,0.4433962264150944,0.0
2,2019-11-12-21-stanford,40.9,9,16.7,7,121.1,67.7,21,0.47200000000000003,54,0.40700000000000003,22,0.222,12,0.583,7,2,200,81.7,21.9,7,17,58,,8.5,6,0.426,23,0.304,7,44.4,28,0.486,24.3,19,31,0.484,15,0.33299999999999996,1,"November 12, 2019",65.7,23,3.2,1,81.7,78.1,25,0.615,65,0.5379999999999999,35,0.10800000000000001,7,0.857,6,0,200,121.1,32.3,10,12,86,,12.7,9,0.354,23,0.435,10,55.6,35,0.629,13.9,11,42,0.595,25,1.0,3,"Maples Pavilion, Stanford, California",LONG-BEACH-STATE,Long Beach State,70.5,Home,STANFORD,Stanford,Cal State Long Beach,big-west,2,False,False,False,Away,False,7,15,54,28,63,10,25,65,0,1,15,37,114,0.5219298245614035,56,128,0.4375,11,31,107,0.4439252336448598,0.5
3,2019-11-14-22-saint-marys-ca,34.8,8,14.3,5,124.6,75.0,18,0.49,52,0.442,23,0.327,17,0.706,12,3,200,96.9,19.4,6,16,63,,9.2,6,0.26899999999999996,14,0.35700000000000004,5,43.6,24,0.524,16.8,12,38,0.474,18,0.25,1,"November 14, 2019",58.1,18,0.0,0,96.9,80.6,25,0.6729999999999999,55,0.564,31,0.182,10,0.7,7,1,200,124.6,25.0,6,16,81,18.0,10.8,7,0.364,20,0.6,12,56.4,31,0.6779999999999999,15.6,11,35,0.5429999999999999,19,0.667,2,"McKeon Pavilion, Moraga, California",LONG-BEACH-STATE,Long Beach State,65.4,Home,SAINT-MARYS-CA,Saint Mary's,Cal State Long Beach,big-west,3,False,False,False,Away,False,5,18,52,24,55,12,19,55,0,1,22,52,168,0.5059523809523809,84,191,0.4397905759162304,21,56,172,0.5087209302325582,0.3333333333333333
4,2019-11-22-22-long-beach-state,27.3,6,0.0,0,114.8,59.3,16,0.395,62,0.355,22,0.355,22,0.591,13,0,200,76.5,28.2,11,24,62,,16.0,13,0.484,30,0.16699999999999998,5,40.9,27,0.428,21.8,20,32,0.531,17,0.0,0,"November 22, 2019",51.6,16,6.3,2,76.5,71.8,28,0.607,56,0.5539999999999999,31,0.5710000000000001,32,0.7809999999999999,25,3,200,114.8,40.7,11,21,93,,9.9,8,0.268,15,0.4,6,59.1,39,0.653,23.1,21,41,0.61,25,0.4,2,"The Walter Pyramid, Long Beach, California","Fresno Pacific
			","Fresno Pacific
			",81.3,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,4,True,False,True,Home,True,6,25,56,39,66,5,17,62,1,0,27,70,220,0.5022727272727273,108,246,0.4390243902439024,33,75,227,0.5484581497797357,0.25
5,2019-11-24-20-arizona,50.0,12,0.0,0,123.8,76.9,20,0.45799999999999996,59,0.40700000000000003,24,0.39,23,0.565,13,4,200,79.8,25.8,8,22,67,,3.6,3,0.35600000000000004,21,0.28600000000000003,6,49.1,28,0.479,23.3,21,38,0.474,18,0.33299999999999996,2,"November 24, 2019",70.3,26,7.9,3,79.8,74.2,23,0.672,64,0.578,37,0.42200000000000004,27,0.667,18,0,200,123.8,23.1,6,23,104,14.0,17.9,15,0.375,24,0.5,12,50.9,29,0.677,16.5,15,40,0.625,25,1.0,6,"McKale Center, Tucson, Arizona",LONG-BEACH-STATE,Long Beach State,84.4,Home,ARIZONA,Arizona,Cal State Long Beach,big-west,5,False,False,False,Away,False,6,18,59,28,57,12,25,64,0,1,33,95,276,0.5235507246376812,147,312,0.4711538461538462,38,92,289,0.5155709342560554,0.4
6,2019-11-28-14-long-beach-state,72.0,18,7.0,3,89.2,75.0,24,0.483,60,0.41700000000000004,25,0.183,11,0.636,7,3,200,87.8,28.6,10,22,65,,16.2,12,0.4,24,0.33299999999999996,8,50.7,34,0.498,22.7,19,36,0.47200000000000003,17,0.5710000000000001,4,"November 28, 2019",80.0,20,11.1,4,87.8,71.4,25,0.491,53,0.47200000000000003,25,0.434,23,0.609,14,4,200,89.2,25.0,8,20,66,,14.9,11,0.18899999999999997,10,0.2,2,49.3,33,0.516,22.2,18,43,0.535,23,0.429,3,"Anaheim Convention Center, Anaheim, California",PROVIDENCE,Providence,74.1,Home,LONG-BEACH-STATE,Long Beach State,Cal State Long Beach,big-west,6,True,False,True,Home,True,2,23,53,33,67,8,17,60,1,0,39,113,335,0.5119402985074627,175,369,0.4742547425474255,50,117,353,0.5439093484419264,0.3333333333333333
7,2019-11-29-14-wake-forest,73.1,19,12.5,6,112.8,55.9,19,0.528,54,0.48100000000000004,26,0.389,21,0.857,18,5,200,96.2,14.3,4,20,75,,7.7,6,0.24100000000000002,13,0.385,5,37.1,23,0.586,20.2,16,41,0.512,21,0.375,3,"November 29, 2019",63.3,19,7.3,3,96.2,85.7,24,0.46399999999999997,69,0.435,30,0.36200000000000004,25,0.96,24,2,200,112.8,44.1,15,17,88,,10.3,8,0.304,21,0.19,4,62.9,39,0.544,14.9,14,48,0.542,26,0.7140000000000001,5,"Anaheim Convention Center, Anaheim, California",LONG-BEACH-STATE,Long Beach State,77.9,Home,WAKE-FOREST,Wake Forest,Cal State Long Beach,big-west,7,False,False,False,Away,False,5,21,54,23,62,4,26,69,0,1,41,136,388,0.509020618556701,208,436,0.4770642201834863,58,134,413,0.5351089588377724,0.42857142857142855
8,2019-12-01-13-pennsylvania,47.1,16,11.8,4,125.0,65.7,23,0.562,65,0.523,34,0.185,12,0.5,6,6,200,103.9,36.7,11,11,79,,11.8,9,0.154,10,0.5,5,52.3,34,0.5589999999999999,18.5,16,55,0.527,29,0.33299999999999996,3,"December 1, 2019",75.0,27,10.9,6,103.9,63.3,19,0.621,70,0.514,36,0.171,12,0.667,8,3,200,125.0,34.3,12,15,95,,11.8,9,0.514,36,0.41700000000000004,15,47.7,31,0.627,14.7,13,34,0.618,21,0.625,5,"Anaheim Convention Center, Anaheim, California",LONG-BEACH-STATE,Long Beach State,76.2,Home,PENNSYLVANIA,Penn,Cal State Long Beach,big-west,8,False,False,False,Away,False,5,29,65,34,65,15,21,70,0,1,46,157,442,0.5113122171945701,231,498,0.463855421686747,62,160,482,0.524896265560166,0.375
9,2019-12-07-19-long-beach-state,46.2,12,9.1,4,73.0,67.6,25,0.518,57,0.456,26,0.12300000000000001,7,0.857,6,3,200,103.2,37.9,11,16,65,,9.5,6,0.33299999999999996,19,0.368,7,54.5,36,0.539,17.8,13,38,0.5,19,0.75,9,"December 7, 2019",17.6,3,2.6,1,103.2,62.1,18,0.34299999999999997,54,0.315,17,0.259,14,0.643,9,7,200,73.0,32.4,12,10,46,,11.1,7,0.185,10,0.3,3,45.5,30,0.379,20.0,15,44,0.318,14,0.3,3,"The Walter Pyramid, Long Beach, California",LONG-BEACH-STATE,Long Beach State,63.0,Away,PACIFIC,Pacific,Cal State Long Beach,big-west,9,False,True,True,Home,False,3,14,54,30,66,7,19,57,0,1,51,186,507,0.5177514792899408,265,563,0.4706927175843694,77,181,552,0.5371376811594203,0.3333333333333333
