,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MONTANA_homegame,MONTANA_homegame2,MONTANA_home,MONTANA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-22-stanford,39.1,9,10.8,4,105.8,96.3,26,0.51,52,0.442,23,0.26899999999999996,14,0.643,9,1,200,89.9,18.5,5,13,62,,8.7,6,0.385,20,0.35,7,57.4,31,0.529,22.6,17,32,0.5,16,0.0,0,"November 6, 2019",48.1,13,15.6,5,89.9,81.5,22,0.565,54,0.5,27,0.24100000000000002,13,0.9229999999999999,12,0,200,105.8,3.7,1,12,73,,18.8,13,0.315,17,0.41200000000000003,7,42.6,23,0.607,13.1,9,37,0.541,20,1.0,1,"Maples Pavilion, Stanford, California",MONTANA,Montana,69.4,Home,STANFORD,Stanford,Montana,big-sky,0,False,False,False,Away,False,7,16,52,31,54,7,20,54,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-16-montana,45.0,9,8.7,4,95.5,75.8,25,0.434,53,0.377,20,0.075,4,1.0,4,0,200,74.6,17.9,5,13,50,,6.0,4,0.47200000000000003,25,0.24,6,49.2,30,0.455,24.7,18,28,0.5,14,0.0,0,"November 10, 2019",40.7,11,17.9,5,74.6,82.1,23,0.467,60,0.45,27,0.16699999999999998,10,0.8,8,1,200,95.5,24.2,8,8,64,,10.4,7,0.233,14,0.14300000000000002,2,50.8,31,0.494,12.3,9,46,0.5429999999999999,25,0.5,1,"Adams Center/Dahlberg Arena, Missoula, Montana","Montana State-Northern
			","Montana State-Northern
			",66.8,Home,MONTANA,Montana,Montana,big-sky,1,True,False,True,Home,True,2,25,60,31,61,6,14,53,1,0,7,16,52,0.5096153846153846,31,54,0.5740740740740741,7,20,54,0.5648148148148148,0.0
2,2019-11-16-17-arkansas,55.6,10,14.7,5,90.1,62.9,22,0.33899999999999997,56,0.321,18,0.25,14,0.5710000000000001,8,2,200,64.8,32.3,10,22,46,,7.0,5,0.28600000000000003,16,0.125,2,48.5,32,0.3670000000000001,26.1,22,40,0.4,16,0.33299999999999996,1,"November 16, 2019",45.0,9,5.0,2,64.8,67.7,21,0.40700000000000003,54,0.37,20,0.48100000000000004,26,0.769,20,0,200,90.1,37.1,13,18,64,,15.5,11,0.37,20,0.2,4,51.5,34,0.48200000000000004,16.6,13,34,0.47100000000000003,16,1.0,3,"Bud Walton Arena, Fayetteville, Arkansas",MONTANA,Montana,70.5,Home,ARKANSAS,Arkansas,Montana,big-sky,2,False,False,False,Away,False,2,16,56,32,66,4,16,54,0,1,9,41,112,0.4866071428571429,62,115,0.5391304347826087,13,34,107,0.5,0.5
3,2019-11-18-21-montana,71.4,20,2.7,1,102.9,75.0,18,0.55,60,0.467,28,0.267,16,0.5,8,0,200,105.7,21.2,7,23,74,,11.4,8,0.317,19,0.526,10,43.9,25,0.547,11.8,9,41,0.439,18,0.0,0,"November 18, 2019",40.0,10,4.9,2,105.7,78.8,26,0.563,48,0.521,25,0.479,23,0.7829999999999999,18,3,200,102.9,25.0,6,22,72,,8.6,6,0.22899999999999998,11,0.364,4,56.1,32,0.611,23.6,18,37,0.568,21,0.25,1,"Adams Center/Dahlberg Arena, Missoula, Montana",MONTANA,Montana,70.3,Away,"Montana Tech
			","Montana Tech
			",Montana,big-sky,3,False,True,True,Home,False,4,21,48,32,57,10,18,60,0,1,11,57,168,0.4375,94,181,0.5193370165745856,17,50,161,0.46894409937888204,0.3333333333333333
4,2019-11-22-23-washington,68.4,13,0.0,0,96.1,68.0,17,0.41200000000000003,57,0.33299999999999996,19,0.228,13,0.6920000000000001,9,4,200,73.7,21.2,7,33,56,,9.2,7,0.386,22,0.409,9,41.4,24,0.44299999999999995,23.3,19,35,0.28600000000000003,10,0.2,1,"November 22, 2019",36.8,7,14.3,5,73.7,78.8,26,0.452,42,0.452,19,1.095,46,0.7609999999999999,35,1,200,96.1,32.0,8,18,73,25.0,10.5,8,0.262,11,0.0,0,58.6,34,0.5720000000000001,25.2,21,31,0.613,19,0.8,4,"Alaska Airlines Arena, Seattle, Washington",MONTANA,Montana,76.0,Home,WASHINGTON,Washington,Montana,big-sky,4,False,False,False,Away,False,9,10,57,24,58,0,19,42,0,1,15,78,216,0.4652777777777778,126,238,0.5294117647058824,27,68,221,0.4909502262443439,0.25
5,2019-11-25-21-montana,58.3,14,4.7,2,96.1,85.2,23,0.406,64,0.375,24,0.281,18,0.556,10,5,200,80.5,25.0,10,19,62,,10.4,8,0.23399999999999999,15,0.267,4,49.3,33,0.4270000000000001,19.1,17,49,0.408,20,0.16699999999999998,1,"November 25, 2019",35.7,10,8.2,4,80.5,75.0,30,0.546,54,0.519,28,0.37,20,0.75,15,4,200,96.1,14.8,4,16,74,,7.8,6,0.204,11,0.273,3,50.7,34,0.583,18.2,14,43,0.581,25,0.33299999999999996,2,"Adams Center/Dahlberg Arena, Missoula, Montana",TEXAS-SOUTHERN,Texas Southern,76.5,Home,MONTANA,Montana,Montana,big-sky,5,True,False,True,Home,True,3,25,54,34,67,4,20,64,1,0,24,88,273,0.4542124542124542,150,296,0.5067567567567568,27,87,263,0.4847908745247148,0.2
6,2019-11-29-21-montana,39.1,9,0.0,0,94.5,77.8,28,0.449,59,0.39,23,0.18600000000000005,11,0.818,9,6,200,84.9,11.8,4,12,62,,6.8,5,0.508,30,0.233,7,45.7,32,0.483,16.9,13,29,0.552,16,0.33299999999999996,3,"November 29, 2019",62.1,18,17.2,5,84.9,88.2,30,0.508,65,0.446,29,0.10800000000000001,7,0.429,3,4,200,94.5,22.2,8,14,69,,8.2,6,0.385,25,0.32,8,54.3,38,0.505,16.0,13,40,0.525,21,0.429,3,"Adams Center/Dahlberg Arena, Missoula, Montana",COPPIN-STATE,Coppin State,73.3,Home,MONTANA,Montana,Montana,big-sky,6,True,False,True,Home,True,8,21,65,38,70,7,16,59,1,0,27,113,327,0.4694189602446483,184,363,0.5068870523415978,31,107,327,0.4694189602446483,0.3333333333333333
7,2019-12-01-15-new-mexico,46.2,12,13.2,5,105.9,75.8,25,0.4920000000000001,60,0.433,26,0.11699999999999999,7,0.5710000000000001,4,5,200,92.6,3.2,1,29,63,,7.4,5,0.3670000000000001,22,0.318,7,40.6,26,0.4970000000000001,8.7,6,38,0.5,19,0.375,3,"December 1, 2019",68.2,15,13.2,5,92.6,96.8,30,0.49,51,0.431,22,0.6859999999999999,35,0.629,22,2,200,105.9,24.2,8,15,72,,4.4,3,0.255,13,0.462,6,59.4,38,0.532,11.9,9,38,0.42100000000000004,16,0.778,7,"The Pit, Albuquerque, New Mexico",MONTANA,Montana,68.5,Home,NEW-MEXICO,New Mexico,Montana,big-sky,7,False,False,False,Away,False,7,19,60,26,64,6,16,51,0,1,35,134,392,0.47576530612244894,222,433,0.5127020785219399,38,123,386,0.4663212435233161,0.42857142857142855
8,2019-12-06-21-montana,65.2,15,4.0,2,106.9,76.7,23,0.5,55,0.418,23,0.364,20,0.75,15,6,200,97.2,26.7,8,24,70,,5.6,4,0.4,22,0.409,9,51.7,31,0.5429999999999999,21.0,17,33,0.424,14,0.4,4,"December 6, 2019",33.3,9,18.2,6,97.2,73.3,22,0.509,55,0.491,27,0.491,27,0.778,21,5,200,106.9,23.3,7,18,77,,11.1,8,0.091,5,0.4,2,48.3,29,0.568,13.0,10,50,0.5,25,0.444,4,"Adams Center/Dahlberg Arena, Missoula, Montana",NORTH-DAKOTA,North Dakota,72.2,Home,MONTANA,Montana,Montana,big-sky,8,True,False,True,Home,True,2,25,55,29,60,9,14,55,1,0,42,153,452,0.4778761061946903,248,497,0.4989939637826962,44,139,437,0.4691075514874142,0.375
9,2019-12-18-23-oregon,47.4,9,5.3,2,109.5,70.4,19,0.40399999999999997,52,0.365,19,0.212,11,0.545,6,6,200,64.9,3.1,1,17,48,,8.1,6,0.327,17,0.235,4,33.9,20,0.419,25.1,19,35,0.429,15,0.4,4,"December 18, 2019",59.4,19,5.7,2,64.9,96.9,31,0.61,59,0.542,32,0.28800000000000003,17,0.529,9,2,200,109.5,29.6,8,10,81,8.0,16.2,12,0.35600000000000004,21,0.381,8,66.1,39,0.604,17.4,14,38,0.632,24,0.818,9,"Matthew Knight Arena, Eugene, Oregon",MONTANA,Montana,74.2,Home,OREGON,Oregon,Montana,big-sky,9,False,False,False,Away,False,4,15,52,20,59,8,24,59,0,1,44,178,507,0.4812623274161736,277,557,0.4973070017953322,53,153,492,0.4725609756097561,0.4444444444444444
