,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSISSIPPI-VALLEY-STATE_homegame,MISSISSIPPI-VALLEY-STATE_homegame2,MISSISSIPPI-VALLEY-STATE_home,MISSISSIPPI-VALLEY-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-iowa-state,43.3,13,0.0,0,125.0,62.5,25,0.486,73,0.41100000000000003,30,0.11,8,0.375,3,1,200,84.1,23.3,10,9,74,,3.4,3,0.397,29,0.379,11,42.2,35,0.48200000000000004,21.5,21,44,0.4320000000000001,19,0.0,0,"November 5, 2019",71.1,32,15.9,7,84.1,76.7,33,0.5920000000000001,87,0.517,45,0.126,11,0.636,7,0,200,125.0,37.5,15,8,110,,17.0,15,0.402,35,0.371,13,57.8,48,0.596,9.8,10,52,0.615,32,1.0,1,"James H. Hilton Coliseum , Ames, Iowa",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,87.5,Home,IOWA-STATE,Iowa State,Mississippi Valley State,swac,0,False,False,False,Away,False,11,19,73,35,83,13,32,87,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-21-utah,47.6,10,10.7,6,150.5,65.5,19,0.28800000000000003,80,0.263,21,0.075,6,0.5,3,2,200,51.6,12.1,7,16,49,,9.5,9,0.375,30,0.133,4,29.9,26,0.29600000000000004,17.1,17,50,0.34,17,0.0,0,"November 8, 2019",71.9,41,6.0,3,51.6,87.9,51,0.728,90,0.633,57,0.14400000000000002,13,0.9229999999999999,12,0,200,150.5,34.5,10,14,143,,6.3,6,0.37799999999999995,34,0.5,17,70.1,61,0.743,10.3,11,56,0.7140000000000001,40,1.0,2,"Jon M. Huntsman Center, Salt Lake City, Utah",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,95.0,Home,UTAH,Utah,Mississippi Valley State,swac,1,False,False,False,Away,False,4,17,80,26,87,17,40,90,0,1,11,19,73,0.4863013698630137,35,83,0.42168674698795183,13,32,87,0.5919540229885057,0.0
2,2019-11-10-14-central-michigan,50.0,15,7.1,4,138.1,57.4,27,0.466,73,0.41100000000000003,30,0.21899999999999997,16,0.625,10,3,200,80.4,16.3,7,27,78,,0.0,0,0.43799999999999994,32,0.25,8,37.8,34,0.484,22.3,23,41,0.537,22,0.0,0,"November 10, 2019",42.6,20,2.4,1,80.4,83.7,36,0.575,93,0.505,47,0.39799999999999996,37,0.73,27,0,200,138.1,42.6,20,15,134,,16.5,16,0.39799999999999996,37,0.35100000000000003,13,62.2,56,0.606,5.2,6,56,0.607,34,1.0,2,"McGuirk Arena, Mt. Pleasant, Michigan",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,96.6,Home,CENTRAL-MICHIGAN,Central Michigan,Mississippi Valley State,swac,2,False,False,False,Away,False,8,22,73,34,90,13,34,93,0,1,15,36,153,0.38235294117647056,61,170,0.3588235294117647,30,72,177,0.6610169491525424,0.0
3,2019-11-12-19-western-michigan,20.7,6,4.4,2,124.7,67.7,21,0.516,63,0.46,29,0.302,19,0.8420000000000001,16,4,200,111.0,24.2,8,27,81,,6.8,5,0.28600000000000003,18,0.389,7,45.3,29,0.562,10.1,8,45,0.489,22,0.0,0,"November 12, 2019",48.3,14,6.7,3,111.0,75.8,25,0.561,57,0.509,29,0.667,38,0.711,27,0,200,124.7,32.3,10,14,91,,2.7,2,0.21100000000000002,12,0.5,6,54.7,35,0.606,9.8,8,45,0.511,23,1.0,3,"University Arena, Kalamazoo, Michigan",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,72.5,Home,WESTERN-MICHIGAN,Western Michigan,Mississippi Valley State,swac,3,False,False,False,Away,False,7,22,63,29,64,6,23,57,0,1,23,58,226,0.4092920353982301,95,260,0.36538461538461536,43,106,270,0.6314814814814815,0.0
4,2019-11-19-19-louisiana-tech,47.1,8,4.4,2,91.6,75.0,33,0.254,71,0.239,17,0.16899999999999998,12,0.583,7,5,200,51.8,15.7,8,22,43,,3.6,3,0.324,23,0.087,2,43.2,41,0.28,17.3,16,48,0.313,15,0.0,0,"November 19, 2019",67.9,19,6.3,3,51.8,84.3,43,0.44,67,0.418,28,0.433,29,0.586,17,1,200,91.6,25.0,11,15,76,,8.4,7,0.32799999999999996,22,0.136,3,56.8,54,0.47,12.1,11,45,0.556,25,0.75,3,"Thomas Assembly Center, Ruston, Louisiana",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,82.7,Home,LOUISIANA-TECH,Louisiana Tech,Mississippi Valley State,swac,4,False,False,False,Away,False,2,15,71,41,95,3,25,67,0,1,30,80,289,0.4325259515570935,124,324,0.382716049382716,49,129,327,0.6192660550458715,0.0
5,2019-11-24-15-south-dakota-state,18.2,4,12.1,4,123.5,65.2,15,0.366,67,0.32799999999999996,22,0.075,5,1.0,5,6,200,79.4,22.0,9,14,54,,7.4,5,0.32799999999999996,22,0.22699999999999998,5,37.5,24,0.389,10.4,8,45,0.37799999999999995,17,0.0,0,"November 24, 2019",57.6,19,6.7,3,79.4,78.0,32,0.638,58,0.569,33,0.259,15,0.667,10,3,200,123.5,34.8,8,7,84,,7.4,5,0.431,25,0.32,8,62.5,40,0.645,13.4,10,33,0.758,25,0.625,5,"Frost Arena, Brookings, South Dakota",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,67.8,Home,SOUTH-DAKOTA-STATE,South Dakota State,Mississippi Valley State,swac,5,False,False,False,Away,False,5,17,67,24,64,8,25,58,0,1,32,95,360,0.3972222222222222,165,419,0.3937947494033413,52,154,394,0.5888324873096447,0.0
6,2019-11-27-14-north-alabama,23.8,5,4.8,2,96.1,69.0,29,0.35600000000000004,66,0.318,21,0.22699999999999998,15,0.2,3,7,200,65.8,31.1,14,21,50,,7.9,6,0.409,27,0.185,5,49.4,43,0.342,18.1,16,39,0.41,16,0.0,0,"November 27, 2019",50.0,14,7.7,3,65.8,68.9,31,0.46299999999999997,68,0.41200000000000003,28,0.294,20,0.5,10,4,200,96.1,31.0,13,17,73,,9.2,7,0.382,26,0.26899999999999996,7,50.6,44,0.47100000000000003,13.5,12,42,0.5,21,0.429,3,"Flowers Hall, Florence, Alabama",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,75.8,Home,NORTH-ALABAMA,North Alabama,Mississippi Valley State,swac,6,False,False,False,Away,False,5,16,66,43,87,7,21,68,0,1,37,112,427,0.392271662763466,189,483,0.39130434782608703,60,179,452,0.5951327433628318,0.0
7,2019-12-06-20-missouri-state,29.2,7,2.7,1,106.2,69.0,20,0.475,59,0.40700000000000003,24,0.237,14,0.429,6,8,200,76.5,10.3,4,24,62,,9.9,8,0.28800000000000003,17,0.47100000000000003,8,35.3,24,0.47200000000000003,22.6,19,42,0.381,16,0.0,0,"December 6, 2019",63.3,19,7.1,3,76.5,89.7,35,0.5670000000000001,60,0.5,30,0.433,26,0.6920000000000001,18,5,200,106.2,31.0,9,18,86,,9.9,8,0.38299999999999995,23,0.348,8,64.7,44,0.594,19.2,17,37,0.595,22,0.5,5,"JQH Arena, Springfield, Missouri",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,80.5,Home,MISSOURI-STATE,Missouri State,Mississippi Valley State,swac,7,False,False,False,Away,False,8,16,59,24,68,8,22,60,0,1,42,128,493,0.38742393509127787,232,570,0.4070175438596491,67,200,520,0.5778846153846153,0.0
8,2019-12-15-14-miami-oh,46.4,13,13.9,5,109.7,63.2,24,0.442,69,0.406,28,0.203,14,0.429,6,9,200,93.1,31.7,13,15,67,,11.1,8,0.377,26,0.192,5,46.8,37,0.44299999999999995,9.6,8,43,0.535,23,0.0,0,"December 15, 2019",66.7,20,9.3,4,93.1,68.3,28,0.493,72,0.41700000000000004,30,0.153,11,0.727,8,5,200,109.7,36.8,14,10,79,,2.8,2,0.5,36,0.306,11,53.2,42,0.511,11.5,10,36,0.528,19,0.5,5,"Millett Hall, Oxford, Ohio",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,71.9,Home,MIAMI-OH,Miami (OH),Mississippi Valley State,swac,8,False,False,False,Away,False,5,23,69,37,79,11,19,72,0,1,50,144,552,0.3967391304347826,256,638,0.4012539184952978,75,222,580,0.5767241379310345,0.0
9,2019-12-17-19-wright-state,40.0,8,2.2,1,110.8,60.0,24,0.28600000000000003,77,0.26,20,0.10400000000000001,8,0.75,6,10,200,60.2,29.6,16,21,50,,8.4,7,0.28600000000000003,22,0.182,4,42.6,40,0.309,16.6,16,55,0.29100000000000004,16,0.0,0,"December 17, 2019",57.1,20,5.5,3,60.2,70.4,38,0.535,72,0.486,35,0.375,27,0.556,15,3,200,110.8,40.0,16,11,92,,4.8,4,0.361,26,0.26899999999999996,7,57.4,54,0.542,16.0,16,46,0.609,28,0.75,9,"Ervin J. Nutter Center, Dayton, Ohio",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,82.8,Home,WRIGHT-STATE,Wright State,Mississippi Valley State,swac,9,False,False,False,Away,False,4,16,77,40,94,7,28,72,0,1,55,167,621,0.4017713365539453,293,717,0.4086471408647141,86,241,652,0.5674846625766872,0.0
