,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MONTANA-STATE_homegame,MONTANA-STATE_homegame2,MONTANA-STATE_home,MONTANA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-utah-state,54.2,13,8.6,3,106.6,75.8,25,0.5,57,0.42100000000000004,24,0.456,26,0.615,16,1,200,96.1,23.5,8,31,73,,7.9,6,0.33299999999999996,19,0.474,9,49.3,33,0.526,18.0,15,38,0.395,15,0.0,0,"November 5, 2019",60.0,12,13.2,5,96.1,76.5,26,0.434,53,0.377,20,0.8490000000000001,45,0.778,35,0,200,106.6,24.2,8,23,81,17.0,10.5,8,0.34,18,0.33299999999999996,6,50.7,34,0.545,11.0,9,35,0.4,14,1.0,1,"Dee Glen Smith Spectrum, Logan, Utah",MONTANA-STATE,Montana State,75.9,Home,UTAH-STATE,Utah State,Montana State,big-sky,0,False,False,False,Away,False,9,15,57,33,67,6,14,53,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-18-montana-state,58.3,14,2.4,1,114.8,68.8,22,0.475,61,0.39299999999999996,24,0.08199999999999999,5,0.4,2,0,200,74.1,22.2,8,15,60,,9.9,8,0.508,31,0.32299999999999995,10,44.1,30,0.473,29.1,26,30,0.467,14,0.0,0,"November 9, 2019",60.0,21,6.7,2,74.1,77.8,28,0.612,67,0.522,35,0.22399999999999998,15,0.733,11,1,200,114.8,31.3,10,14,93,,18.5,15,0.38799999999999996,26,0.462,12,55.9,38,0.627,18.8,17,41,0.561,23,0.5,1,"Max Worthington Arena, Bozeman, Montana","Rocky Mountain
			","Rocky Mountain
			",81.3,Home,MONTANA-STATE,Montana State,Montana State,big-sky,1,True,False,True,Home,True,12,23,67,38,68,10,14,61,1,0,9,15,57,0.5,33,67,0.4925373134328358,6,14,53,0.4339622641509434,0.0
2,2019-11-15-16-appalachian-state,52.2,12,9.5,4,77.8,75.0,30,0.47200000000000003,53,0.434,23,0.302,16,0.563,9,1,200,81.9,16.1,5,21,59,,9.7,7,0.302,16,0.25,4,49.3,35,0.48700000000000004,21.0,16,37,0.514,19,0.667,2,"November 15, 2019",38.1,8,0.0,0,81.9,83.9,26,0.369,61,0.344,21,0.262,16,0.688,11,2,200,77.8,25.0,10,16,56,,5.6,4,0.311,19,0.158,3,50.7,36,0.408,17.1,14,42,0.429,18,0.5,2,"Greensboro Coliseum, Greensboro, North Carolina",APPALACHIAN-STATE,Appalachian State,72.1,Away,MONTANA-STATE,Montana State,Montana State,big-sky,2,False,False,False,Away,True,4,19,53,35,71,3,18,61,1,0,21,38,124,0.5604838709677419,71,135,0.5259259259259259,16,28,114,0.456140350877193,0.5
3,2019-11-16-18-north-carolina-greensboro,57.1,12,3.2,1,93.0,73.5,25,0.613,40,0.525,21,0.575,23,0.7829999999999999,18,1,200,94.4,16.7,3,13,67,,8.5,6,0.35,14,0.5,7,53.8,28,0.6579999999999999,29.5,21,26,0.5379999999999999,14,0.75,3,"November 16, 2019",56.0,14,19.2,5,94.4,83.3,15,0.442,69,0.36200000000000004,25,0.145,10,0.5,5,2,200,93.0,26.5,9,21,66,,16.9,12,0.551,38,0.289,11,46.2,24,0.447,10.9,9,31,0.452,14,0.6,3,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,71.3,Away,MONTANA-STATE,Montana State,Montana State,big-sky,3,False,False,False,Away,True,7,14,40,28,52,11,14,69,1,0,25,57,177,0.5338983050847458,106,206,0.5145631067961165,19,46,175,0.4257142857142857,0.6666666666666666
4,2019-11-17-12-montana-state,13.3,2,11.1,3,82.5,88.5,23,0.284,58,0.259,15,0.121,7,0.857,6,5,200,61.9,38.5,15,9,39,,11.1,7,0.414,24,0.125,3,58.5,38,0.318,19.7,15,34,0.353,12,0.16699999999999998,1,"November 17, 2019",47.4,9,0.0,0,61.9,61.5,24,0.457,47,0.40399999999999997,19,0.23399999999999999,11,0.818,9,1,200,82.5,11.5,3,11,52,,14.3,9,0.426,20,0.25,5,41.5,27,0.498,22.4,15,27,0.519,14,0.8,4,"Greensboro Coliseum, Greensboro, North Carolina",TENNESSEE-TECH,Tennessee Tech,62.8,Home,MONTANA-STATE,Montana State,Montana State,big-sky,4,True,False,True,Home,True,5,14,47,27,65,3,12,58,1,0,32,71,217,0.5483870967741935,134,258,0.5193798449612403,30,60,244,0.430327868852459,0.75
5,2019-11-19-21-grand-canyon,36.4,8,13.9,5,106.2,74.3,26,0.522,46,0.478,22,0.326,15,0.5329999999999999,8,2,200,86.2,13.6,3,16,56,,3.1,2,0.348,16,0.25,4,50.9,29,0.527,22.2,15,30,0.6,18,0.667,4,"November 19, 2019",72.7,16,6.7,2,86.2,86.4,19,0.4320000000000001,59,0.373,22,0.35600000000000004,21,0.857,18,3,200,106.2,25.7,9,15,69,,12.3,8,0.39,23,0.304,7,49.1,28,0.5,5.5,4,36,0.41700000000000004,15,0.4,2,"Grand Canyon University Arena, Phoenix, Arizona",MONTANA-STATE,Montana State,64.6,Home,GRAND-CANYON,Grand Canyon,Montana State,big-sky,5,False,False,False,Away,False,4,18,46,29,57,7,15,59,0,1,37,85,264,0.5321969696969697,161,323,0.4984520123839009,33,72,302,0.40231788079470204,0.8
6,2019-11-26-21-montana-state,61.1,11,0.0,0,122.4,70.0,21,0.33899999999999997,59,0.305,18,0.16899999999999998,10,0.6,6,0,200,68.7,17.1,7,18,46,,6.0,4,0.39,23,0.174,4,39.4,28,0.361,13.6,10,36,0.389,14,0.0,0,"November 26, 2019",46.7,14,2.8,1,68.7,82.9,34,0.593,59,0.508,30,0.271,16,0.75,12,2,200,122.4,30.0,9,16,82,,10.4,7,0.33899999999999997,20,0.5,10,60.6,43,0.616,13.2,10,39,0.513,20,0.7140000000000001,5,"Max Worthington Arena, Bozeman, Montana","Colorado Christian
			","Colorado Christian
			",67.2,Home,MONTANA-STATE,Montana State,Montana State,big-sky,6,True,False,True,Home,True,10,20,59,43,71,4,14,59,1,0,41,103,310,0.5306451612903226,190,380,0.5,40,87,361,0.40720221606648205,0.6666666666666666
7,2019-11-30-20-montana-state,52.5,21,0.0,0,97.3,83.9,26,0.6920000000000001,65,0.615,40,0.2,13,0.615,8,4,200,132.4,15.4,4,20,98,,10.8,8,0.33799999999999997,22,0.455,10,52.6,30,0.688,7.8,6,43,0.698,30,0.429,3,"November 30, 2019",54.2,13,0.0,0,132.4,84.6,22,0.491,55,0.436,24,0.382,21,0.857,18,3,200,97.3,16.1,5,15,72,,4.1,3,0.436,24,0.25,6,47.4,27,0.5539999999999999,17.9,14,31,0.581,18,0.625,5,"Max Worthington Arena, Bozeman, Montana",MONTANA-STATE,Montana State,73.6,Away,GREEN-BAY,Green Bay,Montana State,big-sky,7,False,True,True,Home,False,6,18,55,27,57,10,30,65,0,1,51,123,369,0.540650406504065,233,451,0.516629711751663,44,101,420,0.3976190476190476,0.7142857142857143
8,2019-12-05-22-montana-state,42.3,11,11.8,4,110.0,75.9,22,0.46,62,0.419,26,0.32299999999999995,20,0.65,13,5,200,100.0,25.0,10,17,70,,8.6,6,0.32299999999999995,20,0.25,5,46.4,32,0.49,11.3,9,42,0.5,21,0.545,6,"December 5, 2019",53.6,15,16.7,7,100.0,75.0,30,0.561,57,0.491,28,0.298,17,0.765,13,3,200,110.0,24.1,7,16,77,,11.4,8,0.40399999999999997,23,0.348,8,53.6,37,0.5920000000000001,15.7,12,34,0.588,20,0.667,6,"Max Worthington Arena, Bozeman, Montana",SOUTH-DAKOTA-STATE,South Dakota State,70.3,Home,MONTANA-STATE,Montana State,Montana State,big-sky,8,True,False,True,Home,True,8,20,57,37,69,5,21,62,1,0,57,141,424,0.5341981132075472,260,508,0.5118110236220472,54,131,485,0.4371134020618557,0.625
9,2019-12-16-20-north-dakota-state,30.8,8,6.7,2,114.5,82.1,23,0.5379999999999999,53,0.491,26,0.20800000000000002,11,0.727,8,4,200,94.2,13.0,3,18,65,,4.3,3,0.28300000000000003,15,0.33299999999999996,5,51.0,26,0.5579999999999999,21.7,16,38,0.5529999999999999,21,0.6,6,"December 16, 2019",42.3,11,7.9,3,94.2,87.0,20,0.5539999999999999,56,0.46399999999999997,26,0.375,21,0.81,17,4,200,114.5,17.9,5,16,79,,10.1,7,0.46399999999999997,26,0.385,10,49.0,25,0.599,7.1,5,30,0.5329999999999999,16,0.667,8,"Scheels Center, Fargo, North Dakota",MONTANA-STATE,Montana State,68.6,Home,NORTH-DAKOTA-STATE,North Dakota State,Montana State,big-sky,9,False,False,False,Away,False,5,21,53,26,51,10,16,56,0,1,65,161,481,0.5374220374220374,297,577,0.5147313691507799,59,152,547,0.4396709323583181,0.6666666666666666
