,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ST-BONAVENTURE_homegame,ST-BONAVENTURE_homegame2,ST-BONAVENTURE_home,ST-BONAVENTURE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-st-bonaventure,70.8,17,5.6,2,81.5,62.5,20,0.5489999999999999,51,0.47100000000000003,24,0.314,16,0.563,9,0,200,100.0,26.9,7,18,65,,15.4,10,0.431,22,0.364,8,46.6,27,0.555,17.1,12,29,0.552,16,1.0,1,"November 5, 2019",55.0,11,6.9,2,100.0,73.1,19,0.391,55,0.364,20,0.273,15,0.667,10,1,200,81.5,37.5,12,21,53,,6.2,4,0.345,19,0.158,3,53.4,31,0.4270000000000001,20.6,16,36,0.47200000000000003,17,0.0,0,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,64.9,Away,OHIO,Ohio,St. Bonaventure,atlantic-10,0,False,True,True,Home,False,3,17,55,31,58,8,16,51,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-19-st-bonaventure,88.2,15,8.8,3,83.1,70.0,28,0.385,48,0.354,17,0.708,34,0.706,24,0,200,85.9,18.4,7,20,61,,8.5,6,0.41700000000000004,20,0.15,3,44.9,35,0.475,18.2,14,28,0.5,14,1.0,1,"November 8, 2019",57.9,11,7.1,2,85.9,81.6,31,0.344,61,0.311,19,0.361,22,0.773,17,2,200,83.1,30.0,12,25,59,,12.7,9,0.44299999999999995,27,0.14800000000000002,4,55.1,43,0.413,13.5,11,34,0.441,15,0.0,0,"Reilly Center, St. Bonaventure, New York",ST-BONAVENTURE,St. Bonaventure,70.8,Away,VERMONT,Vermont,St. Bonaventure,atlantic-10,1,False,True,True,Home,False,4,15,61,43,78,3,14,48,0,1,3,17,55,0.3909090909090909,31,58,0.5344827586206896,8,16,51,0.5490196078431373,0.0
2,2019-11-12-19-siena,50.0,12,8.3,3,111.4,59.3,16,0.46,63,0.381,24,0.111,7,1.0,7,3,200,92.9,28.6,10,20,65,,4.3,3,0.444,28,0.35700000000000004,10,41.9,26,0.49,16.4,13,35,0.4,14,0.0,0,"November 12, 2019",48.0,12,8.6,3,92.9,71.4,25,0.519,54,0.46299999999999997,25,0.537,29,0.759,22,1,200,111.4,40.7,11,11,78,,8.6,6,0.33299999999999996,18,0.33299999999999996,6,58.1,36,0.575,16.3,13,36,0.528,19,0.667,2,"Times Union Center , Albany, New York",ST-BONAVENTURE,St. Bonaventure,69.6,Home,SIENA,Siena,St. Bonaventure,atlantic-10,2,False,False,False,Away,False,10,14,63,26,62,6,19,54,0,1,7,32,116,0.3663793103448276,74,136,0.5441176470588235,11,30,99,0.4696969696969697,0.0
3,2019-11-16-19-rutgers,55.2,16,6.5,2,113.8,50.0,18,0.585,59,0.4920000000000001,29,0.22,13,0.846,11,3,200,123.1,34.6,9,25,80,,9.2,6,0.40700000000000003,24,0.45799999999999996,11,43.5,27,0.614,12.2,9,35,0.514,18,0.25,1,"November 16, 2019",75.0,18,14.3,5,123.1,65.4,17,0.491,56,0.429,24,0.536,30,0.633,19,1,200,113.8,50.0,18,16,74,,6.2,4,0.446,25,0.28,7,56.5,35,0.527,15.8,13,31,0.5479999999999999,17,0.75,3,"Scotiabank Arena, Toronto",RUTGERS,Rutgers,65.2,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,3,False,False,False,Away,True,11,18,59,27,62,7,17,56,1,0,17,46,179,0.3994413407821229,100,198,0.5050505050505051,17,49,153,0.4869281045751634,0.0
4,2019-11-23-14-canisius,16.7,3,13.3,4,96.8,42.9,12,0.415,47,0.38299999999999995,18,0.511,24,0.75,18,4,200,90.5,20.0,6,16,57,,15.9,10,0.255,12,0.25,3,31.0,18,0.488,18.4,13,35,0.429,15,0.2,1,"November 23, 2019",35.0,7,5.7,2,90.5,80.0,24,0.441,51,0.392,20,0.33299999999999996,17,0.941,16,2,200,96.8,57.1,16,16,61,,9.5,6,0.41200000000000003,21,0.23800000000000002,5,69.0,40,0.516,23.5,18,30,0.5,15,0.5,2,"Koessler Athletic Center, Buffalo, New York",ST-BONAVENTURE,St. Bonaventure,63.2,Home,CANISIUS,Canisius,St. Bonaventure,atlantic-10,4,False,False,False,Away,False,3,15,47,18,58,5,15,51,0,1,28,64,238,0.4453781512605042,127,260,0.4884615384615385,24,66,209,0.4880382775119617,0.25
5,2019-11-26-19-st-bonaventure,55.0,11,11.1,4,90.3,71.9,23,0.442,52,0.385,20,0.212,11,0.455,5,3,200,82.3,21.9,7,18,51,,3.2,2,0.365,19,0.316,6,46.9,30,0.446,16.2,11,33,0.424,14,0.5710000000000001,4,"November 26, 2019",61.1,11,12.1,4,82.3,78.1,25,0.385,52,0.34600000000000003,18,0.365,19,0.8420000000000001,16,4,200,90.3,28.1,9,14,56,,3.2,2,0.308,16,0.25,4,53.1,34,0.45899999999999996,14.2,10,36,0.389,14,0.33299999999999996,2,"Reilly Center, St. Bonaventure, New York",MERCER,Mercer,61.6,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,5,True,False,True,Home,True,4,14,52,34,64,6,14,52,1,0,31,79,285,0.4403508771929824,145,318,0.4559748427672956,29,81,260,0.4788461538461538,0.2
6,2019-12-01-21-san-diego,48.1,13,20.0,6,92.4,92.9,26,0.535,57,0.474,27,0.228,13,0.6920000000000001,9,4,200,106.1,32.3,10,15,70,,10.6,7,0.316,18,0.389,7,61.0,36,0.5539999999999999,14.9,11,39,0.513,20,0.429,3,"December 1, 2019",52.2,12,2.6,1,106.1,67.7,21,0.528,53,0.434,23,0.20800000000000002,11,0.455,5,6,200,92.4,7.1,2,17,61,,4.5,3,0.434,23,0.435,10,39.0,23,0.524,17.2,12,30,0.433,13,0.33299999999999996,3,"FAU Arena, Boca Raton, Florida",SAN-DIEGO,San Diego,66.2,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,6,False,False,False,Away,True,7,20,57,36,59,10,13,53,1,0,35,93,337,0.4317507418397626,179,382,0.468586387434555,35,95,312,0.4727564102564102,0.3333333333333333
7,2019-12-02-20-florida-atlantic,51.9,14,12.1,4,90.1,80.0,28,0.525,59,0.45799999999999996,27,0.271,16,0.563,9,4,200,100.0,21.2,7,15,71,,4.2,3,0.237,14,0.5710000000000001,8,51.5,35,0.5329999999999999,13.2,10,45,0.42200000000000004,19,0.5,4,"December 2, 2019",31.8,7,6.7,3,100.0,78.8,26,0.433,60,0.3670000000000001,22,0.3,18,0.667,12,4,200,90.1,20.0,7,16,64,,2.8,2,0.45,27,0.29600000000000004,8,48.5,33,0.467,12.8,10,33,0.424,14,0.5,4,"FAU Arena, Boca Raton, Florida",FLORIDA-ATLANTIC,Florida Atlantic,70.6,Away,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,7,False,False,False,Away,True,8,19,59,35,68,8,14,60,1,0,42,113,394,0.4467005076142132,215,441,0.4875283446712018,45,108,365,0.4808219178082192,0.42857142857142855
8,2019-12-07-14-st-bonaventure,18.8,3,3.3,1,109.0,58.6,17,0.302,58,0.276,16,0.345,20,0.5,10,4,200,67.2,31.7,13,20,45,,10.4,7,0.32799999999999996,19,0.158,3,42.9,30,0.33299999999999996,17.3,14,39,0.33299999999999996,13,0.6,6,"December 7, 2019",70.4,19,7.7,3,67.2,68.3,28,0.6,55,0.491,27,0.23600000000000002,13,0.5379999999999999,7,4,200,109.0,41.4,12,19,73,,11.9,8,0.455,25,0.48,12,57.1,40,0.597,21.9,17,30,0.5,15,0.556,5,"Reilly Center, St. Bonaventure, New York",HOFSTRA,Hofstra,67.3,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,8,True,False,True,Home,True,12,15,55,40,70,3,13,58,1,0,50,132,453,0.456953642384106,250,509,0.4911591355599214,53,122,425,0.4741176470588235,0.5
9,2019-12-14-16-st-bonaventure,57.9,11,0.0,0,108.7,73.1,19,0.46799999999999997,47,0.40399999999999997,19,0.27699999999999997,13,0.462,6,0,200,72.5,10.7,3,16,50,,11.6,8,0.36200000000000004,17,0.353,6,40.7,22,0.47,26.5,19,30,0.433,13,0.0,0,"December 14, 2019",67.9,19,20.0,6,72.5,89.3,25,0.589,56,0.5,28,0.23199999999999998,13,0.6920000000000001,9,4,200,108.7,26.9,7,11,75,,8.7,6,0.446,25,0.4,10,59.3,32,0.603,18.5,14,31,0.581,18,0.6,6,"Reilly Center, St. Bonaventure, New York","Gannon
			","Gannon
			",69.2,Home,ST-BONAVENTURE,St. Bonaventure,St. Bonaventure,atlantic-10,9,True,False,True,Home,True,10,18,56,32,54,6,13,47,1,0,62,147,508,0.4724409448818898,290,579,0.5008635578583766,56,135,483,0.453416149068323,0.5555555555555556
