,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,MISSOURI-KANSAS-CITY_homegame,MISSOURI-KANSAS-CITY_homegame2,MISSOURI-KANSAS-CITY_home,MISSOURI-KANSAS-CITY_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-10-19-mcneese-state,37.5,9,8.8,3,110.8,85.7,18,0.491,57,0.42100000000000004,24,0.40399999999999997,23,0.7390000000000001,17,6,200,98.6,23.3,7,30,73,,13.5,10,0.368,21,0.381,8,49.0,25,0.537,16.2,13,36,0.444,16,0.455,5,"December 10, 2019",44.4,12,33.3,12,98.6,76.7,23,0.69,42,0.643,27,0.905,38,0.632,24,6,200,110.8,14.3,3,17,82,,6.8,5,0.19,8,0.5,4,51.0,26,0.6829999999999999,23.5,18,34,0.6759999999999999,23,0.4,4,"H&HP Complex, Lake Charles, Louisiana",MISSOURI-KANSAS-CITY,UMKC,74.5,Home,MCNEESE-STATE,McNeese State,Kansas City,wac,10,False,False,False,Away,False,8,16,57,25,51,4,23,42,0,1,62,206,593,0.5042158516020236,305,602,0.5066445182724253,54,158,515,0.4640776699029126,0.5
11,2019-12-14-17-kansas,50.0,11,0.0,0,134.2,62.1,18,0.51,52,0.423,22,0.115,6,0.667,4,7,200,78.1,12.9,4,13,57,,6.8,5,0.34600000000000003,18,0.5,9,36.7,22,0.52,28.7,22,34,0.382,13,0.41700000000000004,5,"December 14, 2019",52.6,20,26.5,9,78.1,87.1,27,0.636,66,0.5760000000000001,38,0.273,18,0.778,14,1,200,134.2,37.9,11,10,98,2.0,13.7,10,0.348,23,0.348,8,63.3,38,0.657,11.9,10,43,0.698,30,0.9,9,"Sprint Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,73.2,Home,KANSAS,Kansas,Kansas City,wac,11,False,False,False,Away,False,9,13,52,22,60,8,30,66,0,1,70,222,650,0.5030769230769231,330,653,0.5053598774885145,58,181,557,0.481149012567325,0.4545454545454545
12,2019-12-17-20-missouri-kansas-city,46.7,7,8.1,3,105.9,72.2,26,0.3670000000000001,45,0.33299999999999996,15,0.778,35,0.6859999999999999,24,3,200,83.8,29.4,10,19,57,,7.4,5,0.37799999999999995,17,0.17600000000000002,3,51.4,36,0.462,20.9,16,28,0.429,12,0.727,8,"December 17, 2019",63.0,17,17.9,5,83.8,70.6,24,0.525,60,0.45,27,0.28300000000000003,17,0.529,9,7,200,105.9,27.8,10,28,72,,7.4,5,0.38299999999999995,23,0.391,9,48.6,34,0.529,12.9,10,37,0.486,18,0.462,6,"Swinney Recreation Center, Kansas City, Missouri",TOLEDO,Toledo,67.9,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,12,True,False,True,Home,True,9,18,60,34,70,3,12,45,1,0,79,235,702,0.5035612535612536,352,713,0.4936886395511921,66,211,623,0.4975922953451044,0.4166666666666667
13,2019-12-22-16-south-dakota,45.2,14,17.5,7,108.7,70.4,19,0.6940000000000001,49,0.633,31,0.265,13,0.769,10,7,200,113.0,5.3,1,23,78,,11.6,8,0.265,13,0.462,6,43.5,20,0.7070000000000001,21.5,15,36,0.6940000000000001,25,0.5,7,"December 22, 2019",34.6,9,0.0,0,113.0,94.7,18,0.5379999999999999,53,0.491,26,0.434,23,0.7829999999999999,18,5,200,108.7,29.6,8,12,75,,4.3,3,0.245,13,0.385,5,56.5,26,0.5870000000000001,16.0,12,40,0.525,21,0.643,9,"Sanford Coyote Sports Center, Vermillon, South Dakota",SOUTH-DAKOTA,South Dakota,68.6,Away,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,13,False,False,False,Away,True,6,25,49,20,46,5,21,53,1,0,88,253,762,0.505249343832021,386,783,0.4929757343550447,69,223,668,0.4887724550898204,0.4615384615384616
14,2020-01-02-20-missouri-kansas-city,30.8,8,10.9,5,98.9,88.2,30,0.382,76,0.342,26,0.48700000000000004,37,0.757,28,9,275,94.5,32.6,15,25,86,,12.1,11,0.395,30,0.2,6,56.3,45,0.46,12.3,13,46,0.435,20,0.43799999999999994,7,"January 2, 2020",37.5,12,8.7,4,94.5,67.4,31,0.561,66,0.485,32,0.364,24,0.667,16,7,275,98.9,11.8,4,27,90,,5.5,5,0.303,20,0.5,10,43.8,35,0.581,19.0,18,46,0.478,22,0.5329999999999999,8,"Swinney Recreation Center, Kansas City, Missouri",SEATTLE,Seattle,66.5,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,14,True,False,True,Home,True,10,22,66,35,80,6,20,76,1,0,94,278,811,0.5166461159062885,406,829,0.4897466827503016,74,244,721,0.492371705963939,0.5
15,2020-01-04-20-missouri-kansas-city,36.8,7,19.4,7,91.9,74.2,23,0.382,55,0.345,19,0.473,26,0.8079999999999999,21,10,200,85.1,28.1,9,21,63,,10.8,8,0.345,19,0.21100000000000002,4,50.8,32,0.46799999999999997,20.4,17,36,0.41700000000000004,15,0.41200000000000003,7,"January 4, 2020",54.5,12,13.9,5,85.1,71.9,23,0.48100000000000004,53,0.415,22,0.491,26,0.654,17,7,200,91.9,25.8,8,19,68,,9.5,7,0.321,17,0.41200000000000003,7,49.2,31,0.52,18.9,15,36,0.41700000000000004,15,0.562,9,"Swinney Recreation Center, Kansas City, Missouri",UTAH-VALLEY,Utah Valley,73.9,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,15,True,False,True,Home,True,7,15,53,31,63,4,15,55,1,0,104,300,877,0.5199543899657925,441,909,0.4851485148514851,80,264,797,0.4818067754077792,0.5333333333333333
16,2020-01-09-20-texas-pan-american,70.8,17,5.4,2,115.2,56.7,17,0.5429999999999999,47,0.511,24,0.447,21,0.619,13,8,200,97.0,17.4,4,25,64,,10.6,7,0.319,15,0.2,3,39.6,21,0.562,16.4,11,32,0.6559999999999999,21,0.529,9,"January 9, 2020",56.0,14,6.3,2,97.0,82.6,19,0.491,58,0.431,25,0.466,27,0.7040000000000001,19,10,200,115.2,43.3,13,15,76,,9.1,6,0.36200000000000004,21,0.33299999999999996,7,60.4,32,0.537,12.5,10,37,0.486,18,0.33299999999999996,5,"UTRGV Fieldhouse, Edinburg, Texas",MISSOURI-KANSAS-CITY,UMKC,65.9,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Kansas City,wac,16,False,False,False,Away,False,3,21,47,21,53,7,18,58,0,1,111,315,930,0.5177419354838709,472,972,0.4855967078189301,84,279,852,0.4753521126760563,0.5625
17,2020-01-11-18-new-mexico-state,57.7,15,0.0,0,107.2,85.0,17,0.57,57,0.456,26,0.24600000000000002,14,0.429,6,9,200,102.9,15.2,5,22,71,,13.0,9,0.42100000000000004,24,0.542,13,41.5,22,0.5579999999999999,14.8,11,33,0.39399999999999996,13,0.5,9,"January 11, 2020",69.0,20,12.1,4,102.9,84.8,28,0.7020000000000001,47,0.617,29,0.298,14,0.5710000000000001,8,6,200,107.2,15.0,3,18,74,,5.8,4,0.38299999999999995,18,0.444,8,58.5,31,0.69,25.3,18,29,0.7240000000000001,21,0.667,12,"Pan American Center, Las Cruces, New Mexico",MISSOURI-KANSAS-CITY,UMKC,69.2,Home,NEW-MEXICO-STATE,New Mexico State,Kansas City,wac,17,False,False,False,Away,False,13,13,57,22,53,8,21,47,0,1,114,336,977,0.518935516888434,493,1025,0.4809756097560976,91,297,910,0.4763736263736264,0.5294117647058824
18,2020-01-16-20-missouri-kansas-city,50.0,11,31.0,9,88.9,74.3,26,0.473,55,0.4,22,0.6,33,0.667,22,10,225,102.8,45.5,15,27,74,,15.3,11,0.327,18,0.444,8,60.3,41,0.524,16.8,14,37,0.37799999999999995,14,0.444,8,"January 16, 2020",57.9,11,8.1,3,102.8,54.5,18,0.40700000000000003,54,0.35200000000000004,19,0.574,31,0.645,20,10,225,88.9,25.7,9,27,64,,2.8,2,0.46299999999999997,25,0.24,6,39.7,27,0.466,18.2,15,29,0.44799999999999995,13,0.474,9,"Swinney Recreation Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,64.2,Away,CAL-STATE-BAKERSFIELD,Cal State Bakersfield,Kansas City,wac,18,False,True,True,Home,False,6,13,54,27,68,8,14,55,0,1,127,349,1034,0.5217601547388782,515,1078,0.4777365491651206,99,318,957,0.4874608150470219,0.5
19,2020-01-19-17-missouri-kansas-city,40.9,9,2.9,1,100.0,78.4,29,0.532,47,0.46799999999999997,22,0.447,21,0.905,19,11,200,104.5,13.6,3,15,69,,7.6,5,0.23399999999999999,11,0.545,6,54.2,32,0.606,15.1,10,36,0.444,16,0.389,7,"January 19, 2020",47.8,11,0.0,0,104.5,86.4,19,0.45799999999999996,60,0.38299999999999995,23,0.217,13,0.846,11,11,200,100.0,21.6,8,17,66,,4.5,3,0.433,26,0.34600000000000003,9,45.8,27,0.499,13.2,10,34,0.41200000000000003,14,0.45,9,"Swinney Recreation Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,66.1,Away,GRAND-CANYON,Grand Canyon,Kansas City,wac,19,False,True,True,Home,False,9,14,60,27,59,6,16,47,0,1,133,362,1088,0.5160845588235294,542,1146,0.4729493891797557,107,332,1012,0.4866600790513834,0.4736842105263158
20,2020-01-25-22-california-baptist,48.0,12,22.6,7,90.5,77.8,28,0.527,55,0.455,25,0.218,12,0.75,9,11,200,106.3,18.8,6,14,67,,7.9,5,0.345,19,0.42100000000000004,8,50.0,34,0.552,10.4,7,36,0.47200000000000003,17,0.47600000000000003,10,"January 25, 2020",55.6,10,13.9,5,106.3,81.3,26,0.382,55,0.327,18,0.309,17,0.882,15,6,200,90.5,22.2,8,14,57,,6.3,4,0.436,24,0.25,6,50.0,34,0.452,12.6,9,31,0.387,12,0.7,14,"CBU Events Center, Riverside, California",CALIFORNIA-BAPTIST,California Baptist,62.9,Away,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,20,False,False,False,Away,True,8,17,55,34,68,6,12,55,1,0,142,376,1148,0.5130662020905923,569,1205,0.4721991701244813,113,348,1059,0.4886685552407932,0.45
21,2020-01-27-20-missouri-kansas-city,58.8,10,7.9,3,139.4,64.7,22,0.353,51,0.33299999999999996,17,0.196,10,0.5,5,0,200,57.7,17.6,6,15,41,,7.0,5,0.275,14,0.14300000000000002,2,41.2,28,0.368,27.5,21,37,0.405,15,0.0,0,"January 27, 2020",64.9,24,13.5,5,57.7,82.4,28,0.667,66,0.561,37,0.28800000000000003,19,0.579,11,11,200,139.4,35.3,12,12,99,,26.8,19,0.424,28,0.5,14,58.8,40,0.66,9.7,8,38,0.605,23,0.5,11,"Swinney Recreation Center, Kansas City, Missouri","Crowley's Ridge
			","Crowley's Ridge
			",70.9,Home,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,21,True,False,True,Home,True,14,23,66,40,68,2,15,51,1,0,150,393,1203,0.513715710723192,603,1273,0.4736842105263158,119,360,1114,0.4833931777378815,0.4761904761904762
22,2020-02-01-13-chicago-state,61.9,13,0.0,0,82.3,75.0,18,0.5429999999999999,46,0.457,21,0.5,23,0.826,19,11,200,111.3,29.2,7,23,69,,19.4,12,0.326,15,0.5329999999999999,8,52.1,25,0.606,18.8,13,31,0.419,13,0.522,12,"February 1, 2020",53.3,8,6.5,2,111.3,70.8,17,0.42100000000000004,38,0.395,15,0.684,26,0.731,19,19,200,82.3,25.0,6,17,51,,12.9,8,0.395,15,0.133,2,47.9,23,0.506,25.6,17,23,0.565,13,0.174,4,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,62.1,Away,MISSOURI-KANSAS-CITY,UMKC,Kansas City,wac,22,False,False,False,Away,True,8,13,46,25,48,2,13,38,1,0,164,416,1269,0.5216706067769897,643,1341,0.4794929157345265,121,375,1165,0.4776824034334764,0.5
23,2020-02-06-20-missouri-kansas-city,57.1,12,14.7,5,90.9,66.7,18,0.588,40,0.525,21,0.9,36,0.722,26,14,200,110.6,31.6,6,18,73,,9.1,6,0.3,12,0.41700000000000004,5,52.2,24,0.639,22.3,16,28,0.5710000000000001,16,0.364,8,"February 6, 2020",42.9,9,14.3,4,110.6,68.4,13,0.45299999999999996,53,0.396,21,0.28300000000000003,15,0.8,12,12,200,90.9,33.3,9,26,60,,9.1,6,0.358,19,0.316,6,47.8,22,0.499,19.0,14,34,0.441,15,0.5,12,"Swinney Recreation Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,66.1,Away,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Kansas City,wac,23,False,True,True,Home,False,6,15,53,22,46,5,16,40,0,1,172,429,1315,0.5224334600760456,668,1389,0.4809215262778978,123,388,1203,0.4758935993349959,0.5217391304347826
24,2020-02-08-20-missouri-kansas-city,41.7,10,3.3,1,101.7,85.7,18,0.542,48,0.5,24,0.43799999999999994,21,0.7140000000000001,15,6,200,111.7,33.3,9,13,67,,6.7,4,0.25,12,0.33299999999999996,4,56.3,27,0.578,13.6,9,36,0.556,20,0.76,19,"February 8, 2020",29.2,7,13.9,5,111.7,66.7,18,0.563,48,0.5,24,0.22899999999999998,11,0.636,7,13,200,101.7,14.3,3,20,61,,8.3,5,0.375,18,0.33299999999999996,6,43.8,21,0.573,17.2,11,30,0.6,18,0.48,12,"Swinney Recreation Center, Kansas City, Missouri",MISSOURI-KANSAS-CITY,UMKC,59.6,Away,NEW-MEXICO-STATE,New Mexico State,Kansas City,wac,24,False,True,True,Home,False,6,18,48,21,48,4,20,48,0,1,178,444,1368,0.5197368421052632,690,1435,0.4808362369337979,128,404,1243,0.4794851166532583,0.5
25,2020-02-13-21-grand-canyon,55.2,16,3.4,1,100.0,88.9,24,0.5,63,0.46,29,0.127,8,0.375,3,14,225,93.0,16.2,6,29,66,,12.7,9,0.365,23,0.217,5,46.9,30,0.494,13.1,10,40,0.6,24,0.462,12,"February 13, 2020",57.9,11,5.0,2,93.0,83.8,31,0.5,43,0.442,19,0.8370000000000001,36,0.778,28,13,225,100.0,11.1,3,14,71,,7.0,5,0.326,14,0.35700000000000004,5,53.1,34,0.591,19.2,14,29,0.483,14,0.45799999999999996,11,"Grand Canyon University Arena, Phoenix, Arizona",MISSOURI-KANSAS-CITY,UMKC,63.1,Home,GRAND-CANYON,Grand Canyon,Kansas City,wac,25,False,False,False,Away,False,5,24,63,30,64,5,14,43,0,1,184,462,1416,0.5211864406779662,711,1483,0.4794335805799056,132,424,1291,0.4817970565453137,0.48
