,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-CAROLINA-STATE_homegame,NORTH-CAROLINA-STATE_homegame2,NORTH-CAROLINA-STATE_home,NORTH-CAROLINA-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-north-carolina-state,66.7,20,16.4,9,100.0,68.3,28,0.541,61,0.4920000000000001,30,0.361,22,0.727,16,0,225,101.2,18.8,6,22,82,,12.3,10,0.32799999999999996,20,0.3,6,46.6,34,0.574,17.5,15,41,0.585,24,1.0,1,"November 5, 2019",48.1,13,14.6,6,101.2,81.3,26,0.43,71,0.38,27,0.324,23,0.87,20,1,225,100.0,31.7,13,19,81,,6.2,5,0.225,16,0.43799999999999994,7,53.4,39,0.494,13.8,13,55,0.364,20,0.0,0,"PNC Arena, Raleigh, North Carolina",NORTH-CAROLINA-STATE,NC State,72.2,Away,GEORGIA-TECH,Georgia Tech,NC State,acc,0,False,True,True,Home,False,7,20,71,39,73,6,24,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-16-north-carolina-state,33.3,8,9.4,3,109.1,86.7,26,0.442,60,0.4,24,0.33299999999999996,20,0.6,12,1,200,84.4,20.7,6,15,65,,7.8,6,0.41700000000000004,25,0.2,5,54.2,32,0.46799999999999997,15.9,13,35,0.5429999999999999,19,0.0,0,"November 10, 2019",69.0,20,20.0,7,84.4,79.3,23,0.557,61,0.475,29,0.344,21,0.762,16,1,200,109.1,13.3,4,22,84,,6.5,5,0.475,29,0.345,10,45.8,27,0.5920000000000001,13.5,11,32,0.594,19,0.5,1,"PNC Arena, Raleigh, North Carolina",DETROIT-MERCY,Detroit,77.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,1,True,False,True,Home,True,10,19,61,27,59,5,19,60,1,0,7,20,71,0.4295774647887324,39,73,0.5342465753424658,6,24,61,0.5409836065573771,0.0
2,2019-11-13-21-north-carolina-state,46.2,12,15.2,7,111.7,57.5,23,0.608,51,0.51,26,0.392,20,0.75,15,2,200,100.0,26.3,5,23,77,,10.4,8,0.451,23,0.435,10,47.5,28,0.636,26.0,21,28,0.5710000000000001,16,0.33299999999999996,1,"November 13, 2019",35.5,11,14.3,4,100.0,73.7,14,0.493,69,0.449,31,0.406,28,0.643,18,1,200,111.7,42.5,17,17,86,,10.4,8,0.33299999999999996,23,0.261,6,52.5,31,0.522,12.9,12,46,0.5429999999999999,25,0.667,2,"PNC Arena, Raleigh, North Carolina",FLORIDA-INTERNATIONAL,Florida International,76.9,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,2,True,False,True,Home,True,6,25,69,31,59,10,16,51,1,0,17,39,132,0.4886363636363637,66,132,0.5,11,43,121,0.4917355371900826,0.5
3,2019-11-16-12-north-carolina-state,28.0,7,8.8,5,117.3,60.5,23,0.409,66,0.379,25,0.258,17,0.588,10,3,200,79.0,34.9,15,21,64,,6.2,5,0.22699999999999998,15,0.267,4,46.9,38,0.4320000000000001,21.4,20,51,0.41200000000000003,21,0.25,1,"November 16, 2019",41.7,15,5.9,3,79.0,65.1,28,0.514,73,0.493,36,0.384,28,0.7140000000000001,20,1,200,117.3,39.5,15,18,95,,11.1,9,0.21899999999999997,16,0.188,3,53.1,43,0.55,12.3,12,57,0.579,33,0.75,3,"Reynolds Coliseum, Raleigh, North Carolina",ST-FRANCIS-NY,St. Francis (NY),81.2,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,3,True,False,True,Home,True,3,33,73,43,81,4,21,66,1,0,23,64,201,0.4900497512437811,97,191,0.5078534031413613,21,59,172,0.5261627906976745,0.6666666666666666
4,2019-11-19-19-north-carolina-state,50.0,12,7.3,3,120.8,70.0,21,0.483,58,0.414,24,0.172,10,0.8,8,4,200,88.9,15.6,5,8,64,,8.3,6,0.259,15,0.5329999999999999,8,41.9,26,0.51,17.2,13,43,0.3720000000000001,16,0.2,1,"November 19, 2019",47.2,17,11.6,5,88.9,84.4,27,0.612,67,0.537,36,0.10400000000000001,7,0.7140000000000001,5,1,200,120.8,30.0,9,12,87,,12.5,9,0.38799999999999996,26,0.385,10,58.1,36,0.619,14.6,12,41,0.634,26,0.8,4,"Reynolds Coliseum, Raleigh, North Carolina",ALCORN-STATE,Alcorn State,72.0,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,4,True,False,True,Home,True,10,26,67,36,62,8,16,58,1,0,26,97,274,0.4963503649635037,140,272,0.5147058823529411,25,80,238,0.4936974789915967,0.75
5,2019-11-23-13-north-carolina-state,68.2,15,5.9,2,102.8,75.0,21,0.40700000000000003,59,0.373,22,0.237,14,0.7140000000000001,10,3,200,80.6,30.6,11,16,58,,9.7,7,0.305,18,0.222,4,50.0,32,0.442,19.7,16,41,0.439,18,0.5,3,"November 23, 2019",51.9,14,12.2,5,80.6,69.4,25,0.5539999999999999,56,0.48200000000000004,27,0.321,18,0.667,12,1,200,102.8,25.0,7,16,74,,15.3,11,0.39299999999999996,22,0.364,8,50.0,32,0.573,19.0,15,34,0.5589999999999999,19,0.833,5,"PNC Arena, Raleigh, North Carolina",ARKANSAS-LITTLE-ROCK,Little Rock,71.6,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,5,True,False,True,Home,True,8,19,56,32,64,4,18,59,1,0,36,123,341,0.5190615835777126,176,334,0.5269461077844312,33,96,296,0.4915540540540541,0.8
6,2019-11-28-16-memphis,46.2,12,9.5,4,116.9,62.5,15,0.4920000000000001,59,0.441,26,0.40700000000000003,24,0.833,20,2,200,109.9,18.8,6,18,78,,12.7,9,0.322,19,0.316,6,37.5,21,0.5539999999999999,9.1,7,40,0.5,20,0.7140000000000001,5,"November 28, 2019",42.9,12,12.5,5,109.9,81.3,26,0.593,54,0.519,28,0.46299999999999997,25,0.76,19,1,200,116.9,37.5,9,22,83,16.0,5.6,4,0.222,12,0.667,8,62.5,35,0.63,17.7,14,42,0.47600000000000003,20,0.857,6,"Barclays Center, Brooklyn, New York",NORTH-CAROLINA-STATE,NC State,71.1,Home,MEMPHIS,Memphis,NC State,acc,6,False,False,False,Away,False,6,20,59,21,56,8,20,54,0,1,44,142,397,0.5239294710327456,208,398,0.5226130653266332,37,114,355,0.4774647887323944,0.8333333333333334
7,2019-12-04-21-north-carolina-state,33.3,7,11.1,4,113.1,87.5,21,0.42,56,0.375,21,0.268,15,0.467,7,4,200,88.5,39.4,13,11,54,,4.9,3,0.41100000000000003,23,0.217,5,59.6,34,0.428,12.6,9,33,0.485,16,0.5,4,"December 4, 2019",22.2,6,18.2,6,88.5,60.6,20,0.5539999999999999,56,0.48200000000000004,27,0.179,10,0.7,7,2,200,113.1,12.5,3,10,69,,11.5,7,0.35700000000000004,20,0.4,8,40.4,23,0.568,7.6,5,36,0.528,19,0.75,6,"PNC Arena, Raleigh, North Carolina",WISCONSIN,Wisconsin,60.9,Home,NORTH-CAROLINA-STATE,NC State,NC State,acc,7,True,False,True,Home,True,8,19,56,23,57,5,16,56,1,0,50,162,456,0.5197368421052632,229,454,0.5044052863436124,45,134,409,0.4926650366748167,0.7142857142857143
8,2019-12-07-14-wake-forest,52.9,18,13.5,5,103.8,80.8,21,0.615,65,0.523,34,0.24600000000000002,16,0.688,11,2,200,115.2,34.4,11,23,91,,15.2,12,0.33799999999999997,22,0.545,12,55.2,32,0.627,19.1,17,43,0.512,22,0.778,7,"December 7, 2019",37.0,10,7.0,3,115.2,65.6,21,0.596,52,0.519,27,0.5579999999999999,29,0.69,20,5,200,103.8,19.2,5,18,82,,10.1,8,0.28800000000000003,15,0.5329999999999999,8,44.8,26,0.623,22.7,19,37,0.514,19,0.5,5,"Lawrence Joel Coliseum, Winston-Salem, North Carolina",WAKE-FOREST,Wake Forest,79.2,Away,NORTH-CAROLINA-STATE,NC State,NC State,acc,8,False,False,False,Away,True,12,22,65,32,58,8,19,52,1,0,58,181,512,0.5234375,252,511,0.4931506849315068,50,150,465,0.4838709677419355,0.75
9,2019-12-15-15-north-carolina-greensboro,56.7,17,12.2,5,114.9,57.1,20,0.6890000000000001,53,0.5660000000000001,30,0.132,7,1.0,7,2,200,119.4,0.0,0,14,80,,14.9,10,0.528,28,0.46399999999999997,13,37.0,20,0.71,17.6,12,25,0.68,17,0.8,8,"December 15, 2019",39.3,11,12.0,3,119.4,100.0,19,0.515,65,0.431,28,0.2,13,0.769,10,3,200,114.9,42.9,15,10,77,,6.0,4,0.369,24,0.45799999999999996,11,63.0,34,0.541,12.4,10,41,0.415,17,0.727,8,"Greensboro Coliseum, Greensboro, North Carolina",NORTH-CAROLINA-GREENSBORO,UNC Greensboro,67.3,Away,NORTH-CAROLINA-STATE,NC State,NC State,acc,9,False,False,False,Away,True,13,17,53,20,54,11,17,65,1,0,70,203,577,0.5337954939341422,284,569,0.4991212653778559,58,169,517,0.4951644100580271,0.7777777777777778
