,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CONNECTICUT_homegame,CONNECTICUT_homegame2,CONNECTICUT_home,CONNECTICUT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-connecticut,42.1,8,1.8,1,107.2,64.1,25,0.33299999999999996,63,0.302,19,0.413,26,0.9620000000000001,25,2,200,80.7,40.0,16,21,67,,2.4,2,0.365,23,0.174,4,51.9,41,0.445,24.4,24,40,0.375,15,0.0,0,"November 8, 2019",47.1,16,22.5,9,80.7,60.0,24,0.48700000000000004,75,0.45299999999999996,34,0.293,22,0.727,16,0,200,107.2,35.9,14,24,89,,12.0,10,0.253,19,0.263,5,48.1,38,0.521,11.5,11,56,0.518,29,1.0,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",SACRED-HEART,Sacred Heart,82.9,Home,CONNECTICUT,UConn,Connecticut,aac,0,True,False,True,Home,True,5,29,75,38,79,4,15,63,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-19-connecticut,43.8,14,11.8,4,102.4,75.0,30,0.55,70,0.457,32,0.47100000000000003,33,0.5760000000000001,19,1,200,112.9,21.4,9,25,96,,10.6,9,0.47100000000000003,33,0.39399999999999996,13,47.6,39,0.56,9.6,9,37,0.514,19,0.667,2,"November 13, 2019",31.8,7,18.9,7,112.9,78.6,33,0.46,63,0.349,22,0.603,38,0.763,29,1,200,102.4,25.0,10,23,87,,5.9,5,0.46,29,0.483,14,52.4,43,0.537,14.0,13,34,0.235,8,0.5,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",CONNECTICUT,UConn,84.9,Away,SAINT-JOSEPHS,St. Joseph's,Connecticut,aac,1,False,True,True,Home,False,14,8,63,43,82,13,19,70,0,1,5,29,75,0.4866666666666667,38,79,0.4810126582278481,4,15,63,0.3333333333333333,1.0
2,2019-11-17-15-connecticut,40.9,9,8.1,3,93.9,71.8,28,0.445,55,0.4,22,0.23600000000000002,13,0.769,10,2,200,89.4,19.4,6,21,59,15.0,6.1,4,0.364,20,0.25,5,48.6,34,0.48200000000000004,14.1,10,35,0.486,17,0.5,2,"November 17, 2019",52.4,11,11.4,4,89.4,80.6,25,0.39,59,0.35600000000000004,21,0.373,22,0.727,16,1,200,93.9,28.2,11,14,62,,10.6,7,0.373,22,0.182,4,51.4,36,0.446,11.6,9,37,0.45899999999999996,17,0.667,2,"Harry A. Gampel Pavilion, Storrs, Connecticut",FLORIDA,Florida,66.3,Home,CONNECTICUT,UConn,Connecticut,aac,2,True,False,True,Home,True,4,17,59,36,70,5,17,55,1,0,19,37,138,0.4746376811594203,81,161,0.5031055900621118,17,34,133,0.4473684210526316,0.5
3,2019-11-21-21-connecticut,34.6,9,15.9,7,102.6,71.1,27,0.396,72,0.361,26,0.18100000000000002,13,0.846,11,2,200,88.3,26.1,12,20,68,,14.3,11,0.33299999999999996,24,0.20800000000000002,5,46.4,39,0.435,10.4,9,48,0.43799999999999994,21,0.5,2,"November 21, 2019",46.7,14,14.6,7,88.3,73.9,34,0.54,62,0.484,30,0.33899999999999997,21,0.5710000000000001,12,1,200,102.6,28.9,11,12,79,,6.5,5,0.29,18,0.389,7,53.6,45,0.5489999999999999,19.3,17,44,0.523,23,0.75,3,"TD Arena, Charleston, South Carolina",BUFFALO,Buffalo,76.6,Home,CONNECTICUT,UConn,Connecticut,aac,3,True,False,True,Home,True,7,23,62,45,84,5,21,72,1,0,23,54,197,0.4492385786802031,117,231,0.5064935064935064,22,51,188,0.44680851063829785,0.6666666666666666
4,2019-11-22-21-connecticut,48.0,12,19.1,9,86.0,70.5,31,0.447,66,0.379,25,0.39399999999999996,26,0.615,16,0,250,87.2,33.3,13,26,75,18.0,8.1,7,0.364,24,0.375,9,53.0,44,0.479,21.3,21,42,0.381,16,1.0,6,"November 22, 2019",47.6,10,14.3,6,87.2,66.7,26,0.35,70,0.3,21,0.386,27,0.9259999999999999,25,2,250,86.0,29.5,13,24,74,,9.3,8,0.32899999999999996,23,0.304,7,47.0,39,0.447,15.5,15,47,0.298,14,0.6,3,"TD Arena, Charleston, South Carolina",CONNECTICUT,UConn,68.5,Away,XAVIER,Xavier,Connecticut,aac,4,False,True,True,Home,False,7,14,70,39,83,9,16,66,0,1,30,77,259,0.471042471042471,162,315,0.5142857142857142,27,72,260,0.4326923076923077,0.75
5,2019-11-24-13-connecticut,52.0,13,9.8,4,129.0,64.3,18,0.5,54,0.46299999999999997,25,0.037000000000000005,2,0.5,1,3,200,88.7,14.8,4,14,55,,6.5,4,0.185,10,0.4,4,40.0,22,0.5,16.7,11,44,0.47700000000000004,21,0.5710000000000001,4,"November 24, 2019",53.1,17,20.5,9,88.7,85.2,23,0.5920000000000001,60,0.5329999999999999,32,0.2,12,0.75,9,2,200,129.0,35.7,10,10,80,,8.1,5,0.317,19,0.368,7,60.0,33,0.609,8.4,6,41,0.61,25,0.667,4,"TD Arena, Charleston, South Carolina",MIAMI-FL,Miami (FL),61.8,Home,CONNECTICUT,UConn,Connecticut,aac,5,True,False,True,Home,True,7,25,60,33,55,4,21,54,1,0,37,91,329,0.4452887537993921,201,398,0.5050251256281407,36,88,326,0.4355828220858896,0.6
6,2019-12-01-13-connecticut,78.6,11,23.7,9,97.0,77.8,28,0.4,40,0.35,14,0.275,11,0.727,8,5,200,60.6,23.8,5,14,40,,7.6,5,0.4,16,0.25,4,57.9,33,0.442,35.8,25,24,0.41700000000000004,10,0.28600000000000003,2,"December 1, 2019",50.0,11,8.3,2,60.6,76.2,16,0.431,58,0.379,22,0.31,18,0.778,14,2,200,97.0,22.2,8,14,64,,19.7,13,0.345,20,0.3,6,42.1,24,0.48100000000000004,10.8,8,38,0.42100000000000004,16,0.7140000000000001,5,"XL Center, Hartford, Connecticut",MAINE,Maine,65.9,Home,CONNECTICUT,UConn,Connecticut,aac,6,True,False,True,Home,True,6,16,58,24,57,4,10,40,1,0,44,116,389,0.467866323907455,234,453,0.5165562913907285,40,109,380,0.4447368421052632,0.6666666666666666
7,2019-12-04-19-connecticut,29.2,7,4.4,2,112.7,52.8,19,0.441,59,0.40700000000000003,24,0.22,13,0.769,10,3,200,87.3,26.5,9,17,62,,12.7,9,0.322,19,0.21100000000000002,4,40.0,28,0.47600000000000003,18.8,15,40,0.5,20,0.4,2,"December 4, 2019",60.0,18,20.0,8,87.3,73.5,25,0.531,64,0.469,30,0.313,20,0.6,12,2,200,112.7,47.2,17,16,80,,5.6,4,0.297,19,0.42100000000000004,8,60.0,42,0.544,17.1,15,45,0.489,22,0.75,6,"Harry A. Gampel Pavilion, Storrs, Connecticut",IONA,Iona,71.3,Home,CONNECTICUT,UConn,Connecticut,aac,7,True,False,True,Home,True,8,22,64,42,70,4,20,59,1,0,50,132,447,0.4630872483221477,258,510,0.5058823529411764,44,119,420,0.4404761904761905,0.7142857142857143
8,2019-12-10-21-connecticut,66.7,14,10.0,3,76.1,72.0,18,0.386,57,0.368,21,0.316,18,0.722,13,1,200,80.3,23.5,8,15,57,,15.5,11,0.228,13,0.154,2,44.1,26,0.435,16.7,13,44,0.4320000000000001,19,0.9,9,"December 10, 2019",71.4,15,18.2,8,80.3,76.5,26,0.47100000000000003,51,0.41200000000000003,21,0.196,10,0.6,6,3,200,76.1,28.0,7,20,54,,7.0,5,0.41200000000000003,21,0.28600000000000003,6,55.9,33,0.484,28.4,22,30,0.5,15,0.667,6,"Madison Square Garden (IV), New York, New York",CONNECTICUT,UConn,70.7,Away,INDIANA,Indiana,Connecticut,aac,8,False,True,True,Home,False,6,15,51,33,59,2,19,57,0,1,58,154,511,0.4716242661448141,300,580,0.5172413793103449,48,139,479,0.4405010438413361,0.75
9,2019-12-18-19-connecticut,36.8,7,7.7,2,94.3,61.9,13,0.44799999999999995,48,0.396,19,0.354,17,0.765,13,5,200,80.0,37.9,11,21,56,,22.9,16,0.16699999999999998,8,0.625,5,48.0,24,0.499,30.2,24,40,0.35,14,0.28600000000000003,2,"December 18, 2019",56.5,13,25.0,10,80.0,62.1,18,0.616,43,0.535,23,0.442,19,0.684,13,3,200,94.3,38.1,8,17,66,,17.1,12,0.395,17,0.41200000000000003,7,52.0,26,0.634,33.6,26,26,0.615,16,0.7,7,"XL Center, Hartford, Connecticut",SAINT-PETERS,St. Peter's,69.6,Home,CONNECTICUT,UConn,Connecticut,aac,9,True,False,True,Home,True,7,16,43,26,50,5,14,48,1,0,64,169,562,0.4715302491103202,333,639,0.5211267605633803,50,158,536,0.43470149253731344,0.6666666666666666
