,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTH-ALABAMA_homegame,NORTH-ALABAMA_homegame2,NORTH-ALABAMA_home,NORTH-ALABAMA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-south-carolina,46.7,7,12.5,6,92.8,71.0,22,0.262,61,0.24600000000000002,15,0.541,33,0.6970000000000001,23,1,200,66.3,32.5,13,30,55,,8.4,7,0.344,21,0.095,2,49.3,35,0.359,19.2,18,40,0.325,13,0.0,0,"November 6, 2019",46.4,13,12.5,5,66.3,67.5,27,0.509,57,0.491,28,0.632,36,0.528,19,0,200,92.8,29.0,9,27,77,,9.6,8,0.158,9,0.222,2,50.7,36,0.52,21.5,20,48,0.542,26,1.0,1,"The Colonial Life Arena, Columbia, South Carolina",NORTH-ALABAMA,North Alabama,83.4,Home,SOUTH-CAROLINA,South Carolina,North Alabama,atlantic-sun,0,False,False,False,Away,False,2,13,61,35,71,2,26,57,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-15-north-alabama,48.0,12,8.0,4,118.8,54.3,19,0.491,55,0.455,25,0.218,12,0.833,10,0,200,80.0,24.1,7,11,64,,5.0,4,0.2,11,0.364,4,40.6,26,0.527,30.9,27,44,0.47700000000000004,21,0.0,0,"November 10, 2019",55.0,22,13.6,6,80.0,75.9,22,0.5920000000000001,76,0.526,40,0.158,12,0.41700000000000004,5,1,200,118.8,45.7,16,15,95,,18.8,15,0.342,26,0.385,10,59.4,38,0.581,13.8,13,50,0.6,30,0.5,1,"Flowers Hall, Florence, Alabama","Carver College
			","Carver College
			",79.7,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,1,True,False,True,Home,True,10,30,76,38,64,4,21,55,1,0,2,13,61,0.26229508196721313,35,71,0.4929577464788733,2,26,57,0.5087719298245614,0.0
2,2019-11-12-19-indiana,36.8,7,0.0,0,123.0,70.8,17,0.511,44,0.4320000000000001,19,0.614,27,0.741,20,2,200,87.8,16.7,4,31,65,,12.2,9,0.318,14,0.5,7,43.8,21,0.5720000000000001,27.3,21,30,0.4,12,0.33299999999999996,1,"November 12, 2019",52.2,12,30.0,9,87.8,83.3,20,0.5870000000000001,46,0.5,23,0.978,45,0.8220000000000001,37,0,200,123.0,29.2,7,23,91,,8.1,6,0.457,21,0.381,8,56.3,27,0.675,16.5,13,25,0.6,15,1.0,3,"Assembly Hall, Bloomington, Indiana",NORTH-ALABAMA,North Alabama,73.6,Home,INDIANA,Indiana,North Alabama,atlantic-sun,2,False,False,False,Away,False,7,12,44,21,48,8,15,46,0,1,12,43,137,0.4452554744525548,73,135,0.5407407407407407,6,47,112,0.5,0.5
3,2019-11-16-19-north-alabama,30.0,6,5.9,2,91.0,73.0,27,0.441,51,0.392,20,0.41200000000000003,21,0.47600000000000003,10,3,200,82.1,33.3,12,16,55,,3.0,2,0.235,12,0.41700000000000004,5,53.4,39,0.451,22.0,17,39,0.385,15,0.4,2,"November 16, 2019",70.8,17,7.7,3,82.1,66.7,24,0.456,57,0.42100000000000004,24,0.298,17,0.529,9,2,200,91.0,27.0,10,23,61,,14.9,10,0.40399999999999997,23,0.174,4,46.6,34,0.469,16.8,13,34,0.588,20,0.5,2,"Flowers Hall, Florence, Alabama",SAMFORD,Samford,67.0,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,3,True,False,True,Home,True,4,20,57,34,73,5,15,51,1,0,19,55,181,0.4613259668508287,94,183,0.5136612021857924,14,62,158,0.5253164556962026,0.3333333333333333
4,2019-11-19-20-south-dakota-state,44.4,12,6.7,2,109.9,66.7,18,0.5329999999999999,60,0.45,27,0.2,12,0.75,9,3,200,102.8,17.1,6,25,73,,5.6,4,0.38299999999999995,23,0.435,10,38.7,24,0.556,13.3,10,37,0.45899999999999996,17,0.4,2,"November 19, 2019",52.2,12,8.1,3,102.8,82.9,29,0.564,47,0.489,23,0.7020000000000001,33,0.758,25,2,200,109.9,33.3,9,14,78,,4.2,3,0.36200000000000004,17,0.41200000000000003,7,61.3,38,0.622,22.6,18,30,0.5329999999999999,16,0.667,4,"Frost Arena, Brookings, South Dakota",NORTH-ALABAMA,North Alabama,70.7,Home,SOUTH-DAKOTA-STATE,South Dakota State,North Alabama,atlantic-sun,4,False,False,False,Away,False,10,17,60,24,62,7,16,47,0,1,23,75,238,0.4600840336134454,128,256,0.5,19,77,209,0.5047846889952153,0.5
5,2019-11-22-19-louisiana-tech,27.3,6,4.0,2,124.2,70.6,24,0.5529999999999999,47,0.46799999999999997,22,0.36200000000000004,17,0.529,9,4,200,92.4,26.7,8,17,61,,0.0,0,0.36200000000000004,17,0.47100000000000003,8,50.0,32,0.5539999999999999,22.7,16,30,0.467,14,0.33299999999999996,2,"November 22, 2019",38.2,13,10.0,3,92.4,73.3,22,0.536,69,0.493,34,0.145,10,0.8,8,1,200,124.2,29.4,10,17,82,,10.6,7,0.275,19,0.316,6,50.0,32,0.556,6.4,5,50,0.56,28,0.8,4,"Thomas Assembly Center, Ruston, Louisiana",NORTH-ALABAMA,North Alabama,65.9,Home,LOUISIANA-TECH,Louisiana Tech,North Alabama,atlantic-sun,5,False,False,False,Away,False,8,14,47,32,64,6,28,69,0,1,33,92,298,0.4748322147651007,152,318,0.4779874213836478,26,93,256,0.515625,0.4
6,2019-11-27-14-north-alabama,23.8,5,4.8,2,96.1,69.0,29,0.35600000000000004,66,0.318,21,0.22699999999999998,15,0.2,3,7,200,65.8,31.1,14,21,50,,7.9,6,0.409,27,0.185,5,49.4,43,0.342,18.1,16,39,0.41,16,0.0,0,"November 27, 2019",50.0,14,7.7,3,65.8,68.9,31,0.46299999999999997,68,0.41200000000000003,28,0.294,20,0.5,10,4,200,96.1,31.0,13,17,73,,9.2,7,0.382,26,0.26899999999999996,7,50.6,44,0.47100000000000003,13.5,12,42,0.5,21,0.429,3,"Flowers Hall, Florence, Alabama",MISSISSIPPI-VALLEY-STATE,Mississippi Valley State,75.8,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,6,True,False,True,Home,True,7,21,68,44,87,5,16,66,1,0,41,106,345,0.4855072463768116,184,382,0.4816753926701571,32,121,325,0.52,0.3333333333333333
7,2019-11-30-12-north-alabama,41.7,10,11.4,4,97.1,73.1,19,0.405,63,0.381,24,0.159,10,0.6,6,4,200,82.6,22.2,8,21,57,,4.3,3,0.381,24,0.125,3,43.5,27,0.42100000000000004,12.9,10,39,0.5379999999999999,21,0.5,4,"November 30, 2019",40.9,9,5.1,2,82.6,77.8,28,0.45399999999999996,54,0.40700000000000003,22,0.426,23,0.7829999999999999,18,4,200,97.1,26.9,7,9,67,,5.8,4,0.35200000000000004,19,0.263,5,56.5,35,0.516,14.6,11,35,0.486,17,0.5,4,"Flowers Hall, Florence, Alabama",MOREHEAD-STATE,Morehead State,69.3,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,7,True,False,True,Home,True,5,17,54,35,62,3,21,63,1,0,48,127,413,0.4818401937046005,228,469,0.4861407249466951,37,137,391,0.4923273657289002,0.42857142857142855
8,2019-12-04-20-troy,47.6,10,9.3,4,95.9,66.7,26,0.48100000000000004,52,0.40399999999999997,21,0.327,17,0.765,13,5,200,85.1,20.0,6,20,63,,9.5,7,0.519,27,0.29600000000000004,8,46.4,32,0.524,24.2,19,25,0.52,13,0.444,4,"December 4, 2019",48.0,12,20.0,5,85.1,80.0,24,0.43,64,0.391,25,0.32799999999999996,21,0.762,16,6,200,95.9,33.3,13,18,71,,9.5,7,0.32799999999999996,21,0.23800000000000002,5,53.6,37,0.48,15.1,13,43,0.465,20,0.33299999999999996,3,"Trojan Arena, Troy, Alabama",NORTH-ALABAMA,North Alabama,73.5,Home,TROY,Troy,North Alabama,atlantic-sun,8,False,False,False,Away,False,8,13,52,32,69,5,20,64,0,1,53,144,467,0.4785867237687366,263,531,0.4952919020715631,40,158,454,0.4801762114537445,0.5
9,2019-12-08-15-north-alabama,57.9,11,0.0,0,116.4,73.3,22,0.3670000000000001,60,0.317,19,0.15,9,0.667,6,0,200,74.6,30.3,10,17,50,,10.4,7,0.3670000000000001,22,0.273,6,50.8,32,0.389,16.9,13,38,0.342,13,0.0,0,"December 8, 2019",64.3,18,5.3,2,74.6,69.7,23,0.5760000000000001,59,0.475,28,0.22,13,0.769,10,5,200,116.4,26.7,8,11,78,,11.9,8,0.525,31,0.387,12,49.2,31,0.598,13.4,10,28,0.5710000000000001,16,0.5,5,"Flowers Hall, Florence, Alabama","Birmingham-Southern
			","Birmingham-Southern
			",67.2,Home,NORTH-ALABAMA,North Alabama,North Alabama,atlantic-sun,9,True,False,True,Home,True,12,16,59,31,63,6,13,60,1,0,61,157,519,0.4788053949903661,295,600,0.4916666666666666,45,178,518,0.4739382239382239,0.4444444444444444
