,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DENVER_homegame,DENVER_homegame2,DENVER_home,DENVER_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-21-colorado-state,37.5,9,11.1,3,105.7,75.0,21,0.474,58,0.414,24,0.259,15,0.5329999999999999,8,1,200,90.0,24.3,9,25,63,,2.9,2,0.36200000000000004,21,0.33299999999999996,7,46.2,30,0.484,17.8,14,37,0.45899999999999996,17,0.0,0,"November 5, 2019",52.2,12,2.7,1,90.0,75.7,28,0.53,50,0.46,23,0.52,26,0.8079999999999999,21,0,200,105.7,25.0,7,18,74,,5.7,4,0.46,23,0.304,7,53.8,35,0.593,18.6,14,27,0.593,16,1.0,1,"Moby Arena, Fort Collins, Colorado",DENVER,Denver,69.7,Home,COLORADO-STATE,Colorado State,Denver,summit,0,False,False,False,Away,False,7,17,58,30,65,7,16,50,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-15-denver,30.4,7,13.0,7,108.8,83.9,26,0.48100000000000004,53,0.434,23,0.264,14,0.7859999999999999,11,1,200,91.2,21.4,6,10,62,,4.4,3,0.434,23,0.217,5,54.2,32,0.52,16.9,12,30,0.6,18,0.5,1,"November 9, 2019",50.0,16,13.3,4,91.2,78.6,22,0.5379999999999999,66,0.485,32,0.091,6,0.5,3,1,200,108.8,16.1,5,15,74,,5.9,4,0.182,12,0.583,7,45.8,27,0.537,9.3,7,54,0.46299999999999997,25,0.5,1,"Magness Arena, Denver, Colorado",UTAH-VALLEY,Utah Valley,68.3,Home,DENVER,Denver,Denver,summit,1,True,False,True,Home,True,7,25,66,27,59,5,18,53,1,0,7,17,58,0.4741379310344828,30,65,0.4615384615384616,7,16,50,0.53,0.0
2,2019-11-12-21-utah-state,42.9,9,13.5,5,127.6,62.9,22,0.426,54,0.389,21,0.259,14,0.7140000000000001,10,2,201,73.7,2.9,1,21,56,,5.3,4,0.29600000000000004,16,0.25,4,33.3,23,0.462,20.0,15,38,0.447,17,0.33299999999999996,1,"November 12, 2019",71.9,23,10.5,4,73.7,97.1,33,0.5820000000000001,67,0.478,32,0.358,24,0.792,19,0,201,127.6,37.1,13,15,97,17.0,13.2,10,0.44799999999999995,30,0.467,14,66.7,46,0.619,13.4,12,37,0.486,18,1.0,3,"Dee Glen Smith Spectrum, Logan, Utah",DENVER,Denver,75.6,Home,UTAH-STATE,Utah State,Denver,summit,2,False,False,False,Away,False,4,17,54,23,69,14,18,67,0,1,14,42,124,0.5080645161290323,57,124,0.4596774193548387,12,34,103,0.5048543689320388,0.5
3,2019-11-16-15-denver,88.2,15,6.4,3,97.3,82.1,32,0.426,54,0.315,17,0.29600000000000004,16,0.563,9,0,200,74.3,12.5,5,17,55,,6.8,5,0.778,42,0.28600000000000003,12,46.8,37,0.446,21.8,17,12,0.41700000000000004,5,0.0,0,"November 16, 2019",40.7,11,25.0,3,74.3,87.5,35,0.47600000000000003,62,0.435,27,0.33899999999999997,21,0.619,13,2,200,97.3,17.9,7,16,72,,14.9,11,0.242,15,0.33299999999999996,5,53.2,42,0.5,12.3,10,47,0.46799999999999997,22,0.5,2,"Magness Arena, Denver, Colorado","Western Colorado
			","Western Colorado
			",74.3,Home,DENVER,Denver,Denver,summit,3,True,False,True,Home,True,5,22,62,42,79,12,5,54,1,0,18,59,178,0.4831460674157304,80,193,0.41450777202072536,26,52,170,0.5352941176470588,0.3333333333333333
4,2019-11-23-18-california-riverside,38.9,7,4.0,1,105.8,85.7,24,0.35200000000000004,54,0.33299999999999996,18,0.40700000000000003,22,0.5,11,3,200,71.0,13.9,5,16,49,,7.2,5,0.222,12,0.16699999999999998,2,45.3,29,0.38,11.2,8,42,0.381,16,0.4,2,"November 23, 2019",55.6,15,7.1,3,71.0,86.1,31,0.563,56,0.48200000000000004,27,0.28600000000000003,16,0.625,10,2,200,105.8,14.3,4,22,73,,5.8,4,0.5539999999999999,31,0.29,9,54.7,35,0.574,13.7,10,25,0.72,18,0.667,4,"UC Riverside Student Recreation Center, Riverside, California",DENVER,Denver,68.5,Home,CALIFORNIA-RIVERSIDE,UC-Riverside,Denver,summit,4,False,False,False,Away,False,2,16,54,29,64,9,18,56,0,1,23,81,240,0.48125,122,272,0.4485294117647059,38,57,224,0.5089285714285714,0.5
5,2019-11-27-17-santa-clara,70.4,19,2.9,1,106.6,78.8,26,0.4920000000000001,59,0.45799999999999996,27,0.153,9,0.667,6,4,200,84.2,15.6,5,16,64,,13.2,10,0.22,13,0.308,4,47.7,31,0.506,22.2,18,46,0.5,23,0.33299999999999996,2,"November 27, 2019",65.6,21,10.9,5,84.2,84.4,27,0.563,63,0.508,32,0.222,14,0.7140000000000001,10,1,200,106.6,21.2,7,14,81,,11.8,9,0.444,28,0.25,7,52.3,34,0.581,16.8,14,35,0.7140000000000001,25,0.857,6,"Leavey Center, Santa Clara, California",DENVER,Denver,76.5,Home,SANTA-CLARA,Santa Clara,Denver,summit,5,False,False,False,Away,False,4,23,59,31,65,7,25,63,0,1,25,97,294,0.4574829931972789,151,336,0.4494047619047619,47,75,280,0.5196428571428572,0.4
6,2019-11-29-19-cal-state-fullerton,50.0,10,3.3,1,92.5,80.6,25,0.42,50,0.4,20,0.56,28,0.821,23,4,200,97.0,20.7,6,19,65,,10.4,7,0.24,12,0.16699999999999998,2,51.7,31,0.513,13.8,10,38,0.474,18,0.429,3,"November 29, 2019",45.5,10,5.3,2,97.0,79.3,23,0.48,50,0.44,22,0.42,21,0.667,14,4,200,92.5,19.4,6,22,62,,7.5,5,0.4,20,0.2,4,48.3,29,0.517,16.8,12,30,0.6,18,0.429,3,"Leavey Center, Santa Clara, California",CAL-STATE-FULLERTON,Cal State Fullerton,66.6,Away,DENVER,Denver,Denver,summit,6,False,False,False,Away,True,2,18,50,31,60,4,18,50,1,0,29,120,353,0.4631728045325779,182,401,0.4538653366583541,54,100,343,0.5276967930029155,0.3333333333333333
7,2019-11-30-16-denver,48.1,13,0.0,0,75.0,65.7,23,0.61,50,0.54,27,0.16,8,0.625,5,4,200,97.1,32.0,8,20,66,,17.6,12,0.48,24,0.292,7,51.7,31,0.613,29.1,22,26,0.769,20,0.429,3,"November 30, 2019",45.0,9,3.8,1,97.1,68.0,17,0.39399999999999996,52,0.385,20,0.34600000000000003,18,0.556,10,5,200,75.0,34.3,12,16,51,,17.6,12,0.308,16,0.063,1,48.3,29,0.42100000000000004,25.0,20,36,0.528,19,0.375,3,"Leavey Center, Santa Clara, California",DENVER,Denver,68.2,Away,SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,Denver,summit,7,False,True,True,Home,False,1,19,52,29,60,7,20,50,0,1,31,138,403,0.4578163771712159,213,461,0.4620390455531453,58,118,393,0.5216284987277354,0.42857142857142855
8,2019-12-03-21-denver,46.2,12,4.5,1,89.3,90.0,18,0.409,66,0.39399999999999996,26,0.136,9,0.444,4,8,200,77.3,14.0,6,27,58,,20.0,15,0.364,24,0.083,2,38.1,24,0.413,14.6,12,42,0.5710000000000001,24,0.111,1,"December 3, 2019",68.4,13,2.4,1,77.3,86.0,37,0.629,35,0.5429999999999999,19,0.914,32,0.7190000000000001,23,5,200,89.3,10.0,2,15,67,,6.7,5,0.371,13,0.462,6,61.9,39,0.667,34.6,26,22,0.591,13,0.444,4,"Magness Arena, Denver, Colorado",JACKSON-STATE,Jackson State,75.2,Home,DENVER,Denver,Denver,summit,8,True,False,True,Home,True,6,13,35,39,63,2,24,66,1,0,32,157,455,0.4505494505494506,242,521,0.4644913627639156,65,138,443,0.5316027088036117,0.375
9,2019-12-08-17-ucla,57.1,12,0.0,0,119.1,57.1,20,0.521,47,0.447,21,0.46799999999999997,22,0.591,13,6,200,91.2,16.7,5,24,62,,4.4,3,0.40399999999999997,19,0.368,7,38.5,25,0.54,23.1,17,28,0.5,14,0.4,4,"December 8, 2019",50.0,14,7.1,2,91.2,83.3,25,0.517,59,0.475,28,0.45799999999999996,27,0.741,20,3,200,119.1,42.9,15,22,81,,11.8,8,0.373,22,0.22699999999999998,5,61.5,40,0.564,11.3,9,37,0.622,23,0.7,7,"Pauley Pavilion, Los Angeles, California",DENVER,Denver,67.6,Home,UCLA,UCLA,Denver,summit,9,False,False,False,Away,False,7,14,47,25,65,5,23,59,0,1,38,170,490,0.463265306122449,281,584,0.4811643835616438,67,162,509,0.5157170923379175,0.4444444444444444
