,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NOTRE-DAME_homegame,NOTRE-DAME_homegame2,NOTRE-DAME_home,NOTRE-DAME_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-19-north-carolina,66.7,16,0.0,0,102.7,64.5,20,0.419,68,0.353,24,0.20600000000000002,14,0.5710000000000001,8,1,200,87.8,14.3,6,13,65,,13.5,10,0.456,31,0.29,9,35.6,26,0.435,7.5,6,37,0.405,15,0.0,0,"November 6, 2019",55.6,15,10.8,4,87.8,85.7,36,0.542,59,0.45799999999999996,27,0.28800000000000003,17,0.588,10,0,200,102.7,35.5,11,15,74,9.0,2.7,2,0.33899999999999997,20,0.5,10,64.4,47,0.5670000000000001,20.4,17,39,0.436,17,1.0,1,"Dean Smith Center, Chapel Hill, North Carolina",NOTRE-DAME,Notre Dame,73.9,Home,NORTH-CAROLINA,UNC,Notre Dame,acc,0,False,False,False,Away,False,9,15,68,26,73,10,17,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-notre-dame,57.1,12,3.1,1,127.8,80.0,20,0.4270000000000001,62,0.33899999999999997,21,0.129,8,0.5,4,2,200,79.2,17.1,7,21,57,,8.3,6,0.484,30,0.3670000000000001,11,40.9,27,0.433,17.6,14,32,0.313,10,0.0,0,"November 9, 2019",58.1,18,15.6,5,79.2,82.9,34,0.648,54,0.574,31,0.46299999999999997,25,0.88,22,1,200,127.8,20.0,5,12,92,,6.9,5,0.40700000000000003,22,0.364,8,59.1,39,0.698,14.5,11,32,0.7190000000000001,23,0.5,1,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",ROBERT-MORRIS,Robert Morris,72.3,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,1,True,False,True,Home,True,8,23,54,39,66,11,10,62,1,0,9,15,68,0.4191176470588235,26,73,0.3561643835616438,10,17,59,0.5423728813559322,0.0
2,2019-11-12-19-notre-dame,84.2,16,5.0,2,109.7,70.0,21,0.377,61,0.311,19,0.115,7,0.5710000000000001,4,3,200,69.4,20.5,8,13,50,,8.3,6,0.426,26,0.308,8,42.0,29,0.389,17.9,14,35,0.314,11,0.0,0,"November 12, 2019",68.8,22,14.3,5,69.4,79.5,31,0.556,63,0.508,32,0.20600000000000002,13,0.6920000000000001,9,1,200,109.7,30.0,9,11,79,,12.5,9,0.365,23,0.261,6,58.0,40,0.5710000000000001,16.9,14,40,0.65,26,0.667,2,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",HOWARD,Howard,72.3,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,2,True,False,True,Home,True,6,26,63,40,69,8,11,61,1,0,17,38,122,0.5204918032786885,65,139,0.4676258992805755,21,27,121,0.4834710743801653,0.5
3,2019-11-15-19-notre-dame,42.3,11,10.4,5,96.1,58.8,30,0.431,65,0.4,26,0.2,13,0.615,8,2,200,83.1,25.6,10,17,64,,3.9,3,0.33799999999999997,22,0.182,4,44.4,40,0.45,19.4,17,43,0.512,22,0.33299999999999996,1,"November 15, 2019",50.0,12,2.3,1,83.1,74.4,29,0.36200000000000004,76,0.316,24,0.342,26,0.731,19,1,200,96.1,41.2,21,10,74,,11.7,9,0.368,28,0.25,7,55.6,50,0.419,8.4,8,48,0.354,17,0.75,3,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",MARSHALL,Marshall,76.8,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,3,True,False,True,Home,True,7,17,76,50,90,4,22,65,1,0,23,64,185,0.5324324324324324,105,208,0.5048076923076923,29,38,182,0.4478021978021978,0.6666666666666666
4,2019-11-18-19-notre-dame,47.8,11,8.0,2,103.3,71.4,20,0.46399999999999997,55,0.418,23,0.073,4,0.5,2,3,200,86.9,24.2,8,16,53,,9.8,6,0.382,21,0.23800000000000002,5,45.9,28,0.466,16.2,11,34,0.529,18,0.25,1,"November 18, 2019",71.4,15,11.8,4,86.9,75.8,25,0.51,51,0.41200000000000003,21,0.353,18,0.611,11,1,200,103.3,28.6,8,9,63,,8.2,5,0.51,26,0.385,10,54.1,33,0.529,14.5,10,25,0.44,11,0.8,4,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",PRESBYTERIAN,Presbyterian,60.7,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,4,True,False,True,Home,True,10,11,51,33,61,5,18,55,1,0,30,81,261,0.4827586206896552,155,298,0.5201342281879194,33,60,247,0.4433198380566802,0.75
5,2019-11-21-20-notre-dame,50.0,12,5.3,2,77.1,84.0,42,0.391,69,0.348,24,0.188,13,0.615,8,2,225,74.7,24.4,11,22,62,,8.4,7,0.391,27,0.222,6,55.8,53,0.41200000000000003,21.9,21,42,0.429,18,0.6,3,"November 21, 2019",56.5,13,14.3,6,74.7,75.6,34,0.37,73,0.315,23,0.233,17,0.588,10,1,225,77.1,16.0,8,16,64,,14.5,12,0.479,35,0.22899999999999998,8,44.2,42,0.395,9.0,8,38,0.395,15,0.833,5,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",TOLEDO,Toledo,73.9,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,5,True,False,True,Home,True,8,15,73,42,95,6,18,69,1,0,40,92,312,0.4871794871794872,188,359,0.5236768802228412,38,78,302,0.4470198675496689,0.8
6,2019-11-26-19-notre-dame,45.8,11,5.3,2,133.8,61.8,21,0.43,64,0.375,24,0.25,16,0.688,11,5,200,97.1,26.2,11,17,66,,7.4,5,0.359,23,0.304,7,42.1,32,0.461,9.0,7,41,0.415,17,0.16699999999999998,1,"November 26, 2019",75.0,24,17.1,7,97.1,73.8,31,0.603,63,0.508,32,0.365,23,0.652,15,1,200,133.8,38.2,13,11,91,,7.4,5,0.397,25,0.48,12,57.9,44,0.615,8.7,7,38,0.526,20,0.857,6,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",FAIRLEIGH-DICKINSON,Fairleigh Dickinson,67.8,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,6,True,False,True,Home,True,12,20,63,44,76,7,17,64,1,0,48,107,385,0.4649350649350649,230,454,0.5066079295154186,44,96,371,0.4366576819407008,0.8333333333333334
7,2019-12-04-19-maryland,61.1,11,5.3,2,101.4,75.0,30,0.34700000000000003,62,0.29,18,0.21,13,0.615,8,2,200,71.8,16.7,7,14,51,,2.8,2,0.40299999999999997,25,0.28,7,45.1,37,0.374,12.9,10,37,0.297,11,0.75,6,"December 4, 2019",66.7,18,27.0,10,71.8,83.3,35,0.46299999999999997,67,0.40299999999999997,27,0.209,14,0.7140000000000001,10,0,200,101.4,25.0,10,11,72,3.0,5.6,4,0.433,29,0.276,8,54.9,45,0.489,8.7,7,38,0.5,19,1.0,9,"Xfinity Center, College Park, Maryland",NOTRE-DAME,Notre Dame,70.9,Home,MARYLAND,Maryland,Notre Dame,acc,7,False,False,False,Away,False,7,11,62,37,82,8,19,67,0,1,60,127,448,0.484375,274,530,0.5169811320754717,51,113,435,0.43563218390804603,0.8571428571428571
8,2019-12-07-14-notre-dame,43.3,13,0.0,0,100.0,71.0,22,0.5820000000000001,61,0.4920000000000001,30,0.066,4,0.5,2,5,200,101.4,28.1,9,21,73,,9.7,7,0.377,23,0.478,11,49.2,31,0.58,20.3,16,38,0.5,19,0.5,5,"December 7, 2019",69.6,16,10.5,4,101.4,71.9,23,0.466,58,0.397,23,0.397,23,0.7829999999999999,18,3,200,100.0,29.0,9,13,72,,6.9,5,0.5,29,0.276,8,50.8,32,0.522,18.0,15,29,0.517,15,0.667,6,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",NOTRE-DAME,Notre Dame,72.4,Away,BOSTON-COLLEGE,Boston College,Notre Dame,acc,8,False,True,True,Home,False,8,15,58,32,63,11,19,61,0,1,67,138,510,0.4676470588235294,311,612,0.5081699346405228,59,132,502,0.4392430278884462,0.75
9,2019-12-10-19-notre-dame,42.9,12,3.3,1,150.7,63.0,17,0.4920000000000001,66,0.424,28,0.152,10,0.6,6,8,200,97.3,24.3,9,12,71,,6.8,5,0.455,30,0.3,9,40.6,26,0.502,14.6,12,36,0.528,19,0.111,1,"December 10, 2019",80.5,33,16.7,6,97.3,75.7,28,0.7390000000000001,69,0.594,41,0.11599999999999999,8,1.0,8,3,200,150.7,37.0,10,10,110,,9.6,7,0.565,39,0.513,20,59.4,38,0.755,12.1,10,30,0.7,21,0.7,7,"Purcell Pavilion at the Joyce Center, South Bend, Indiana",DETROIT-MERCY,Detroit,73.3,Home,NOTRE-DAME,Notre Dame,Notre Dame,acc,9,True,False,True,Home,True,20,21,69,38,64,9,19,66,1,0,75,153,568,0.4674295774647888,343,675,0.5081481481481481,70,151,563,0.4547069271758437,0.6666666666666666
