,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,YOUNGSTOWN-STATE_homegame,YOUNGSTOWN-STATE_homegame2,YOUNGSTOWN-STATE_home,YOUNGSTOWN-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-15-20-youngstown-state,60.0,12,0.0,0,95.6,75.0,21,0.39799999999999996,59,0.33899999999999997,20,0.237,14,0.214,3,7,200,73.5,22.0,9,17,50,,8.8,6,0.322,19,0.368,7,43.5,30,0.381,16.6,13,40,0.325,13,0.3,3,"December 15, 2019",53.8,14,10.0,4,73.5,78.0,32,0.5589999999999999,51,0.51,26,0.294,15,0.5329999999999999,8,5,200,95.6,25.0,7,16,65,,8.8,6,0.353,18,0.278,5,56.5,39,0.5589999999999999,21.7,16,33,0.636,21,0.545,6,"Beeghly Center, Youngstown, Ohio",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,68.4,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,10,True,False,True,Home,True,5,21,51,39,69,7,13,59,1,0,65,198,638,0.463166144200627,364,686,0.5306122448979592,74,175,589,0.4855687606112054,0.5
11,2019-12-18-19-youngstown-state,33.3,7,4.5,2,105.8,60.0,21,0.41200000000000003,57,0.368,21,0.175,10,0.8,8,6,200,79.7,6.1,2,14,55,,7.2,5,0.491,28,0.179,5,33.8,23,0.445,15.2,11,29,0.552,16,0.455,5,"December 18, 2019",56.7,17,6.9,2,79.7,93.9,31,0.478,69,0.435,30,0.217,15,0.467,7,5,200,105.8,40.0,14,13,73,,10.1,7,0.36200000000000004,25,0.24,6,66.2,45,0.479,7.4,6,44,0.545,24,0.583,7,"Beeghly Center, Youngstown, Ohio",BINGHAMTON,Binghamton,69.4,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,11,True,False,True,Home,True,6,24,69,45,68,5,16,57,1,0,70,219,689,0.4702467343976778,403,755,0.5337748344370861,81,188,648,0.4776234567901234,0.5454545454545454
12,2019-12-21-13-youngstown-state,50.0,15,6.5,2,90.1,64.9,24,0.508,64,0.469,30,0.313,20,0.5,10,1,200,105.6,36.1,13,20,75,25.0,16.9,12,0.266,17,0.294,5,50.7,37,0.51,14.2,12,47,0.532,25,0.909,10,"December 21, 2019",50.0,10,2.1,1,105.6,63.9,23,0.4270000000000001,55,0.364,20,0.436,24,0.708,17,6,200,90.1,35.1,13,22,64,,11.3,8,0.436,24,0.292,7,49.3,36,0.48200000000000004,19.6,16,31,0.419,13,0.5379999999999999,7,"Covelli Centre, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,71.0,Away,WEST-VIRGINIA,West Virginia,Youngstown State,horizon,12,False,True,True,Home,False,7,13,55,36,73,5,25,64,0,1,76,243,758,0.47097625329815296,448,823,0.5443499392466585,86,204,705,0.4723404255319149,0.5833333333333334
13,2019-12-28-12-iupui,48.4,15,9.1,3,100.0,62.2,23,0.602,59,0.525,31,0.237,14,0.857,12,6,200,113.7,38.5,10,25,83,,12.3,9,0.373,22,0.409,9,52.4,33,0.632,22.6,19,37,0.595,22,0.5710000000000001,8,"December 28, 2019",69.2,18,8.1,3,113.7,61.5,16,0.526,58,0.44799999999999995,26,0.483,28,0.429,12,10,200,100.0,37.8,14,16,73,,12.3,9,0.431,25,0.36,9,47.6,30,0.512,16.6,14,33,0.515,17,0.28600000000000003,4,"Indiana Farmers Coliseum, Indianapolis, Indiana",IUPUI,IUPUI,73.0,Away,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,13,False,False,False,Away,True,9,22,59,33,63,9,17,58,1,0,83,256,813,0.468019680196802,484,896,0.5401785714285714,91,229,769,0.4752925877763329,0.5384615384615384
14,2019-12-30-19-illinois-chicago,29.2,7,4.5,2,91.4,66.7,22,0.46399999999999997,56,0.429,24,0.46399999999999997,26,0.6920000000000001,18,6,200,100.0,35.7,10,16,70,,15.7,11,0.321,18,0.222,4,52.5,32,0.512,14.0,11,38,0.526,20,0.6,9,"December 30, 2019",45.5,10,13.2,5,100.0,64.3,18,0.414,58,0.379,22,0.31,18,0.889,16,9,200,91.4,33.3,11,20,64,,7.1,5,0.24100000000000002,14,0.28600000000000003,4,47.5,29,0.48100000000000004,19.5,16,44,0.409,18,0.4,6,"UIC Pavilion, Chicago, Illinois",ILLINOIS-CHICAGO,UIC,70.5,Away,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,14,False,False,False,Away,True,4,20,56,32,61,4,18,58,1,0,92,278,872,0.4770642201834863,517,959,0.5391032325338895,100,246,827,0.4788391777509069,0.5714285714285714
15,2020-01-04-15-cleveland-state,60.0,15,10.0,5,126.2,53.8,14,0.535,57,0.439,25,0.298,17,0.765,13,7,200,113.8,35.5,11,19,74,,3.1,2,0.368,21,0.524,11,43.9,25,0.569,14.6,11,36,0.389,14,0.562,9,"January 4, 2020",58.6,17,8.3,3,113.8,64.5,20,0.555,55,0.527,29,0.509,28,0.75,21,10,200,126.2,46.2,12,15,82,,9.2,6,0.091,5,0.6,3,56.1,32,0.6,10.6,8,50,0.52,26,0.375,6,"Wolstein Center, Cleveland, Ohio",YOUNGSTOWN-STATE,Youngstown State,64.7,Home,CLEVELAND-STATE,Cleveland State,Youngstown State,horizon,15,False,False,False,Away,False,11,14,57,25,57,3,26,55,0,1,96,298,928,0.4762931034482759,549,1020,0.538235294117647,104,264,885,0.4745762711864407,0.6
16,2020-01-09-19-youngstown-state,62.5,15,2.9,1,96.8,50.0,19,0.509,56,0.429,24,0.107,6,0.5,3,11,200,95.2,29.6,8,15,60,,12.7,8,0.41100000000000003,23,0.391,9,41.5,27,0.51,18.1,13,33,0.455,15,0.353,6,"January 9, 2020",54.5,12,12.1,4,95.2,70.4,19,0.4270000000000001,62,0.355,22,0.161,10,0.8,8,7,200,96.8,50.0,19,11,61,,7.9,5,0.435,27,0.33299999999999996,9,58.5,38,0.457,17.4,14,35,0.371,13,0.588,10,"Beeghly Center, Youngstown, Ohio",OAKLAND,Oakland,62.8,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,16,True,False,True,Home,True,9,13,62,38,65,9,15,56,1,0,107,312,985,0.4796954314720812,574,1077,0.5329619312906221,107,290,940,0.4792553191489362,0.5625
17,2020-01-11-14-youngstown-state,47.8,11,3.4,1,98.6,76.0,19,0.48200000000000004,57,0.40399999999999997,23,0.316,18,0.667,12,15,200,95.7,21.2,7,18,67,,7.1,5,0.42100000000000004,24,0.375,9,44.8,26,0.511,14.5,11,33,0.424,14,0.16699999999999998,3,"January 11, 2020",66.7,14,0.0,0,95.7,78.8,26,0.49,51,0.41200000000000003,21,0.49,25,0.76,19,7,200,98.6,24.0,6,16,69,,10.0,7,0.431,22,0.364,8,55.2,32,0.5489999999999999,17.3,13,29,0.44799999999999995,13,0.611,11,"Beeghly Center, Youngstown, Ohio",DETROIT-MERCY,Detroit,69.7,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,17,True,False,True,Home,True,8,13,51,32,58,9,14,57,1,0,116,325,1047,0.4765998089780325,612,1142,0.5359019264448336,116,305,996,0.4809236947791165,0.5882352941176471
18,2020-01-16-19-northern-kentucky,55.0,11,12.5,4,127.5,72.0,18,0.375,60,0.33299999999999996,20,0.483,29,0.621,18,8,200,91.3,35.7,15,18,63,,7.2,5,0.3,18,0.278,5,49.3,33,0.4270000000000001,11.0,9,42,0.35700000000000004,15,0.579,11,"January 16, 2020",50.0,15,7.1,3,91.3,64.3,27,0.602,59,0.508,30,0.322,19,0.895,17,6,200,127.5,28.0,7,22,88,,5.8,4,0.45799999999999996,27,0.40700000000000003,11,50.7,34,0.647,11.8,9,32,0.594,19,0.684,13,"Bank of Kentucky Center, Highland Heights, Kentucky",YOUNGSTOWN-STATE,Youngstown State,68.9,Home,NORTHERN-KENTUCKY,Northern Kentucky,Youngstown State,horizon,18,False,False,False,Away,False,5,15,60,33,67,11,19,59,0,1,124,338,1098,0.4772313296903461,644,1200,0.5366666666666666,125,319,1053,0.4810066476733144,0.6111111111111112
19,2020-01-18-19-wright-state,53.8,14,1.9,1,108.2,65.9,27,0.406,69,0.377,26,0.261,18,0.889,16,9,200,98.6,38.5,15,22,72,,6.8,5,0.304,21,0.19,4,52.5,42,0.46399999999999997,12.5,11,48,0.45799999999999996,22,0.55,11,"January 18, 2020",44.4,12,14.6,7,98.6,61.5,24,0.447,66,0.409,27,0.455,30,0.667,20,4,200,108.2,34.1,14,14,79,,8.2,6,0.19699999999999998,13,0.385,5,47.5,38,0.4920000000000001,7.0,6,53,0.415,22,0.81,17,"Ervin J. Nutter Center, Dayton, Ohio",YOUNGSTOWN-STATE,Youngstown State,72.9,Home,WRIGHT-STATE,Wright State,Youngstown State,horizon,19,False,False,False,Away,False,4,22,69,42,80,5,22,66,0,1,129,353,1158,0.4719343696027634,677,1267,0.5343330702446725,136,338,1112,0.4874100719424461,0.5789473684210527
20,2020-01-23-19-youngstown-state,37.5,12,16.7,7,89.0,76.5,26,0.435,77,0.41600000000000004,32,0.20800000000000002,16,0.5,8,10,225,91.5,33.3,13,21,75,,8.5,7,0.247,19,0.158,3,53.4,39,0.44299999999999995,10.6,10,58,0.5,29,0.5,10,"January 23, 2020",50.0,14,6.9,4,91.5,66.7,26,0.47700000000000004,64,0.43799999999999994,28,0.406,26,0.462,12,10,225,89.0,23.5,8,19,73,,4.9,4,0.344,22,0.22699999999999998,5,46.6,34,0.478,15.7,14,42,0.5479999999999999,23,0.524,11,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,72.9,Away,MILWAUKEE,Milwaukee,Youngstown State,horizon,20,False,True,True,Home,False,5,23,64,34,73,3,29,77,0,1,133,375,1227,0.4682151589242054,719,1347,0.5337787676317743,141,360,1178,0.485144312393888,0.55
21,2020-01-25-14-youngstown-state,41.2,14,12.5,7,118.1,55.0,22,0.574,68,0.5,34,0.27899999999999997,19,0.8420000000000001,16,12,225,113.3,30.3,10,21,94,,4.8,4,0.353,24,0.41700000000000004,10,43.8,32,0.61,15.5,14,44,0.545,24,0.455,10,"January 25, 2020",50.0,18,0.0,0,113.3,69.7,23,0.488,82,0.439,36,0.293,24,0.75,18,10,225,118.1,45.0,18,17,98,,4.8,4,0.317,26,0.308,8,56.2,41,0.525,8.9,9,56,0.5,28,0.545,12,"Beeghly Center, Youngstown, Ohio",GREEN-BAY,Green Bay,73.5,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,21,True,False,True,Home,True,8,28,82,41,73,10,24,68,1,0,138,398,1291,0.4686289697908598,753,1420,0.5302816901408449,144,389,1255,0.4820717131474104,0.5238095238095238
22,2020-01-30-19-youngstown-state,50.0,17,9.3,4,105.1,72.7,32,0.552,67,0.507,34,0.313,21,0.762,16,13,225,113.9,25.8,8,19,90,,5.1,4,0.284,19,0.316,6,53.3,40,0.585,10.6,9,48,0.583,28,0.435,10,"January 30, 2020",40.0,12,4.2,2,113.9,74.2,23,0.466,74,0.405,30,0.311,23,0.609,14,11,225,105.1,27.3,12,18,83,,5.1,4,0.419,31,0.29,9,46.7,35,0.489,8.7,8,43,0.488,21,0.522,12,"Beeghly Center, Youngstown, Ohio",YOUNGSTOWN-STATE,Youngstown State,70.6,Away,ILLINOIS-CHICAGO,UIC,Youngstown State,horizon,22,False,True,True,Home,False,9,21,74,35,75,6,28,67,0,1,146,426,1373,0.4697742170429716,794,1493,0.5318151373074347,154,413,1323,0.4867724867724868,0.5454545454545454
23,2020-02-01-18-youngstown-state,39.3,11,5.1,2,133.8,60.0,15,0.5529999999999999,57,0.491,28,0.368,21,0.619,13,18,200,111.8,19.4,6,12,76,,7.4,5,0.35100000000000003,20,0.35,7,37.5,21,0.5670000000000001,9.6,7,37,0.568,21,0.25,6,"February 1, 2020",52.8,19,2.7,1,111.8,80.6,25,0.636,66,0.545,36,0.152,10,0.7,7,11,200,133.8,40.0,10,16,91,,2.9,2,0.409,27,0.444,12,62.5,35,0.643,9.0,7,39,0.615,24,0.542,13,"Beeghly Center, Youngstown, Ohio",IUPUI,IUPUI,67.9,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,23,True,False,True,Home,True,12,24,66,35,56,7,21,57,1,0,155,447,1447,0.4695922598479613,829,1568,0.5286989795918368,160,441,1390,0.4899280575539569,0.5217391304347826
24,2020-02-08-18-youngstown-state,31.8,7,6.3,2,104.7,59.3,16,0.469,49,0.449,22,0.306,15,0.6,9,16,200,85.9,12.9,4,18,55,,9.4,6,0.22399999999999998,11,0.182,2,34.5,20,0.49,15.2,10,38,0.526,20,0.36,9,"February 8, 2020",54.2,13,10.5,4,85.9,87.1,27,0.491,56,0.429,24,0.268,15,0.8,12,11,200,104.7,40.7,11,15,67,,6.3,4,0.429,24,0.292,7,65.5,38,0.531,17.2,13,32,0.531,17,0.56,14,"Beeghly Center, Youngstown, Ohio",CLEVELAND-STATE,Cleveland State,63.6,Home,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,24,True,False,True,Home,True,7,17,56,38,58,2,20,49,1,0,167,471,1513,0.476867151354924,864,1624,0.5320197044334976,167,462,1447,0.4923980649619904,0.5416666666666666
25,2020-02-13-19-detroit-mercy,55.2,16,6.7,3,110.8,58.8,20,0.591,55,0.527,29,0.273,15,0.733,11,11,200,116.9,26.9,7,12,76,,6.2,4,0.273,15,0.467,7,45.0,27,0.612,14.0,10,40,0.55,22,0.5770000000000001,15,"February 13, 2020",37.0,10,7.5,3,116.9,73.1,19,0.47,67,0.40299999999999997,27,0.149,10,0.9,9,20,200,110.8,41.2,14,12,72,,4.6,3,0.32799999999999996,22,0.409,9,55.0,33,0.502,10.1,8,45,0.4,18,0.231,6,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,65.4,Away,YOUNGSTOWN-STATE,Youngstown State,Youngstown State,horizon,25,False,False,False,Away,True,7,22,55,27,60,9,18,67,1,0,174,488,1569,0.4773741236456341,902,1682,0.5362663495838288,169,482,1496,0.491644385026738,0.56
26,2020-02-15-15-oakland,46.2,12,12.5,4,109.1,63.3,19,0.444,71,0.366,26,0.042,3,0.33299999999999996,1,12,200,97.0,43.6,17,19,64,,4.5,3,0.423,30,0.3670000000000001,11,52.2,36,0.442,16.2,14,41,0.366,15,0.556,15,"February 15, 2020",76.9,20,7.3,3,97.0,56.4,22,0.574,54,0.48100000000000004,26,0.33299999999999996,18,0.556,10,17,200,109.1,36.7,11,12,72,,12.1,8,0.40700000000000003,22,0.455,10,47.8,33,0.5760000000000001,15.1,11,32,0.5,16,0.37,10,"Athletics Center O'rena, Rochester, Michigan",YOUNGSTOWN-STATE,Youngstown State,66.0,Home,OAKLAND,Oakland,Youngstown State,horizon,26,False,False,False,Away,False,11,15,71,36,69,10,16,54,0,1,181,510,1624,0.4812192118226601,929,1742,0.5332950631458094,178,500,1563,0.49072296865003207,0.5769230769230769
