,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEW-MEXICO_homegame,NEW-MEXICO_homegame2,NEW-MEXICO_home,NEW-MEXICO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-21-new-mexico,48.0,12,2.9,1,108.2,90.5,19,0.433,67,0.373,25,0.299,20,0.65,13,0,200,83.5,27.9,12,21,71,,10.6,9,0.358,24,0.33299999999999996,8,48.4,31,0.46399999999999997,20.9,20,43,0.395,17,0.0,0,"November 6, 2019",66.7,22,16.3,7,83.5,72.1,31,0.664,55,0.6,33,0.473,26,0.731,19,0,200,108.2,9.5,2,19,92,,7.1,6,0.364,20,0.35,7,51.6,33,0.6829999999999999,24.0,21,35,0.743,26,1.0,1,"The Pit, Albuquerque, New Mexico","Eastern New Mexico
			","Eastern New Mexico
			",85.4,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,0,True,False,True,Home,True,7,26,55,33,64,8,17,67,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-21-new-mexico,60.7,17,4.5,2,127.6,66.7,14,0.508,63,0.444,28,0.20600000000000002,13,0.462,6,2,200,92.1,25.7,9,25,70,,3.9,3,0.365,23,0.348,8,41.1,23,0.506,17.9,15,40,0.5,20,0.0,0,"November 9, 2019",61.1,22,7.5,3,92.1,74.3,26,0.65,60,0.6,36,0.433,26,0.731,19,0,200,127.6,33.3,7,16,97,,7.9,6,0.267,16,0.375,6,58.9,33,0.67,14.4,12,44,0.682,30,1.0,2,"The Pit, Albuquerque, New Mexico",CAL-STATE-NORTHRIDGE,Cal State Northridge,76.3,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,1,True,False,True,Home,True,6,30,60,33,56,8,20,63,1,0,7,26,55,0.6636363636363637,33,64,0.515625,8,17,67,0.4328358208955224,1.0
2,2019-11-13-21-new-mexico,73.3,22,4.7,2,105.7,73.5,25,0.467,75,0.4,30,0.147,11,0.727,8,2,200,88.6,17.5,7,23,78,,6.8,6,0.44,33,0.303,10,43.2,32,0.486,16.7,16,42,0.47600000000000003,20,0.33299999999999996,1,"November 13, 2019",58.1,18,4.8,2,88.6,82.5,33,0.546,65,0.47700000000000004,31,0.431,28,0.7859999999999999,22,0,200,105.7,26.5,9,13,93,,11.4,10,0.33799999999999997,22,0.409,9,56.8,42,0.594,18.9,18,43,0.512,22,1.0,3,"The Pit, Albuquerque, New Mexico",GREEN-BAY,Green Bay,88.3,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,2,True,False,True,Home,True,9,22,65,42,74,10,20,75,1,0,13,56,115,0.6565217391304348,66,120,0.55,16,37,130,0.4692307692307692,1.0
3,2019-11-16-18-new-mexico,85.7,24,17.9,7,116.9,60.6,20,0.627,55,0.509,28,0.255,14,0.7859999999999999,11,4,200,103.9,20.7,6,25,80,,9.1,7,0.527,29,0.44799999999999995,13,41.9,26,0.649,25.6,21,26,0.5770000000000001,15,0.2,1,"November 16, 2019",78.6,22,7.7,2,103.9,79.3,23,0.542,59,0.475,28,0.593,35,0.743,26,0,200,116.9,39.4,13,15,90,,22.1,17,0.33899999999999997,20,0.4,8,58.1,36,0.595,16.8,15,39,0.513,20,1.0,4,"The Pit, Albuquerque, New Mexico",MCNEESE-STATE,McNeese State,77.1,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,3,True,False,True,Home,True,8,20,59,36,62,13,15,55,1,0,22,78,180,0.6166666666666667,108,194,0.5567010309278351,26,57,205,0.4682926829268293,1.0
4,2019-11-19-21-texas-el-paso,36.8,7,7.1,2,90.4,84.4,27,0.439,49,0.38799999999999996,19,0.633,31,0.645,20,1,200,86.3,28.1,9,14,63,,9.6,7,0.38799999999999996,19,0.263,5,56.3,36,0.494,22.3,18,30,0.467,14,0.8,4,"November 19, 2019",58.3,14,6.7,2,86.3,71.9,23,0.491,56,0.429,24,0.23199999999999998,13,0.846,11,0,200,90.4,15.6,5,21,66,,12.3,9,0.5,28,0.25,7,43.8,28,0.531,20.6,16,28,0.607,17,1.0,4,"Don Haskins Center, El Paso, Texas",NEW-MEXICO,New Mexico,73.0,Home,TEXAS-EL-PASO,UTEP,New Mexico,mwc,4,False,False,False,Away,False,5,14,49,36,64,7,17,56,0,1,30,98,239,0.5983263598326359,144,256,0.5625,39,72,260,0.5019230769230769,1.0
5,2019-11-21-21-new-mexico-state,35.7,10,3.2,1,105.5,60.7,17,0.5770000000000001,52,0.5379999999999999,28,0.462,24,0.75,18,1,200,106.8,26.7,8,16,78,,9.6,7,0.28800000000000003,15,0.267,4,43.1,25,0.615,20.4,16,37,0.649,24,0.833,5,"November 21, 2019",60.7,17,0.0,0,106.8,73.3,22,0.4920000000000001,64,0.43799999999999994,28,0.281,18,0.778,14,3,200,105.5,39.3,11,21,77,,9.6,7,0.516,33,0.212,7,56.9,33,0.531,15.3,13,31,0.677,21,0.4,2,"Pan American Center, Las Cruces, New Mexico",NEW-MEXICO-STATE,New Mexico State,73.0,Away,NEW-MEXICO,New Mexico,New Mexico,mwc,5,False,False,False,Away,True,4,24,52,25,58,7,21,64,1,0,35,112,288,0.5711805555555556,180,320,0.5625,46,89,316,0.5,0.8
6,2019-11-25-21-new-mexico,56.3,18,14.0,6,76.6,65.0,26,0.5,76,0.42100000000000004,32,0.263,20,0.4,8,0,200,109.1,40.0,18,16,84,18.0,18.2,14,0.5,38,0.316,12,51.8,44,0.491,10.5,10,38,0.526,20,1.0,6,"November 25, 2019",60.0,15,2.6,1,109.1,60.0,27,0.435,62,0.40299999999999997,25,0.145,9,0.556,5,2,200,76.6,35.0,14,20,59,,7.8,6,0.306,19,0.21100000000000002,4,48.2,41,0.445,26.7,24,43,0.488,21,0.7140000000000001,5,"Barclays Center, Brooklyn, New York",NEW-MEXICO,New Mexico,76.9,Away,AUBURN,Auburn,New Mexico,mwc,6,False,True,True,Home,False,4,21,62,41,85,12,20,76,0,1,39,136,340,0.5720588235294117,205,378,0.5423280423280423,53,110,380,0.4986842105263158,0.8333333333333334
7,2019-11-26-17-new-mexico,33.3,6,2.7,1,95.2,75.9,22,0.358,53,0.34,18,0.302,16,0.75,12,3,200,80.6,31.4,11,16,50,,8.1,5,0.491,26,0.077,2,51.6,33,0.413,16.7,12,27,0.593,16,0.5710000000000001,4,"November 26, 2019",59.1,13,3.7,1,80.6,68.6,24,0.47,50,0.44,22,0.3,15,0.8,12,2,200,95.2,24.1,7,17,59,,4.8,3,0.26,13,0.231,3,48.4,31,0.516,18.7,13,37,0.514,19,0.75,6,"Barclays Center, Brooklyn, New York",WISCONSIN,Wisconsin,62.4,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,7,True,False,True,Home,True,3,19,50,31,64,2,16,53,1,0,43,157,402,0.5509950248756219,246,463,0.531317494600432,65,130,456,0.4989035087719298,0.7142857142857143
8,2019-12-01-15-new-mexico,46.2,12,13.2,5,105.9,75.8,25,0.4920000000000001,60,0.433,26,0.11699999999999999,7,0.5710000000000001,4,5,200,92.6,3.2,1,29,63,,7.4,5,0.3670000000000001,22,0.318,7,40.6,26,0.4970000000000001,8.7,6,38,0.5,19,0.375,3,"December 1, 2019",68.2,15,13.2,5,92.6,96.8,30,0.49,51,0.431,22,0.6859999999999999,35,0.629,22,2,200,105.9,24.2,8,15,72,,4.4,3,0.255,13,0.462,6,59.4,38,0.532,11.9,9,38,0.42100000000000004,16,0.778,7,"The Pit, Albuquerque, New Mexico",MONTANA,Montana,68.5,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,8,True,False,True,Home,True,6,16,51,38,64,7,19,60,1,0,46,176,452,0.5420353982300885,277,527,0.5256166982922201,67,146,509,0.4842829076620826,0.75
9,2019-12-04-21-new-mexico,70.4,19,4.7,2,121.2,67.9,19,0.642,53,0.509,27,0.264,14,0.7140000000000001,10,3,200,118.2,23.8,5,20,78,,1.5,1,0.528,28,0.5,14,49.0,24,0.654,16.9,12,25,0.52,13,0.5710000000000001,4,"December 4, 2019",65.5,19,20.0,5,118.2,76.2,16,0.535,57,0.509,29,0.439,25,0.76,19,2,200,121.2,32.1,9,14,80,,10.6,7,0.24600000000000002,14,0.214,3,51.0,25,0.581,8.1,6,43,0.605,26,0.8,8,"The Pit, Albuquerque, New Mexico",BOISE-STATE,Boise State,66.3,Home,NEW-MEXICO,New Mexico,New Mexico,mwc,9,True,False,True,Home,True,3,26,57,25,49,14,13,53,1,0,52,192,503,0.536779324055666,315,591,0.5329949238578681,74,165,569,0.4850615114235501,0.7777777777777778
