,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,UTAH-STATE_homegame,UTAH-STATE_homegame2,UTAH-STATE_home,UTAH-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-utah-state,54.2,13,8.6,3,106.6,75.8,25,0.5,57,0.42100000000000004,24,0.456,26,0.615,16,1,200,96.1,23.5,8,31,73,,7.9,6,0.33299999999999996,19,0.474,9,49.3,33,0.526,18.0,15,38,0.395,15,0.0,0,"November 5, 2019",60.0,12,13.2,5,96.1,76.5,26,0.434,53,0.377,20,0.8490000000000001,45,0.778,35,0,200,106.6,24.2,8,23,81,17.0,10.5,8,0.34,18,0.33299999999999996,6,50.7,34,0.545,11.0,9,35,0.4,14,1.0,1,"Dee Glen Smith Spectrum, Logan, Utah",MONTANA-STATE,Montana State,75.9,Home,UTAH-STATE,Utah State,Utah State,mwc,0,True,False,True,Home,True,6,14,53,34,67,9,15,57,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-21-utah-state,70.0,7,10.0,5,132.8,60.0,15,0.272,46,0.217,10,0.435,20,0.45,9,1,200,50.7,21.6,8,13,34,,4.5,3,0.478,22,0.22699999999999998,5,37.1,23,0.306,23.7,17,24,0.20800000000000002,5,0.0,0,"November 8, 2019",70.3,26,0.0,0,50.7,78.4,29,0.597,67,0.552,37,0.149,10,0.9,9,0,200,132.8,40.0,10,17,89,17.0,9.0,6,0.254,17,0.353,6,62.9,39,0.62,8.9,7,50,0.62,31,1.0,2,"Dee Glen Smith Spectrum, Logan, Utah",WEBER-STATE,Weber State,66.6,Home,UTAH-STATE,Utah State,Utah State,mwc,1,True,False,True,Home,True,6,31,67,39,62,5,5,46,1,0,6,14,53,0.4339622641509434,34,67,0.5074626865671642,9,15,57,0.5,1.0
2,2019-11-12-21-utah-state,42.9,9,13.5,5,127.6,62.9,22,0.426,54,0.389,21,0.259,14,0.7140000000000001,10,2,201,73.7,2.9,1,21,56,,5.3,4,0.29600000000000004,16,0.25,4,33.3,23,0.462,20.0,15,38,0.447,17,0.33299999999999996,1,"November 12, 2019",71.9,23,10.5,4,73.7,97.1,33,0.5820000000000001,67,0.478,32,0.358,24,0.792,19,0,201,127.6,37.1,13,15,97,17.0,13.2,10,0.44799999999999995,30,0.467,14,66.7,46,0.619,13.4,12,37,0.486,18,1.0,3,"Dee Glen Smith Spectrum, Logan, Utah",DENVER,Denver,75.6,Home,UTAH-STATE,Utah State,Utah State,mwc,2,True,False,True,Home,True,14,18,67,46,69,4,17,54,1,0,12,45,120,0.525,73,129,0.5658914728682171,14,20,103,0.3980582524271845,1.0
3,2019-11-15-21-utah-state,42.9,9,10.8,4,112.5,65.4,17,0.408,60,0.35,21,0.183,11,0.455,5,3,200,75.0,19.5,8,25,54,,13.9,10,0.33299999999999996,20,0.35,7,37.3,25,0.414,17.8,14,40,0.35,14,0.25,1,"November 15, 2019",75.9,22,12.5,5,75.0,80.5,33,0.606,52,0.5579999999999999,29,0.5770000000000001,30,0.6,18,0,200,112.5,34.6,9,13,81,17.0,6.9,5,0.28800000000000003,15,0.33299999999999996,5,62.7,42,0.611,18.7,15,37,0.649,24,1.0,4,"Dee Glen Smith Spectrum, Logan, Utah",NORTH-CAROLINA-AT,North Carolina A&T,71.7,Home,UTAH-STATE,Utah State,Utah State,mwc,3,True,False,True,Home,True,5,24,52,42,67,7,14,60,1,0,26,63,187,0.5454545454545454,119,198,0.6010101010101011,18,37,157,0.4076433121019109,1.0
4,2019-11-18-21-utah-state,25.0,5,9.5,4,109.3,58.5,24,0.336,70,0.28600000000000003,20,0.057,4,0.75,3,5,200,66.7,24.5,12,14,50,,12.0,9,0.429,30,0.233,7,40.0,36,0.348,17.3,15,40,0.325,13,0.0,0,"November 18, 2019",50.0,17,15.0,6,66.7,75.5,37,0.527,73,0.466,34,0.096,7,0.7140000000000001,5,0,200,109.3,41.5,17,9,82,15.0,6.7,5,0.425,31,0.29,9,60.0,54,0.537,17.4,16,42,0.595,25,1.0,5,"Dee Glen Smith Spectrum, Logan, Utah",TEXAS-SAN-ANTONIO,UTSA,75.1,Home,UTAH-STATE,Utah State,Utah State,mwc,4,True,False,True,Home,True,9,25,73,54,90,7,13,70,1,0,31,87,239,0.5585774058577406,161,265,0.6075471698113207,25,51,217,0.4078341013824885,1.0
5,2019-11-22-19-utah-state,42.9,12,20.0,7,106.7,79.3,23,0.568,59,0.475,28,0.237,14,0.7859999999999999,11,2,200,104.0,23.3,7,18,78,,12.0,9,0.424,25,0.44,11,50.8,30,0.594,18.7,15,34,0.5,17,0.6,3,"November 22, 2019",72.0,18,0.0,0,104.0,76.7,23,0.535,57,0.439,25,0.40399999999999997,23,0.826,19,0,200,106.7,20.7,6,12,80,15.0,9.3,7,0.386,22,0.5,11,49.2,29,0.589,17.3,14,35,0.4,14,1.0,6,"Montego Bay Convention Centre, Montego Bay",LOUISIANA-STATE,LSU,74.8,Home,UTAH-STATE,Utah State,Utah State,mwc,5,True,False,True,Home,True,11,14,57,29,59,11,17,59,1,0,40,112,312,0.5512820512820513,215,355,0.6056338028169014,32,64,287,0.3902439024390244,1.0
6,2019-11-24-18-north-texas,42.1,8,15.0,6,85.5,79.4,27,0.436,47,0.40399999999999997,19,0.723,34,0.794,27,0,200,98.6,25.0,7,12,68,15.0,11.6,8,0.298,14,0.214,3,54.8,34,0.5379999999999999,16.2,12,33,0.485,16,1.0,7,"November 24, 2019",25.0,6,6.1,2,98.6,75.0,21,0.42100000000000004,63,0.381,24,0.111,7,0.857,6,5,200,85.5,20.6,7,22,59,,10.1,7,0.365,23,0.217,5,45.2,28,0.445,14.3,11,40,0.475,19,0.28600000000000003,2,"Montego Bay Convention Centre, Montego Bay",NORTH-TEXAS,North Texas,69.2,Away,UTAH-STATE,Utah State,Utah State,mwc,6,False,False,False,Away,True,3,16,47,34,62,5,19,63,1,0,51,126,369,0.5487804878048781,244,414,0.5893719806763285,43,81,346,0.4205202312138728,1.0
7,2019-11-29-23-saint-marys-ca,50.0,13,0.0,0,114.1,82.8,24,0.509,58,0.44799999999999995,26,0.293,17,0.8240000000000001,14,1,200,102.8,15.6,5,19,73,15.0,11.3,8,0.345,20,0.35,7,47.5,29,0.552,13.2,10,38,0.5,19,0.875,7,"November 29, 2019",51.7,15,7.9,3,102.8,84.4,27,0.589,56,0.518,29,0.375,21,0.7140000000000001,15,1,200,114.1,17.2,5,16,81,,14.1,10,0.33899999999999997,19,0.42100000000000004,8,52.5,32,0.614,13.3,10,37,0.568,21,0.875,7,"McKeon Pavilion, Moraga, California",UTAH-STATE,Utah State,71.0,Home,SAINT-MARYS-CA,Saint Mary's,Utah State,mwc,7,False,False,False,Away,False,7,19,58,29,61,8,21,56,0,1,54,142,416,0.5360576923076923,278,476,0.5840336134453782,48,100,409,0.42053789731051344,1.0
8,2019-12-04-23-san-jose-state,32.1,9,10.7,3,85.5,88.9,24,0.455,66,0.424,28,0.303,20,0.55,11,1,200,102.9,28.9,11,17,71,25.0,14.5,10,0.258,17,0.235,4,53.8,35,0.47,7.4,6,49,0.49,24,0.889,8,"December 4, 2019",66.7,14,18.4,9,102.9,71.1,27,0.51,49,0.429,21,0.306,15,0.6,9,6,200,85.5,11.1,3,16,59,,2.9,2,0.429,21,0.381,8,46.2,30,0.526,20.1,14,28,0.46399999999999997,13,0.33299999999999996,3,"San Jose State Event Center, San Jose, California",SAN-JOSE-STATE,San Jose State,68.8,Away,UTAH-STATE,Utah State,Utah State,mwc,8,False,False,False,Away,True,4,24,66,35,65,8,13,49,1,0,61,161,474,0.5327004219409283,307,537,0.5716945996275605,56,121,465,0.4408602150537633,0.875
9,2019-12-07-18-utah-state,40.0,10,12.2,5,100.0,74.4,29,0.419,68,0.368,25,0.221,15,0.867,13,6,225,90.9,17.5,7,26,70,,9.1,7,0.5,34,0.20600000000000002,7,45.6,36,0.466,11.8,10,34,0.529,18,0.25,2,"December 7, 2019",61.9,13,8.8,3,90.9,82.5,33,0.38299999999999995,60,0.35,21,0.5670000000000001,34,0.912,31,1,225,100.0,25.6,10,15,77,25.0,10.4,8,0.317,19,0.21100000000000002,4,54.4,43,0.506,11.8,10,41,0.415,17,0.9,9,"Dee Glen Smith Spectrum, Logan, Utah",FRESNO-STATE,Fresno State,68.6,Home,UTAH-STATE,Utah State,Utah State,mwc,9,True,False,True,Home,True,4,17,60,43,79,7,18,68,1,0,65,185,540,0.5231481481481481,342,602,0.5681063122923588,64,134,514,0.4474708171206226,0.8888888888888888
