,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ORAL-ROBERTS_homegame,ORAL-ROBERTS_homegame2,ORAL-ROBERTS_home,ORAL-ROBERTS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-oklahoma-state,50.0,12,5.4,2,89.9,80.0,32,0.387,71,0.33799999999999997,24,0.366,26,0.769,20,1,200,84.3,25.0,12,27,75,,11.2,10,0.451,32,0.21899999999999997,7,50.0,44,0.45,17.1,17,39,0.436,17,0.0,0,"November 6, 2019",52.2,12,30.8,12,84.3,75.0,36,0.44299999999999995,61,0.377,23,0.557,34,0.765,26,0,200,89.9,20.0,8,23,80,,9.0,8,0.39299999999999996,24,0.33299999999999996,8,50.0,44,0.518,21.7,21,37,0.405,15,1.0,1,"Gallagher-Iba Arena, Stillwater, Oklahoma",ORAL-ROBERTS,Oral Roberts,89.3,Home,OKLAHOMA-STATE,Oklahoma State,Oral Roberts,summit,0,False,False,False,Away,False,7,17,71,44,88,8,15,61,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-oral-roberts,46.4,13,8.2,4,103.3,65.8,25,0.45799999999999996,71,0.39399999999999996,28,0.324,23,0.696,16,2,200,88.0,19.0,8,16,81,,6.5,6,0.366,26,0.34600000000000003,9,41.3,33,0.494,16.5,16,45,0.42200000000000004,19,0.0,0,"November 8, 2019",50.0,17,8.9,4,88.0,81.0,34,0.494,78,0.436,34,0.33299999999999996,26,0.6920000000000001,18,1,200,103.3,34.2,13,21,95,,10.9,10,0.3720000000000001,29,0.31,9,58.8,47,0.526,15.2,16,49,0.51,25,0.5,1,"Mabee Center, Tulsa, Oklahoma",HOUSTON-BAPTIST,Houston Baptist,91.6,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,1,True,False,True,Home,True,9,25,78,47,80,9,19,71,1,0,7,17,71,0.3873239436619718,44,88,0.5,8,15,61,0.4426229508196721,0.0
2,2019-11-12-20-tulsa,59.1,13,2.5,1,100.0,74.2,23,0.40299999999999997,67,0.32799999999999996,22,0.284,19,0.684,13,2,200,90.5,25.5,12,24,67,,13.5,10,0.522,35,0.28600000000000003,10,44.9,35,0.441,12.7,11,32,0.375,12,0.33299999999999996,1,"November 12, 2019",59.3,16,12.5,4,90.5,74.5,35,0.547,53,0.509,27,0.509,27,0.593,16,1,200,100.0,25.8,8,16,74,,9.5,7,0.245,13,0.308,4,55.1,43,0.562,19.8,16,40,0.575,23,0.667,2,"Donald W. Reynolds Center, Tulsa, Oklahoma",ORAL-ROBERTS,Oral Roberts,74.4,Home,TULSA,Tulsa,Oral Roberts,summit,2,False,False,False,Away,False,10,12,67,35,78,4,23,53,0,1,16,42,149,0.4429530201342282,91,168,0.5416666666666666,17,34,132,0.4507575757575758,0.5
3,2019-11-15-20-iowa,42.9,12,2.3,1,116.0,61.5,24,0.4920000000000001,65,0.431,28,0.185,12,0.833,10,3,200,98.7,21.9,7,21,74,,4.0,3,0.354,23,0.348,8,43.7,31,0.523,14.6,12,42,0.47600000000000003,20,0.25,1,"November 15, 2019",65.6,21,7.1,3,98.7,78.1,25,0.529,68,0.47100000000000003,32,0.382,26,0.5770000000000001,15,1,200,116.0,38.5,15,17,87,,6.7,5,0.353,24,0.33299999999999996,8,56.3,40,0.541,9.1,8,44,0.545,24,0.667,2,"Carver-Hawkeye Arena, Iowa City, Iowa",ORAL-ROBERTS,Oral Roberts,74.5,Home,IOWA,Iowa,Oral Roberts,summit,3,False,False,False,Away,False,8,20,65,31,71,8,24,68,0,1,26,54,216,0.4305555555555556,126,246,0.5121951219512195,21,57,185,0.4783783783783784,0.3333333333333333
4,2019-11-19-20-oral-roberts,54.2,13,2.9,1,100.0,54.1,20,0.45799999999999996,60,0.4,24,0.2,12,0.41700000000000004,5,0,200,82.2,17.9,7,20,60,,8.2,6,0.433,26,0.26899999999999996,7,35.5,27,0.457,16.6,13,34,0.5,17,0.0,0,"November 19, 2019",58.3,14,2.9,1,82.2,82.1,32,0.483,60,0.4,24,0.4,24,0.625,15,3,200,100.0,45.9,17,10,73,,5.5,4,0.433,26,0.385,10,64.5,49,0.511,21.2,19,34,0.41200000000000003,14,0.4,2,"Mabee Center, Tulsa, Oklahoma","Rogers State
			","Rogers State
			",72.6,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,4,True,False,True,Home,True,10,14,60,49,76,7,17,60,1,0,34,74,281,0.4448398576512456,157,317,0.4952681388012618,29,81,253,0.492094861660079,0.25
5,2019-11-23-15-wichita-state,33.3,7,4.7,2,98.6,71.0,22,0.34600000000000003,65,0.32299999999999995,21,0.262,17,0.8240000000000001,14,4,200,85.5,29.3,12,16,59,,10.1,7,0.354,23,0.13,3,47.2,34,0.40399999999999997,11.0,9,42,0.429,18,0.33299999999999996,2,"November 23, 2019",60.7,17,19.0,8,85.5,70.7,29,0.526,58,0.483,28,0.207,12,0.583,7,0,200,98.6,29.0,9,16,68,,1.4,1,0.259,15,0.33299999999999996,5,52.8,38,0.534,17.0,13,43,0.535,23,1.0,5,"Charles Koch Arena, Wichita, Kansas",ORAL-ROBERTS,Oral Roberts,68.9,Home,WICHITA-STATE,Wichita State,Oral Roberts,summit,5,False,False,False,Away,False,3,18,65,34,72,5,23,58,0,1,44,88,341,0.4516129032258064,206,393,0.5241730279898219,36,98,313,0.4856230031948882,0.4
6,2019-11-25-20-oral-roberts,52.9,9,8.5,4,141.4,50.0,21,0.34700000000000003,59,0.28800000000000003,17,0.153,9,0.444,4,0,200,64.3,24.4,10,12,45,,0.0,0,0.35600000000000004,21,0.33299999999999996,7,37.3,31,0.35600000000000004,17.1,13,38,0.263,10,0.0,0,"November 25, 2019",40.0,16,5.3,2,64.3,75.6,31,0.535,86,0.465,40,0.14,12,0.583,7,4,200,141.4,50.0,21,9,99,,11.4,8,0.45299999999999996,39,0.308,12,62.7,52,0.54,4.2,4,47,0.596,28,0.429,3,"Mabee Center, Tulsa, Oklahoma","Southwestern Christian
			","Southwestern Christian
			",70.5,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,6,True,False,True,Home,True,12,28,86,52,83,7,10,59,1,0,47,106,406,0.4347290640394089,240,465,0.5161290322580645,41,121,371,0.4919137466307278,0.3333333333333333
7,2019-12-03-20-creighton,43.5,10,2.9,1,104.3,71.4,25,0.41700000000000004,60,0.38299999999999995,23,0.28300000000000003,17,0.588,10,5,200,87.0,32.4,12,14,60,,5.8,4,0.28300000000000003,17,0.235,4,51.4,37,0.441,16.2,13,43,0.442,19,0.375,3,"December 3, 2019",53.8,14,4.7,2,87.0,67.6,25,0.47700000000000004,65,0.4,26,0.2,13,0.769,10,2,200,104.3,28.6,10,16,72,,13.0,9,0.47700000000000004,31,0.32299999999999995,10,48.6,35,0.506,10.2,8,34,0.47100000000000003,16,0.75,6,"CenturyLink Center, Omaha, Nebraska",ORAL-ROBERTS,Oral Roberts,69.1,Home,CREIGHTON,Creighton,Oral Roberts,summit,7,False,False,False,Away,False,4,19,60,37,72,10,16,65,0,1,59,134,492,0.4522357723577236,292,548,0.5328467153284672,48,131,430,0.4720930232558139,0.42857142857142855
8,2019-12-08-15-oral-roberts,52.4,11,4.8,2,133.8,35.3,12,0.419,62,0.33899999999999997,21,0.113,7,0.429,3,0,200,77.5,25.6,10,21,55,,5.6,4,0.532,33,0.303,10,30.1,22,0.42100000000000004,18.7,15,29,0.379,11,0.0,0,"December 8, 2019",45.7,16,13.8,4,77.5,74.4,29,0.564,70,0.5,35,0.371,26,0.615,16,5,200,133.8,64.7,22,6,95,,11.3,8,0.4,28,0.321,9,69.9,51,0.5770000000000001,11.9,11,42,0.619,26,0.444,4,"Mabee Center, Tulsa, Oklahoma","Haskell (KS)
			","Haskell (KS)
			",70.8,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,8,True,False,True,Home,True,9,26,70,51,73,10,11,62,1,0,63,153,552,0.4483695652173913,329,620,0.5306451612903226,58,147,495,0.4727272727272727,0.375
9,2019-12-14-20-oral-roberts,38.1,8,4.8,1,106.2,78.6,22,0.441,51,0.41200000000000003,21,0.353,18,0.667,12,0,200,87.7,25.0,8,23,57,,10.8,7,0.235,12,0.25,3,50.0,30,0.479,20.3,15,39,0.462,18,0.0,0,"December 14, 2019",52.6,10,17.9,7,87.7,75.0,24,0.523,44,0.4320000000000001,19,0.659,29,0.7929999999999999,23,5,200,106.2,21.4,6,15,69,,7.7,5,0.523,23,0.348,8,50.0,30,0.597,17.5,12,21,0.524,11,0.5,5,"Mabee Center, Tulsa, Oklahoma","Central Oklahoma
			","Central Oklahoma
			",65.2,Home,ORAL-ROBERTS,Oral Roberts,Oral Roberts,summit,9,True,False,True,Home,True,8,11,44,30,60,3,18,51,1,0,72,179,622,0.4614147909967846,380,693,0.5483405483405484,68,158,557,0.4667863554757629,0.4444444444444444
