,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,VANDERBILT_homegame,VANDERBILT_homegame2,VANDERBILT_home,VANDERBILT_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-20-vanderbilt,20.0,5,7.4,2,115.3,76.7,23,0.457,58,0.431,25,0.31,18,0.667,12,1,200,90.3,33.3,12,14,65,,5.6,4,0.22399999999999998,13,0.231,3,53.0,35,0.488,19.5,16,45,0.489,22,0.0,0,"November 6, 2019",56.7,17,17.8,8,90.3,66.7,24,0.607,61,0.4920000000000001,30,0.23,14,0.643,9,0,200,115.3,23.3,7,18,83,,11.1,8,0.557,34,0.41200000000000003,14,47.0,31,0.613,15.2,12,27,0.593,16,1.0,1,"Memorial Gymnasium, Nashville, Tennessee",SOUTHEAST-MISSOURI-STATE,Southeast Missouri State,71.6,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,0,True,False,True,Home,True,14,16,61,31,66,3,22,58,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-20-vanderbilt,73.9,17,6.7,2,106.0,69.0,20,0.58,50,0.46,23,0.22,11,0.727,8,2,200,98.5,21.7,5,17,66,,13.4,9,0.46,23,0.522,12,48.1,25,0.598,26.7,20,27,0.40700000000000003,11,0.0,0,"November 11, 2019",38.5,10,25.9,7,98.5,78.3,18,0.5770000000000001,52,0.5,26,0.34600000000000003,18,0.611,11,0,200,106.0,31.0,9,13,71,,19.4,13,0.423,22,0.364,8,51.9,27,0.586,16.7,12,30,0.6,18,1.0,2,"Memorial Gymnasium, Nashville, Tennessee",TEXAS-AM-CORPUS-CHRISTI,Texas A&M-Corpus Christi,66.9,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,1,True,False,True,Home,True,8,18,52,27,52,12,11,50,1,0,14,16,61,0.6065573770491803,31,66,0.4696969696969697,3,22,58,0.456896551724138,1.0
2,2019-11-14-19-richmond,45.5,15,11.9,5,112.0,78.4,29,0.614,66,0.5,33,0.242,16,0.688,11,1,225,110.8,25.8,8,21,92,,8.4,7,0.53,35,0.429,15,54.4,37,0.625,18.0,16,31,0.581,18,0.667,2,"November 14, 2019",50.0,16,3.2,1,110.8,74.2,23,0.521,70,0.457,32,0.32899999999999996,23,0.87,20,0,225,112.0,21.6,8,15,93,,13.3,11,0.4,28,0.321,9,45.6,31,0.575,12.1,11,42,0.5479999999999999,23,1.0,2,"Robins Center, Richmond, Virginia",VANDERBILT,Vanderbilt,73.6,Home,RICHMOND,Richmond,Vanderbilt,sec,2,False,False,False,Away,False,15,18,66,37,68,9,23,70,0,1,22,34,113,0.5929203539823009,58,118,0.4915254237288136,15,33,108,0.5138888888888888,1.0
3,2019-11-20-20-vanderbilt,66.7,14,14.7,5,130.4,66.7,20,0.5,52,0.40399999999999997,21,0.596,31,0.645,20,3,200,104.3,29.0,9,26,72,,4.3,3,0.423,22,0.455,10,47.5,29,0.54,13.2,10,30,0.3670000000000001,11,0.25,1,"November 20, 2019",56.3,18,0.0,0,104.3,71.0,22,0.629,58,0.552,32,0.466,27,0.63,17,1,200,130.4,33.3,10,23,90,,7.2,5,0.414,24,0.375,9,52.5,32,0.635,11.4,9,34,0.6759999999999999,23,0.75,3,"Memorial Gymnasium, Nashville, Tennessee",AUSTIN-PEAY,Austin Peay,68.8,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,3,True,False,True,Home,True,9,23,58,32,61,10,11,52,1,0,37,52,179,0.6005586592178771,95,186,0.510752688172043,24,56,178,0.5168539325842697,0.6666666666666666
4,2019-11-22-21-vanderbilt,36.8,7,3.0,1,138.6,60.7,17,0.446,46,0.413,19,0.522,24,0.792,19,3,200,85.7,6.7,2,18,60,,5.7,4,0.304,14,0.214,3,32.8,19,0.523,19.8,14,32,0.5,16,0.4,2,"November 22, 2019",54.3,19,6.3,2,85.7,93.3,28,0.7070000000000001,58,0.603,35,0.483,28,0.536,15,1,200,138.6,39.3,11,18,97,,12.9,9,0.431,25,0.48,12,67.2,39,0.68,13.5,11,33,0.6970000000000001,23,0.8,4,"Memorial Gymnasium, Nashville, Tennessee",SOUTH-CAROLINA-STATE,South Carolina State,70.4,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,4,True,False,True,Home,True,12,23,58,39,58,3,16,46,1,0,46,75,237,0.6075949367088608,127,247,0.5141700404858299,34,67,230,0.5130434782608696,0.75
5,2019-11-25-20-vanderbilt,28.6,8,0.0,0,102.6,69.4,25,0.40700000000000003,70,0.4,28,0.243,17,0.765,13,5,200,92.1,32.5,13,19,70,,7.9,6,0.22899999999999998,16,0.063,1,50.0,38,0.44799999999999995,13.4,12,54,0.5,27,0.28600000000000003,2,"November 25, 2019",66.7,16,5.6,3,92.1,67.5,27,0.509,58,0.414,24,0.483,28,0.679,19,1,200,102.6,30.6,11,16,78,,5.3,4,0.517,30,0.3670000000000001,11,50.0,38,0.547,16.6,14,28,0.46399999999999997,13,0.833,5,"Memorial Gymnasium, Nashville, Tennessee",SOUTHEASTERN-LOUISIANA,Southeastern Louisiana,75.7,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,5,True,False,True,Home,True,11,13,58,38,76,1,27,70,1,0,58,98,295,0.6271186440677966,166,305,0.5442622950819672,37,83,276,0.5018115942028986,0.8
6,2019-11-30-20-vanderbilt,52.2,12,9.4,3,82.9,69.0,20,0.5,51,0.451,23,0.392,20,0.8,16,1,200,95.7,28.0,7,18,67,,12.9,9,0.255,13,0.385,5,50.0,27,0.5539999999999999,21.1,16,38,0.474,18,0.857,6,"November 30, 2019",60.0,12,21.1,8,95.7,72.0,18,0.429,56,0.35700000000000004,20,0.28600000000000003,16,0.625,10,2,200,82.9,31.0,9,16,58,,14.3,10,0.429,24,0.33299999999999996,8,50.0,27,0.456,19.2,15,32,0.375,12,0.7140000000000001,5,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,69.6,Away,TULSA,Tulsa,Vanderbilt,sec,6,False,True,True,Home,False,8,12,56,27,54,5,18,51,0,1,69,111,353,0.6076487252124646,204,381,0.5354330708661418,38,110,346,0.4826589595375722,0.8333333333333334
7,2019-12-03-20-vanderbilt,25.9,7,3.9,2,105.9,73.7,28,0.434,68,0.397,27,0.397,27,0.63,17,3,200,89.4,27.9,12,20,76,,5.9,5,0.33799999999999997,23,0.217,5,49.4,40,0.47,17.5,17,45,0.489,22,0.625,5,"December 3, 2019",40.6,13,13.3,6,89.4,72.1,31,0.493,69,0.46399999999999997,32,0.377,26,0.846,22,2,200,105.9,26.3,10,24,90,,9.4,8,0.261,18,0.222,4,50.6,41,0.5529999999999999,13.9,13,51,0.5489999999999999,28,0.75,6,"Memorial Gymnasium, Nashville, Tennessee",BUFFALO,Buffalo,85.1,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,7,True,False,True,Home,True,4,28,69,41,81,5,22,68,1,0,77,123,409,0.5831295843520783,231,435,0.5310344827586206,43,128,397,0.4848866498740554,0.7142857142857143
8,2019-12-14-20-vanderbilt,36.4,8,11.1,3,84.8,84.8,28,0.462,53,0.415,22,0.226,12,1.0,12,0,200,92.4,21.4,6,15,61,,7.6,5,0.415,22,0.22699999999999998,5,55.7,34,0.52,18.2,13,31,0.5479999999999999,17,1.0,12,"December 14, 2019",50.0,9,22.6,7,92.4,78.6,22,0.42200000000000004,51,0.353,18,0.373,19,0.684,13,3,200,84.8,15.2,5,15,56,,10.6,7,0.47100000000000003,24,0.292,7,44.3,27,0.466,15.6,11,27,0.40700000000000003,11,0.667,6,"Memorial Gymnasium, Nashville, Tennessee",VANDERBILT,Vanderbilt,65.9,Away,LIBERTY,Liberty,Vanderbilt,sec,8,False,True,True,Home,False,7,11,51,27,61,5,17,53,0,1,81,151,478,0.5700836820083682,272,516,0.5271317829457365,48,150,465,0.4774193548387097,0.75
9,2019-12-18-18-loyola-il,44.0,11,7.5,3,105.4,89.3,25,0.5379999999999999,53,0.47200000000000003,25,0.415,22,0.591,13,4,200,94.6,18.8,6,23,70,,8.1,6,0.396,21,0.33299999999999996,7,51.7,31,0.552,19.3,15,32,0.563,18,0.6,6,"December 18, 2019",78.6,22,3.1,1,94.6,81.3,26,0.61,50,0.56,28,0.6,30,0.5670000000000001,17,4,200,105.4,10.7,3,20,78,,5.4,4,0.2,10,0.5,5,48.3,29,0.607,18.1,14,40,0.575,23,0.667,8,"Talking Stick Resort Arena, Phoenix, Arizona",VANDERBILT,Vanderbilt,73.9,Home,LOYOLA-IL,Loyola (IL),Vanderbilt,sec,9,False,False,False,Away,False,7,18,53,31,60,5,23,50,0,1,88,162,529,0.555765595463138,299,577,0.5181975736568457,53,167,518,0.4758687258687258,0.6666666666666666
10,2019-12-21-20-vanderbilt,48.0,12,6.5,2,115.8,74.1,20,0.608,51,0.49,25,0.255,13,0.846,11,8,200,96.1,17.4,4,24,73,,7.9,6,0.392,20,0.6,12,48.0,24,0.638,28.9,23,31,0.419,13,0.385,5,"December 21, 2019",66.7,18,12.9,4,96.1,82.6,19,0.58,56,0.48200000000000004,27,0.518,29,0.7929999999999999,23,4,200,115.8,25.9,7,15,88,,18.4,14,0.446,25,0.44,11,52.0,26,0.631,16.9,14,31,0.516,16,0.636,7,"Memorial Gymnasium, Nashville, Tennessee",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,76.5,Home,VANDERBILT,Vanderbilt,Vanderbilt,sec,10,True,False,True,Home,True,11,16,56,26,50,12,13,51,1,0,95,180,582,0.5541237113402062,330,637,0.5180533751962323,58,190,568,0.4876760563380282,0.6
