,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SYRACUSE_homegame,SYRACUSE_homegame2,SYRACUSE_home,SYRACUSE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-06-21-syracuse,70.0,14,15.4,4,56.7,87.5,35,0.449,49,0.408,20,0.122,6,0.667,4,0,200,80.0,32.1,9,7,48,11.0,6.7,4,0.51,25,0.16,4,64.7,44,0.46299999999999997,22.5,15,24,0.667,16,1.0,1,"November 6, 2019",53.8,7,12.5,3,80.0,67.9,19,0.282,55,0.23600000000000002,13,0.127,7,0.429,3,1,200,56.7,12.5,5,12,34,,8.3,5,0.527,29,0.172,5,35.3,24,0.29100000000000004,12.1,8,26,0.308,8,0.0,0,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,59.6,Away,VIRGINIA,Virginia,Syracuse,acc,0,False,True,True,Home,False,5,8,55,24,68,4,16,49,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-19-syracuse,77.8,14,10.5,4,106.1,62.5,15,0.408,60,0.3,18,0.11699999999999999,7,0.7140000000000001,5,2,200,81.8,26.8,11,14,54,,9.1,6,0.6829999999999999,41,0.317,13,40.0,26,0.426,19.2,15,19,0.263,5,0.33299999999999996,1,"November 13, 2019",71.4,20,31.6,6,81.8,73.2,30,0.573,55,0.509,28,0.218,12,0.583,7,1,200,106.1,37.5,9,11,70,,13.6,9,0.309,17,0.41200000000000003,7,60.0,39,0.5770000000000001,17.7,13,38,0.5529999999999999,21,0.5,1,"Carrier Dome, Syracuse, New York",COLGATE,Colgate,66.0,Home,SYRACUSE,Syracuse,Syracuse,acc,1,True,False,True,Home,True,7,21,55,39,65,13,5,60,1,0,5,8,55,0.2818181818181818,24,68,0.35294117647058826,4,16,49,0.4489795918367347,0.0
2,2019-11-16-19-syracuse,60.9,14,0.0,0,121.9,84.0,21,0.435,62,0.371,23,0.226,14,0.929,13,3,200,91.8,23.7,9,26,67,,11.0,8,0.40299999999999997,25,0.32,8,47.6,30,0.488,16.0,13,37,0.405,15,0.4,2,"November 16, 2019",64.3,18,10.8,4,91.8,76.3,29,0.691,47,0.596,28,0.7659999999999999,36,0.667,24,1,200,121.9,16.0,4,16,89,,11.0,8,0.489,23,0.391,9,52.4,33,0.6940000000000001,18.2,14,24,0.792,19,0.667,2,"Carrier Dome, Syracuse, New York",SEATTLE,Seattle,73.4,Home,SYRACUSE,Syracuse,Syracuse,acc,2,True,False,True,Home,True,9,19,47,33,63,8,15,62,1,0,12,29,110,0.4272727272727273,63,133,0.4736842105263158,17,21,109,0.426605504587156,0.5
3,2019-11-20-19-syracuse,78.6,11,3.8,1,126.3,69.6,16,0.425,40,0.35,14,0.625,25,0.76,19,4,200,93.0,22.2,6,13,53,,7.0,4,0.675,27,0.222,6,44.0,22,0.511,10.5,6,13,0.615,8,0.2,1,"November 20, 2019",72.0,18,0.0,0,93.0,77.8,21,0.5660000000000001,53,0.47200000000000003,25,0.34,18,0.667,12,1,200,126.3,30.4,7,16,72,,3.5,2,0.509,27,0.37,10,56.0,28,0.585,10.3,7,26,0.5770000000000001,15,0.75,3,"Carrier Dome, Syracuse, New York",CORNELL,Cornell,56.7,Home,SYRACUSE,Syracuse,Syracuse,acc,3,True,False,True,Home,True,10,15,53,28,50,6,8,40,1,0,21,48,157,0.5063694267515924,96,196,0.4897959183673469,25,36,171,0.4298245614035088,0.6666666666666666
4,2019-11-23-12-syracuse,66.7,10,5.4,2,126.0,62.1,18,0.289,57,0.263,15,0.298,17,0.765,13,4,200,59.7,21.6,8,13,46,,7.8,6,0.42100000000000004,24,0.125,3,39.4,26,0.353,26.3,23,33,0.364,12,0.33299999999999996,2,"November 23, 2019",67.6,25,39.4,13,59.7,78.4,29,0.667,66,0.561,37,0.16699999999999998,11,0.818,9,1,200,126.0,37.9,11,12,97,,18.2,14,0.439,29,0.483,14,60.6,40,0.6809999999999999,16.5,14,37,0.622,23,0.8,4,"Carrier Dome, Syracuse, New York",BUCKNELL,Bucknell,77.2,Home,SYRACUSE,Syracuse,Syracuse,acc,4,True,False,True,Home,True,14,23,66,40,66,3,12,57,1,0,31,63,210,0.5214285714285715,124,246,0.5040650406504065,31,44,211,0.4289099526066351,0.75
5,2019-11-27-19-syracuse,63.0,17,8.0,2,91.1,74.3,26,0.573,55,0.491,27,0.509,28,0.821,23,0,200,108.9,34.5,10,24,86,,15.2,12,0.473,26,0.34600000000000003,9,56.3,36,0.63,21.1,18,29,0.621,18,1.0,6,"November 27, 2019",73.7,14,6.9,2,108.9,65.5,19,0.41100000000000003,56,0.33899999999999997,19,0.6609999999999999,37,0.703,26,2,200,91.1,25.7,9,20,72,,11.4,9,0.5539999999999999,31,0.258,8,43.8,28,0.489,19.0,17,25,0.44,11,0.667,4,"Barclays Center, Brooklyn, New York",SYRACUSE,Syracuse,78.9,Away,OKLAHOMA-STATE,Oklahoma State,Syracuse,acc,5,False,True,True,Home,False,8,11,56,28,64,9,18,55,0,1,45,86,276,0.5561594202898551,164,312,0.5256410256410257,34,56,268,0.3992537313432836,0.8
6,2019-11-29-19-syracuse,66.7,18,11.8,4,84.2,86.1,31,0.478,67,0.40299999999999997,27,0.46299999999999997,31,0.677,21,1,200,111.8,52.6,20,21,85,,7.9,6,0.44799999999999995,30,0.33299999999999996,10,68.9,51,0.52,13.9,13,37,0.45899999999999996,17,0.857,6,"November 29, 2019",77.8,14,5.4,2,111.8,47.4,18,0.389,54,0.33299999999999996,18,0.611,33,0.667,22,3,200,84.2,13.9,5,21,64,,10.5,8,0.37,20,0.3,6,31.1,23,0.45899999999999996,14.9,12,34,0.353,12,0.5710000000000001,4,"Barclays Center, Brooklyn, New York",SYRACUSE,Syracuse,75.7,Away,PENN-STATE,Penn State,Syracuse,acc,6,False,True,True,Home,False,6,12,54,23,74,10,17,67,0,1,53,97,332,0.5316265060240963,192,376,0.5106382978723404,43,74,323,0.4287925696594427,0.6666666666666666
7,2019-12-03-19-syracuse,65.4,17,3.2,1,83.1,75.0,24,0.516,61,0.426,26,0.131,8,0.625,5,2,200,104.6,33.3,11,15,68,,15.4,10,0.557,34,0.324,11,53.8,35,0.525,13.4,10,27,0.556,15,0.75,6,"December 3, 2019",68.4,13,7.4,2,104.6,66.7,22,0.423,52,0.365,19,0.28800000000000003,15,0.667,10,4,200,83.1,25.0,8,13,54,,9.2,6,0.40399999999999997,21,0.28600000000000003,6,46.2,30,0.457,21.4,16,31,0.419,13,0.5,4,"Carrier Dome, Syracuse, New York",SYRACUSE,Syracuse,65.5,Away,IOWA,Iowa,Syracuse,acc,7,False,True,True,Home,False,6,13,52,30,65,11,15,61,0,1,59,109,386,0.5116580310880829,215,450,0.4777777777777778,53,91,390,0.4371794871794872,0.5714285714285714
8,2019-12-07-12-georgia-tech,79.3,23,15.0,6,78.8,73.0,27,0.632,57,0.509,29,0.526,30,0.833,25,4,200,121.3,38.1,8,19,97,,17.5,14,0.579,33,0.424,14,60.3,35,0.6809999999999999,19.5,17,24,0.625,15,0.556,5,"December 7, 2019",79.2,19,8.3,2,121.3,61.9,13,0.444,63,0.381,24,0.28600000000000003,18,0.389,7,3,200,78.8,27.0,10,20,63,,10.0,8,0.365,23,0.348,8,39.7,23,0.44,21.1,19,40,0.4,16,0.5710000000000001,4,"McCamish Pavilion, Atlanta, Georgia",GEORGIA-TECH,Georgia Tech,80.4,Away,SYRACUSE,Syracuse,Syracuse,acc,8,False,False,False,Away,True,14,15,57,35,58,8,16,63,1,0,65,122,438,0.5011415525114156,245,515,0.4757281553398058,64,106,451,0.4478935698447893,0.5
9,2019-12-14-13-georgetown,60.0,18,8.3,3,120.3,64.9,24,0.597,62,0.484,30,0.145,9,0.556,5,5,200,106.8,16.1,5,23,79,,2.7,2,0.516,32,0.43799999999999994,14,42.6,29,0.596,15.4,12,30,0.5329999999999999,16,0.5,5,"December 14, 2019",74.1,20,6.7,2,106.8,83.9,26,0.5329999999999999,61,0.44299999999999995,27,0.508,31,0.774,24,3,200,120.3,35.1,13,14,89,,6.8,5,0.41,25,0.44,11,57.4,39,0.588,12.8,11,36,0.444,16,0.7,7,"Capital One Arena, Washington, District of Columbia",SYRACUSE,Syracuse,73.5,Home,GEORGETOWN,Georgetown,Syracuse,acc,9,False,False,False,Away,False,14,16,62,29,68,11,16,61,0,1,79,137,495,0.5161616161616162,280,573,0.4886561954624782,72,122,514,0.4474708171206226,0.5555555555555556
10,2019-12-18-20-syracuse,78.9,15,4.2,1,113.8,76.7,23,0.47700000000000004,44,0.4320000000000001,19,0.545,24,0.833,20,7,200,95.4,25.0,6,16,62,,6.2,4,0.409,18,0.222,4,53.7,29,0.56,21.6,15,26,0.5770000000000001,15,0.41700000000000004,5,"December 18, 2019",83.3,20,11.5,3,95.4,75.0,18,0.509,58,0.414,24,0.31,18,0.833,15,5,200,113.8,23.3,7,16,74,,16.9,11,0.586,34,0.324,11,46.3,25,0.556,9.6,7,24,0.542,13,0.545,6,"Carrier Dome, Syracuse, New York",OAKLAND,Oakland,65.5,Home,SYRACUSE,Syracuse,Syracuse,acc,10,True,False,True,Home,True,11,13,58,25,54,4,15,44,1,0,93,153,557,0.5251346499102334,309,641,0.4820592823712949,83,138,575,0.4565217391304348,0.5
11,2019-12-21-18-syracuse,86.4,19,9.1,3,130.2,62.1,18,0.555,55,0.4,22,0.218,12,0.75,9,7,200,111.1,32.3,10,20,70,,3.2,2,0.836,46,0.37,17,46.7,28,0.5770000000000001,16.6,12,9,0.556,5,0.5,7,"December 21, 2019",81.5,22,44.4,4,111.1,67.7,21,0.542,59,0.45799999999999996,27,0.40700000000000003,24,0.75,18,5,200,130.2,37.9,11,15,82,,12.7,8,0.441,26,0.385,10,53.3,32,0.5820000000000001,5.4,4,33,0.515,17,0.583,7,"Carrier Dome, Syracuse, New York",NORTH-FLORIDA,North Florida,63.1,Home,SYRACUSE,Syracuse,Syracuse,acc,11,True,False,True,Home,True,10,17,59,32,60,17,5,55,1,0,104,166,615,0.5235772357723577,334,695,0.4805755395683453,87,153,619,0.4579967689822294,0.5454545454545454
12,2019-12-28-19-syracuse,72.7,16,17.2,5,104.4,64.3,18,0.368,68,0.324,22,0.132,9,0.778,7,9,200,83.8,27.7,13,17,57,,19.1,13,0.397,27,0.222,6,41.3,31,0.39399999999999996,11.1,9,41,0.39,16,0.182,2,"December 28, 2019",62.5,15,26.8,11,83.8,72.3,34,0.528,54,0.444,24,0.33299999999999996,18,0.778,14,5,200,104.4,35.7,10,11,71,,8.8,6,0.46299999999999997,25,0.36,9,58.7,44,0.568,20.5,16,29,0.517,15,0.615,8,"Carrier Dome, Syracuse, New York",NIAGARA,Niagara,68.4,Home,SYRACUSE,Syracuse,Syracuse,acc,12,True,False,True,Home,True,9,15,54,44,75,6,16,68,1,0,114,183,674,0.5252225519287834,366,755,0.4847682119205298,104,158,674,0.4658753709198813,0.5833333333333334
