,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,WESTERN-CAROLINA_homegame,WESTERN-CAROLINA_homegame2,WESTERN-CAROLINA_home,WESTERN-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-georgia,42.3,11,7.5,3,109.6,68.4,26,0.418,73,0.35600000000000004,26,0.27399999999999997,20,0.55,11,1,200,86.7,25.0,12,25,72,,3.6,3,0.466,34,0.265,9,44.2,38,0.436,12.8,12,39,0.436,17,0.0,0,"November 5, 2019",48.4,15,17.9,7,86.7,75.0,36,0.53,66,0.47,31,0.485,32,0.6559999999999999,21,0,200,109.6,31.6,12,26,91,,10.8,9,0.39399999999999996,26,0.308,8,55.8,48,0.56,14.9,14,40,0.575,23,1.0,1,"Stegeman Coliseum, Athens, Georgia",WESTERN-CAROLINA,Western Carolina,82.9,Home,GEORGIA,Georgia,Western Carolina,southern,0,False,False,False,Away,False,9,17,73,38,86,8,23,66,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-12-western-carolina,25.0,6,16.0,4,95.9,66.7,24,0.439,57,0.42100000000000004,24,0.24600000000000002,14,0.643,9,2,202,79.7,30.3,10,32,59,,6.8,5,0.193,11,0.182,2,49.3,34,0.46299999999999997,25.8,22,46,0.478,22,0.0,0,"November 9, 2019",57.1,12,4.3,2,79.7,69.7,23,0.46399999999999997,55,0.382,21,0.5820000000000001,32,0.625,20,1,202,95.9,33.3,12,17,71,,9.5,7,0.545,30,0.3,9,50.7,35,0.506,16.9,14,25,0.48,12,0.5,1,"Ramsey Center, Cullowhee, North Carolina",GARDNER-WEBB,Gardner-Webb,73.2,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,1,True,False,True,Home,True,9,12,55,35,69,2,22,57,1,0,9,17,73,0.4178082191780822,38,86,0.4418604651162791,8,23,66,0.5303030303030303,0.0
2,2019-11-12-19-western-carolina,37.0,10,4.3,1,118.4,63.6,14,0.431,65,0.415,27,0.231,15,0.5329999999999999,8,2,200,84.2,26.2,11,18,64,,13.2,10,0.215,14,0.14300000000000002,2,39.1,25,0.444,18.3,16,51,0.49,25,0.33299999999999996,1,"November 12, 2019",63.3,19,2.0,1,84.2,73.8,31,0.735,51,0.588,30,0.431,22,0.682,15,1,200,118.4,36.4,8,14,90,,7.9,6,0.5489999999999999,28,0.536,15,60.9,39,0.732,25.7,21,23,0.652,15,0.667,2,"Ramsey Center, Cullowhee, North Carolina",NORTH-CAROLINA-AT,North Carolina A&T,75.8,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,2,True,False,True,Home,True,15,15,51,39,64,2,25,65,1,0,18,29,128,0.4375,73,155,0.4709677419354839,10,45,123,0.4878048780487805,0.5
3,2019-11-15-19-florida-state,37.0,10,2.9,1,109.7,66.7,18,0.525,60,0.45,27,0.233,14,0.7859999999999999,11,2,200,102.8,27.6,8,22,74,,6.9,5,0.38299999999999995,23,0.391,9,46.4,26,0.555,16.4,13,37,0.486,18,0.5,2,"November 15, 2019",40.0,10,16.2,6,102.8,72.4,21,0.509,55,0.455,25,0.509,28,0.821,23,1,200,109.7,33.3,9,18,79,,4.2,3,0.364,20,0.3,6,53.6,30,0.578,17.2,14,35,0.5429999999999999,19,0.667,2,"Donald L. Tucker Center, Tallahassee, Florida",WESTERN-CAROLINA,Western Carolina,72.5,Home,FLORIDA-STATE,Florida State,Western Carolina,southern,3,False,False,False,Away,False,9,18,60,26,56,6,19,55,0,1,33,44,179,0.5223463687150838,112,219,0.5114155251141552,12,70,188,0.4680851063829787,0.6666666666666666
4,2019-11-21-19-jacksonville,34.4,11,11.1,4,105.6,81.6,31,0.529,70,0.457,32,0.486,34,0.647,22,2,250,107.9,24.4,10,26,96,,7.9,7,0.429,30,0.33299999999999996,10,51.9,41,0.557,11.5,11,40,0.55,22,0.6,3,"November 21, 2019",55.2,16,15.0,6,107.9,75.6,31,0.53,66,0.439,29,0.53,35,0.6859999999999999,24,4,250,105.6,18.4,7,26,94,,4.5,4,0.455,30,0.4,12,48.1,38,0.569,16.4,16,36,0.47200000000000003,17,0.429,3,"Swisher Gymnasium, Jacksonville, Florida",JACKSONVILLE,Jacksonville,71.5,Away,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,4,False,False,False,Away,True,10,22,70,41,79,12,17,66,1,0,42,62,239,0.5230125523012552,138,275,0.5018181818181818,18,89,243,0.4773662551440329,0.5
5,2019-11-24-14-stetson,68.2,15,8.1,3,101.6,69.0,20,0.509,54,0.40700000000000003,22,0.315,17,0.882,15,2,200,111.1,21.4,6,17,70,,6.3,4,0.519,28,0.39299999999999996,11,45.6,26,0.564,11.5,8,26,0.423,11,0.667,4,"November 24, 2019",34.8,8,23.1,6,111.1,78.6,22,0.47200000000000003,53,0.434,23,0.377,20,0.7,14,4,200,101.6,31.0,9,17,64,,4.8,3,0.302,16,0.25,4,54.4,31,0.512,12.7,9,37,0.514,19,0.429,3,"Edmunds Center, DeLand, Florida",STETSON,Stetson,63.3,Away,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,5,False,False,False,Away,True,11,11,54,26,57,4,19,53,1,0,52,84,309,0.5242718446601942,179,354,0.5056497175141242,30,106,309,0.4886731391585761,0.6
6,2019-11-27-12-western-carolina,28.6,6,0.0,0,116.4,60.6,20,0.405,58,0.36200000000000004,21,0.172,10,0.7,7,0,200,80.6,23.7,9,12,54,,9.0,6,0.345,20,0.25,5,40.8,29,0.43,17.2,13,38,0.42100000000000004,16,0.0,0,"November 27, 2019",58.6,17,0.0,0,80.6,76.3,29,0.523,64,0.45299999999999996,29,0.21899999999999997,14,0.7859999999999999,11,2,200,116.4,39.4,13,10,78,,10.4,7,0.563,36,0.25,9,59.2,42,0.552,12.5,10,28,0.7140000000000001,20,0.7140000000000001,5,"Ramsey Center, Cullowhee, North Carolina","Bryan
			","Bryan
			",67.2,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,6,True,False,True,Home,True,9,20,64,42,71,5,16,58,1,0,63,95,363,0.522038567493113,205,411,0.4987834549878346,34,125,362,0.4861878453038674,0.6666666666666666
7,2019-12-03-19-western-carolina,37.9,11,5.6,2,120.8,64.3,18,0.532,63,0.46,29,0.254,16,0.625,10,4,200,106.9,18.2,6,23,77,,5.6,4,0.46,29,0.31,9,39.3,24,0.545,10.3,8,34,0.588,20,0.556,5,"December 3, 2019",37.9,11,2.9,1,106.9,81.8,27,0.6,55,0.527,29,0.509,28,0.75,21,2,200,120.8,35.7,10,17,87,,2.8,2,0.345,19,0.42100000000000004,8,60.7,37,0.637,16.2,13,36,0.583,21,0.75,6,"Ramsey Center, Cullowhee, North Carolina",CHATTANOOGA,Chattanooga,72.0,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,7,True,False,True,Home,True,8,21,55,37,61,9,20,63,1,0,72,115,427,0.522248243559719,247,482,0.5124481327800829,39,141,420,0.475,0.7142857142857143
8,2019-12-07-16-western-carolina,19.4,6,12.1,4,98.7,72.0,18,0.5479999999999999,63,0.4920000000000001,31,0.222,14,0.5710000000000001,8,3,200,97.5,18.2,6,23,77,,13.9,11,0.381,24,0.292,7,41.4,24,0.5529999999999999,17.8,15,39,0.615,24,0.5710000000000001,4,"December 7, 2019",57.1,16,5.1,2,97.5,81.8,27,0.585,53,0.528,28,0.47200000000000003,25,0.64,16,2,200,98.7,28.0,7,14,78,,6.3,5,0.377,20,0.3,6,58.6,34,0.601,24.7,21,33,0.667,22,0.778,7,"Ramsey Center, Cullowhee, North Carolina",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,78.8,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,8,True,False,True,Home,True,6,22,53,34,58,7,24,63,1,0,80,136,482,0.5311203319502075,284,543,0.5230202578268877,48,161,483,0.4824016563146998,0.75
9,2019-12-18-18-xavier,59.1,13,8.3,3,102.8,71.4,20,0.426,61,0.361,22,0.16399999999999998,10,0.9,9,3,200,84.7,16.2,6,18,61,,11.1,8,0.426,26,0.308,8,40.0,26,0.46399999999999997,17.6,14,35,0.4,14,0.7,7,"December 18, 2019",65.4,17,20.0,7,84.7,83.8,31,0.5660000000000001,53,0.491,26,0.321,17,0.8240000000000001,14,2,200,102.8,28.6,8,13,74,,12.5,9,0.321,17,0.47100000000000003,8,60.0,39,0.606,22.9,18,36,0.5,18,0.833,10,"Cintas Center, Cincinnati, Ohio",WESTERN-CAROLINA,Western Carolina,72.4,Home,XAVIER,Xavier,Western Carolina,southern,9,False,False,False,Away,False,8,14,61,26,65,8,18,53,0,1,86,158,535,0.5364485981308411,318,601,0.5291181364392679,55,185,546,0.4899267399267399,0.7777777777777778
10,2019-12-21-17-tennessee-tech,53.1,17,3.0,1,102.7,75.8,25,0.736,53,0.604,32,0.28300000000000003,15,0.733,11,3,200,120.3,34.8,8,16,89,,6.8,5,0.509,27,0.519,14,58.9,33,0.74,25.1,20,26,0.6920000000000001,18,0.727,8,"December 21, 2019",66.7,18,11.5,3,120.3,65.2,15,0.4920000000000001,63,0.429,27,0.302,19,0.737,14,9,200,102.7,24.2,8,15,76,,16.2,12,0.47600000000000003,30,0.267,8,41.1,23,0.528,13.4,11,33,0.5760000000000001,19,0.25,3,"Eblen Center, Cookeville, Tennessee",TENNESSEE-TECH,Tennessee Tech,73.6,Away,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,10,False,False,False,Away,True,14,18,53,33,56,8,19,63,1,0,94,172,596,0.5251677852348994,344,666,0.5165165165165165,63,203,599,0.496661101836394,0.7
11,2019-12-28-12-western-carolina,55.6,10,5.0,2,133.3,63.3,19,0.377,57,0.316,18,0.228,13,0.308,4,0,200,58.0,7.1,3,11,47,,8.6,7,0.40399999999999997,23,0.304,7,30.6,22,0.3720000000000001,26.0,22,34,0.324,11,0.0,0,"December 28, 2019",51.2,22,8.8,3,58.0,92.9,39,0.7290000000000001,70,0.614,43,0.129,9,0.667,6,3,200,133.3,36.7,11,13,108,,14.8,12,0.429,30,0.5329999999999999,16,69.4,50,0.727,18.7,17,40,0.675,27,0.75,9,"Ramsey Center, Cullowhee, North Carolina","Piedmont
			","Piedmont
			",81.2,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,11,True,False,True,Home,True,16,27,70,50,72,7,11,57,1,0,108,190,649,0.5423728813559322,377,722,0.5221606648199446,71,222,662,0.4962235649546828,0.7272727272727273
12,2020-01-04-13-citadel,62.1,18,5.0,2,107.9,78.9,30,0.589,62,0.46799999999999997,29,0.32299999999999995,20,0.65,13,3,200,113.2,25.7,9,16,86,,6.6,5,0.5479999999999999,34,0.441,15,53.4,39,0.601,14.5,12,28,0.5,14,0.769,10,"January 4, 2020",44.1,15,14.3,4,113.2,74.3,26,0.5589999999999999,68,0.5,34,0.221,15,0.4,6,8,200,107.9,21.1,8,20,82,,3.9,3,0.41200000000000003,28,0.28600000000000003,8,46.6,34,0.546,12.9,11,40,0.65,26,0.429,6,"McAlister Field House, Charleston, South Carolina",CITADEL,Citadel,76.3,Away,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,12,False,False,False,Away,True,15,14,62,39,73,8,26,68,1,0,124,217,719,0.5605006954102921,427,794,0.5377833753148614,78,233,719,0.4867872044506258,0.75
13,2020-01-08-19-virginia-military-institute,62.5,20,1.9,1,104.9,72.7,32,0.586,64,0.5,32,0.469,30,0.733,22,3,200,119.8,33.3,11,22,97,,4.9,4,0.43799999999999994,28,0.39299999999999996,11,55.8,43,0.62,15.4,14,36,0.583,21,0.7859999999999999,11,"January 8, 2020",66.7,20,2.8,1,119.8,66.7,22,0.447,76,0.395,30,0.276,21,0.81,17,12,200,104.9,27.3,12,22,85,,4.9,4,0.316,24,0.33299999999999996,8,44.2,34,0.494,7.6,7,52,0.423,22,0.294,5,"Cameron Hall, Lexington, Virginia",VIRGINIA-MILITARY-INSTITUTE,VMI,81.1,Away,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,13,False,False,False,Away,True,11,21,64,43,77,8,22,76,1,0,139,231,781,0.5627400768245838,466,867,0.5374855824682814,86,259,787,0.4930114358322745,0.7692307692307693
14,2020-01-11-17-western-carolina,16.7,4,12.1,4,106.8,68.8,22,0.397,63,0.381,24,0.381,24,0.875,21,11,200,95.9,34.2,13,25,71,,13.5,10,0.302,19,0.105,2,50.0,35,0.47700000000000004,14.0,12,44,0.5,22,0.353,6,"January 11, 2020",50.0,11,4.5,2,95.9,65.8,25,0.52,51,0.431,22,0.6859999999999999,35,0.743,26,3,200,106.8,31.3,10,17,79,,6.8,5,0.353,18,0.5,9,50.0,35,0.584,19.4,16,33,0.39399999999999996,13,0.8,12,"Ramsey Center, Cullowhee, North Carolina",MERCER,Mercer,73.5,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,14,True,False,True,Home,True,9,13,51,35,70,2,22,63,1,0,150,252,845,0.5644970414201184,509,944,0.5391949152542372,94,281,863,0.4889918887601391,0.7857142857142857
15,2020-01-15-19-furman,63.3,19,0.0,0,115.3,76.5,26,0.579,63,0.47600000000000003,30,0.127,8,0.75,6,4,200,109.7,16.7,5,18,79,,5.6,4,0.4920000000000001,31,0.419,13,48.4,31,0.591,13.1,10,32,0.531,17,0.75,12,"January 15, 2020",57.1,16,9.4,3,109.7,83.3,25,0.525,61,0.45899999999999996,28,0.41,25,0.76,19,4,200,115.3,23.5,8,15,83,,5.6,4,0.475,29,0.276,8,51.6,33,0.569,8.9,7,32,0.625,20,0.789,15,"Timmons Arena, Greenville, South Carolina",WESTERN-CAROLINA,Western Carolina,71.8,Home,FURMAN,Furman,Western Carolina,southern,15,False,False,False,Away,False,13,17,63,31,64,8,20,61,0,1,159,265,896,0.5619419642857143,544,1014,0.5364891518737672,96,303,926,0.4827213822894169,0.8
16,2020-01-18-19-western-carolina,41.4,12,3.4,1,95.7,77.8,28,0.586,58,0.5,29,0.379,22,0.773,17,3,200,123.2,20.0,6,21,85,,10.1,7,0.397,23,0.435,10,51.5,34,0.621,10.6,8,35,0.5429999999999999,19,0.85,17,"January 18, 2020",31.6,6,2.9,1,123.2,80.0,24,0.45,50,0.38,19,0.62,31,0.677,21,5,200,95.7,22.2,8,18,66,,4.3,3,0.42,21,0.33299999999999996,7,48.5,32,0.51,14.7,11,29,0.414,12,0.706,12,"Ramsey Center, Cullowhee, North Carolina",WESTERN-CAROLINA,Western Carolina,69.1,Away,EAST-TENNESSEE-STATE,ETSU,Western Carolina,southern,16,False,True,True,Home,False,7,12,50,32,66,10,19,58,0,1,172,282,959,0.5630865484880083,575,1078,0.5333951762523191,104,323,987,0.4853090172239109,0.75
17,2020-01-22-19-mercer,51.7,15,5.3,2,119.7,75.9,22,0.595,58,0.5,29,0.24100000000000002,14,0.7140000000000001,10,6,200,111.3,17.2,5,16,79,,5.6,4,0.517,30,0.3670000000000001,11,46.6,27,0.611,14.6,11,28,0.643,18,0.667,12,"January 22, 2020",51.7,15,14.3,4,111.3,82.8,24,0.5579999999999999,60,0.483,29,0.33299999999999996,20,0.9,18,11,200,119.7,24.1,7,15,85,,8.5,6,0.3670000000000001,22,0.409,9,53.4,31,0.612,11.6,9,38,0.526,20,0.45,9,"Hawkins Arena, Macon, Georgia",WESTERN-CAROLINA,Western Carolina,71.1,Home,MERCER,Mercer,Western Carolina,southern,17,False,False,False,Away,False,11,18,58,27,58,9,20,60,0,1,179,294,1009,0.5574826560951437,607,1144,0.5305944055944056,114,342,1045,0.4909090909090909,0.7058823529411765
18,2020-01-25-19-western-carolina,60.0,15,12.0,3,108.0,75.0,21,0.475,61,0.41,25,0.262,16,0.875,14,8,200,96.0,13.3,4,19,72,,6.7,5,0.508,31,0.258,8,43.1,25,0.525,15.0,12,30,0.5670000000000001,17,0.619,13,"January 25, 2020",53.6,15,0.0,0,96.0,86.7,26,0.632,53,0.528,28,0.415,22,0.636,14,6,200,108.0,25.0,7,15,81,,9.3,7,0.528,28,0.39299999999999996,11,56.9,33,0.638,20.3,16,25,0.68,17,0.684,13,"Ramsey Center, Cullowhee, North Carolina",WOFFORD,Wofford,74.5,Home,WESTERN-CAROLINA,Western Carolina,Western Carolina,southern,18,True,False,True,Home,True,11,17,53,33,58,8,17,61,1,0,190,312,1067,0.5595126522961574,634,1202,0.5274542429284526,123,362,1105,0.4945701357466064,0.6666666666666666
19,2020-01-29-19-western-carolina,41.4,12,11.5,3,86.6,71.0,22,0.465,72,0.40299999999999997,29,0.09699999999999999,7,0.7140000000000001,5,5,200,107.5,38.5,15,20,72,,16.4,11,0.542,39,0.231,9,52.9,37,0.478,8.5,7,33,0.606,20,0.773,17,"January 29, 2020",65.0,13,3.0,1,107.5,61.5,24,0.45899999999999996,49,0.408,20,0.429,21,0.619,13,7,200,86.6,29.0,9,12,58,,6.0,4,0.469,23,0.217,5,47.1,33,0.4920000000000001,22.6,17,26,0.5770000000000001,15,0.65,13,"Ramsey Center, Cullowhee, North Carolina",WESTERN-CAROLINA,Western Carolina,67.2,Away,NORTH-CAROLINA-GREENSBORO,UNC Greensboro,Western Carolina,southern,19,False,True,True,Home,False,5,15,49,33,70,9,20,72,0,1,201,329,1120,0.5629464285714286,667,1260,0.5293650793650794,131,379,1166,0.4935677530017153,0.6842105263157895
