,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,KANSAS-STATE_homegame,KANSAS-STATE_homegame2,KANSAS-STATE_home,KANSAS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-kansas-state,66.7,10,2.5,1,104.7,81.1,30,0.365,52,0.28800000000000003,15,0.48100000000000004,25,0.64,16,1,199,84.4,20.5,8,18,54,,6.3,4,0.5770000000000001,30,0.267,8,50.0,38,0.423,8.7,6,22,0.318,7,0.0,0,"November 5, 2019",53.8,14,18.2,4,84.4,79.5,31,0.475,61,0.426,26,0.23,14,0.643,9,0,199,104.7,18.9,7,16,67,,7.8,5,0.344,21,0.28600000000000003,6,50.0,38,0.495,8.2,6,40,0.5,20,1.0,1,"Bramlage Coliseum, Manhattan, Kansas",NORTH-DAKOTA-STATE,North Dakota State,64.6,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,0,True,False,True,Home,True,6,20,61,38,76,8,7,52,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-16-nevada-las-vegas,59.1,13,9.4,3,77.8,55.6,20,0.40700000000000003,59,0.373,22,0.22,13,0.9229999999999999,12,0,225,83.3,36.1,13,19,60,,12.5,9,0.39,23,0.174,4,45.8,33,0.46,23.6,20,36,0.5,18,1.0,2,"November 9, 2019",35.0,7,13.9,5,83.3,63.9,23,0.405,58,0.345,20,0.24100000000000002,14,0.643,9,1,225,77.8,44.4,16,18,56,,12.5,9,0.44799999999999995,26,0.26899999999999996,7,54.2,39,0.433,26.4,23,32,0.406,13,0.5,1,"Thomas & Mack Center, Las Vegas, Nevada",NEVADA-LAS-VEGAS,UNLV,63.9,Away,KANSAS-STATE,Kansas State,Kansas State,big-12,1,False,False,False,Away,True,4,18,59,33,72,7,13,58,1,0,6,20,61,0.4754098360655738,38,76,0.5,8,7,52,0.36538461538461536,1.0
2,2019-11-13-20-kansas-state,57.9,11,5.4,2,102.8,69.0,20,0.45799999999999996,48,0.396,19,0.25,12,0.833,10,2,200,76.1,26.7,8,19,54,,8.5,6,0.375,18,0.33299999999999996,6,47.5,28,0.503,31.9,25,30,0.433,13,0.33299999999999996,1,"November 13, 2019",65.4,17,0.0,0,76.1,73.3,22,0.5,56,0.46399999999999997,26,0.429,24,0.708,17,0,200,102.8,31.0,9,13,73,,23.9,17,0.33899999999999997,19,0.21100000000000002,4,52.5,31,0.542,16.3,13,37,0.595,22,1.0,3,"Bramlage Coliseum, Manhattan, Kansas",MONMOUTH,Monmouth,71.1,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,2,True,False,True,Home,True,4,22,56,31,59,6,13,48,1,0,10,38,120,0.44166666666666665,71,148,0.4797297297297297,15,20,110,0.3863636363636364,1.0
3,2019-11-19-20-kansas-state,45.5,10,10.3,3,88.6,80.6,29,0.47,50,0.44,22,0.14,7,0.5710000000000001,4,4,200,72.9,12.5,3,21,51,,17.1,12,0.28,14,0.214,3,53.3,32,0.478,23.2,16,36,0.528,19,0.0,0,"November 19, 2019",75.0,15,5.6,2,72.9,87.5,21,0.462,52,0.385,20,0.48100000000000004,25,0.56,14,0,200,88.6,19.4,7,10,62,,10.0,7,0.442,23,0.348,8,46.7,28,0.485,20.3,16,29,0.414,12,1.0,4,"Bramlage Coliseum, Manhattan, Kansas",ARKANSAS-PINE-BLUFF,Arkansas-Pine Bluff,69.6,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,3,True,False,True,Home,True,8,12,52,28,60,3,19,50,1,0,14,60,176,0.4602272727272727,102,207,0.4927536231884058,21,33,158,0.4082278481012657,1.0
4,2019-11-25-18-kansas-state,9.1,2,15.8,6,85.5,73.0,27,0.479,47,0.46799999999999997,22,0.447,21,0.857,18,2,200,91.3,36.4,8,18,63,,5.8,4,0.34,16,0.063,1,59.3,35,0.5529999999999999,27.2,21,31,0.677,21,0.7140000000000001,5,"November 25, 2019",52.2,12,3.2,1,91.3,63.6,14,0.483,58,0.397,23,0.22399999999999998,13,0.231,3,1,200,85.5,27.0,10,24,59,,14.5,10,0.345,20,0.5,10,40.7,24,0.46,16.9,13,38,0.342,13,0.8,4,"Suncoast Credit Union Arena, Fort Myers, Florida",KANSAS-STATE,Kansas State,68.6,Away,PITTSBURGH,Pitt,Kansas State,big-12,4,False,True,True,Home,False,10,13,58,24,59,1,21,47,0,1,22,72,228,0.4605263157894737,130,267,0.4868913857677903,24,52,208,0.4230769230769231,1.0
5,2019-11-27-18-bradley,45.8,11,4.0,1,102.8,76.9,20,0.433,60,0.4,24,0.217,13,0.615,8,2,200,84.5,27.0,10,19,60,,18.3,13,0.35,21,0.19,4,47.6,30,0.45299999999999996,17.6,14,39,0.513,20,0.667,4,"November 27, 2019",62.5,15,7.7,3,84.5,73.0,27,0.635,48,0.5,24,0.354,17,0.706,12,2,200,102.8,23.1,6,16,73,,7.0,5,0.479,23,0.565,13,52.4,33,0.6509999999999999,27.5,21,25,0.44,11,0.7140000000000001,5,"Suncoast Credit Union Arena, Fort Myers, Florida",KANSAS-STATE,Kansas State,70.6,Home,BRADLEY,Bradley,Kansas State,big-12,5,False,False,False,Away,False,4,20,60,30,63,13,11,48,0,1,32,85,286,0.465034965034965,154,326,0.4723926380368098,25,73,255,0.43333333333333335,0.8
6,2019-12-02-20-kansas-state,44.0,11,0.0,0,113.4,54.2,13,0.455,56,0.446,25,0.196,11,0.636,7,6,200,86.6,29.0,9,11,58,,14.9,10,0.196,11,0.091,1,40.0,22,0.474,20.8,16,45,0.5329999999999999,24,0.0,0,"December 2, 2019",72.4,21,6.7,3,86.6,71.0,22,0.62,54,0.537,29,0.204,11,0.818,9,2,200,113.4,45.8,11,15,76,,17.9,12,0.48100000000000004,26,0.34600000000000003,9,60.0,33,0.642,23.4,18,28,0.7140000000000001,20,0.7140000000000001,5,"Bramlage Coliseum, Manhattan, Kansas",FLORIDA-AM,Florida A&M,67.2,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,6,True,False,True,Home,True,9,20,54,33,55,1,24,56,1,0,36,105,346,0.4595375722543353,184,389,0.4730077120822622,38,84,303,0.4653465346534654,0.6666666666666666
7,2019-12-07-21-kansas-state,72.0,18,10.3,4,89.0,67.4,29,0.525,59,0.424,25,0.271,16,0.688,11,2,200,100.0,31.3,10,25,73,,5.5,4,0.373,22,0.545,12,52.0,39,0.5479999999999999,20.5,17,37,0.35100000000000003,13,0.778,7,"December 7, 2019",65.0,13,18.9,7,100.0,68.8,22,0.379,62,0.32299999999999995,20,0.484,30,0.6,18,3,200,89.0,32.6,14,20,65,,13.7,10,0.371,23,0.304,7,48.0,36,0.426,11.7,10,39,0.33299999999999996,13,0.625,5,"Bramlage Coliseum, Manhattan, Kansas",KANSAS-STATE,Kansas State,72.9,Away,MARQUETTE,Marquette,Kansas State,big-12,7,False,True,True,Home,False,7,13,62,36,75,12,13,59,0,1,45,125,400,0.48125,217,444,0.4887387387387387,39,108,359,0.4637883008356546,0.7142857142857143
8,2019-12-11-20-kansas-state,53.3,8,2.9,1,126.5,81.0,17,0.327,55,0.273,15,0.182,10,0.5,5,8,200,60.3,15.8,6,8,41,,7.4,5,0.382,21,0.28600000000000003,6,39.0,23,0.34299999999999997,20.2,15,34,0.265,9,0.111,1,"December 11, 2019",82.9,29,14.7,5,60.3,84.2,32,0.732,56,0.625,35,0.107,6,0.667,4,3,200,126.5,19.0,4,13,86,,13.2,9,0.39299999999999996,22,0.545,12,61.0,36,0.731,18.1,13,34,0.6759999999999999,23,0.667,6,"Bramlage Coliseum, Manhattan, Kansas",ALABAMA-STATE,Alabama State,68.3,Home,KANSAS-STATE,Kansas State,Kansas State,big-12,8,True,False,True,Home,True,12,23,56,36,59,6,9,55,1,0,52,138,462,0.4675324675324675,253,519,0.48747591522158,51,121,418,0.472488038277512,0.625
9,2019-12-14-11-kansas-state,34.8,8,32.0,8,88.4,73.1,19,0.431,58,0.397,23,0.431,25,0.68,17,2,200,97.1,30.8,12,22,67,,10.1,7,0.259,15,0.267,4,47.7,31,0.479,13.8,11,43,0.442,19,0.778,7,"December 14, 2019",50.0,7,11.6,5,97.1,69.2,27,0.395,43,0.326,14,0.8370000000000001,36,0.75,27,4,200,88.4,26.9,7,23,61,,7.2,5,0.419,18,0.33299999999999996,6,52.3,34,0.507,21.4,16,25,0.32,8,0.6,6,"Prudential Center, Newark, New Jersey",KANSAS-STATE,Kansas State,69.0,Away,MISSISSIPPI-STATE,Mississippi State,Kansas State,big-12,9,False,True,True,Home,False,6,8,43,34,65,4,19,58,0,1,64,161,518,0.4961389961389962,289,578,0.5,57,130,473,0.4556025369978858,0.6666666666666666
