,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SEATTLE_homegame,SEATTLE_homegame2,SEATTLE_home,SEATTLE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
16,2020-01-04-13-chicago-state,68.2,15,7.7,3,71.1,73.7,28,0.45299999999999996,64,0.344,22,0.516,33,0.848,28,9,200,113.2,28.6,12,20,86,,9.2,7,0.547,35,0.4,14,50.0,40,0.54,9.2,8,29,0.276,8,0.47100000000000003,8,"January 4, 2020",55.6,10,13.8,4,113.2,71.4,30,0.355,55,0.327,18,0.382,21,0.7140000000000001,15,13,200,71.1,26.3,10,26,54,,7.9,6,0.29100000000000004,16,0.188,3,50.0,40,0.41600000000000004,24.6,21,39,0.385,15,0.235,4,"Emil and Patricia Jones Convocation Center, Chicago, Illinois",CHICAGO-STATE,Chicago State,75.8,Away,SEATTLE,Seattle,Seattle,wac,16,False,False,False,Away,True,14,8,64,40,80,3,15,55,1,0,95,302,998,0.4453907815631262,548,1092,0.5018315018315018,114,290,937,0.4919957310565635,0.4375
17,2020-01-11-22-seattle,38.5,5,10.3,4,116.9,61.3,19,0.27899999999999997,52,0.25,13,0.48100000000000004,25,0.84,21,11,200,70.4,29.4,10,16,50,,7.0,5,0.385,20,0.15,3,44.6,29,0.391,22.2,18,32,0.313,10,0.389,7,"January 11, 2020",50.0,15,21.9,7,70.4,70.6,24,0.5379999999999999,66,0.455,30,0.242,16,0.75,12,9,200,116.9,38.7,12,25,83,,9.9,7,0.409,27,0.40700000000000003,11,55.4,36,0.564,11.0,9,39,0.48700000000000004,19,0.5,9,"Connolly Center, Seattle, Washington",UTAH-VALLEY,Utah Valley,71.2,Home,SEATTLE,Seattle,Seattle,wac,17,True,False,True,Home,True,11,19,66,36,65,3,10,52,1,0,109,310,1062,0.4458568738229755,588,1172,0.5017064846416383,117,305,992,0.484375,0.4705882352941176
18,2020-01-16-22-seattle,50.0,13,13.2,5,126.4,70.6,24,0.4920000000000001,59,0.441,26,0.40700000000000003,24,0.667,16,11,200,102.8,25.7,9,24,74,,5.6,4,0.271,16,0.375,6,47.8,33,0.526,14.7,12,43,0.465,20,0.353,6,"January 16, 2020",63.3,19,14.0,6,102.8,74.3,26,0.589,62,0.484,30,0.387,24,0.75,18,9,200,126.4,29.4,10,22,91,,8.3,6,0.387,24,0.542,13,52.2,36,0.62,8.8,7,38,0.447,17,0.526,10,"Connolly Center, Seattle, Washington",TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,71.9,Home,SEATTLE,Seattle,Seattle,wac,18,True,False,True,Home,True,13,17,62,36,69,6,20,59,1,0,120,329,1128,0.4512411347517731,624,1237,0.5044462409054163,120,315,1044,0.4741379310344828,0.5
19,2020-01-18-22-seattle,50.0,10,3.1,1,103.1,78.8,26,0.49,50,0.4,20,0.62,31,0.8390000000000001,26,6,200,115.4,36.0,9,19,75,,3.1,2,0.42,21,0.429,9,60.3,35,0.579,13.6,10,29,0.379,11,0.7,14,"January 18, 2020",34.8,8,10.3,3,115.4,64.0,16,0.48100000000000004,54,0.426,23,0.33299999999999996,18,0.833,15,10,200,103.1,21.2,7,24,67,,4.6,3,0.40700000000000003,22,0.273,6,39.7,23,0.536,12.7,9,32,0.531,17,0.5,10,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,65.1,Away,NEW-MEXICO-STATE,New Mexico State,Seattle,wac,19,False,True,True,Home,False,6,17,54,23,58,9,11,50,0,1,133,346,1190,0.4584033613445378,660,1306,0.5053598774885145,126,335,1103,0.4750679963735268,0.5263157894736842
20,2020-01-23-21-grand-canyon,30.8,8,6.7,3,105.3,60.6,20,0.446,65,0.4,26,0.385,25,0.76,19,11,200,101.3,19.5,8,27,77,,9.2,7,0.308,20,0.3,6,37.8,28,0.501,9.5,8,45,0.444,20,0.47600000000000003,10,"January 23, 2020",42.3,11,6.7,3,101.3,80.5,33,0.449,59,0.441,26,0.5589999999999999,33,0.818,27,11,200,105.3,39.4,13,23,80,,5.3,4,0.237,14,0.071,1,62.2,46,0.536,16.0,14,45,0.556,25,0.42100000000000004,8,"Grand Canyon University Arena, Phoenix, Arizona",SEATTLE,Seattle,76.3,Home,GRAND-CANYON,Grand Canyon,Seattle,wac,20,False,False,False,Away,False,6,20,65,28,74,1,25,59,0,1,139,363,1244,0.4594051446945338,683,1364,0.5007331378299121,135,346,1153,0.4757155247181266,0.5
21,2020-01-25-22-cal-state-bakersfield,42.3,11,6.7,3,108.2,59.4,19,0.573,55,0.473,26,0.527,29,0.7929999999999999,23,11,200,117.8,32.1,9,22,86,,4.1,3,0.473,26,0.423,11,46.7,28,0.625,15.0,12,29,0.517,15,0.5,11,"January 25, 2020",53.8,14,10.3,3,117.8,67.9,19,0.467,61,0.426,26,0.4920000000000001,30,0.733,22,11,200,108.2,40.6,13,23,79,,12.3,9,0.262,16,0.313,5,53.3,32,0.525,12.9,11,45,0.467,21,0.47600000000000003,10,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.5,Away,SEATTLE,Seattle,Seattle,wac,21,False,False,False,Away,True,11,15,55,28,60,5,21,61,1,0,145,383,1309,0.4587471352177235,711,1438,0.4944367176634214,136,371,1212,0.4744224422442244,0.4761904761904762
22,2020-02-01-16-seattle,50.0,11,15.0,6,91.5,76.7,33,0.433,60,0.3670000000000001,22,0.45,27,0.741,20,6,200,101.4,35.0,14,27,72,,0.0,0,0.3670000000000001,22,0.364,8,56.6,47,0.494,14.3,12,38,0.368,14,0.727,16,"February 1, 2020",42.1,8,5.3,2,101.4,65.0,26,0.336,67,0.284,19,0.373,25,0.8,20,12,200,91.5,23.3,10,23,65,,5.6,4,0.40299999999999997,27,0.259,7,43.4,36,0.41200000000000003,3.7,3,40,0.3,12,0.478,11,"Connolly Center, Seattle, Washington",SEATTLE,Seattle,71.4,Away,CALIFORNIA-BAPTIST,California Baptist,Seattle,wac,22,False,True,True,Home,False,7,12,67,36,83,8,14,60,0,1,156,398,1364,0.4633431085043988,739,1498,0.493324432576769,141,392,1273,0.4740769835035349,0.5
23,2020-02-08-16-utah-valley,46.4,13,13.5,5,100.0,77.1,27,0.4920000000000001,63,0.444,28,0.556,35,0.7140000000000001,25,12,225,102.4,25.0,10,25,87,,9.4,8,0.20600000000000002,13,0.462,6,49.3,37,0.546,16.1,15,50,0.44,22,0.5,12,"February 8, 2020",82.8,24,12.0,6,102.4,75.0,30,0.541,61,0.475,29,0.44299999999999995,27,0.7040000000000001,19,15,225,100.0,22.9,8,27,85,,10.6,9,0.39299999999999996,24,0.33299999999999996,8,50.7,38,0.5760000000000001,21.5,20,37,0.568,21,0.375,9,"UCCU Center, Orem, Utah",UTAH-VALLEY,Utah Valley,75.8,Away,SEATTLE,Seattle,Seattle,wac,23,False,False,False,Away,True,6,22,63,37,75,8,21,61,1,0,163,410,1431,0.457372466806429,775,1581,0.4901960784313725,149,406,1333,0.4722430607651913,0.4782608695652174
24,2020-02-13-21-new-mexico-state,47.6,10,3.3,1,105.9,75.0,24,0.46399999999999997,56,0.375,21,0.304,17,0.706,12,13,200,94.1,8.3,3,21,64,,8.8,6,0.48200000000000004,27,0.37,10,39.7,27,0.499,9.9,7,29,0.379,11,0.48,12,"February 13, 2020",45.5,10,6.9,2,94.1,91.7,33,0.46399999999999997,55,0.4,22,0.455,25,0.84,21,6,200,105.9,25.0,8,17,72,,8.8,6,0.455,25,0.28,7,60.3,41,0.5379999999999999,12.0,9,30,0.5,15,0.769,20,"Pan American Center, Las Cruces, New Mexico",SEATTLE,Seattle,68.0,Home,NEW-MEXICO-STATE,New Mexico State,Seattle,wac,24,False,False,False,Away,False,10,11,56,27,68,7,15,55,0,1,169,432,1494,0.4588353413654618,812,1656,0.4903381642512077,157,427,1394,0.4752510760401722,0.5
25,2020-02-15-20-texas-pan-american,54.2,13,2.3,1,102.6,75.0,24,0.42200000000000004,64,0.375,24,0.359,23,0.7829999999999999,18,14,200,93.5,24.4,10,25,72,,7.8,6,0.313,20,0.3,6,46.6,34,0.48,14.9,13,44,0.409,18,0.462,12,"February 15, 2020",72.0,18,9.1,4,93.5,75.6,31,0.491,56,0.446,25,0.5710000000000001,32,0.75,24,14,200,102.6,25.0,8,22,79,,10.4,8,0.214,12,0.41700000000000004,5,53.4,39,0.555,14.6,12,44,0.455,20,0.44,11,"UTRGV Fieldhouse, Edinburg, Texas",SEATTLE,Seattle,76.6,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Seattle,wac,25,False,False,False,Away,False,6,18,64,34,73,5,20,56,0,1,179,443,1550,0.4590322580645162,839,1724,0.4866589327146172,164,442,1449,0.4748102139406487,0.48
