,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHERN-COLORADO_homegame,NORTHERN-COLORADO_homegame2,NORTHERN-COLORADO_home,NORTHERN-COLORADO_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-20-20-south-dakota,43.8,14,2.1,1,94.4,85.2,23,0.597,62,0.516,32,0.29,18,0.722,13,4,200,120.8,22.6,7,18,87,,6.9,5,0.387,24,0.41700000000000004,10,51.7,30,0.617,9.1,7,38,0.579,22,0.636,7,"December 20, 2019",22.2,6,7.9,3,120.8,77.4,24,0.48200000000000004,56,0.48200000000000004,27,0.321,18,0.778,14,4,200,94.4,14.8,4,16,68,,5.6,4,0.14300000000000002,8,0.0,0,48.3,28,0.527,15.8,12,48,0.563,27,0.6920000000000001,9,"Sanford Pentagon, Sioux Falls, South Dakota",SOUTH-DAKOTA,South Dakota,71.6,Away,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,10,False,False,False,Away,True,10,22,62,30,58,0,27,56,1,0,113,148,580,0.5474137931034483,345,634,0.5441640378548895,36,198,555,0.4540540540540541,0.6
11,2019-12-28-17-portland-state,46.2,12,6.0,3,97.2,75.0,21,0.491,58,0.44799999999999995,26,0.259,15,0.5329999999999999,8,5,200,91.5,28.6,8,14,65,,5.6,4,0.397,23,0.217,5,51.8,29,0.499,18.8,15,35,0.6,21,0.583,7,"December 28, 2019",46.7,14,20.0,7,91.5,71.4,20,0.551,59,0.508,30,0.18600000000000005,11,0.364,4,6,200,97.2,25.0,7,17,69,,9.9,7,0.153,9,0.556,5,48.2,27,0.537,15.8,12,50,0.5,25,0.5379999999999999,7,"Peter W. Stott Center, Portland, Oregon",NORTHERN-COLORADO,Northern Colorado,70.7,Home,PORTLAND-STATE,Portland State,Northern Colorado,big-sky,11,False,False,False,Away,False,5,21,58,29,56,5,25,59,0,1,123,170,642,0.5521806853582555,375,692,0.541907514450867,36,225,611,0.4566284779050737,0.6363636363636364
12,2020-01-02-21-northern-colorado,34.8,8,0.0,0,107.9,80.0,28,0.521,48,0.479,23,0.20800000000000002,10,0.9,9,6,200,93.7,3.8,1,14,59,,1.6,1,0.271,13,0.308,4,47.5,29,0.5589999999999999,18.6,12,35,0.5429999999999999,19,0.5710000000000001,8,"January 2, 2020",34.6,9,8.6,3,93.7,96.2,25,0.518,56,0.46399999999999997,26,0.321,18,0.556,10,5,200,107.9,20.0,7,10,68,,4.8,3,0.41100000000000003,23,0.261,6,52.5,32,0.527,7.3,5,33,0.606,20,0.615,8,"Bank of Colorado Arena, Greeley, Colorado",MONTANA-STATE,Montana State,63.2,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,12,True,False,True,Home,True,6,20,56,32,61,4,19,48,1,0,128,191,700,0.5471428571428572,404,748,0.5401069518716578,41,250,670,0.4649253731343284,0.5833333333333334
13,2020-01-04-21-northern-colorado,17.9,5,0.0,0,108.8,85.2,23,0.5,62,0.452,28,0.09699999999999999,6,0.667,4,8,200,97.1,18.2,6,16,66,,10.3,7,0.306,19,0.316,6,48.3,29,0.509,12.2,9,43,0.512,22,0.467,7,"January 4, 2020",43.5,10,0.0,0,97.1,81.8,27,0.5489999999999999,51,0.451,23,0.431,22,0.818,18,5,200,108.8,14.8,4,13,74,,8.8,6,0.529,27,0.37,10,51.7,31,0.602,15.3,11,24,0.542,13,0.643,9,"Bank of Colorado Arena, Greeley, Colorado",MONTANA,Montana,68.2,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,13,True,False,True,Home,True,10,13,51,31,60,6,22,62,1,0,134,211,756,0.544973544973545,436,809,0.5389369592088998,45,269,718,0.4686629526462395,0.6153846153846154
14,2020-01-09-21-weber-state,44.0,11,6.7,2,94.1,87.9,29,0.42,69,0.36200000000000004,25,0.13,9,0.778,7,5,200,95.6,33.3,14,12,65,,8.8,6,0.36200000000000004,25,0.32,8,57.3,43,0.444,12.1,10,44,0.386,17,0.667,10,"January 9, 2020",41.7,10,20.5,9,95.6,66.7,28,0.509,55,0.436,24,0.23600000000000002,13,0.615,8,10,200,94.1,12.1,4,11,64,,8.8,6,0.455,25,0.32,8,42.7,32,0.523,14.1,10,30,0.5329999999999999,16,0.33299999999999996,5,"Dee Events Center, Ogden, Utah",WEBER-STATE,Weber State,68.2,Away,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,14,False,False,False,Away,True,8,17,69,43,75,8,16,55,1,0,144,224,807,0.5452292441140025,467,869,0.5373993095512083,51,291,780,0.4711538461538462,0.6428571428571429
15,2020-01-16-21-northern-colorado,33.3,7,25.8,8,110.9,90.5,19,0.425,53,0.396,21,0.20800000000000002,11,0.636,7,5,200,81.3,33.3,10,18,52,,9.4,6,0.264,14,0.214,3,56.9,29,0.447,20.6,15,39,0.462,18,0.667,10,"January 16, 2020",58.3,14,7.7,3,81.3,66.7,20,0.58,50,0.48,24,0.34,17,0.765,13,5,200,110.9,9.5,2,12,71,,12.5,8,0.38,19,0.526,10,43.1,22,0.611,12.2,8,31,0.452,14,0.688,11,"Bank of Colorado Arena, Greeley, Colorado",SACRAMENTO-STATE,Sacramento State,63.7,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,15,True,False,True,Home,True,10,14,50,22,51,3,18,53,1,0,152,241,876,0.5353881278538812,510,944,0.5402542372881356,59,307,835,0.4736526946107785,0.6666666666666666
16,2020-01-18-16-northern-colorado,25.0,6,3.7,1,89.2,74.4,29,0.447,57,0.42100000000000004,24,0.24600000000000002,14,0.929,13,7,200,98.5,31.0,9,13,64,,1.5,1,0.24600000000000002,14,0.214,3,55.9,38,0.503,13.7,10,43,0.488,21,0.562,9,"January 18, 2020",40.9,9,7.0,3,98.5,69.0,20,0.408,65,0.33799999999999997,22,0.138,9,0.556,5,6,200,89.2,25.6,10,16,58,,7.7,5,0.585,38,0.237,9,44.1,30,0.419,8.0,6,27,0.48100000000000004,13,0.647,11,"Bank of Colorado Arena, Greeley, Colorado",NORTHERN-COLORADO,Northern Colorado,65.0,Away,NORTHERN-ARIZONA,Northern Arizona,Northern Colorado,big-sky,16,False,True,True,Home,False,9,13,65,30,68,3,21,57,0,1,162,255,926,0.5377969762419006,532,995,0.5346733668341709,62,325,888,0.4707207207207208,0.6875
17,2020-01-25-17-idaho,55.6,15,7.3,3,82.8,81.5,22,0.568,59,0.45799999999999996,27,0.11900000000000001,7,1.0,7,6,200,115.6,10.0,3,13,74,,6.3,4,0.5760000000000001,34,0.382,13,43.9,25,0.594,6.1,4,25,0.56,14,0.667,12,"January 25, 2020",38.1,8,8.0,2,115.6,90.0,27,0.433,52,0.40399999999999997,21,0.154,8,1.0,8,13,200,82.8,18.5,5,13,53,,3.1,2,0.212,11,0.273,3,56.1,32,0.475,19.0,13,41,0.439,18,0.278,5,"Cowan Spectrum, Moscow, Idaho",IDAHO,Idaho,63.6,Away,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,17,False,False,False,Away,True,13,14,59,25,57,3,18,52,1,0,171,268,991,0.529263370332997,562,1063,0.5286923800564439,65,346,945,0.4693121693121693,0.6470588235294118
18,2020-01-27-21-eastern-washington,58.6,17,8.8,5,109.9,75.0,30,0.473,73,0.397,29,0.315,23,0.652,15,7,225,103.7,26.1,12,18,84,,4.9,4,0.43799999999999994,32,0.344,11,48.8,42,0.5,8.8,8,41,0.439,18,0.632,12,"January 27, 2020",61.8,21,22.0,9,103.7,73.9,34,0.507,74,0.45899999999999996,34,0.243,18,0.778,14,6,225,109.9,25.0,10,19,89,,4.9,4,0.23,17,0.41200000000000003,7,51.2,44,0.539,9.9,9,57,0.474,27,0.684,13,"Reese Court, Cheney, Washington",NORTHERN-COLORADO,Northern Colorado,71.8,Home,EASTERN-WASHINGTON,Eastern Washington,Northern Colorado,big-sky,18,False,False,False,Away,False,11,18,73,42,86,7,27,74,0,1,184,282,1050,0.5314285714285715,587,1120,0.5241071428571429,68,364,997,0.4674022066198596,0.6666666666666666
19,2020-01-30-21-northern-colorado,33.3,9,16.7,4,127.7,80.8,21,0.509,57,0.474,27,0.228,13,0.6920000000000001,9,13,200,103.1,11.1,3,12,67,,4.6,3,0.193,11,0.364,4,45.3,24,0.53,7.4,5,46,0.5,23,0.316,6,"January 30, 2020",55.2,16,10.9,5,103.1,88.9,24,0.667,54,0.537,29,0.24100000000000002,13,0.846,11,7,200,127.7,19.2,5,15,83,,3.1,2,0.556,30,0.467,14,54.7,29,0.69,13.1,9,24,0.625,15,0.65,13,"Bank of Colorado Arena, Greeley, Colorado",IDAHO-STATE,Idaho State,64.7,Home,NORTHERN-COLORADO,Northern Colorado,Northern Colorado,big-sky,19,True,False,True,Home,True,14,15,54,29,53,4,23,57,1,0,195,300,1123,0.5276046304541407,629,1206,0.521558872305141,75,391,1071,0.4701213818860878,0.631578947368421
