,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAM-HOUSTON-STATE_homegame,SAM-HOUSTON-STATE_homegame2,SAM-HOUSTON-STATE_home,SAM-HOUSTON-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-sam-houston-state,64.3,9,2.0,1,120.3,50.0,18,0.337,52,0.26899999999999996,14,0.5,26,0.846,22,0,200,72.2,16.7,6,16,57,,3.8,3,0.442,23,0.304,7,33.3,24,0.44299999999999995,23.0,19,29,0.24100000000000002,7,0.0,0,"November 5, 2019",51.3,20,10.3,3,72.2,83.3,30,0.5660000000000001,76,0.513,39,0.184,14,0.643,9,0,200,120.3,50.0,18,22,95,,11.4,9,0.342,26,0.308,8,66.7,48,0.575,15.4,15,50,0.62,31,1.0,1,"Johnson Coliseum, Huntsville, Texas","Paul Quinn
			","Paul Quinn
			",78.5,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,0,True,False,True,Home,True,8,31,76,48,72,7,7,52,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-mississippi-state,33.3,8,3.6,1,97.1,60.0,15,0.415,65,0.369,24,0.062,4,1.0,4,1,200,84.1,25.0,9,24,58,,17.4,12,0.33799999999999997,22,0.273,6,39.3,24,0.433,13.0,10,43,0.419,18,0.5,1,"November 8, 2019",78.3,18,18.6,8,84.1,75.0,27,0.5539999999999999,46,0.5,23,0.522,24,0.667,16,0,200,97.1,40.0,10,13,67,,7.2,5,0.391,18,0.278,5,60.7,37,0.584,28.9,23,28,0.643,18,1.0,2,"Humphrey Coliseum, Starkville, Mississippi",SAM-HOUSTON-STATE,Sam Houston State,69.2,Home,MISSISSIPPI-STATE,Mississippi State,Sam Houston State,southland,1,False,False,False,Away,False,6,18,65,24,61,5,18,46,0,1,8,31,76,0.5657894736842105,48,72,0.6666666666666666,7,7,52,0.3365384615384616,1.0
2,2019-11-16-14-central-michigan,53.6,15,6.1,2,101.2,71.1,27,0.5,64,0.43799999999999994,28,0.281,18,0.722,13,2,200,92.8,18.4,7,34,77,,14.5,12,0.313,20,0.4,8,44.7,34,0.531,19.1,17,44,0.455,20,0.33299999999999996,1,"November 16, 2019",40.9,9,9.1,4,92.8,81.6,31,0.44,58,0.379,22,0.7929999999999999,46,0.7170000000000001,33,0,200,101.2,28.9,11,18,84,,9.6,8,0.431,25,0.28,7,55.3,42,0.526,16.1,15,33,0.455,15,1.0,3,"McGuirk Arena, Mt. Pleasant, Michigan",SAM-HOUSTON-STATE,Sam Houston State,83.2,Home,CENTRAL-MICHIGAN,Central Michigan,Sam Houston State,southland,2,False,False,False,Away,False,8,20,64,34,76,7,15,58,0,1,14,49,141,0.4964539007092199,72,133,0.5413533834586466,12,25,98,0.4387755102040816,0.5
3,2019-11-20-19-sam-houston-state,50.0,11,4.3,2,104.8,65.5,19,0.433,60,0.3670000000000001,22,0.183,11,0.545,6,0,200,69.0,18.9,7,20,58,,11.9,10,0.3670000000000001,22,0.364,8,39.4,26,0.445,26.2,23,38,0.368,14,0.0,0,"November 20, 2019",61.8,21,15.8,6,69.0,81.1,30,0.535,71,0.479,34,0.21100000000000002,15,0.8,12,2,200,104.8,34.5,10,14,88,,8.3,7,0.33799999999999997,24,0.33299999999999996,8,60.6,40,0.563,18.8,18,47,0.5529999999999999,26,0.5,2,"Johnson Coliseum, Huntsville, Texas","Le Tourneau
			","Le Tourneau
			",83.7,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,3,True,False,True,Home,True,8,26,71,40,66,8,14,60,1,0,22,69,205,0.4975609756097561,106,209,0.5071770334928231,19,40,156,0.4391025641025641,0.3333333333333333
4,2019-11-23-20-san-francisco,34.5,10,14.3,4,118.4,75.0,27,0.5920000000000001,60,0.483,29,0.217,13,0.769,10,3,200,106.6,12.9,4,22,81,,5.3,4,0.433,26,0.5,13,46.3,31,0.612,16.5,13,34,0.47100000000000003,16,0.4,2,"November 23, 2019",55.2,16,5.9,2,106.6,87.1,27,0.556,62,0.46799999999999997,29,0.452,28,0.75,21,0,200,118.4,25.0,9,14,90,,9.2,7,0.5479999999999999,34,0.324,11,53.7,36,0.598,12.9,11,28,0.643,18,1.0,6,"War Memorial Gymnasium, San Francisco, California",SAM-HOUSTON-STATE,Sam Houston State,76.2,Home,SAN-FRANCISCO,San Francisco,Sam Houston State,southland,4,False,False,False,Away,False,13,16,60,31,67,11,18,62,0,1,30,95,276,0.5072463768115942,146,275,0.5309090909090909,27,54,216,0.4375,0.5
5,2019-11-26-22-cal-state-bakersfield,50.0,12,10.3,4,90.3,66.7,18,0.519,53,0.45299999999999996,24,0.396,21,0.905,19,3,200,102.8,13.8,4,20,74,,12.5,9,0.302,16,0.43799999999999994,7,39.3,22,0.588,18.4,14,37,0.45899999999999996,17,0.5,3,"November 26, 2019",54.2,13,18.9,7,102.8,86.2,25,0.5,54,0.444,24,0.29600000000000004,16,0.688,11,5,200,90.3,33.3,9,23,65,,4.2,3,0.278,15,0.4,6,60.7,34,0.528,23.7,19,39,0.462,18,0.28600000000000003,2,"Icardo Center, Bakersfield, California",CAL-STATE-BAKERSFIELD,Cal State Bakersfield,72.3,Away,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,5,False,False,False,Away,True,7,17,53,22,56,6,18,54,1,0,43,111,336,0.5223214285714286,177,342,0.5175438596491229,38,72,278,0.4640287769784173,0.4
6,2019-11-30-15-sam-houston-state,45.0,9,0.0,0,101.2,65.6,21,0.33799999999999997,74,0.27,20,0.054000000000000006,4,0.25,1,0,200,60.0,16.0,8,10,51,,12.9,11,0.473,35,0.28600000000000003,10,35.4,29,0.336,20.1,19,39,0.256,10,0.0,0,"November 30, 2019",69.4,25,10.3,4,60.0,84.0,42,0.5579999999999999,69,0.522,36,0.145,10,0.9,9,3,200,101.2,34.4,11,10,86,,12.9,11,0.348,24,0.20800000000000002,5,64.6,53,0.583,22.2,21,45,0.6890000000000001,31,0.5710000000000001,4,"Johnson Coliseum, Huntsville, Texas","Randall
			","Randall
			",85.3,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,6,True,False,True,Home,True,5,31,69,53,82,10,10,74,1,0,50,128,389,0.5218508997429306,199,398,0.5,44,90,332,0.4698795180722892,0.5
7,2019-12-03-20-texas-pan-american,56.0,14,7.0,3,92.8,70.7,29,0.396,72,0.34700000000000003,25,0.583,42,0.69,29,4,250,88.7,23.9,11,27,86,,15.5,15,0.306,22,0.318,7,46.0,40,0.46799999999999997,17.4,19,50,0.36,18,0.5,4,"December 3, 2019",69.0,20,14.0,7,88.7,76.1,35,0.47200000000000003,71,0.408,29,0.408,29,0.7929999999999999,23,5,250,92.8,29.3,12,31,90,,10.3,10,0.39399999999999996,28,0.321,9,54.0,47,0.531,20.8,22,43,0.465,20,0.375,3,"UTRGV Fieldhouse, Edinburg, Texas",SAM-HOUSTON-STATE,Sam Houston State,77.9,Home,TEXAS-PAN-AMERICAN,Texas-Rio Grande Valley,Sam Houston State,southland,7,False,False,False,Away,False,7,18,72,40,87,9,20,71,0,1,55,159,458,0.527292576419214,252,480,0.525,54,100,406,0.4458128078817734,0.5714285714285714
8,2019-12-08-17-sam-houston-state,56.0,14,6.5,3,92.2,69.2,27,0.536,56,0.446,25,0.33899999999999997,19,0.42100000000000004,8,3,200,88.3,21.2,7,20,68,,5.2,4,0.41100000000000003,23,0.435,10,47.2,34,0.523,24.6,21,33,0.455,15,0.667,6,"December 8, 2019",70.8,17,18.2,6,88.3,78.8,26,0.431,65,0.369,24,0.308,20,0.75,15,4,200,92.2,30.8,12,18,71,,10.4,8,0.292,19,0.42100000000000004,8,52.8,38,0.47700000000000004,14.0,12,46,0.348,16,0.556,5,"Johnson Coliseum, Huntsville, Texas",LOUISIANA-TECH,Louisiana Tech,76.8,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,8,True,False,True,Home,True,8,16,65,38,72,10,15,56,1,0,62,177,530,0.5094339622641509,292,567,0.5149911816578483,63,120,477,0.449685534591195,0.5
9,2019-12-15-17-sam-houston-state,42.1,8,7.3,3,119.7,60.5,26,0.375,56,0.33899999999999997,19,0.375,21,0.762,16,0,200,76.3,18.2,6,13,58,,7.9,6,0.35700000000000004,20,0.2,4,42.1,32,0.44,20.7,17,36,0.41700000000000004,15,0.0,0,"December 15, 2019",75.8,25,11.1,4,76.3,81.8,27,0.513,77,0.429,33,0.221,17,0.706,12,4,200,119.7,39.5,17,20,91,,15.8,12,0.46799999999999997,36,0.361,13,57.9,44,0.535,7.7,7,41,0.488,20,0.6,6,"Johnson Coliseum, Huntsville, Texas","Wiley
			","Wiley
			",76.0,Home,SAM-HOUSTON-STATE,Sam Houston State,Sam Houston State,southland,9,True,False,True,Home,True,13,20,77,44,76,4,15,56,1,0,70,193,595,0.5008403361344538,330,639,0.5164319248826291,73,135,533,0.4587242026266417,0.5555555555555556
