,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NEVADA_homegame,NEVADA_homegame2,NEVADA_home,NEVADA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-22-nevada,42.3,11,7.9,3,96.1,92.1,35,0.483,59,0.441,26,0.593,35,0.629,22,0,200,102.6,27.8,10,16,79,,3.9,3,0.39,23,0.217,5,60.8,45,0.522,14.9,13,36,0.583,21,1.0,1,"November 5, 2019",60.7,17,13.9,5,102.6,72.2,26,0.493,68,0.41200000000000003,28,0.132,9,0.778,7,1,200,96.1,7.9,3,29,74,,7.8,6,0.441,30,0.3670000000000001,11,39.2,29,0.512,7.7,6,38,0.447,17,0.0,0,"Lawlor Events Center, Reno, Nevada",NEVADA,Nevada,77.0,Away,UTAH,Utah,Nevada,mwc,0,False,True,True,Home,False,11,17,68,29,74,5,21,59,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-09-22-nevada,47.8,11,0.0,0,101.4,79.3,23,0.473,55,0.418,23,0.345,19,0.789,15,1,200,94.4,9.7,3,22,67,,7.0,5,0.382,21,0.28600000000000003,6,43.3,26,0.523,13.6,10,34,0.5,17,0.5,1,"November 9, 2019",54.2,13,14.7,5,94.4,90.3,28,0.491,56,0.429,24,0.39299999999999996,22,0.773,17,1,200,101.4,20.7,6,21,72,,9.9,7,0.536,30,0.233,7,56.7,34,0.542,14.3,11,26,0.654,17,0.5,1,"Lawlor Events Center, Reno, Nevada",LOYOLA-MARYMOUNT,Loyola Marymount,71.2,Home,NEVADA,Nevada,Nevada,mwc,1,True,False,True,Home,True,7,17,56,34,60,6,17,55,1,0,11,17,68,0.4926470588235294,29,74,0.3918918918918919,5,21,59,0.4830508474576271,0.0
2,2019-11-12-22-nevada,59.1,13,8.1,3,98.8,75.8,25,0.43,64,0.344,22,0.42200000000000004,27,0.667,18,1,200,90.1,21.4,9,25,73,,7.4,6,0.563,36,0.306,11,45.3,34,0.475,14.6,13,28,0.39299999999999996,11,0.667,2,"November 12, 2019",66.7,18,21.4,6,90.1,78.6,33,0.552,58,0.466,27,0.517,30,0.5329999999999999,16,1,200,98.8,24.2,8,21,80,,6.2,5,0.36200000000000004,21,0.47600000000000003,10,54.7,41,0.5539999999999999,18.3,16,37,0.45899999999999996,17,0.667,2,"Lawlor Events Center, Reno, Nevada",TEXAS-ARLINGTON,Texas-Arlington,80.5,Home,NEVADA,Nevada,Nevada,mwc,2,True,False,True,Home,True,10,17,58,41,75,11,11,64,1,0,18,34,124,0.4919354838709678,63,134,0.4701492537313433,11,38,114,0.4780701754385965,0.5
3,2019-11-16-23-nevada,62.1,18,8.0,2,90.4,78.9,30,0.485,65,0.446,29,0.308,20,0.65,13,0,200,104.1,26.5,9,18,76,,2.7,2,0.27699999999999997,18,0.278,5,54.2,39,0.51,9.8,8,47,0.511,24,1.0,4,"November 16, 2019",70.0,14,4.3,2,104.1,73.5,25,0.418,61,0.32799999999999996,20,0.27899999999999997,17,0.882,15,2,200,90.4,21.1,8,19,66,,5.5,4,0.59,36,0.306,11,45.8,33,0.478,13.8,11,25,0.36,9,0.5,2,"Lawlor Events Center, Reno, Nevada",NEVADA,Nevada,72.8,Away,SOUTHERN-CALIFORNIA,USC,Nevada,mwc,3,False,True,True,Home,False,11,9,61,33,72,5,24,65,0,1,28,51,182,0.510989010989011,104,209,0.4976076555023923,22,49,178,0.4606741573033708,0.6666666666666666
4,2019-11-19-19-davidson,28.6,8,0.0,0,131.9,77.8,21,0.61,50,0.56,28,0.28,14,0.7140000000000001,10,3,200,102.9,33.3,8,15,71,,5.8,4,0.3,15,0.33299999999999996,5,56.9,29,0.627,26.3,20,35,0.657,23,0.4,2,"November 19, 2019",57.6,19,8.6,3,102.9,66.7,16,0.65,60,0.55,33,0.267,16,0.813,13,2,200,131.9,22.2,6,14,91,,13.0,9,0.433,26,0.462,12,43.1,22,0.6729999999999999,10.7,8,34,0.618,21,0.5,2,"Belk Arena, Davidson, North Carolina",NEVADA,Nevada,69.1,Home,DAVIDSON,Davidson,Nevada,mwc,4,False,False,False,Away,False,5,23,50,29,51,12,21,60,0,1,39,60,243,0.4876543209876543,137,281,0.4875444839857651,27,73,243,0.4670781893004115,0.5
5,2019-11-22-15-nevada,52.9,9,4.0,1,104.2,85.2,23,0.45799999999999996,48,0.354,17,0.479,23,0.696,16,1,200,84.5,20.0,6,16,60,,1.4,1,0.5,24,0.41700000000000004,10,50.9,29,0.509,22.6,17,24,0.292,7,0.75,3,"November 22, 2019",68.0,17,4.2,1,84.5,80.0,24,0.563,56,0.446,25,0.25,14,0.7859999999999999,11,3,200,104.2,14.8,4,20,74,,9.9,7,0.5539999999999999,31,0.419,13,49.1,28,0.591,17.3,13,25,0.48,12,0.5,3,"Virgin Islands Sport & Fitness Center , St. Thomas",FORDHAM,Fordham,70.8,Home,NEVADA,Nevada,Nevada,mwc,5,True,False,True,Home,True,13,12,56,28,57,10,7,48,1,0,44,83,293,0.5085324232081911,166,332,0.5,39,94,303,0.5033003300330033,0.4
6,2019-11-24-17-nevada,18.2,4,5.1,2,112.0,76.9,20,0.405,58,0.379,22,0.345,20,0.6,12,2,200,78.7,27.8,10,12,59,,5.3,4,0.32799999999999996,19,0.158,3,48.4,30,0.4370000000000001,20.3,17,39,0.48700000000000004,19,0.667,4,"November 24, 2019",46.9,15,10.3,4,78.7,72.2,26,0.597,62,0.516,32,0.226,14,0.7140000000000001,10,3,200,112.0,23.1,6,18,84,,9.3,7,0.371,23,0.435,10,51.6,32,0.612,15.0,12,39,0.564,22,0.5710000000000001,4,"Virgin Islands Sport & Fitness Center , St. Thomas",VALPARAISO,Valparaiso,74.6,Home,NEVADA,Nevada,Nevada,mwc,6,True,False,True,Home,True,10,22,62,32,62,3,19,58,1,0,57,95,349,0.5171919770773639,194,389,0.4987146529562982,49,101,351,0.4971509971509971,0.5
7,2019-11-25-20-bowling-green-state,48.3,14,6.4,3,87.3,68.3,28,0.493,72,0.40299999999999997,29,0.16699999999999998,12,0.5,6,3,200,108.5,37.2,16,15,77,,5.6,4,0.375,27,0.48100000000000004,13,52.4,44,0.495,9.4,8,45,0.35600000000000004,16,0.625,5,"November 25, 2019",33.3,8,8.9,4,108.5,62.8,27,0.368,68,0.353,24,0.265,18,0.667,12,2,200,87.3,31.7,13,15,62,,4.2,3,0.309,21,0.095,2,47.6,40,0.405,9.5,8,47,0.46799999999999997,22,0.7140000000000001,5,"Virgin Islands Sport & Fitness Center , St. Thomas",BOWLING-GREEN-STATE,Bowling Green State,70.6,Away,NEVADA,Nevada,Nevada,mwc,7,False,False,False,Away,True,13,16,72,44,84,2,22,68,1,0,67,117,411,0.5291970802919708,226,451,0.5011086474501109,52,120,409,0.4841075794621027,0.5714285714285714
8,2019-12-04-22-nevada,45.8,11,8.3,3,127.3,66.7,22,0.382,68,0.353,24,0.368,25,0.6,15,2,200,87.0,21.3,10,21,67,,7.8,6,0.426,29,0.138,4,40.0,32,0.419,9.2,8,39,0.513,20,0.8,8,"December 4, 2019",76.5,26,10.3,4,87.0,78.7,37,0.6409999999999999,64,0.531,34,0.42200000000000004,27,0.593,16,3,200,127.3,33.3,11,19,98,,7.8,6,0.43799999999999994,28,0.5,14,60.0,48,0.638,12.7,11,36,0.556,20,0.667,6,"Lawlor Events Center, Reno, Nevada",SANTA-CLARA,Santa Clara,77.4,Home,NEVADA,Nevada,Nevada,mwc,8,True,False,True,Home,True,14,20,64,48,80,4,20,68,1,0,80,133,483,0.5238095238095238,270,535,0.5046728971962616,54,142,477,0.4675052410901467,0.625
9,2019-12-07-14-air-force,50.0,15,10.0,3,111.8,87.9,29,0.6890000000000001,53,0.5660000000000001,30,0.604,32,0.8440000000000001,27,3,200,131.6,20.0,5,26,100,,7.9,6,0.434,23,0.565,13,58.6,34,0.733,15.2,12,30,0.5670000000000001,17,0.7,7,"December 7, 2019",32.0,8,6.7,2,131.6,80.0,20,0.536,55,0.455,25,0.618,34,0.765,26,6,200,111.8,12.1,4,23,85,,7.9,6,0.455,25,0.36,9,41.4,24,0.597,11.4,9,30,0.5329999999999999,16,0.4,4,"Clune Arena , Colorado Springs, Colorado",AIR-FORCE,Air Force,75.7,Away,NEVADA,Nevada,Nevada,mwc,9,False,False,False,Away,True,13,17,53,34,58,9,16,55,1,0,94,153,547,0.5374771480804388,318,615,0.5170731707317073,58,162,545,0.4568807339449542,0.6666666666666666
10,2019-12-10-21-brigham-young,31.3,5,16.1,5,104.2,72.5,29,0.26899999999999996,65,0.24600000000000002,16,0.185,12,0.583,7,4,200,58.3,17.4,8,13,42,,5.6,4,0.354,23,0.13,3,43.0,37,0.297,12.5,10,42,0.31,13,0.636,7,"December 10, 2019",60.7,17,4.8,2,58.3,82.6,38,0.5,68,0.41200000000000003,28,0.191,13,0.5379999999999999,7,4,200,104.2,27.5,11,15,75,,2.8,2,0.544,37,0.324,12,57.0,49,0.506,10.9,9,31,0.516,16,0.667,8,"Marriott Center, Provo, Utah",NEVADA,Nevada,72.4,Home,BRIGHAM-YOUNG,BYU,Nevada,mwc,10,False,False,False,Away,False,3,13,65,37,86,12,16,68,0,1,107,170,600,0.5508333333333333,352,673,0.5230312035661219,67,178,600,0.4641666666666666,0.7
11,2019-12-18-22-nevada,40.9,9,14.7,5,112.3,76.0,19,0.324,74,0.297,22,0.405,30,0.833,25,7,200,90.1,26.0,13,25,73,,8.6,7,0.33799999999999997,25,0.16,4,42.7,32,0.414,8.4,8,49,0.3670000000000001,18,0.3,3,"December 18, 2019",70.4,19,8.2,4,90.1,74.0,37,0.544,57,0.474,27,0.544,31,0.935,29,4,200,112.3,24.0,6,24,91,,4.9,4,0.40399999999999997,23,0.348,8,57.3,43,0.634,16.5,14,34,0.5589999999999999,19,0.667,8,"Lawlor Events Center, Reno, Nevada",TEXAS-SOUTHERN,Texas Southern,81.5,Home,NEVADA,Nevada,Nevada,mwc,11,True,False,True,Home,True,8,19,57,43,75,4,18,74,1,0,110,183,665,0.5233082706766917,389,759,0.5125164690382081,79,194,668,0.467814371257485,0.6363636363636364
12,2019-12-21-23-saint-marys-ca,45.8,11,7.7,3,101.5,75.8,25,0.48200000000000004,56,0.429,24,0.161,9,1.0,9,5,200,94.0,25.0,7,22,63,,3.0,2,0.28600000000000003,16,0.375,6,52.5,32,0.523,20.0,15,40,0.45,18,0.615,8,"December 21, 2019",37.0,10,5.0,2,94.0,75.0,21,0.483,59,0.45799999999999996,27,0.322,19,0.579,11,2,200,101.5,24.2,8,14,68,,6.0,4,0.33899999999999997,20,0.15,3,47.5,29,0.5,6.9,5,39,0.615,24,0.857,12,"Chase Center, San Francisco, California",NEVADA,Nevada,66.7,Home,SAINT-MARYS-CA,Saint Mary's,Nevada,mwc,12,False,False,False,Away,False,6,18,56,32,61,3,24,59,0,1,118,202,722,0.5249307479224377,432,834,0.5179856115107914,83,212,742,0.4535040431266846,0.6666666666666666
