,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-JOSEPHS_homegame,SAINT-JOSEPHS_homegame2,SAINT-JOSEPHS_home,SAINT-JOSEPHS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-saint-josephs,56.7,17,19.4,6,103.6,71.0,22,0.44799999999999995,77,0.39,30,0.195,15,0.8,12,1,200,97.6,45.7,16,28,81,,8.4,7,0.26,20,0.45,9,57.6,38,0.48100000000000004,14.3,14,57,0.368,21,0.0,0,"November 5, 2019",65.4,17,8.8,5,97.6,54.3,19,0.46799999999999997,62,0.419,26,0.516,32,0.875,28,0,200,103.6,29.0,9,14,86,,8.4,7,0.5,31,0.19399999999999998,6,42.4,28,0.557,17.4,16,31,0.645,20,1.0,1,"Hagan Arena, Philadelphia, Pennsylvania",BRADLEY,Bradley,83.2,Home,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,0,True,False,True,Home,True,6,20,62,28,66,9,21,77,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-10-14-old-dominion,77.3,17,4.1,2,103.8,61.0,25,0.434,68,0.324,22,0.27899999999999997,19,0.526,10,1,200,87.3,22.7,10,24,69,,5.1,4,0.544,37,0.405,15,41.2,35,0.44799999999999995,14.5,13,31,0.226,7,0.5,1,"November 10, 2019",42.3,11,25.8,8,87.3,77.3,34,0.455,66,0.39399999999999996,26,0.515,34,0.647,22,1,200,103.8,39.0,16,18,82,,10.1,8,0.258,17,0.47100000000000003,8,58.8,50,0.499,12.9,12,49,0.3670000000000001,18,0.5,1,"Ted Constant Convocation Ctr., Norfolk, Virginia",SAINT-JOSEPHS,St. Joseph's,79.1,Home,OLD-DOMINION,Old Dominion,Saint Joseph's,atlantic-10,1,False,False,False,Away,False,15,7,68,35,85,8,18,66,0,1,6,20,62,0.4677419354838709,28,66,0.42424242424242425,9,21,77,0.448051948051948,1.0
2,2019-11-13-19-connecticut,43.8,14,11.8,4,102.4,75.0,30,0.55,70,0.457,32,0.47100000000000003,33,0.5760000000000001,19,1,200,112.9,21.4,9,25,96,,10.6,9,0.47100000000000003,33,0.39399999999999996,13,47.6,39,0.56,9.6,9,37,0.514,19,0.667,2,"November 13, 2019",31.8,7,18.9,7,112.9,78.6,33,0.46,63,0.349,22,0.603,38,0.763,29,1,200,102.4,25.0,10,23,87,,5.9,5,0.46,29,0.483,14,52.4,43,0.537,14.0,13,34,0.235,8,0.5,1,"Harry A. Gampel Pavilion, Storrs, Connecticut",CONNECTICUT,UConn,84.9,Away,SAINT-JOSEPHS,St. Joseph's,Saint Joseph's,atlantic-10,2,False,False,False,Away,True,13,19,70,39,82,14,8,63,1,0,21,27,130,0.45,63,151,0.4172185430463576,17,39,143,0.451048951048951,0.5
3,2019-11-16-14-loyola-il,63.6,14,4.2,2,110.4,82.8,24,0.5,56,0.39299999999999996,22,0.33899999999999997,19,0.632,12,2,200,88.3,33.3,12,17,68,,9.1,7,0.607,34,0.353,12,55.4,36,0.523,27.2,24,22,0.455,10,0.5,2,"November 16, 2019",54.3,19,9.1,2,88.3,66.7,24,0.597,62,0.565,35,0.29,18,0.611,11,2,200,110.4,17.2,5,15,85,,15.6,12,0.226,14,0.28600000000000003,4,44.6,29,0.602,14.6,12,48,0.6459999999999999,31,0.5,2,"Joseph J. Gentile Center, Chicago, Illinois",SAINT-JOSEPHS,St. Joseph's,77.3,Home,LOYOLA-IL,Loyola (IL),Saint Joseph's,atlantic-10,3,False,False,False,Away,False,12,10,56,36,65,4,31,62,0,1,34,46,200,0.485,102,233,0.4377682403433477,31,47,206,0.4538834951456311,0.6666666666666666
4,2019-11-21-14-saint-josephs,37.5,9,23.3,10,87.3,71.4,30,0.5,55,0.436,24,0.418,23,0.652,15,2,200,98.6,28.1,9,21,70,,5.6,4,0.4,22,0.318,7,52.7,39,0.531,15.6,12,33,0.515,17,0.6,3,"November 21, 2019",39.1,9,15.2,5,98.6,71.9,23,0.371,66,0.348,23,0.28800000000000003,19,0.684,13,3,200,87.3,28.6,12,20,62,,4.2,3,0.348,23,0.13,3,47.3,35,0.413,12.9,11,43,0.465,20,0.4,2,"TD Arena, Charleston, South Carolina",SAINT-JOSEPHS,St. Joseph's,71.5,Away,FLORIDA,Florida,Saint Joseph's,atlantic-10,4,False,True,True,Home,False,3,20,66,35,74,7,17,55,0,1,46,56,256,0.48828125,138,298,0.4630872483221477,35,78,268,0.4869402985074627,0.5
5,2019-11-22-14-saint-josephs,39.1,9,6.7,2,98.6,78.8,26,0.433,60,0.38299999999999995,23,0.38299999999999995,23,0.826,19,3,200,101.4,37.5,12,13,71,,15.7,11,0.33299999999999996,20,0.3,6,58.5,38,0.501,15.6,13,40,0.425,17,0.5,3,"November 22, 2019",60.0,15,10.0,4,101.4,62.5,20,0.517,58,0.431,25,0.19,11,0.818,9,4,200,98.6,21.2,7,16,69,,8.6,6,0.483,28,0.35700000000000004,10,41.5,27,0.546,16.0,12,30,0.5,15,0.33299999999999996,2,"TD Arena, Charleston, South Carolina",SAINT-JOSEPHS,St. Joseph's,70.1,Away,MISSOURI-STATE,Missouri State,Saint Joseph's,atlantic-10,5,False,True,True,Home,False,10,15,58,27,65,6,17,60,0,1,49,76,322,0.4642857142857143,173,372,0.4650537634408602,42,95,323,0.4891640866873065,0.4
6,2019-11-24-18-towson,52.0,13,12.8,5,98.7,80.0,24,0.434,68,0.368,25,0.162,11,0.455,5,5,200,83.1,26.2,11,12,64,,9.1,7,0.485,33,0.273,9,48.6,35,0.4370000000000001,16.1,14,35,0.457,16,0.28600000000000003,2,"November 24, 2019",60.7,17,11.4,4,83.1,73.8,31,0.532,62,0.452,28,0.177,11,0.909,10,4,200,98.7,20.0,6,15,76,,9.1,7,0.371,23,0.435,10,51.4,37,0.565,19.3,16,39,0.462,18,0.429,3,"TD Arena, Charleston, South Carolina",SAINT-JOSEPHS,St. Joseph's,76.7,Home,TOWSON,Towson,Saint Joseph's,atlantic-10,6,False,False,False,Away,False,9,16,68,35,72,10,18,62,0,1,59,91,380,0.4723684210526316,200,437,0.4576659038901602,48,112,383,0.4804177545691906,0.3333333333333333
7,2019-11-30-19-saint-josephs,30.0,9,10.5,4,92.6,63.6,28,0.524,63,0.47600000000000003,30,0.254,16,0.813,13,4,200,116.2,38.7,12,17,79,,10.3,7,0.222,14,0.429,6,53.3,40,0.5589999999999999,12.5,10,49,0.49,24,0.429,3,"November 30, 2019",61.9,13,4.1,2,116.2,61.3,19,0.373,67,0.313,21,0.22399999999999998,15,0.867,13,6,200,92.6,36.4,16,16,63,,4.4,3,0.433,29,0.276,8,46.7,35,0.425,12.0,10,38,0.342,13,0.25,2,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,68.4,Away,SAINT-FRANCIS-PA,Saint Francis (PA),Saint Joseph's,atlantic-10,7,False,True,True,Home,False,8,13,67,35,75,6,24,63,0,1,68,107,448,0.4665178571428572,235,509,0.4616895874263262,58,130,445,0.4876404494382022,0.2857142857142857
8,2019-12-03-19-saint-josephs,58.8,20,12.1,4,98.6,79.3,23,0.6609999999999999,62,0.5479999999999999,34,0.226,14,0.857,12,2,200,130.6,13.8,4,15,94,,6.9,5,0.452,28,0.5,14,46.6,27,0.685,6.8,5,34,0.588,20,0.7140000000000001,5,"December 3, 2019",52.0,13,0.0,0,130.6,86.2,25,0.483,60,0.41700000000000004,25,0.3,18,0.722,13,7,200,98.6,20.7,6,16,71,,2.8,2,0.45,27,0.29600000000000004,8,53.4,31,0.518,13.9,11,33,0.515,17,0.222,2,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,71.6,Away,LAFAYETTE,Lafayette,Saint Joseph's,atlantic-10,8,False,True,True,Home,False,8,17,60,31,58,14,20,62,0,1,76,120,515,0.4543689320388349,270,584,0.4623287671232877,64,154,508,0.4921259842519685,0.25
9,2019-12-07-15-saint-josephs,29.6,8,17.1,7,98.5,70.6,24,0.527,55,0.491,27,0.4,22,0.909,20,2,200,116.4,38.5,10,13,78,23.0,3.0,2,0.309,17,0.235,4,56.7,34,0.596,11.0,8,38,0.605,23,0.778,7,"December 7, 2019",40.0,10,0.0,0,116.4,61.5,16,0.423,65,0.385,25,0.2,13,0.846,11,8,200,98.5,29.4,10,21,66,,11.9,8,0.369,24,0.20800000000000002,5,43.3,26,0.46399999999999997,12.4,10,41,0.488,20,0.2,2,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,67.3,Away,VILLANOVA,Villanova,Saint Joseph's,atlantic-10,9,False,True,True,Home,False,5,20,65,26,60,4,23,55,0,1,84,137,575,0.4573913043478261,301,642,0.4688473520249221,78,174,570,0.5105263157894737,0.2222222222222222
