,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ILLINOIS-STATE_homegame,ILLINOIS-STATE_homegame2,ILLINOIS-STATE_home,ILLINOIS-STATE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-18-19-illinois-state,28.0,7,5.3,2,93.1,75.0,24,0.5,59,0.424,25,0.203,12,0.583,7,8,200,91.7,25.8,8,22,66,,11.1,8,0.441,26,0.34600000000000003,9,50.8,32,0.51,18.9,15,33,0.485,16,0.33299999999999996,4,"December 18, 2019",50.0,12,6.1,2,91.7,74.2,23,0.47200000000000003,53,0.45299999999999996,24,0.45299999999999996,24,0.708,17,6,200,93.1,25.0,8,9,67,,9.7,7,0.28300000000000003,15,0.133,2,49.2,31,0.52,19.1,15,38,0.579,22,0.455,5,"Redbird Arena, Normal, Illinois",ILLINOIS-CHICAGO,UIC,71.6,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,10,True,False,True,Home,True,2,22,53,31,63,9,16,59,1,0,79,185,589,0.5152801358234296,312,623,0.5008025682182986,69,179,561,0.5035650623885918,0.4
11,2019-12-21-16-texas-san-antonio,28.0,7,8.3,4,109.9,64.7,22,0.444,62,0.40299999999999997,25,0.355,22,0.682,15,7,200,86.4,23.7,9,24,70,,7.4,6,0.387,24,0.20800000000000002,5,43.1,31,0.483,20.1,18,38,0.526,20,0.41700000000000004,5,"December 21, 2019",48.3,14,2.6,1,86.4,76.3,29,0.4920000000000001,66,0.439,29,0.424,28,0.857,24,7,200,109.9,35.3,12,22,89,,4.9,4,0.273,18,0.389,7,56.9,41,0.561,15.2,14,48,0.45799999999999996,22,0.41700000000000004,5,"Convocation Center, San Antonio, Texas",ILLINOIS-STATE,Illinois State,81.4,Home,TEXAS-SAN-ANTONIO,UTSA,Illinois State,mvc,11,False,False,False,Away,False,5,20,62,31,72,7,22,66,0,1,81,207,642,0.5116822429906542,343,686,0.5,78,195,620,0.5032258064516129,0.4545454545454545
12,2019-12-31-15-illinois-state,44.0,11,2.9,1,108.6,89.3,25,0.5479999999999999,52,0.48100000000000004,25,0.40399999999999997,21,0.619,13,2,200,100.0,37.5,9,22,70,,5.7,4,0.385,20,0.35,7,65.4,34,0.565,20.7,16,32,0.563,18,0.846,11,"December 31, 2019",56.5,13,3.1,1,100.0,62.5,15,0.528,53,0.434,23,0.45299999999999996,24,0.833,20,7,200,108.6,10.7,3,18,76,,12.9,9,0.34,18,0.556,10,34.6,18,0.59,12.4,9,35,0.371,13,0.462,6,"Redbird Arena, Normal, Illinois",NORTHERN-IOWA,Northern Iowa,69.7,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,12,True,False,True,Home,True,10,13,53,18,52,7,18,52,1,0,86,227,704,0.5056818181818182,374,758,0.4934036939313984,85,217,686,0.5021865889212828,0.4166666666666667
13,2020-01-04-16-southern-illinois,45.0,9,6.1,2,94.4,71.4,20,0.429,49,0.408,20,0.3670000000000001,18,0.722,13,8,200,77.5,12.5,4,19,55,,11.3,8,0.34700000000000003,17,0.11800000000000001,2,40.0,24,0.478,25.0,19,32,0.563,18,0.429,6,"January 4, 2020",52.2,12,0.0,0,77.5,87.5,28,0.52,50,0.46,23,0.4,20,0.75,15,8,200,94.4,28.6,8,21,67,,11.3,8,0.34,17,0.353,6,60.0,36,0.563,23.4,18,33,0.515,17,0.467,7,"The SIU Arena, Carbondale, Illinois",ILLINOIS-STATE,Illinois State,71.0,Home,SOUTHERN-ILLINOIS,Southern Illinois,Illinois State,mvc,13,False,False,False,Away,False,2,18,49,24,60,6,17,50,0,1,96,240,757,0.5072655217965654,392,810,0.4839506172839506,92,235,738,0.505420054200542,0.4615384615384616
14,2020-01-07-20-illinois-state,68.2,15,3.7,1,92.6,77.8,21,0.41100000000000003,62,0.355,22,0.306,19,0.8420000000000001,16,8,200,98.5,28.6,10,13,67,,11.8,8,0.387,24,0.292,7,50.0,31,0.47200000000000003,10.2,8,38,0.395,15,0.5,8,"January 7, 2020",43.5,10,2.6,1,98.5,71.4,25,0.541,49,0.469,23,0.34700000000000003,17,0.588,10,9,200,92.6,22.2,6,15,63,,4.4,3,0.449,22,0.318,7,50.0,31,0.552,22.1,16,27,0.593,16,0.4,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,68.1,Away,MISSOURI-STATE,Missouri State,Illinois State,mvc,14,False,True,True,Home,False,7,16,49,31,62,7,15,62,0,1,98,258,806,0.5024813895781638,416,870,0.4781609195402299,98,252,788,0.5063451776649747,0.42857142857142855
15,2020-01-11-14-indiana-state,44.4,8,13.5,5,92.9,67.6,25,0.371,58,0.31,18,0.259,15,0.6,9,10,200,74.3,22.2,8,17,52,,7.1,5,0.44799999999999995,26,0.26899999999999996,7,45.2,33,0.39899999999999997,17.8,14,32,0.344,11,0.375,6,"January 11, 2020",68.0,17,21.9,7,74.3,77.8,28,0.4920000000000001,59,0.424,25,0.322,19,0.368,7,6,200,92.9,32.4,12,13,65,,7.1,5,0.373,22,0.364,8,54.8,40,0.478,16.2,13,37,0.45899999999999996,17,0.6,9,"Hulman Center, Terre Haute, Indiana",ILLINOIS-STATE,Illinois State,70.1,Home,INDIANA-STATE,Indiana State,Illinois State,mvc,15,False,False,False,Away,False,7,11,58,33,73,8,17,59,0,1,105,274,855,0.5046783625730994,447,932,0.4796137339055794,105,267,850,0.4994117647058823,0.4
16,2020-01-16-20-drake,72.0,18,2.7,1,123.5,86.2,25,0.508,62,0.40299999999999997,25,0.242,15,0.733,11,11,200,108.8,20.0,7,18,74,,1.5,1,0.46799999999999997,29,0.44799999999999995,13,50.0,32,0.535,8.0,6,33,0.364,12,0.353,6,"January 16, 2020",51.6,16,9.1,3,108.8,80.0,28,0.586,58,0.534,31,0.36200000000000004,21,0.762,16,5,200,123.5,13.8,4,13,84,,2.9,2,0.36200000000000004,21,0.28600000000000003,6,50.0,32,0.618,4.3,3,37,0.6759999999999999,25,0.722,13,"Knapp Center, Des Moines, Iowa",ILLINOIS-STATE,Illinois State,67.6,Home,DRAKE,Drake,Illinois State,mvc,16,False,False,False,Away,False,13,12,62,32,64,6,25,58,0,1,112,285,913,0.4961664841182914,480,1005,0.4776119402985074,113,284,909,0.4988998899889989,0.375
17,2020-01-19-16-illinois-state,65.0,13,0.0,0,76.9,75.0,24,0.57,43,0.465,20,0.3720000000000001,16,0.813,13,6,200,95.4,8.3,2,10,62,,20.0,13,0.442,19,0.474,9,46.4,26,0.613,21.9,14,24,0.45799999999999996,11,0.684,13,"January 19, 2020",63.2,12,8.3,2,95.4,91.7,22,0.48,51,0.373,19,0.078,4,0.25,1,12,200,76.9,25.0,8,18,50,,12.3,8,0.627,32,0.344,11,53.6,30,0.473,29.4,22,19,0.42100000000000004,8,0.33299999999999996,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,64.8,Away,LOYOLA-IL,Loyola (IL),Illinois State,mvc,17,False,True,True,Home,False,11,8,51,30,56,9,11,43,0,1,125,297,975,0.4969230769230769,512,1069,0.4789522918615529,119,309,967,0.5041365046535677,0.35294117647058826
18,2020-01-22-20-bradley,47.8,11,6.8,3,115.4,67.9,19,0.467,61,0.377,23,0.131,8,0.75,6,13,200,96.9,24.3,9,14,63,,3.1,2,0.541,33,0.33299999999999996,11,43.1,28,0.486,13.4,10,28,0.429,12,0.316,6,"January 22, 2020",46.4,13,17.9,5,96.9,75.7,28,0.525,59,0.475,28,0.254,15,0.867,13,6,200,115.4,32.1,9,14,75,,4.6,3,0.254,15,0.4,6,56.9,37,0.5670000000000001,9.6,7,44,0.5,22,0.7,14,"Carver Arena, Peoria, Illinois",ILLINOIS-STATE,Illinois State,65.0,Home,BRADLEY,Bradley,Illinois State,mvc,18,False,False,False,Away,False,11,12,61,28,65,6,22,59,0,1,136,305,1026,0.4961013645224172,542,1125,0.4817777777777778,128,320,1010,0.5069306930693069,0.3333333333333333
19,2020-01-25-15-illinois-state,47.4,9,3.4,1,84.6,75.0,21,0.461,51,0.373,19,0.314,16,0.688,11,10,200,89.2,23.5,8,11,58,,12.3,8,0.451,23,0.391,9,46.8,29,0.495,18.3,13,28,0.35700000000000004,10,0.524,11,"January 25, 2020",54.5,12,3.6,1,89.2,76.5,26,0.5,53,0.415,22,0.132,7,0.28600000000000003,2,14,200,84.6,25.0,7,15,55,,13.8,9,0.45299999999999996,24,0.375,9,53.2,33,0.488,23.3,17,29,0.44799999999999995,13,0.3,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,65.0,Away,SOUTHERN-ILLINOIS,Southern Illinois,Illinois State,mvc,19,False,True,True,Home,False,9,13,53,33,62,9,10,51,0,1,147,317,1087,0.4944802207911684,570,1190,0.4789915966386555,134,342,1069,0.5079513564078578,0.3157894736842105
20,2020-01-29-20-illinois-state,64.0,16,5.9,2,114.9,80.6,25,0.5660000000000001,53,0.47200000000000003,25,0.151,8,0.75,6,13,200,98.5,3.8,1,13,66,,4.5,3,0.47200000000000003,25,0.4,10,45.6,26,0.581,18.7,13,28,0.536,15,0.409,9,"January 29, 2020",64.3,18,3.6,1,98.5,96.2,25,0.5579999999999999,60,0.467,28,0.217,13,0.769,10,14,200,114.9,19.4,6,11,77,,11.9,8,0.433,26,0.423,11,54.4,31,0.5820000000000001,8.4,6,34,0.5,17,0.33299999999999996,7,"Redbird Arena, Normal, Illinois",EVANSVILLE,Evansville,67.5,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,20,True,False,True,Home,True,11,17,60,31,57,10,15,53,1,0,156,330,1140,0.4947368421052632,603,1252,0.481629392971246,143,352,1120,0.5058035714285715,0.3
21,2020-02-01-20-valparaiso,56.5,13,9.3,4,111.1,69.7,23,0.45899999999999996,61,0.377,23,0.295,18,0.778,14,15,200,97.2,28.9,11,27,70,,6.9,5,0.45899999999999996,28,0.35700000000000004,10,47.9,34,0.503,15.9,13,33,0.39399999999999996,13,0.318,7,"February 1, 2020",48.1,13,9.1,3,97.2,71.1,27,0.517,58,0.466,27,0.517,30,0.667,20,11,200,111.1,30.3,10,19,80,,12.5,9,0.259,15,0.4,6,52.1,37,0.5539999999999999,12.3,10,43,0.488,21,0.522,12,"Athletics-Recreation Center, Valparaiso, Indiana",ILLINOIS-STATE,Illinois State,71.9,Home,VALPARAISO,Valparaiso,Illinois State,mvc,21,False,False,False,Away,False,10,13,61,34,71,6,21,58,0,1,167,347,1200,0.4979166666666667,634,1309,0.4843391902215432,153,367,1173,0.5085251491901108,0.3333333333333333
22,2020-02-05-20-missouri-state,47.6,10,4.7,2,115.9,61.3,19,0.544,45,0.467,21,0.35600000000000004,16,0.688,11,16,200,87.0,3.8,1,9,60,,7.2,5,0.42200000000000004,19,0.368,7,35.1,20,0.57,24.6,17,26,0.5379999999999999,14,0.304,7,"February 5, 2020",44.4,16,11.5,3,87.0,96.2,25,0.557,70,0.514,36,0.057,4,0.5,2,13,200,115.9,38.7,12,16,80,,17.4,12,0.386,27,0.222,6,64.9,37,0.556,11.1,9,43,0.698,30,0.45799999999999996,11,"JQH Arena, Springfield, Missouri",ILLINOIS-STATE,Illinois State,68.8,Home,MISSOURI-STATE,Missouri State,Illinois State,mvc,22,False,False,False,Away,False,7,14,45,20,57,6,30,70,0,1,177,360,1261,0.4960348929421095,668,1380,0.4840579710144928,159,388,1231,0.5089358245329001,0.3181818181818182
23,2020-02-08-20-illinois-state,57.9,11,6.5,2,100.0,72.4,21,0.39799999999999996,54,0.35200000000000004,19,0.593,32,0.75,24,9,200,90.5,27.0,10,26,67,,5.4,4,0.37,20,0.25,5,47.0,31,0.484,18.1,15,34,0.41200000000000003,14,0.609,14,"February 8, 2020",36.4,8,14.7,5,90.5,73.0,27,0.47100000000000003,51,0.431,22,0.647,33,0.7879999999999999,26,16,200,100.0,27.6,8,27,74,,6.8,5,0.392,20,0.2,4,53.0,35,0.555,18.6,15,31,0.581,18,0.33299999999999996,8,"Redbird Arena, Normal, Illinois",INDIANA-STATE,Indiana State,73.9,Home,ILLINOIS-STATE,Illinois State,Illinois State,mvc,23,True,False,True,Home,True,4,18,51,35,66,5,14,54,1,0,184,374,1306,0.4977029096477794,688,1437,0.4787752261656229,165,418,1301,0.5115295926210607,0.3043478260869565
24,2020-02-12-20-northern-iowa,52.0,13,0.0,0,110.9,75.0,18,0.508,62,0.40299999999999997,25,0.0,0,,0,17,200,98.4,22.6,7,12,63,,7.8,5,0.516,32,0.406,13,45.5,25,0.508,13.9,10,30,0.4,12,0.32,8,"February 12, 2020",48.1,13,10.0,3,98.4,77.4,24,0.58,56,0.48200000000000004,27,0.107,6,1.0,6,3,200,110.9,25.0,6,5,71,,7.8,5,0.446,25,0.44,11,54.5,30,0.603,14.6,10,31,0.516,16,0.88,22,"McLeod Center, Cedar Falls, Iowa",ILLINOIS-STATE,Illinois State,63.9,Home,NORTHERN-IOWA,Northern Iowa,Illinois State,mvc,24,False,False,False,Away,False,13,12,62,25,55,11,16,56,0,1,188,392,1357,0.496683861459101,723,1503,0.4810379241516966,170,432,1355,0.5070110701107011,0.3333333333333333
25,2020-02-15-19-illinois-state,34.8,8,10.5,4,92.5,71.9,23,0.5429999999999999,47,0.489,23,0.40399999999999997,19,0.737,14,13,200,97.0,16.0,4,13,65,,16.4,11,0.34,16,0.313,5,47.4,27,0.58,19.0,13,31,0.581,18,0.519,14,"February 15, 2020",41.7,10,3.2,1,97.0,84.0,21,0.483,59,0.40700000000000003,24,0.136,8,0.625,5,18,200,92.5,28.1,9,18,62,,13.4,9,0.35600000000000004,21,0.429,9,52.6,30,0.494,20.4,16,38,0.395,15,0.308,8,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,67.4,Away,VALPARAISO,Valparaiso,Illinois State,mvc,25,False,True,True,Home,False,9,15,59,30,57,5,18,47,0,1,201,404,1419,0.4971811134601832,748,1558,0.4801026957637998,181,448,1411,0.5099220411055989,0.32
26,2020-02-19-20-loyola-il,50.0,12,10.0,3,131.3,66.7,16,0.569,51,0.47100000000000003,24,0.235,12,0.917,11,19,200,107.8,25.9,7,21,69,,9.4,6,0.47100000000000003,24,0.41700000000000004,10,45.1,23,0.608,19.9,14,27,0.519,14,0.29600000000000004,8,"February 19, 2020",77.4,24,0.0,0,107.8,74.1,20,0.698,53,0.585,31,0.34,18,0.556,10,9,200,131.3,33.3,8,16,84,,7.8,5,0.434,23,0.522,12,54.9,28,0.682,15.3,11,30,0.633,19,0.679,19,"Joseph J. Gentile Center, Chicago, Illinois",ILLINOIS-STATE,Illinois State,64.1,Home,LOYOLA-IL,Loyola (IL),Illinois State,mvc,26,False,False,False,Away,False,10,14,51,23,51,12,19,53,0,1,210,419,1478,0.496617050067659,778,1615,0.481733746130031,186,466,1458,0.5109739368998628,0.3076923076923077
