,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOYOLA-IL_homegame,LOYOLA-IL_homegame2,LOYOLA-IL_home,LOYOLA-IL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-15-14-loyola-il,70.6,12,9.7,3,97.0,81.3,26,0.444,45,0.37799999999999995,17,0.2,9,0.556,5,9,200,68.2,19.2,5,19,45,,7.6,5,0.511,23,0.261,6,53.4,31,0.457,30.0,21,22,0.5,11,0.25,3,"December 15, 2019",76.2,16,9.1,2,68.2,80.8,21,0.5,50,0.42,21,0.46,23,0.609,14,4,200,97.0,18.8,6,10,64,,19.7,13,0.38,19,0.42100000000000004,8,46.6,27,0.525,16.6,12,31,0.419,13,0.636,7,"Joseph J. Gentile Center, Chicago, Illinois",NORFOLK-STATE,Norfolk State,66.1,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,10,True,False,True,Home,True,8,13,50,27,58,6,11,45,1,0,54,214,510,0.5784313725490197,286,556,0.5143884892086331,86,143,536,0.5074626865671642,0.6
11,2019-12-18-18-loyola-il,44.0,11,7.5,3,105.4,89.3,25,0.5379999999999999,53,0.47200000000000003,25,0.415,22,0.591,13,4,200,94.6,18.8,6,23,70,,8.1,6,0.396,21,0.33299999999999996,7,51.7,31,0.552,19.3,15,32,0.563,18,0.6,6,"December 18, 2019",78.6,22,3.1,1,94.6,81.3,26,0.61,50,0.56,28,0.6,30,0.5670000000000001,17,4,200,105.4,10.7,3,20,78,,5.4,4,0.2,10,0.5,5,48.3,29,0.607,18.1,14,40,0.575,23,0.667,8,"Talking Stick Resort Arena, Phoenix, Arizona",VANDERBILT,Vanderbilt,73.9,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,11,True,False,True,Home,True,5,23,50,29,60,7,18,53,1,0,62,227,560,0.5714285714285714,313,614,0.5097719869706839,92,154,581,0.5025817555938038,0.6363636363636364
12,2019-12-22-15-loyola-il,45.5,10,10.7,3,91.8,82.6,19,0.52,51,0.431,22,0.13699999999999998,7,0.857,6,5,200,96.7,14.8,4,14,59,,9.8,6,0.47100000000000003,24,0.375,9,46.0,23,0.5429999999999999,18.2,12,27,0.48100000000000004,13,0.545,6,"December 22, 2019",65.0,13,3.7,1,96.7,85.2,23,0.512,43,0.465,20,0.419,18,0.667,12,5,200,91.8,17.4,4,14,56,,11.5,7,0.349,15,0.267,4,54.0,27,0.5429999999999999,19.1,12,28,0.5710000000000001,16,0.615,8,"Joseph J. Gentile Center, Chicago, Illinois",LOYOLA-IL,Loyola (IL),60.9,Away,DAVIDSON,Davidson,Loyola (IL),mvc,12,False,True,True,Home,False,4,16,43,27,50,9,13,51,0,1,67,250,610,0.5745901639344262,342,674,0.5074183976261127,99,172,634,0.5055205047318612,0.6666666666666666
13,2019-12-30-20-valparaiso,71.4,15,3.2,1,90.0,81.3,26,0.47,50,0.42,21,0.6,30,0.633,19,5,200,94.3,22.9,8,12,66,,8.6,6,0.28,14,0.35700000000000004,5,50.7,34,0.514,17.1,13,36,0.444,16,0.643,9,"December 30, 2019",84.0,21,25.0,9,94.3,77.1,27,0.509,58,0.431,25,0.10300000000000001,6,0.667,4,7,200,90.0,18.8,6,23,63,,12.9,9,0.466,27,0.33299999999999996,9,49.3,33,0.518,19.8,15,31,0.516,16,0.5,7,"Athletics-Recreation Center, Valparaiso, Indiana",VALPARAISO,Valparaiso,69.6,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,13,False,False,False,Away,True,5,16,50,34,67,9,16,58,1,0,71,266,653,0.5704441041347627,369,724,0.5096685082872928,108,185,685,0.5065693430656935,0.6153846153846154
14,2020-01-04-20-loyola-il,59.1,13,13.2,5,98.4,85.2,23,0.52,51,0.431,22,0.11800000000000001,6,0.833,5,8,200,92.1,25.0,6,22,58,,4.8,3,0.451,23,0.391,9,56.9,29,0.539,23.0,16,28,0.46399999999999997,13,0.467,7,"January 4, 2020",50.0,11,7.1,2,92.1,75.0,18,0.479,48,0.45799999999999996,22,0.542,26,0.615,16,5,200,98.4,14.8,4,10,62,,14.3,9,0.20800000000000002,10,0.2,2,43.1,22,0.514,9.2,6,38,0.526,20,0.667,10,"Joseph J. Gentile Center, Chicago, Illinois",MISSOURI-STATE,Missouri State,63.1,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,14,True,False,True,Home,True,2,20,48,22,51,9,13,51,1,0,76,282,703,0.5633001422475107,403,791,0.5094816687737042,117,201,743,0.5067294751009421,0.6428571428571429
15,2020-01-07-21-drake,44.0,11,9.7,3,101.6,58.3,14,0.491,57,0.439,25,0.228,13,0.462,6,6,200,96.9,15.6,5,9,62,,17.2,11,0.368,21,0.28600000000000003,6,33.9,19,0.491,8.7,6,36,0.528,19,0.625,10,"January 7, 2020",65.4,17,19.4,7,96.9,84.4,27,0.565,54,0.48100000000000004,26,0.111,6,0.667,4,4,200,101.6,41.7,10,10,65,,6.3,4,0.426,23,0.391,9,66.1,37,0.5720000000000001,23.1,17,31,0.5479999999999999,17,0.75,12,"Knapp Center, Des Moines, Iowa",LOYOLA-IL,Loyola (IL),64.0,Home,DRAKE,Drake,Loyola (IL),mvc,15,False,False,False,Away,False,6,19,57,19,56,9,17,54,0,1,78,302,751,0.5579227696404794,425,842,0.5047505938242279,126,214,794,0.5075566750629723,0.6666666666666666
16,2020-01-11-16-loyola-il,22.2,4,2.9,1,127.9,88.2,15,0.435,46,0.391,18,0.261,12,0.33299999999999996,4,8,200,72.1,16.7,5,18,44,,11.5,7,0.413,19,0.21100000000000002,4,42.6,20,0.426,22.6,15,27,0.519,14,0.529,9,"January 11, 2020",48.4,15,14.8,4,72.1,83.3,25,0.75,44,0.705,31,0.4320000000000001,19,0.632,12,6,200,127.9,11.8,2,15,78,,8.2,5,0.22699999999999998,10,0.4,4,57.4,27,0.736,16.0,10,34,0.794,27,0.647,11,"Joseph J. Gentile Center, Chicago, Illinois",EVANSVILLE,Evansville,61.4,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,16,True,False,True,Home,True,4,27,44,27,47,4,14,46,1,0,84,321,808,0.5532178217821783,444,898,0.4944320712694877,135,231,848,0.5112028301886793,0.625
17,2020-01-16-20-loyola-il,52.6,10,8.3,3,106.7,87.5,21,0.39799999999999996,54,0.35200000000000004,19,0.09300000000000001,5,1.0,5,10,200,80.0,6.7,2,15,48,,6.7,4,0.48100000000000004,26,0.192,5,42.6,23,0.426,11.1,7,28,0.5,14,0.444,8,"January 16, 2020",69.2,18,14.3,4,80.0,93.3,28,0.604,48,0.542,26,0.188,9,0.667,6,6,200,106.7,12.5,3,10,64,,5.0,3,0.25,12,0.5,6,57.4,31,0.612,14.8,9,36,0.556,20,0.667,12,"Joseph J. Gentile Center, Chicago, Illinois",SOUTHERN-ILLINOIS,Southern Illinois,59.8,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,17,True,False,True,Home,True,6,20,48,31,54,5,14,54,1,0,88,348,852,0.5633802816901409,471,945,0.4984126984126984,139,245,894,0.5072706935123042,0.6470588235294118
18,2020-01-19-16-illinois-state,65.0,13,0.0,0,76.9,75.0,24,0.57,43,0.465,20,0.3720000000000001,16,0.813,13,6,200,95.4,8.3,2,10,62,,20.0,13,0.442,19,0.474,9,46.4,26,0.613,21.9,14,24,0.45799999999999996,11,0.684,13,"January 19, 2020",63.2,12,8.3,2,95.4,91.7,22,0.48,51,0.373,19,0.078,4,0.25,1,12,200,76.9,25.0,8,18,50,,12.3,8,0.627,32,0.344,11,53.6,30,0.473,29.4,22,19,0.42100000000000004,8,0.33299999999999996,6,"Redbird Arena, Normal, Illinois",ILLINOIS-STATE,Illinois State,64.8,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,18,False,False,False,Away,True,9,11,43,26,56,11,8,51,1,0,94,368,900,0.5655555555555556,502,999,0.5025025025025025,144,259,948,0.5010548523206751,0.6666666666666666
19,2020-01-22-20-loyola-il,52.4,11,0.0,0,127.1,64.7,11,0.49,49,0.429,21,0.22399999999999998,11,0.636,7,8,200,93.2,29.0,9,13,55,,5.1,3,0.408,20,0.3,6,41.7,20,0.507,20.6,14,29,0.517,15,0.556,10,"January 22, 2020",58.1,18,0.0,0,93.2,71.0,22,0.7609999999999999,46,0.674,31,0.174,8,0.625,5,6,200,127.1,35.3,6,12,75,,13.6,8,0.261,12,0.667,8,58.3,28,0.753,23.2,15,34,0.6759999999999999,23,0.7,14,"Joseph J. Gentile Center, Chicago, Illinois",INDIANA-STATE,Indiana State,59.0,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,19,True,False,True,Home,True,8,23,46,28,48,6,15,49,1,0,103,379,943,0.5657476139978791,528,1055,0.500473933649289,155,267,999,0.5,0.6842105263157895
