,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,LOYOLA-IL_homegame,LOYOLA-IL_homegame2,LOYOLA-IL_home,LOYOLA-IL_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
20,2020-01-26-16-northern-iowa,54.2,13,0.0,0,91.8,85.2,23,0.424,66,0.364,24,0.136,9,0.667,6,7,225,84.9,19.0,8,15,62,,12.3,9,0.39399999999999996,26,0.308,8,44.9,31,0.441,13.6,11,40,0.4,16,0.667,14,"January 26, 2020",41.7,10,15.0,6,84.9,81.0,34,0.539,51,0.47100000000000003,24,0.33299999999999996,17,0.706,12,3,225,91.8,14.8,4,11,67,,11.0,8,0.353,18,0.389,7,55.1,38,0.5670000000000001,22.5,17,33,0.515,17,0.85,17,"McLeod Center, Cedar Falls, Iowa",LOYOLA-IL,Loyola (IL),64.6,Home,NORTHERN-IOWA,Northern Iowa,Loyola (IL),mvc,20,False,False,False,Away,False,8,16,66,31,69,7,17,51,0,1,111,402,989,0.5748230535894844,556,1103,0.5040797824116047,161,282,1048,0.4995229007633588,0.7
21,2020-01-29-20-southern-illinois,50.0,12,0.0,0,104.6,83.3,20,0.491,54,0.444,24,0.204,11,0.909,10,8,200,96.9,14.8,4,16,63,,9.2,6,0.389,21,0.23800000000000002,5,47.1,24,0.532,15.8,11,33,0.5760000000000001,19,0.636,14,"January 29, 2020",54.5,12,9.1,3,96.9,85.2,23,0.578,45,0.489,22,0.444,20,0.8,16,10,200,104.6,16.7,4,15,68,,9.2,6,0.444,20,0.4,8,52.9,27,0.624,20.6,14,25,0.56,14,0.545,12,"The SIU Arena, Carbondale, Illinois",LOYOLA-IL,Loyola (IL),65.4,Home,SOUTHERN-ILLINOIS,Southern Illinois,Loyola (IL),mvc,21,False,False,False,Away,False,5,19,54,24,51,8,14,45,0,1,119,418,1055,0.5654028436018957,587,1172,0.5008532423208191,168,299,1099,0.5013648771610555,0.6666666666666666
22,2020-02-01-20-loyola-il,73.7,14,10.7,3,105.1,61.5,16,0.511,45,0.42200000000000004,19,0.111,5,1.0,5,8,200,86.4,17.4,4,23,51,,3.4,2,0.489,22,0.364,8,40.8,20,0.5379999999999999,26.5,17,23,0.478,11,0.652,15,"February 1, 2020",66.7,12,0.0,0,86.4,82.6,19,0.466,44,0.409,18,0.682,30,0.7,21,8,200,105.1,38.5,10,12,62,,20.3,12,0.364,16,0.313,5,59.2,29,0.532,13.6,9,28,0.46399999999999997,13,0.652,15,"Joseph J. Gentile Center, Chicago, Illinois",BRADLEY,Bradley,58.8,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,22,True,False,True,Home,True,5,13,44,29,49,8,11,45,1,0,124,437,1109,0.5617673579801623,611,1223,0.4995911692559281,176,313,1144,0.5043706293706294,0.6363636363636364
23,2020-02-05-18-indiana-state,60.0,9,2.9,1,119.3,65.4,17,0.3670000000000001,45,0.33299999999999996,15,0.244,11,0.545,6,9,200,68.4,12.5,4,12,39,,12.3,7,0.42200000000000004,19,0.158,3,36.2,21,0.38799999999999996,18.1,11,26,0.462,12,0.625,15,"February 5, 2020",51.7,15,19.2,5,68.4,87.5,28,0.632,53,0.547,29,0.057,3,0.33299999999999996,1,8,200,119.3,34.6,9,15,68,,8.8,5,0.34,18,0.5,9,63.8,37,0.625,18.1,12,35,0.5710000000000001,20,0.636,14,"Hulman Center, Terre Haute, Indiana",LOYOLA-IL,Loyola (IL),57.3,Home,INDIANA-STATE,Indiana State,Loyola (IL),mvc,23,False,False,False,Away,False,3,12,45,21,58,9,20,53,0,1,129,450,1153,0.5581092801387685,640,1272,0.5031446540880503,184,324,1189,0.5046257359125316,0.6521739130434783
24,2020-02-09-16-loyola-il,66.7,18,7.1,2,111.1,71.4,20,0.613,53,0.509,27,0.094,5,0.6,3,13,200,107.9,26.9,7,18,68,,12.7,8,0.45299999999999996,24,0.45799999999999996,11,50.0,27,0.614,23.5,17,29,0.552,16,0.48,12,"February 9, 2020",74.1,20,3.4,1,107.9,73.1,19,0.6629999999999999,46,0.5870000000000001,27,0.457,21,0.429,9,9,200,111.1,28.6,8,12,70,,14.3,9,0.391,18,0.389,7,50.0,27,0.625,19.1,13,28,0.7140000000000001,20,0.64,16,"Joseph J. Gentile Center, Chicago, Illinois",VALPARAISO,Valparaiso,63.2,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,24,True,False,True,Home,True,7,20,46,27,54,11,16,53,1,0,132,462,1198,0.5509181969949917,661,1330,0.4969924812030075,193,344,1242,0.5100644122383253,0.625
25,2020-02-12-19-evansville,29.6,8,0.0,0,100.0,84.0,21,0.535,57,0.474,27,0.33299999999999996,19,0.632,12,9,200,110.6,25.0,8,21,73,,13.6,9,0.281,16,0.43799999999999994,7,50.9,29,0.5529999999999999,12.1,9,41,0.488,20,0.654,17,"February 12, 2020",54.5,12,17.1,7,110.6,75.0,24,0.605,43,0.512,22,0.535,23,0.609,14,17,200,100.0,16.0,4,20,66,,4.5,3,0.442,19,0.42100000000000004,8,49.1,28,0.612,22.0,15,24,0.583,14,0.34600000000000003,9,"Ford Center, Evansville, Indiana",EVANSVILLE,Evansville,66.0,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,25,False,False,False,Away,True,7,20,57,29,57,8,14,43,1,0,139,482,1244,0.555064308681672,688,1384,0.4971098265895954,204,360,1295,0.5142857142857142,0.64
26,2020-02-15-20-loyola-il,53.3,16,6.5,3,110.8,80.0,28,0.5539999999999999,65,0.462,30,0.031,2,0.5,1,4,225,98.6,18.2,6,14,73,,5.4,4,0.4920000000000001,32,0.375,12,50.0,34,0.5529999999999999,19.5,16,33,0.545,18,0.846,22,"February 15, 2020",50.0,16,12.1,4,98.6,81.8,27,0.5539999999999999,65,0.4920000000000001,32,0.262,17,0.588,10,9,225,110.8,20.0,7,7,82,,13.5,10,0.292,19,0.42100000000000004,8,50.0,34,0.561,7.6,6,46,0.522,24,0.667,18,"Joseph J. Gentile Center, Chicago, Illinois",NORTHERN-IOWA,Northern Iowa,65.8,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,26,True,False,True,Home,True,8,24,65,34,68,12,18,65,1,0,146,502,1301,0.5541890853189854,717,1441,0.4975711311589174,212,374,1338,0.5171898355754858,0.6538461538461539
27,2020-02-19-20-loyola-il,50.0,12,10.0,3,131.3,66.7,16,0.569,51,0.47100000000000003,24,0.235,12,0.917,11,19,200,107.8,25.9,7,21,69,,9.4,6,0.47100000000000003,24,0.41700000000000004,10,45.1,23,0.608,19.9,14,27,0.519,14,0.29600000000000004,8,"February 19, 2020",77.4,24,0.0,0,107.8,74.1,20,0.698,53,0.585,31,0.34,18,0.556,10,9,200,131.3,33.3,8,16,84,,7.8,5,0.434,23,0.522,12,54.9,28,0.682,15.3,11,30,0.633,19,0.679,19,"Joseph J. Gentile Center, Chicago, Illinois",ILLINOIS-STATE,Illinois State,64.1,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,27,True,False,True,Home,True,12,19,53,28,51,10,14,51,1,0,154,526,1366,0.5541727672035139,751,1509,0.4976805831676607,224,392,1403,0.518888096935139,0.6666666666666666
28,2020-02-22-15-missouri-state,45.0,9,5.4,2,107.2,66.7,22,0.55,40,0.5,20,0.75,30,0.6,18,10,200,89.9,11.1,3,26,62,,5.8,4,0.275,11,0.364,4,41.7,25,0.5710000000000001,24.2,17,29,0.552,16,0.655,19,"February 22, 2020",45.8,11,13.8,4,89.9,88.9,24,0.474,58,0.414,24,0.44799999999999995,26,0.731,19,15,200,107.2,33.3,11,28,74,,11.6,8,0.36200000000000004,21,0.33299999999999996,7,58.3,35,0.526,13.7,11,37,0.45899999999999996,17,0.483,14,"JQH Arena, Springfield, Missouri",LOYOLA-IL,Loyola (IL),69.3,Home,MISSOURI-STATE,Missouri State,Loyola (IL),mvc,28,False,False,False,Away,False,4,16,40,25,60,7,17,58,0,1,166,545,1419,0.5595489781536294,779,1560,0.4993589743589744,234,406,1454,0.5206327372764786,0.6785714285714286
29,2020-02-25-20-loyola-il,54.5,12,17.1,7,92.8,83.3,25,0.5539999999999999,46,0.478,22,0.261,12,0.75,9,12,200,87.0,8.7,2,23,60,,10.1,7,0.304,14,0.5,7,50.9,27,0.58,28.1,20,32,0.469,15,0.6,18,"February 25, 2020",54.5,12,3.1,1,87.0,91.3,21,0.479,47,0.46799999999999997,22,0.66,31,0.613,19,10,200,92.8,16.7,5,11,64,,15.9,11,0.128,6,0.16699999999999998,1,49.1,26,0.518,15.4,11,41,0.512,21,0.667,20,"Joseph J. Gentile Center, Chicago, Illinois",DRAKE,Drake,68.7,Home,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,29,True,False,True,Home,True,1,21,47,26,53,7,15,46,1,0,170,561,1459,0.5592871830020562,804,1620,0.4962962962962963,241,423,1512,0.5188492063492064,0.6551724137931034
30,2020-02-29-14-bradley,54.2,13,3.2,1,103.1,80.0,24,0.529,52,0.462,24,0.327,17,0.706,12,10,200,104.7,25.9,7,12,67,,10.9,7,0.365,19,0.368,7,54.4,31,0.5579999999999999,16.8,12,33,0.515,17,0.677,21,"February 29, 2020",66.7,16,24.2,8,104.7,74.1,20,0.5479999999999999,52,0.462,24,0.231,12,0.75,9,11,200,103.1,20.0,6,13,66,,9.4,6,0.40399999999999997,21,0.429,9,45.6,26,0.5720000000000001,16.1,11,31,0.484,15,0.645,20,"Carver Arena, Peoria, Illinois",BRADLEY,Bradley,63.9,Away,LOYOLA-IL,Loyola (IL),Loyola (IL),mvc,30,False,False,False,Away,True,7,17,52,31,57,9,15,52,1,0,171,582,1506,0.5567729083665338,830,1673,0.4961147638971906,248,438,1558,0.5198973042362003,0.6666666666666666
31,2020-03-06-19-loyola-il,58.6,17,14.6,6,97.3,77.1,27,0.507,67,0.433,29,0.10400000000000001,7,0.857,6,15,225,98.7,27.8,10,22,74,,6.7,5,0.40299999999999997,27,0.37,10,52.1,37,0.526,15.6,13,40,0.475,19,0.545,18,"March 6, 2020",46.2,12,2.5,1,98.7,72.2,26,0.509,58,0.44799999999999995,26,0.466,27,0.519,14,11,225,97.3,22.9,8,12,73,,12.0,9,0.293,17,0.41200000000000003,7,47.9,34,0.515,15.7,13,41,0.46299999999999997,19,0.6559999999999999,21,"Scottrade Center, St. Louis, Missouri",LOYOLA-IL,Loyola (IL),66.3,Away,VALPARAISO,Valparaiso,Loyola (IL),mvc,31,False,True,True,Home,False,7,19,58,34,71,10,19,67,0,1,178,599,1558,0.5558408215661104,861,1730,0.4976878612716763,257,453,1610,0.5208074534161491,0.6774193548387096
