,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,ROBERT-MORRIS_homegame,ROBERT-MORRIS_homegame2,ROBERT-MORRIS_home,ROBERT-MORRIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-07-19-florida-gulf-coast,60.0,12,4.5,1,89.4,75.8,25,0.462,52,0.385,20,0.442,23,0.696,16,8,200,97.0,23.3,7,14,64,,7.6,5,0.385,20,0.4,8,50.8,32,0.509,16.2,12,32,0.375,12,0.273,3,"December 7, 2019",77.3,17,18.8,6,97.0,76.7,23,0.456,57,0.386,22,0.158,9,0.778,7,10,200,89.4,24.2,8,21,59,,6.1,4,0.614,35,0.22899999999999998,8,49.2,31,0.48100000000000004,15.3,11,22,0.636,14,0.16699999999999998,2,"Alico Arena, Fort Myers, Florida",FLORIDA-GULF-COAST,Florida Gulf Coast,66.1,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,10,False,False,False,Away,True,8,12,52,32,63,8,14,57,1,0,84,173,636,0.470125786163522,315,646,0.4876160990712074,61,196,533,0.5393996247654784,0.2
11,2019-12-17-19-robert-morris,44.4,12,3.6,1,110.7,75.0,24,0.5529999999999999,57,0.474,27,0.386,22,0.727,16,5,200,105.3,26.7,8,19,79,,9.3,7,0.439,25,0.36,9,51.6,32,0.586,19.4,16,32,0.563,18,0.583,7,"December 17, 2019",57.1,16,6.3,2,105.3,73.3,22,0.5760000000000001,59,0.475,28,0.35600000000000004,21,0.7140000000000001,15,8,200,110.7,25.0,8,18,83,,10.7,8,0.525,31,0.387,12,48.4,30,0.602,17.0,14,28,0.5710000000000001,16,0.33299999999999996,4,"UPMC Events Center, Moon, Pennsylvania",CENTRAL-MICHIGAN,Central Michigan,75.2,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,11,True,False,True,Home,True,12,16,59,30,62,9,18,57,1,0,92,185,688,0.4694767441860465,347,709,0.4894217207334274,69,210,590,0.5313559322033898,0.2727272727272727
12,2019-12-21-15-nevada-las-vegas,91.3,21,2.2,1,132.8,40.7,11,0.606,47,0.489,23,0.34,16,0.75,12,9,200,113.1,25.0,6,24,69,,8.2,5,0.532,25,0.44,11,33.3,17,0.632,16.9,11,22,0.545,12,0.308,4,"December 21, 2019",51.6,16,4.5,1,113.1,75.0,18,0.58,56,0.5539999999999999,31,0.41100000000000003,23,0.696,16,8,200,132.8,59.3,16,18,81,,9.8,6,0.196,11,0.273,3,66.7,34,0.605,14.3,11,45,0.622,28,0.385,5,"Thomas & Mack Center, Las Vegas, Nevada",ROBERT-MORRIS,Robert Morris,60.8,Home,NEVADA-LAS-VEGAS,UNLV,Robert Morris,northeast,12,False,False,False,Away,False,11,12,47,17,51,3,28,56,0,1,104,201,747,0.4779116465863454,377,771,0.4889753566796368,78,228,647,0.5332302936630603,0.3333333333333333
13,2020-01-02-19-central-connecticut-state,71.9,23,2.5,1,102.6,82.4,28,0.639,61,0.525,32,0.23,14,0.7859999999999999,11,9,200,117.1,32.0,8,15,89,,5.3,4,0.4920000000000001,30,0.467,14,61.0,36,0.6579999999999999,18.3,15,31,0.581,18,0.35700000000000004,5,"January 2, 2020",46.4,13,16.1,5,117.1,68.0,17,0.5,63,0.444,28,0.302,19,0.789,15,13,200,102.6,17.6,6,18,78,,9.2,7,0.365,23,0.304,7,39.0,23,0.541,14.4,12,40,0.525,21,0.071,1,"Detrick Gymnasium, New Britain, Connecticut",CENTRAL-CONNECTICUT-STATE,Central Connecticut,76.3,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,13,False,False,False,Away,True,14,18,61,36,59,7,21,63,1,0,115,213,794,0.4855163727959698,394,822,0.4793187347931874,81,256,703,0.5369843527738265,0.3076923076923077
14,2020-01-04-16-merrimack,69.2,18,3.1,1,85.3,81.5,22,0.526,57,0.456,26,0.228,13,0.6920000000000001,9,9,200,101.5,25.8,8,15,69,,11.8,8,0.281,16,0.5,8,51.7,30,0.546,17.2,13,41,0.439,18,0.4,6,"January 4, 2020",59.1,13,7.3,3,101.5,74.2,23,0.51,48,0.45799999999999996,22,0.292,14,0.643,9,8,200,85.3,18.5,5,16,58,,10.3,7,0.33299999999999996,16,0.313,5,48.3,28,0.531,26.0,19,32,0.531,17,0.467,7,"Hammel Court, North Andover, Massachusetts",MERRIMACK,Merrimack,68.4,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,14,False,False,False,Away,True,8,18,57,30,58,5,17,48,1,0,129,231,855,0.4964912280701754,430,881,0.4880817253121453,88,277,766,0.5339425587467362,0.35714285714285715
15,2020-01-09-19-robert-morris,45.0,9,10.0,4,114.7,80.8,21,0.397,58,0.345,20,0.155,9,0.667,6,7,200,76.5,25.0,9,13,52,,5.9,4,0.414,24,0.25,6,48.4,30,0.418,17.3,13,34,0.41200000000000003,14,0.5,7,"January 9, 2020",53.1,17,8.8,3,76.5,75.0,27,0.619,59,0.542,32,0.203,12,0.41700000000000004,5,9,200,114.7,19.2,5,10,78,,5.9,4,0.322,19,0.474,9,51.6,32,0.603,13.5,10,40,0.575,23,0.43799999999999994,7,"UPMC Events Center, Moon, Pennsylvania",ST-FRANCIS-NY,St. Francis (NY),68.0,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,15,True,False,True,Home,True,9,23,59,32,62,6,14,58,1,0,137,249,912,0.4983552631578948,460,939,0.4898828541001065,93,294,814,0.5325552825552825,0.4
16,2020-01-11-13-robert-morris,41.7,10,7.1,2,136.2,78.6,22,0.48200000000000004,56,0.429,24,0.304,17,0.47100000000000003,8,11,200,89.9,38.2,13,20,62,,4.3,3,0.33899999999999997,19,0.316,6,56.5,35,0.484,21.1,17,37,0.486,18,0.267,4,"January 11, 2020",69.7,23,10.8,4,89.9,61.8,21,0.6859999999999999,59,0.5589999999999999,33,0.305,18,0.722,13,9,200,136.2,21.4,6,19,94,,8.7,6,0.525,31,0.484,15,43.5,27,0.696,10.7,8,28,0.643,18,0.47100000000000003,8,"UPMC Events Center, Moon, Pennsylvania",WAGNER,Wagner,68.8,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,16,True,False,True,Home,True,15,18,59,27,62,6,18,56,1,0,146,272,971,0.505664263645726,492,1001,0.4915084915084915,99,308,872,0.5235091743119266,0.4375
17,2020-01-18-16-robert-morris,38.9,7,6.5,2,81.7,82.1,23,0.5,40,0.45,18,0.45,18,0.722,13,8,200,88.3,12.0,3,17,53,,11.7,7,0.375,15,0.267,4,49.1,26,0.546,21.3,13,25,0.56,14,0.579,11,"January 18, 2020",78.9,15,0.0,0,88.3,88.0,22,0.435,46,0.413,19,0.261,12,0.75,9,10,200,81.7,17.9,5,18,49,,1.7,1,0.326,15,0.133,2,50.9,27,0.474,22.6,15,31,0.5479999999999999,17,0.444,8,"UPMC Events Center, Moon, Pennsylvania",ROBERT-MORRIS,Robert Morris,60.1,Away,MERRIMACK,Merrimack,Robert Morris,northeast,17,False,True,True,Home,False,2,17,46,27,53,4,14,40,0,1,161,290,1030,0.5160194174757281,519,1063,0.4882408278457197,105,326,928,0.5210129310344828,0.4705882352941176
18,2020-01-20-17-robert-morris,35.0,7,12.1,4,100.0,65.4,17,0.371,58,0.345,20,0.345,20,0.6,12,9,200,82.1,35.1,13,15,55,,9.0,6,0.36200000000000004,21,0.14300000000000002,3,47.6,30,0.40700000000000003,16.3,13,37,0.45899999999999996,17,0.526,10,"January 20, 2020",60.7,17,13.5,5,82.1,64.9,24,0.565,54,0.519,28,0.14800000000000002,8,0.75,6,10,200,100.0,34.6,9,20,67,,7.5,5,0.389,21,0.23800000000000002,5,52.4,33,0.58,22.8,17,33,0.6970000000000001,23,0.474,9,"UPMC Events Center, Moon, Pennsylvania",SACRED-HEART,Sacred Heart,66.7,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,18,True,False,True,Home,True,5,23,54,33,63,3,17,58,1,0,163,307,1076,0.5125464684014871,546,1116,0.48924731182795705,109,340,968,0.5201446280991735,0.4444444444444444
19,2020-01-23-19-st-francis-ny,54.2,13,2.4,1,113.0,81.5,22,0.413,63,0.381,24,0.159,10,0.5,5,11,200,82.6,21.1,8,10,57,,7.2,5,0.28600000000000003,18,0.222,4,46.2,30,0.42100000000000004,11.8,9,45,0.444,20,0.45,9,"January 23, 2020",60.0,18,11.1,5,82.6,78.9,30,0.589,56,0.536,30,0.268,15,0.8,12,10,200,113.0,18.5,5,10,78,,4.3,3,0.268,15,0.4,6,53.8,35,0.618,14.9,11,41,0.585,24,0.474,9,"Pope Physical Education Center, Brooklyn Heights, New York",ROBERT-MORRIS,Robert Morris,68.9,Home,ST-FRANCIS-NY,St. Francis (NY),Robert Morris,northeast,19,False,False,False,Away,False,4,20,63,30,65,6,24,56,0,1,168,330,1130,0.5150442477876106,579,1179,0.4910941475826972,112,357,1026,0.5116959064327485,0.4736842105263158
20,2020-01-25-16-long-island-university,60.0,15,6.1,2,91.7,77.8,28,0.474,58,0.431,25,0.379,22,0.727,16,11,200,98.6,28.6,10,17,71,,6.9,5,0.32799999999999996,19,0.263,5,53.5,38,0.519,16.1,13,39,0.513,20,0.47600000000000003,10,"January 25, 2020",58.3,14,5.1,2,98.6,71.4,25,0.474,58,0.414,24,0.276,16,0.688,11,11,200,91.7,22.2,8,17,66,,5.6,4,0.431,25,0.28,7,46.5,33,0.503,18.7,15,33,0.515,17,0.47600000000000003,10,"Steinberg Wellness Center, Brooklyn, New York",LONG-ISLAND-UNIVERSITY,LIU,72.0,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,20,False,False,False,Away,True,5,20,58,38,71,7,17,58,1,0,172,350,1193,0.509639564124057,609,1244,0.4895498392282958,118,381,1082,0.5157116451016636,0.45
21,2020-01-30-19-robert-morris,52.9,9,13.9,5,90.1,76.5,26,0.34700000000000003,59,0.28800000000000003,17,0.305,18,0.722,13,11,200,76.1,27.9,12,13,54,,8.5,6,0.475,28,0.25,7,49.4,38,0.4,18.3,15,31,0.32299999999999995,10,0.47600000000000003,10,"January 30, 2020",72.7,16,3.2,1,76.1,72.1,31,0.45799999999999996,59,0.373,22,0.237,14,0.7140000000000001,10,11,200,90.1,23.5,8,14,64,,9.9,7,0.39,23,0.435,10,50.6,39,0.48700000000000004,16.6,13,36,0.33299999999999996,12,0.5,11,"UPMC Events Center, Moon, Pennsylvania",BRYANT,Bryant,70.6,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,21,True,False,True,Home,True,10,12,59,39,77,7,10,59,1,0,177,370,1251,0.5079936051159073,647,1315,0.4920152091254753,125,398,1140,0.5135964912280702,0.4761904761904762
22,2020-02-01-13-robert-morris,38.1,8,7.7,2,103.2,61.8,21,0.45299999999999996,53,0.396,21,0.20800000000000002,11,0.818,9,22,200,91.9,16.1,5,23,57,,11.3,7,0.34,18,0.33299999999999996,6,40.0,26,0.489,13.5,9,35,0.429,15,0.083,2,"February 1, 2020",81.0,17,8.6,3,91.9,83.9,26,0.48,51,0.41200000000000003,21,0.49,25,0.6,15,11,200,103.2,38.2,13,13,64,,6.5,4,0.49,25,0.28,7,60.0,39,0.509,16.2,12,26,0.5379999999999999,14,0.522,12,"UPMC Events Center, Moon, Pennsylvania",CENTRAL-CONNECTICUT-STATE,Central Connecticut,62.1,Home,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,22,True,False,True,Home,True,7,14,51,39,65,6,15,53,1,0,187,382,1310,0.5057251908396947,686,1392,0.49281609195402293,132,408,1199,0.5054211843202668,0.5
23,2020-02-06-19-wagner,70.0,14,12.0,3,95.4,61.5,8,0.49,49,0.408,20,0.5710000000000001,28,0.679,19,11,200,103.1,27.3,9,12,67,,20.0,13,0.469,23,0.348,8,37.0,17,0.5379999999999999,15.2,11,26,0.462,12,0.542,13,"February 6, 2020",54.2,13,15.4,4,103.1,72.7,24,0.6829999999999999,41,0.585,24,0.146,6,1.0,6,16,200,95.4,38.5,5,20,62,,9.2,6,0.39,16,0.5,8,63.0,29,0.7070000000000001,37.3,26,25,0.64,16,0.23800000000000002,5,"Spiro Sports Center, Staten Island, New York",WAGNER,Wagner,64.6,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,23,False,False,False,Away,True,8,12,49,17,46,8,16,41,1,0,194,396,1361,0.5047759000734754,725,1457,0.4975978037062457,138,423,1252,0.5031948881789138,0.5217391304347826
24,2020-02-08-15-sacred-heart,78.3,18,0.0,0,85.3,80.0,24,0.48200000000000004,55,0.418,23,0.23600000000000002,13,0.615,8,11,200,89.7,15.2,5,19,61,,5.9,4,0.309,17,0.41200000000000003,7,46.0,29,0.499,16.5,12,38,0.42100000000000004,16,0.56,14,"February 8, 2020",44.4,8,18.4,7,89.7,84.8,28,0.43,50,0.36,18,0.34,17,0.882,15,11,200,85.3,20.0,6,19,58,,5.9,4,0.36,18,0.389,7,54.0,34,0.499,21.8,16,32,0.344,11,0.56,14,"William H. Pitt Center, Fairfield, Connecticut",SACRED-HEART,Sacred Heart,68.1,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,24,False,False,False,Away,True,7,16,55,29,63,7,11,50,1,0,202,408,1410,0.5042553191489362,742,1503,0.4936793080505656,146,439,1293,0.5088940448569219,0.5416666666666666
25,2020-02-13-19-mount-st-marys,63.3,19,8.8,3,95.2,77.4,24,0.602,59,0.508,30,0.18600000000000005,11,0.545,6,11,200,122.2,28.6,8,20,77,,3.2,2,0.33899999999999997,20,0.55,11,54.2,32,0.599,11.1,8,39,0.48700000000000004,19,0.5770000000000001,15,"February 13, 2020",65.0,13,7.7,3,122.2,71.4,20,0.46,50,0.4,20,0.38,19,0.737,14,15,200,95.2,22.6,7,12,60,,0.0,0,0.32,16,0.375,6,45.8,27,0.508,13.4,9,34,0.41200000000000003,14,0.4,10,"Knott Arena, Emmitsburg, Maryland",MOUNT-ST-MARYS,Mount St. Mary's,62.6,Away,ROBERT-MORRIS,Robert Morris,Robert Morris,northeast,25,False,False,False,Away,True,11,19,59,32,59,6,14,50,1,0,209,424,1465,0.5034129692832765,771,1566,0.4923371647509578,153,450,1343,0.5059568131049889,0.56
26,2020-02-15-13-robert-morris,33.3,9,2.9,1,109.2,76.7,23,0.534,58,0.466,27,0.22399999999999998,13,0.769,10,16,200,110.8,19.4,6,15,72,,7.7,5,0.414,24,0.33299999999999996,8,47.5,29,0.561,11.2,8,34,0.5589999999999999,19,0.33299999999999996,8,"February 15, 2020",60.0,15,5.9,2,110.8,80.6,25,0.5,56,0.446,25,0.28600000000000003,16,0.938,15,12,200,109.2,23.3,7,17,71,,9.2,6,0.375,21,0.28600000000000003,6,52.5,32,0.5579999999999999,11.3,8,35,0.5429999999999999,19,0.556,15,"UPMC Events Center, Moon, Pennsylvania",ROBERT-MORRIS,Robert Morris,65.4,Away,FAIRLEIGH-DICKINSON,Fairleigh Dickinson,Robert Morris,northeast,26,False,True,True,Home,False,6,19,56,32,61,8,19,58,0,1,220,443,1524,0.5072178477690289,803,1625,0.4941538461538462,159,464,1393,0.5043072505384063,0.5769230769230769
