,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,NORTHEASTERN_homegame,NORTHEASTERN_homegame2,NORTHEASTERN_home,NORTHEASTERN_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-19-eastern-michigan,55.6,10,11.8,4,98.4,70.4,19,0.4270000000000001,55,0.327,18,0.2,11,0.727,8,6,200,90.2,42.9,15,18,55,,9.8,6,0.564,31,0.355,11,54.8,34,0.457,17.8,13,24,0.292,7,0.455,5,"December 17, 2019",23.8,5,16.7,4,90.2,57.1,20,0.49,48,0.43799999999999994,21,0.41700000000000004,20,0.65,13,1,200,98.4,29.6,8,15,60,,11.5,7,0.292,14,0.35700000000000004,5,45.2,28,0.522,19.8,14,34,0.47100000000000003,16,0.9,9,"Convocation Center, Ypsilanti, Michigan",NORTHEASTERN,Northeastern,60.9,Home,EASTERN-MICHIGAN,Eastern Michigan,Northeastern,colonial,10,False,False,False,Away,False,11,7,55,34,62,5,16,48,0,1,94,170,525,0.5923809523809523,269,541,0.4972273567467653,69,181,542,0.5249077490774908,0.5
11,2019-12-19-19-detroit-mercy,76.0,19,5.6,2,91.0,78.8,26,0.518,57,0.439,25,0.298,17,0.882,15,6,200,110.4,36.7,11,22,74,,9.0,6,0.42100000000000004,24,0.375,9,58.7,37,0.569,14.6,11,33,0.485,16,0.5,6,"December 19, 2019",31.6,6,3.0,1,110.4,63.3,19,0.389,54,0.35200000000000004,19,0.5,27,0.7040000000000001,19,10,200,91.0,21.2,7,18,61,,6.0,4,0.33299999999999996,18,0.222,4,41.3,26,0.456,12.0,9,36,0.41700000000000004,15,0.091,1,"Calihan Hall, Detroit, Michigan",DETROIT-MERCY,Detroit,67.0,Away,NORTHEASTERN,Northeastern,Northeastern,colonial,11,False,False,False,Away,True,9,16,57,37,63,4,15,54,1,0,105,177,580,0.5767241379310345,303,603,0.5024875621890548,74,197,590,0.5220338983050847,0.4545454545454545
12,2019-12-28-14-towson,40.9,9,2.6,1,66.2,91.2,31,0.47200000000000003,53,0.415,22,0.245,13,0.846,11,6,200,89.7,15.6,5,16,61,,8.8,6,0.377,20,0.3,6,54.5,36,0.515,18.1,13,33,0.485,16,0.5379999999999999,7,"December 28, 2019",47.1,8,9.1,3,89.7,84.4,27,0.35,50,0.34,17,0.3,15,0.667,10,7,200,66.2,8.8,3,14,45,,5.9,4,0.22,11,0.091,1,45.5,30,0.39399999999999996,20.9,15,39,0.41,16,0.462,6,"SECU Arena, Towson, Maryland",TOWSON,Towson,68.2,Away,NORTHEASTERN,Northeastern,Northeastern,colonial,12,False,False,False,Away,True,6,16,53,36,66,1,16,50,1,0,114,193,637,0.5714285714285714,340,666,0.5105105105105106,78,212,644,0.5108695652173914,0.5
13,2019-12-30-19-james-madison,74.2,23,2.2,1,94.7,86.8,33,0.607,61,0.508,31,0.344,21,0.667,14,6,200,115.8,22.6,7,18,88,,7.9,6,0.508,31,0.387,12,58.0,40,0.62,13.5,11,30,0.633,19,0.5710000000000001,8,"December 30, 2019",39.3,11,3.3,1,115.8,77.4,24,0.484,61,0.45899999999999996,28,0.377,23,0.565,13,6,200,94.7,13.2,5,18,72,,3.9,3,0.24600000000000002,15,0.2,3,42.0,29,0.501,12.3,10,46,0.5429999999999999,25,0.5379999999999999,7,"JMU Convocation Center, Harrisonburg, Virginia",JAMES-MADISON,James Madison,76.0,Away,NORTHEASTERN,Northeastern,Northeastern,colonial,13,False,False,False,Away,True,12,19,61,40,69,3,25,61,1,0,120,209,690,0.5637681159420289,376,732,0.5136612021857924,79,228,694,0.4992795389048991,0.5384615384615384
14,2020-01-02-19-northeastern,40.7,11,0.0,0,116.7,96.3,26,0.542,59,0.45799999999999996,27,0.136,8,0.5,4,11,200,103.0,26.7,8,14,68,,0.0,0,0.45799999999999996,27,0.37,10,59.6,34,0.541,15.0,11,32,0.531,17,0.267,4,"January 2, 2020",42.9,12,9.4,3,103.0,73.3,22,0.58,56,0.5,28,0.268,15,0.8,12,6,200,116.7,3.7,1,10,77,,13.6,9,0.35700000000000004,20,0.45,9,40.4,23,0.61,7.4,5,36,0.528,19,0.6,9,"Matthews Arena, Boston, Massachusetts",ELON,Elon,66.5,Home,NORTHEASTERN,Northeastern,Northeastern,colonial,14,True,False,True,Home,True,9,19,56,23,57,10,17,59,1,0,132,228,751,0.5672436750998668,416,801,0.519350811485643,82,253,755,0.4980132450331126,0.5714285714285714
15,2020-01-04-16-northeastern,37.9,11,4.7,2,97.0,83.9,26,0.613,53,0.547,29,0.038,2,0.5,1,5,200,100.0,28.0,7,11,66,,3.0,2,0.34,18,0.389,7,58.9,33,0.612,24.0,17,35,0.629,22,0.688,11,"January 4, 2020",40.7,11,5.7,2,100.0,72.0,18,0.484,62,0.435,27,0.081,5,0.8,4,7,200,97.0,16.1,5,12,64,,16.7,11,0.306,19,0.316,6,41.1,23,0.4970000000000001,11.1,8,43,0.488,21,0.562,9,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,65.7,Away,WILLIAM-MARY,William & Mary,Northeastern,colonial,15,False,True,True,Home,False,6,21,62,23,56,7,22,53,0,1,141,247,807,0.5681536555142503,439,858,0.5116550116550117,92,270,814,0.5012285012285013,0.6
16,2020-01-09-20-northeastern,23.3,7,0.0,0,107.5,68.0,17,0.593,54,0.556,30,0.24100000000000002,13,0.769,10,5,200,110.4,23.1,6,11,74,,13.4,9,0.24100000000000002,13,0.308,4,45.1,23,0.615,17.9,13,41,0.634,26,0.722,13,"January 9, 2020",64.3,18,0.0,0,110.4,76.9,20,0.57,57,0.491,28,0.14,8,0.875,7,8,200,107.5,32.0,8,17,72,,11.9,8,0.35100000000000003,20,0.45,9,54.9,28,0.5920000000000001,18.8,14,37,0.514,19,0.529,9,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,67.0,Away,HOFSTRA,Hofstra,Northeastern,colonial,16,False,True,True,Home,False,9,19,57,28,51,4,26,54,0,1,147,268,869,0.5621403912543153,462,914,0.5054704595185996,99,292,867,0.5080738177623991,0.5625
17,2020-01-16-19-college-of-charleston,50.0,14,5.7,2,107.0,82.8,24,0.586,58,0.483,28,0.207,12,0.917,11,8,200,111.3,16.7,5,15,79,,12.7,9,0.44799999999999995,26,0.462,12,49.2,29,0.62,15.9,12,32,0.5,16,0.556,10,"January 16, 2020",55.6,15,9.4,3,111.3,83.3,25,0.561,57,0.474,27,0.263,15,0.8,12,8,200,107.0,17.2,5,14,76,,12.7,9,0.386,22,0.455,10,50.8,30,0.593,17.0,13,35,0.486,17,0.579,11,"TD Arena, Charleston, South Carolina",COLLEGE-OF-CHARLESTON,College of Charleston,71.4,Away,NORTHEASTERN,Northeastern,Northeastern,colonial,17,False,False,False,Away,True,12,16,58,29,59,10,17,57,1,0,156,287,926,0.562634989200864,490,965,0.5077720207253886,103,318,921,0.5130293159609121,0.5294117647058824
18,2020-01-18-19-north-carolina-wilmington,23.1,6,0.0,0,102.7,84.8,28,0.47600000000000003,63,0.413,26,0.349,22,0.636,14,9,225,100.0,25.6,10,22,74,,9.5,7,0.46,29,0.276,8,52.8,38,0.504,12.1,10,34,0.529,18,0.526,10,"January 18, 2020",31.0,9,5.9,2,100.0,74.4,29,0.5529999999999999,57,0.509,29,0.35100000000000003,20,0.65,13,15,225,102.7,15.2,5,23,76,,2.7,2,0.263,15,0.33299999999999996,5,47.2,34,0.5710000000000001,16.5,13,42,0.5710000000000001,24,0.28600000000000003,6,"Trask Coliseum, Wilmington, North Carolina",NORTHEASTERN,Northeastern,65.8,Home,NORTH-CAROLINA-WILMINGTON,UNC Wilmington,Northeastern,colonial,18,False,False,False,Away,False,8,18,63,38,72,5,24,57,0,1,168,303,984,0.5640243902439024,519,1024,0.5068359375,113,335,978,0.5158486707566462,0.5555555555555556
19,2020-01-23-19-northeastern,43.8,7,0.0,0,130.8,73.1,19,0.38799999999999996,49,0.327,16,0.327,16,0.875,14,9,200,80.0,21.2,7,17,52,,4.6,3,0.38799999999999996,19,0.316,6,44.1,26,0.45899999999999996,22.2,16,30,0.33299999999999996,10,0.5710000000000001,12,"January 23, 2020",50.0,16,10.0,3,80.0,78.8,26,0.629,58,0.552,32,0.24100000000000002,14,0.857,12,9,200,130.8,26.9,7,20,85,,13.8,9,0.293,17,0.529,9,55.9,33,0.657,8.6,6,41,0.561,23,0.55,11,"Matthews Arena, Boston, Massachusetts",DREXEL,Drexel,64.6,Home,NORTHEASTERN,Northeastern,Northeastern,colonial,19,True,False,True,Home,True,9,23,58,33,59,6,10,49,1,0,176,321,1047,0.5587392550143266,557,1096,0.5082116788321168,118,359,1035,0.5178743961352656,0.5263157894736842
20,2020-01-25-12-northeastern,40.7,11,5.9,2,110.4,88.5,23,0.622,49,0.551,27,0.408,20,0.75,15,7,200,113.4,20.8,5,16,76,,9.0,6,0.49,24,0.292,7,56.0,28,0.65,16.0,11,25,0.8,20,0.682,15,"January 25, 2020",48.1,13,0.0,0,113.4,79.2,19,0.555,55,0.491,27,0.273,15,0.867,13,10,200,110.4,11.5,3,20,74,,11.9,8,0.382,21,0.33299999999999996,7,44.0,22,0.596,15.2,11,34,0.588,20,0.524,11,"Matthews Arena, Boston, Massachusetts",NORTHEASTERN,Northeastern,67.3,Away,DELAWARE,Delaware,Northeastern,colonial,20,False,True,True,Home,False,7,20,55,22,50,7,20,49,0,1,185,344,1105,0.5624434389140271,590,1155,0.5108225108225108,124,369,1084,0.5119926199261993,0.55
21,2020-01-30-19-william-mary,41.7,10,2.9,1,89.4,76.7,23,0.49,52,0.462,24,0.26899999999999996,14,0.5,7,11,200,87.9,13.3,4,20,58,,10.6,7,0.212,11,0.273,3,45.0,27,0.494,17.1,12,41,0.512,21,0.5,11,"January 30, 2020",47.4,9,4.9,2,87.9,86.7,26,0.392,51,0.373,19,0.431,22,0.8640000000000001,19,7,200,89.4,23.3,7,16,59,,6.1,4,0.33299999999999996,17,0.11800000000000001,2,55.0,33,0.48,15.3,11,34,0.5,17,0.696,16,"Kaplan Arena at William and Mary Hall, Williamsburg, Virginia",NORTHEASTERN,Northeastern,66.1,Home,WILLIAM-MARY,William & Mary,Northeastern,colonial,21,False,False,False,Away,False,3,21,52,27,60,2,17,51,0,1,192,364,1160,0.5620689655172414,612,1205,0.5078838174273859,131,389,1133,0.5167696381288615,0.5238095238095238
22,2020-02-01-16-elon,36.4,8,4.0,1,110.4,76.5,13,0.439,57,0.386,22,0.33299999999999996,19,1.0,19,12,200,103.0,31.0,9,15,69,,20.9,14,0.368,21,0.28600000000000003,6,47.8,22,0.523,14.4,11,36,0.444,16,0.478,11,"February 1, 2020",44.4,12,11.1,4,103.0,69.0,20,0.727,44,0.614,27,0.295,13,0.769,10,17,200,110.4,23.5,4,18,74,,3.0,2,0.4320000000000001,19,0.526,10,52.2,24,0.737,28.7,20,25,0.68,17,0.292,7,"Schar Center, Elon, North Carolina",NORTHEASTERN,Northeastern,67.1,Home,ELON,Elon,Northeastern,colonial,22,False,False,False,Away,False,6,16,57,22,46,10,17,44,0,1,195,385,1212,0.558993399339934,639,1265,0.5051383399209486,133,406,1184,0.511402027027027,0.5
23,2020-02-08-16-hofstra,50.0,13,6.1,2,100.0,78.1,25,0.509,57,0.456,26,0.263,15,0.867,13,13,200,94.7,26.7,8,25,71,,6.7,5,0.35100000000000003,20,0.3,6,53.2,33,0.5539999999999999,22.1,18,37,0.541,20,0.45799999999999996,11,"February 8, 2020",45.5,10,8.1,3,94.7,73.3,22,0.46399999999999997,55,0.4,22,0.527,29,0.828,24,7,200,100.0,21.9,7,18,75,,10.7,8,0.4,22,0.318,7,46.8,29,0.545,17.1,14,33,0.455,15,0.72,18,"Mack Sports Complex, Hempstead, New York",NORTHEASTERN,Northeastern,75.0,Home,HOFSTRA,Hofstra,Northeastern,colonial,23,False,False,False,Away,False,6,20,57,33,62,7,15,55,0,1,201,401,1269,0.553585500394011,661,1311,0.5041952707856598,143,423,1228,0.5191368078175895,0.4782608695652174
24,2020-02-13-19-northeastern,70.0,14,2.8,1,100.0,80.6,25,0.48,51,0.392,20,0.373,19,0.737,14,19,200,88.7,12.5,4,23,63,,4.2,3,0.431,22,0.409,9,46.0,29,0.525,21.2,16,29,0.379,11,0.29600000000000004,8,"February 13, 2020",54.2,13,6.9,2,88.7,87.5,28,0.5,50,0.48,24,0.62,31,0.677,21,13,200,100.0,19.4,6,20,71,,11.3,8,0.28,14,0.14300000000000002,2,54.0,34,0.5479999999999999,14.7,11,36,0.611,22,0.48,12,"Matthews Arena, Boston, Massachusetts",NORTH-CAROLINA-WILMINGTON,UNC Wilmington,70.9,Home,NORTHEASTERN,Northeastern,Northeastern,colonial,24,True,False,True,Home,True,2,22,50,34,63,9,11,51,1,0,207,421,1326,0.551659125188537,694,1373,0.5054624908958485,150,438,1283,0.5167575993764614,0.4583333333333333
25,2020-02-15-12-northeastern,42.1,8,3.0,1,98.5,76.0,19,0.479,47,0.40399999999999997,19,0.17,8,0.75,6,12,200,77.3,3.4,1,14,51,,9.1,6,0.40399999999999997,19,0.368,7,37.0,20,0.502,25.2,17,28,0.429,12,0.556,15,"February 15, 2020",38.5,10,0.0,0,77.3,96.6,28,0.519,54,0.48100000000000004,26,0.204,11,0.818,9,13,200,98.5,24.0,6,10,65,,13.6,9,0.389,21,0.19,4,63.0,34,0.5489999999999999,15.8,11,33,0.667,22,0.5,13,"Matthews Arena, Boston, Massachusetts",COLLEGE-OF-CHARLESTON,College of Charleston,65.5,Home,NORTHEASTERN,Northeastern,Northeastern,colonial,25,True,False,True,Home,True,4,22,54,34,54,7,12,47,1,0,209,443,1376,0.549781976744186,728,1436,0.5069637883008357,159,449,1334,0.5153673163418291,0.48
26,2020-02-20-19-delaware,45.0,9,3.1,1,109.4,81.8,18,0.426,54,0.37,20,0.111,6,0.33299999999999996,2,14,200,75.0,22.9,8,12,48,,15.6,10,0.389,21,0.28600000000000003,6,45.6,26,0.42200000000000004,19.8,14,33,0.424,14,0.48100000000000004,13,"February 20, 2020",48.1,13,15.2,5,75.0,77.1,27,0.6,50,0.54,27,0.26,13,0.769,10,8,200,109.4,18.2,4,8,70,,10.9,7,0.36,18,0.33299999999999996,6,54.4,31,0.623,18.9,13,32,0.6559999999999999,21,0.7140000000000001,20,"Bob Carpenter Center, Newark, Delaware",NORTHEASTERN,Northeastern,64.0,Home,DELAWARE,Delaware,Northeastern,colonial,26,False,False,False,Away,False,6,14,54,26,57,6,21,50,0,1,213,465,1430,0.5486013986013986,762,1490,0.5114093959731544,166,461,1381,0.5141202027516293,0.5
27,2020-02-22-14-drexel,57.7,15,0.0,0,104.6,72.4,21,0.539,51,0.51,26,0.49,25,0.88,22,14,200,118.5,31.8,7,14,77,,10.8,7,0.294,15,0.2,3,54.9,28,0.612,15.1,11,36,0.639,23,0.5,14,"February 22, 2020",60.7,17,11.1,4,118.5,68.2,15,0.535,57,0.491,28,0.21100000000000002,12,0.583,7,16,200,104.6,27.6,8,18,68,,12.3,8,0.281,16,0.313,5,45.1,23,0.542,12.6,9,41,0.561,23,0.44799999999999995,13,"Daskalakis Athletic Center, Philadelphia, Pennsylvania",DREXEL,Drexel,65.3,Away,NORTHEASTERN,Northeastern,Northeastern,colonial,27,False,False,False,Away,True,3,23,51,28,51,5,23,57,1,0,219,479,1484,0.5441374663072777,788,1547,0.5093729799612152,172,482,1431,0.517120894479385,0.4814814814814815
