,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,SAINT-LOUIS_homegame,SAINT-LOUIS_homegame2,SAINT-LOUIS_home,SAINT-LOUIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
10,2019-12-17-20-saint-louis,29.6,8,2.1,1,113.9,64.9,24,0.5579999999999999,52,0.519,27,0.25,13,0.846,11,0,200,95.8,8.0,2,24,69,,6.9,5,0.26899999999999996,14,0.28600000000000003,4,41.9,26,0.593,21.7,16,38,0.605,23,0.0,0,"December 17, 2019",66.7,18,7.9,3,95.8,92.0,23,0.461,64,0.42200000000000004,27,0.469,30,0.767,23,2,200,113.9,35.1,13,12,82,,12.5,9,0.266,17,0.294,5,58.1,36,0.524,8.3,7,47,0.46799999999999997,22,0.818,9,"Chaifetz Arena, St. Louis, Missouri","Maryville (MO)
			","Maryville (MO)
			",72.2,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,10,True,False,True,Home,True,5,22,64,36,62,4,23,52,1,0,68,203,607,0.5024711696869851,402,725,0.5544827586206896,77,141,568,0.4515845070422535,0.8
11,2019-12-21-19-kansas-state,60.9,14,8.3,2,95.5,89.5,17,0.5670000000000001,45,0.511,23,0.556,25,0.6,15,2,200,100.0,22.2,6,16,66,,16.7,11,0.311,14,0.35700000000000004,5,50.0,23,0.58,21.1,15,31,0.581,18,0.833,10,"December 21, 2019",77.8,14,0.0,0,100.0,77.8,21,0.5379999999999999,40,0.45,18,0.575,23,0.87,20,5,200,95.5,10.5,2,18,63,,9.1,6,0.4,16,0.43799999999999994,7,50.0,23,0.619,26.4,18,24,0.45799999999999996,11,0.545,6,"Sprint Center, Kansas City, Missouri",KANSAS-STATE,Kansas State,66.4,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,11,False,False,False,Away,True,5,18,45,23,46,7,11,40,1,0,73,225,671,0.4985096870342772,438,787,0.5565438373570522,81,164,620,0.460483870967742,0.8181818181818182
12,2019-12-29-19-saint-louis,36.4,8,4.5,2,102.7,69.8,30,0.366,67,0.32799999999999996,22,0.373,25,0.72,18,8,200,89.3,32.6,15,24,67,,4.0,3,0.299,20,0.25,5,50.6,45,0.425,12.4,11,47,0.36200000000000004,17,0.429,6,"December 29, 2019",69.6,16,12.8,6,89.3,67.4,31,0.397,63,0.365,23,0.603,38,0.711,27,2,200,102.7,30.2,13,17,77,,10.7,8,0.302,19,0.21100000000000002,4,49.4,44,0.475,8.1,7,44,0.4320000000000001,19,0.846,11,"Chaifetz Arena, St. Louis, Missouri",BETHUNE-COOKMAN,Bethune-Cookman,75.0,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,12,True,False,True,Home,True,4,19,63,44,89,5,17,67,1,0,78,243,716,0.5027932960893855,461,833,0.553421368547419,88,175,660,0.4651515151515152,0.8333333333333334
13,2020-01-02-19-duquesne,73.9,17,12.5,3,96.1,82.8,24,0.413,63,0.365,23,0.28600000000000003,18,0.389,7,3,200,77.6,28.2,11,24,59,,13.2,10,0.317,20,0.3,6,51.5,35,0.41200000000000003,17.5,15,43,0.395,17,0.7859999999999999,11,"January 2, 2020",59.1,13,20.9,9,77.6,71.8,28,0.552,48,0.45799999999999996,22,0.521,25,0.8,20,2,200,96.1,17.2,5,14,73,,9.2,7,0.5,24,0.375,9,48.5,33,0.61,26.3,21,24,0.542,13,0.846,11,"UPMC Events Center, Moon, Pennsylvania",SAINT-LOUIS,Saint Louis,75.7,Home,DUQUESNE,Duquesne,Saint Louis,atlantic-10,13,False,False,False,Away,False,6,17,63,35,68,9,13,48,0,1,82,262,779,0.4942233632862644,505,922,0.5477223427331888,93,192,727,0.4559834938101788,0.8461538461538461
14,2020-01-05-16-saint-louis,33.3,9,5.1,3,94.3,62.2,23,0.462,66,0.409,27,0.364,24,0.792,19,8,225,90.9,37.5,15,21,80,,12.5,11,0.364,24,0.292,7,49.4,38,0.517,23.9,24,42,0.47600000000000003,20,0.429,6,"January 5, 2020",54.3,19,9.5,4,90.9,62.5,25,0.507,71,0.493,35,0.268,19,0.579,11,3,225,94.3,37.8,14,23,83,,10.2,9,0.16899999999999998,12,0.16699999999999998,2,50.6,39,0.519,22.5,23,59,0.5589999999999999,33,0.8,12,"Chaifetz Arena, St. Louis, Missouri",MASSACHUSETTS,UMass,78.0,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,14,True,False,True,Home,True,2,33,71,39,77,7,20,66,1,0,88,279,842,0.4881235154394299,540,990,0.5454545454545454,102,205,775,0.4619354838709677,0.7857142857142857
15,2020-01-08-20-saint-louis,42.1,8,10.5,4,96.9,67.6,25,0.429,49,0.38799999999999996,19,0.449,22,0.727,16,9,200,89.2,19.4,6,23,58,,7.7,5,0.327,16,0.25,4,45.6,31,0.488,18.1,13,33,0.455,15,0.4,6,"January 8, 2020",31.6,6,24.2,8,89.2,80.6,25,0.42,50,0.38,19,0.7,35,0.6,21,3,200,96.9,32.4,12,20,63,,13.8,9,0.24,12,0.33299999999999996,4,54.4,37,0.473,12.1,9,38,0.395,15,0.812,13,"Chaifetz Arena, St. Louis, Missouri",GEORGE-WASHINGTON,George Washington,65.0,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,15,True,False,True,Home,True,4,15,50,37,68,4,15,49,1,0,90,312,913,0.4895947426067908,579,1067,0.5426429240862229,109,225,841,0.4619500594530321,0.8
16,2020-01-11-18-richmond,32.1,9,10.8,4,80.6,88.2,30,0.527,55,0.509,28,0.418,23,0.696,16,3,200,102.8,22.6,7,14,74,,11.1,8,0.2,11,0.182,2,56.9,37,0.561,15.6,12,44,0.591,26,0.8240000000000001,14,"January 11, 2020",26.1,6,2.3,1,102.8,77.4,24,0.431,58,0.397,23,0.155,9,0.889,8,4,200,80.6,11.8,4,18,58,,9.7,7,0.36200000000000004,21,0.19,4,43.1,28,0.466,19.5,15,37,0.514,19,0.75,12,"Robins Center, Richmond, Virginia",RICHMOND,Richmond,72.1,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,16,False,False,False,Away,True,2,26,55,37,65,4,19,58,1,0,94,327,963,0.485981308411215,616,1135,0.5427312775330396,113,240,890,0.4601123595505618,0.8125
17,2020-01-17-19-saint-louis,35.7,10,5.6,3,97.4,60.5,23,0.524,62,0.452,28,0.306,19,0.684,13,2,225,100.0,17.6,6,24,78,13.0,10.3,8,0.40299999999999997,25,0.36,9,40.3,29,0.5489999999999999,14.6,12,37,0.514,19,0.889,16,"January 17, 2020",40.7,11,18.9,7,100.0,82.4,28,0.467,60,0.45,27,0.617,37,0.541,20,4,225,97.4,39.5,15,20,76,,9.0,7,0.1,6,0.33299999999999996,2,59.7,43,0.49,18.2,17,54,0.46299999999999997,25,0.778,14,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,69.6,Away,DAYTON,Dayton,Saint Louis,atlantic-10,17,False,True,True,Home,False,2,25,60,43,72,9,19,62,0,1,96,353,1018,0.4882121807465618,653,1200,0.5441666666666667,117,259,948,0.4583333333333333,0.8235294117647058
18,2020-01-22-19-davidson,66.7,14,11.5,3,109.2,80.0,24,0.426,61,0.344,21,0.19699999999999998,12,0.583,7,5,200,90.8,26.8,11,25,59,,7.7,5,0.426,26,0.385,10,49.3,35,0.442,12.0,9,35,0.314,11,0.737,14,"January 22, 2020",57.9,11,17.1,6,90.8,73.2,30,0.479,47,0.40399999999999997,19,0.6809999999999999,32,0.813,26,9,200,109.2,20.0,6,12,71,,7.7,5,0.447,21,0.33299999999999996,7,50.7,36,0.5710000000000001,12.8,9,26,0.462,12,0.5,9,"Belk Arena, Davidson, North Carolina",SAINT-LOUIS,Saint Louis,65.0,Home,DAVIDSON,Davidson,Saint Louis,atlantic-10,18,False,False,False,Away,False,10,11,61,35,71,7,12,47,0,1,98,378,1078,0.48701298701298706,696,1272,0.5471698113207547,126,278,1010,0.4623762376237624,0.7777777777777778
19,2020-01-26-15-saint-louis,46.7,7,10.7,3,98.2,73.3,22,0.365,48,0.313,15,0.271,13,0.308,4,12,200,69.6,11.1,4,16,39,,10.7,6,0.479,23,0.217,5,39.4,26,0.36,10.0,6,25,0.4,10,0.368,7,"January 26, 2020",55.0,11,8.0,2,69.6,88.9,32,0.478,46,0.435,20,0.37,17,0.647,11,5,200,98.2,26.7,8,15,55,,7.1,4,0.391,18,0.222,4,60.6,40,0.509,15.8,10,28,0.5710000000000001,16,0.75,15,"Chaifetz Arena, St. Louis, Missouri",FORDHAM,Fordham,56.1,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,19,True,False,True,Home,True,4,16,46,40,66,5,10,48,1,0,108,389,1139,0.4837576821773486,731,1343,0.5443037974683544,133,290,1057,0.4631031220435194,0.7368421052631579
20,2020-01-29-20-la-salle,60.0,18,13.6,6,105.6,60.5,23,0.47200000000000003,72,0.41700000000000004,30,0.23600000000000002,17,0.529,9,5,225,106.9,41.5,17,21,77,,11.1,8,0.23600000000000002,17,0.47100000000000003,8,50.6,40,0.48100000000000004,9.1,8,55,0.4,22,0.762,16,"January 29, 2020",50.0,14,7.3,4,106.9,58.5,24,0.47700000000000004,65,0.431,28,0.308,20,0.7,14,10,225,105.6,39.5,15,15,76,,11.1,8,0.32299999999999995,21,0.28600000000000003,6,49.4,39,0.51,15.9,14,44,0.5,22,0.5,10,"Tom Gola Arena, Philadelphia, Pennsylvania",LA-SALLE,La Salle,64.3,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,20,False,False,False,Away,True,8,22,72,40,79,6,22,65,1,0,112,405,1185,0.4835443037974684,771,1409,0.5471965933286018,138,300,1105,0.4588235294117647,0.75
21,2020-02-01-18-saint-josephs,42.3,11,15.0,3,102.8,84.6,22,0.467,61,0.426,26,0.45899999999999996,28,0.75,21,5,200,109.9,38.2,13,15,78,,16.9,12,0.18,11,0.455,5,58.3,35,0.525,8.7,7,50,0.42,21,0.773,17,"February 1, 2020",34.8,8,6.0,3,109.9,61.8,21,0.547,53,0.434,23,0.321,17,0.882,15,18,200,102.8,15.4,4,22,73,,8.5,6,0.623,33,0.364,12,41.7,25,0.598,20.9,16,20,0.55,11,0.182,4,"Hagan Arena, Philadelphia, Pennsylvania",SAINT-JOSEPHS,St. Joseph's,70.7,Away,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,21,False,False,False,Away,True,5,21,61,35,60,12,11,53,1,0,120,427,1257,0.4828957836117741,811,1488,0.5450268817204301,144,322,1170,0.4598290598290598,0.7619047619047619
22,2020-02-05-19-saint-louis,63.0,17,9.8,4,94.4,77.1,27,0.5529999999999999,57,0.474,27,0.40399999999999997,23,0.826,19,5,200,113.9,37.0,10,19,82,,11.1,8,0.40399999999999997,23,0.391,9,59.7,37,0.604,17.3,14,34,0.529,18,0.773,17,"February 5, 2020",57.7,15,11.8,4,113.9,63.0,17,0.483,59,0.441,26,0.35600000000000004,21,0.524,11,6,200,94.4,22.9,8,17,68,,9.7,7,0.305,18,0.278,5,40.3,25,0.493,15.0,12,41,0.512,21,0.7390000000000001,17,"Chaifetz Arena, St. Louis, Missouri",SAINT-LOUIS,Saint Louis,72.5,Away,DUQUESNE,Duquesne,Saint Louis,atlantic-10,22,False,True,True,Home,False,5,21,59,25,62,9,18,57,0,1,125,448,1318,0.4821699544764795,846,1548,0.5465116279069767,156,333,1223,0.4636140637775961,0.7727272727272727
23,2020-02-08-14-dayton,36.0,9,6.7,2,112.7,85.7,24,0.539,51,0.49,25,0.314,16,0.625,10,7,200,103.2,25.8,8,23,65,,4.8,3,0.21600000000000005,11,0.455,5,54.2,32,0.555,18.3,13,40,0.5,20,0.708,17,"February 8, 2020",43.5,10,10.0,4,103.2,74.2,23,0.5429999999999999,47,0.489,23,0.574,27,0.741,20,2,200,112.7,14.3,4,16,71,6.0,12.7,8,0.36200000000000004,17,0.294,5,45.8,27,0.593,9.2,6,30,0.6,18,0.9129999999999999,21,"University of Dayton Arena, Dayton, Ohio",SAINT-LOUIS,Saint Louis,62.7,Home,DAYTON,Dayton,Saint Louis,atlantic-10,23,False,False,False,Away,False,5,20,51,32,59,5,18,47,0,1,130,469,1377,0.4822076978939724,871,1610,0.5409937888198758,165,351,1280,0.467578125,0.7391304347826086
24,2020-02-15-14-saint-louis,42.9,9,7.5,3,115.1,60.7,17,0.48100000000000004,53,0.396,21,0.491,26,0.6920000000000001,18,13,200,94.5,20.0,6,30,69,,12.3,9,0.491,26,0.34600000000000003,9,39.7,23,0.528,16.8,13,27,0.444,12,0.45799999999999996,11,"February 15, 2020",57.1,16,11.1,3,94.5,80.0,24,0.5660000000000001,53,0.528,28,0.679,36,0.667,24,7,200,115.1,39.3,11,22,84,,11.0,8,0.245,13,0.308,4,60.3,35,0.599,17.9,15,40,0.6,24,0.72,18,"Chaifetz Arena, St. Louis, Missouri",LA-SALLE,La Salle,73.2,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,24,True,False,True,Home,True,4,24,53,35,58,9,12,53,1,0,135,489,1428,0.4842436974789916,903,1669,0.5410425404433793,170,369,1327,0.4702336096458176,0.7083333333333334
25,2020-02-18-19-massachusetts,57.7,15,9.7,3,104.7,76.7,23,0.5479999999999999,52,0.5,26,0.212,11,0.545,6,8,200,98.4,26.9,7,15,63,,10.9,7,0.212,11,0.455,5,53.6,30,0.55,19.8,14,41,0.512,21,0.6920000000000001,18,"February 18, 2020",66.7,18,14.6,6,98.4,73.1,19,0.5429999999999999,58,0.466,27,0.086,5,0.8,4,15,200,104.7,23.3,7,14,67,,7.8,5,0.466,27,0.33299999999999996,9,46.4,26,0.555,14.2,10,31,0.581,18,0.423,11,"Mullins Center, Amherst, Massachusetts",SAINT-LOUIS,Saint Louis,63.8,Home,MASSACHUSETTS,UMass,Saint Louis,atlantic-10,25,False,False,False,Away,False,5,21,52,30,56,9,18,58,0,1,139,513,1481,0.487170830519919,938,1727,0.5431383902721483,179,381,1380,0.4706521739130435,0.72
26,2020-02-21-21-saint-louis,50.0,10,8.5,4,112.7,76.9,20,0.47,50,0.4,20,0.52,26,0.5770000000000001,15,10,200,87.3,14.7,5,19,62,,14.1,10,0.5,25,0.28,7,41.7,25,0.4970000000000001,15.2,11,25,0.52,13,0.63,17,"February 21, 2020",65.6,21,16.0,4,87.3,85.3,29,0.607,56,0.5710000000000001,32,0.429,24,0.5,12,8,200,112.7,23.1,6,17,80,,11.3,8,0.161,9,0.444,4,58.3,35,0.593,16.3,13,47,0.596,28,0.7040000000000001,19,"Chaifetz Arena, St. Louis, Missouri",VIRGINIA-COMMONWEALTH,VCU,71.4,Home,SAINT-LOUIS,Saint Louis,Saint Louis,atlantic-10,26,True,False,True,Home,True,4,28,56,35,60,7,13,50,1,0,144,534,1533,0.4892367906066536,968,1783,0.5429052159282108,188,399,1438,0.4735744089012517,0.6923076923076923
