,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,DARTMOUTH_homegame,DARTMOUTH_homegame2,DARTMOUTH_home,DARTMOUTH_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-08-19-buffalo,55.6,15,9.1,3,82.9,69.8,30,0.4920000000000001,59,0.45799999999999996,27,0.254,15,0.667,10,0,200,89.5,22.6,7,19,68,,10.5,8,0.271,16,0.25,4,50.0,37,0.514,19.6,16,43,0.535,23,1.0,1,"November 8, 2019",58.3,14,4.7,2,89.5,77.4,24,0.426,68,0.353,24,0.191,13,0.385,5,1,200,82.9,30.2,13,19,63,,11.8,9,0.515,35,0.28600000000000003,10,50.0,37,0.425,17.8,16,33,0.424,14,0.0,0,"Alumni Arena, Buffalo, New York",BUFFALO,Buffalo,76.2,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy,0,False,False,False,Away,True,4,23,59,37,74,10,14,68,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-11-19-dartmouth,70.6,12,6.9,2,83.3,76.3,29,0.41,50,0.34,17,0.24,12,0.667,8,3,200,74.2,12.5,4,16,49,,7.6,5,0.52,26,0.26899999999999996,7,47.1,33,0.44,20.2,14,24,0.41700000000000004,10,0.0,0,"November 11, 2019",70.0,14,16.7,4,74.2,87.5,28,0.42100000000000004,57,0.35100000000000003,20,0.228,13,0.5379999999999999,7,0,200,83.3,23.7,9,14,55,,9.1,6,0.491,28,0.28600000000000003,8,52.9,37,0.435,16.1,12,29,0.414,12,1.0,2,"Leede Arena, Hanover, New Hampshire",FLORIDA-GULF-COAST,Florida Gulf Coast,65.9,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy,1,True,False,True,Home,True,8,12,57,37,70,7,10,50,1,0,4,23,59,0.4915254237288136,37,74,0.5,10,14,68,0.4264705882352941,1.0
2,2019-11-15-16-dartmouth,47.1,8,10.3,3,90.2,63.3,19,0.396,53,0.321,17,0.094,5,0.8,4,2,200,75.4,6.1,2,14,46,,16.4,10,0.5660000000000001,30,0.267,8,33.3,21,0.415,12.7,8,23,0.391,9,0.33299999999999996,1,"November 15, 2019",60.0,12,8.7,2,75.4,93.9,31,0.479,48,0.41700000000000004,20,0.33299999999999996,16,0.563,9,0,200,90.2,36.7,11,10,55,,3.3,2,0.396,19,0.316,6,66.7,42,0.495,22.5,16,29,0.483,14,1.0,3,"Costello Athletic Center, Lowell, Massachusetts",MERRIMACK,Merrimack,61.0,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy,2,True,False,True,Home,True,6,14,48,42,63,8,9,53,1,0,12,35,116,0.456896551724138,74,144,0.5138888888888888,17,24,118,0.4194915254237288,1.0
3,2019-11-16-13-dartmouth,59.1,13,15.0,3,60.7,81.3,26,0.48,50,0.44,22,0.34,17,0.529,9,2,200,93.4,20.7,6,8,57,,8.2,5,0.36,18,0.222,4,52.5,32,0.491,10.9,7,32,0.563,18,0.6,3,"November 16, 2019",42.9,6,3.1,1,93.4,79.3,23,0.337,52,0.26899999999999996,14,0.077,4,0.5,2,1,200,60.7,18.8,6,15,37,,3.3,2,0.615,32,0.21899999999999997,7,47.5,29,0.34299999999999997,21.8,15,20,0.35,7,0.75,3,"Costello Athletic Center, Lowell, Massachusetts",DARTMOUTH,Dartmouth,61.0,Away,JACKSONVILLE,Jacksonville,Dartmouth,ivy,3,False,True,True,Home,False,7,7,52,29,61,4,18,50,0,1,18,49,164,0.4634146341463415,116,207,0.5603864734299517,25,33,171,0.412280701754386,1.0
4,2019-11-17-15-massachusetts-lowell,63.0,17,6.5,2,97.4,83.9,26,0.57,57,0.474,27,0.42100000000000004,24,0.625,15,1,225,103.9,18.2,6,19,80,,7.8,6,0.42100000000000004,24,0.45799999999999996,11,50.0,32,0.585,17.2,14,33,0.485,16,0.8,4,"November 17, 2019",48.1,13,6.1,2,103.9,81.8,27,0.544,57,0.474,27,0.35100000000000003,20,0.65,13,5,225,97.4,16.1,5,22,75,,9.1,7,0.456,26,0.308,8,50.0,32,0.564,19.6,16,31,0.613,19,0.28600000000000003,2,"Costello Athletic Center, Lowell, Massachusetts",MASSACHUSETTS-LOWELL,UMass-Lowell,68.4,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy,4,False,False,False,Away,True,11,16,57,32,64,8,19,57,1,0,25,56,216,0.4328703703703704,145,268,0.5410447761194029,29,51,221,0.4276018099547511,0.75
5,2019-11-19-19-dartmouth,70.8,17,2.5,1,142.1,91.7,22,0.37,77,0.312,24,0.091,7,0.28600000000000003,2,0,200,77.6,23.1,12,14,59,,2.6,2,0.39,30,0.3,9,44.7,34,0.3670000000000001,10.1,9,47,0.319,15,0.0,0,"November 19, 2019",61.0,25,12.8,6,77.6,76.9,40,0.731,65,0.631,41,0.27699999999999997,18,0.722,13,1,200,142.1,8.3,2,10,108,,5.3,4,0.385,25,0.52,13,55.3,42,0.7340000000000001,4.0,3,40,0.7,28,0.833,5,"Leede Arena, Hanover, New Hampshire","Thomas (ME)
			","Thomas (ME)
			",75.9,Home,DARTMOUTH,Dartmouth,Dartmouth,ivy,5,True,False,True,Home,True,13,28,65,42,76,9,15,77,1,0,36,72,273,0.4615384615384616,177,332,0.5331325301204819,37,70,278,0.4514388489208633,0.8
6,2019-11-30-16-bowling-green-state,42.3,11,9.4,3,107.0,81.3,26,0.56,58,0.44799999999999995,26,0.10300000000000001,6,0.667,4,2,200,97.2,9.7,3,20,69,,5.6,4,0.586,34,0.382,13,46.0,29,0.5670000000000001,16.5,12,24,0.542,13,0.7140000000000001,5,"November 30, 2019",46.2,12,8.3,2,97.2,90.3,28,0.563,56,0.46399999999999997,26,0.46399999999999997,26,0.5,13,2,200,107.0,18.8,6,7,76,,8.5,6,0.429,24,0.45799999999999996,11,54.0,34,0.556,11.8,9,32,0.469,15,0.75,6,"Stroh Center, Bowling Green, Ohio",DARTMOUTH,Dartmouth,70.6,Home,BOWLING-GREEN-STATE,Bowling Green State,Dartmouth,ivy,6,False,False,False,Away,False,13,13,58,29,63,11,15,56,0,1,49,100,338,0.5133136094674556,219,408,0.5367647058823529,46,85,355,0.4338028169014084,0.8333333333333334
7,2019-12-03-19-georgia-state,69.0,20,10.3,4,110.7,65.8,25,0.625,56,0.518,29,0.304,17,0.588,10,3,225,106.7,14.3,4,19,80,,6.7,5,0.536,30,0.4,12,43.9,29,0.624,17.0,13,26,0.654,17,0.625,5,"December 3, 2019",51.6,16,11.5,3,106.7,85.7,24,0.529,70,0.44299999999999995,31,0.18600000000000005,13,0.6920000000000001,9,3,225,110.7,34.2,13,17,83,,6.7,5,0.44299999999999995,31,0.387,12,56.1,37,0.545,15.6,14,39,0.48700000000000004,19,0.625,5,"GSU Sports Arena, Atlanta, Georgia",DARTMOUTH,Dartmouth,66.8,Home,GEORGIA-STATE,Georgia State,Dartmouth,ivy,7,False,False,False,Away,False,12,17,56,29,66,12,19,70,0,1,62,113,396,0.5202020202020202,248,471,0.5265392781316348,57,100,411,0.451338199513382,0.7142857142857143
8,2019-12-06-20-south-florida,53.3,8,0.0,0,98.4,70.8,17,0.409,44,0.341,15,0.22699999999999998,10,0.8,8,4,200,68.8,18.5,5,19,44,,7.8,5,0.47700000000000004,21,0.28600000000000003,6,43.1,22,0.451,28.2,19,23,0.391,9,0.556,5,"December 6, 2019",47.8,11,4.3,1,68.8,81.5,22,0.574,47,0.489,23,0.40399999999999997,19,0.474,9,4,200,98.4,29.2,7,19,63,,17.2,11,0.46799999999999997,22,0.364,8,56.9,29,0.562,23.5,17,25,0.6,15,0.556,5,"Sun Dome, Tampa, Florida",DARTMOUTH,Dartmouth,64.4,Home,SOUTH-FLORIDA,South Florida,Dartmouth,ivy,8,False,False,False,Away,False,6,9,44,22,51,8,15,47,0,1,74,130,452,0.5331858407079646,277,537,0.515828677839851,69,119,481,0.4625779625779626,0.625
9,2019-12-11-19-maine,44.8,13,9.7,3,73.3,73.3,22,0.623,53,0.547,29,0.34,18,0.611,11,4,200,128.3,23.1,6,15,77,,13.3,8,0.377,20,0.4,8,50.0,28,0.626,7.6,5,33,0.636,21,0.6,6,"December 11, 2019",82.4,14,6.1,2,128.3,76.9,20,0.39799999999999996,49,0.34700000000000003,17,0.204,10,0.5,5,7,200,73.3,26.7,8,16,44,,3.3,2,0.3670000000000001,18,0.278,5,50.0,28,0.409,20.8,14,31,0.387,12,0.3,3,"Cross Insurance Center, Bangor, Maine",MAINE,Maine,60.2,Away,DARTMOUTH,Dartmouth,Dartmouth,ivy,9,False,False,False,Away,True,8,21,53,28,56,5,12,49,1,0,80,139,496,0.5221774193548387,299,588,0.5085034013605442,77,134,528,0.4725378787878788,0.5555555555555556
