,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,TENNESSEE_homegame,TENNESSEE_homegame2,TENNESSEE_home,TENNESSEE_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-tennessee,16.7,4,6.3,3,105.4,51.5,17,0.414,64,0.375,24,0.21899999999999997,14,0.7140000000000001,10,1,200,85.1,24.3,9,18,63,,17.6,13,0.313,20,0.25,5,37.1,26,0.446,16.6,14,44,0.4320000000000001,19,0.0,0,"November 5, 2019",57.6,19,15.9,7,85.1,75.7,28,0.5539999999999999,65,0.508,33,0.185,12,0.5,6,0,200,105.4,48.5,16,17,78,,6.8,5,0.262,17,0.353,6,62.9,44,0.552,19.5,17,48,0.563,27,1.0,1,"Thompson-Boling Arena, Knoxville, Tennessee",NORTH-CAROLINA-ASHEVILLE,UNC Asheville,73.7,Home,TENNESSEE,Tennessee,Tennessee,sec,0,True,False,True,Home,True,6,27,65,44,70,5,19,64,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-12-21-tennessee,73.9,17,11.1,4,126.2,71.9,23,0.491,56,0.41100000000000003,23,0.196,11,0.727,8,1,200,96.9,24.2,8,19,63,,6.2,4,0.41100000000000003,23,0.391,9,47.7,31,0.514,16.5,12,33,0.424,14,0.5,1,"November 12, 2019",72.4,21,18.2,6,96.9,75.8,25,0.603,58,0.5,29,0.31,18,0.667,12,0,200,126.2,28.1,9,15,82,,6.2,4,0.379,22,0.545,12,52.3,34,0.616,10.8,8,36,0.47200000000000003,17,1.0,2,"Thompson-Boling Arena, Knoxville, Tennessee",MURRAY-STATE,Murray State,65.4,Home,TENNESSEE,Tennessee,Tennessee,sec,1,True,False,True,Home,True,12,17,58,34,65,9,14,56,1,0,6,27,65,0.5538461538461539,44,70,0.6285714285714286,5,19,64,0.4140625,1.0
2,2019-11-16-17-tennessee,57.7,15,10.0,4,100.0,87.1,27,0.43799999999999994,65,0.4,26,0.154,10,0.5,5,1,200,82.7,31.3,10,21,62,20.0,10.7,8,0.27699999999999997,18,0.278,5,58.7,37,0.444,19.7,17,47,0.447,21,0.667,2,"November 16, 2019",76.0,19,12.8,6,82.7,68.8,22,0.528,53,0.47200000000000003,25,0.45299999999999996,24,0.792,19,0,200,100.0,12.9,4,14,75,,12.0,9,0.245,13,0.462,6,41.3,26,0.5820000000000001,15.9,12,40,0.475,19,1.0,3,"Scotiabank Arena, Toronto",WASHINGTON,Washington,74.6,Home,TENNESSEE,Tennessee,Tennessee,sec,2,True,False,True,Home,True,6,19,53,26,63,5,21,65,1,0,18,44,123,0.5772357723577236,78,135,0.5777777777777777,14,33,120,0.45,1.0
3,2019-11-20-19-tennessee,28.6,4,0.0,0,105.6,66.7,22,0.32,50,0.28,14,0.26,13,0.6920000000000001,9,4,200,56.9,8.3,3,22,41,,9.7,7,0.4,20,0.2,4,36.2,25,0.365,25.4,19,30,0.33299999999999996,10,0.0,0,"November 20, 2019",66.7,18,26.7,8,56.9,91.7,33,0.508,59,0.45799999999999996,27,0.424,25,0.64,16,0,200,105.6,33.3,11,14,76,20.0,12.5,9,0.35600000000000004,21,0.28600000000000003,6,63.8,44,0.536,14.6,12,38,0.5529999999999999,21,1.0,4,"Thompson-Boling Arena, Knoxville, Tennessee",ALABAMA-STATE,Alabama State,72.0,Home,TENNESSEE,Tennessee,Tennessee,sec,3,True,False,True,Home,True,6,21,59,44,69,4,10,50,1,0,24,63,176,0.5625,104,198,0.5252525252525253,19,54,185,0.4459459459459459,1.0
4,2019-11-25-19-tennessee,31.6,6,0.0,0,95.1,70.6,24,0.39299999999999996,56,0.33899999999999997,19,0.071,4,0.5,2,3,200,75.4,14.3,5,20,46,,6.6,4,0.33899999999999997,19,0.316,6,42.0,29,0.397,13.5,9,37,0.35100000000000003,13,0.5,3,"November 25, 2019",89.5,17,18.9,7,75.4,85.7,30,0.42200000000000004,51,0.373,19,0.451,23,0.652,15,0,200,95.1,29.4,10,11,58,17.0,6.6,4,0.353,18,0.278,5,58.0,40,0.46799999999999997,12.8,9,33,0.424,14,1.0,5,"Thompson-Boling Arena, Knoxville, Tennessee",CHATTANOOGA,Chattanooga,61.4,Home,TENNESSEE,Tennessee,Tennessee,sec,4,True,False,True,Home,True,5,14,51,40,69,6,13,56,1,0,30,84,235,0.548936170212766,148,267,0.5543071161048689,23,64,235,0.4191489361702128,1.0
5,2019-11-29-19-florida-state,35.7,5,16.3,7,83.3,78.8,26,0.39299999999999996,42,0.33299999999999996,14,0.69,29,0.828,24,1,200,79.2,22.2,6,20,57,17.0,5.6,4,0.524,22,0.22699999999999998,5,53.3,32,0.511,27.7,21,20,0.45,9,0.833,5,"November 29, 2019",36.8,7,10.0,2,79.2,77.8,21,0.38,54,0.35200000000000004,19,0.537,29,0.655,19,1,200,83.3,21.2,7,21,60,,18.1,13,0.204,11,0.273,3,46.7,28,0.44299999999999995,16.3,13,43,0.3720000000000001,16,0.857,6,"The Arena, Niceville, Florida",TENNESSEE,Tennessee,72.3,Home,FLORIDA-STATE,Florida State,Tennessee,sec,5,False,False,False,Away,False,5,9,42,32,60,3,16,54,0,1,35,98,286,0.5262237762237763,188,336,0.5595238095238095,29,77,291,0.4140893470790378,1.0
6,2019-11-30-16-virginia-commonwealth,46.2,12,7.1,3,103.0,78.4,29,0.528,54,0.48100000000000004,26,0.29600000000000004,16,0.938,15,1,200,107.5,25.0,6,16,72,17.0,4.5,3,0.278,15,0.33299999999999996,5,57.4,35,0.584,17.6,13,39,0.5379999999999999,21,0.857,6,"November 30, 2019",45.5,10,12.8,5,107.5,75.0,18,0.447,57,0.386,22,0.40399999999999997,23,0.7829999999999999,18,2,200,103.0,21.6,8,18,69,20.0,9.0,6,0.263,15,0.467,7,42.6,26,0.508,6.9,5,42,0.35700000000000004,15,0.75,6,"The Arena, Niceville, Florida",VIRGINIA-COMMONWEALTH,VCU,66.8,Away,TENNESSEE,Tennessee,Tennessee,sec,6,False,False,False,Away,True,5,21,54,35,61,7,15,57,1,0,40,107,328,0.5091463414634146,220,396,0.5555555555555556,32,93,345,0.40869565217391307,0.8333333333333334
7,2019-12-04-19-tennessee,56.3,9,5.1,2,107.5,55.9,19,0.37799999999999995,45,0.35600000000000004,16,0.35600000000000004,16,0.563,9,7,200,64.2,16.7,5,23,43,,13.4,9,0.133,6,0.33299999999999996,2,37.5,24,0.409,26.7,19,39,0.359,14,0.0,0,"December 4, 2019",62.5,15,10.3,4,64.2,83.3,25,0.46399999999999997,55,0.436,24,0.509,28,0.75,21,1,200,107.5,44.1,15,14,72,21.0,14.9,10,0.29100000000000004,16,0.188,3,62.5,40,0.527,18.2,15,39,0.5379999999999999,21,0.875,7,"Thompson-Boling Arena, Knoxville, Tennessee",FLORIDA-AM,Florida A&M,67.5,Home,TENNESSEE,Tennessee,Tennessee,sec,7,True,False,True,Home,True,3,21,55,40,64,2,14,45,1,0,45,128,382,0.5117801047120419,255,457,0.5579868708971554,39,108,402,0.4141791044776119,0.8571428571428571
8,2019-12-14-15-tennessee,26.3,5,17.6,6,69.1,79.1,34,0.384,56,0.33899999999999997,19,0.23199999999999998,13,0.615,8,1,200,75.0,30.3,10,17,51,13.0,8.8,6,0.23199999999999998,13,0.385,5,57.9,44,0.41,20.6,16,43,0.326,14,0.9,9,"December 14, 2019",73.3,11,11.6,5,75.0,69.7,23,0.28300000000000003,60,0.25,15,0.3,18,0.722,13,2,200,69.1,20.9,9,18,47,19.0,10.3,7,0.433,26,0.154,4,42.1,32,0.34299999999999997,11.7,9,34,0.324,11,0.778,7,"Thompson-Boling Arena, Knoxville, Tennessee",TENNESSEE,Tennessee,68.4,Away,MEMPHIS,Memphis,Tennessee,sec,8,False,True,True,Home,False,4,11,60,32,76,5,14,56,0,1,48,149,437,0.505720823798627,295,521,0.5662188099808061,41,122,447,0.4105145413870246,0.875
9,2019-12-18-19-cincinnati,56.5,13,10.0,4,114.7,63.6,14,0.48,51,0.451,23,0.33299999999999996,17,1.0,17,3,200,97.1,20.0,5,18,66,21.0,14.7,10,0.294,15,0.2,3,40.4,19,0.5589999999999999,17.0,12,36,0.556,20,0.7,7,"December 18, 2019",54.8,17,5.6,2,97.1,80.0,20,0.609,55,0.564,31,0.29100000000000004,16,0.688,11,4,200,114.7,36.4,8,16,78,,2.9,2,0.273,15,0.33299999999999996,5,59.6,28,0.623,19.5,15,40,0.65,26,0.636,7,"Fifth Third Arena, Cincinnati, Ohio",TENNESSEE,Tennessee,67.8,Home,CINCINNATI,Cincinnati,Tennessee,sec,9,False,False,False,Away,False,3,20,51,19,47,5,26,55,0,1,52,160,497,0.4788732394366197,327,597,0.5477386934673367,46,136,503,0.4075546719681909,0.7777777777777778
