,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,IONA_homegame,IONA_homegame2,IONA_home,IONA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-09-16-la-salle,61.9,13,14.0,6,86.4,68.3,28,0.35700000000000004,70,0.3,21,0.28600000000000003,20,0.7,14,1,225,79.0,29.8,14,23,64,,12.3,10,0.5710000000000001,40,0.2,8,47.7,42,0.40299999999999997,17.7,17,30,0.433,13,0.0,0,"November 9, 2019",76.9,20,13.3,4,79.0,70.2,33,0.45399999999999996,65,0.4,26,0.308,20,0.55,11,0,225,86.4,31.7,13,23,70,,9.9,8,0.33799999999999997,22,0.318,7,52.3,46,0.47,18.7,17,43,0.442,19,1.0,1,"Tom Gola Arena, Philadelphia, Pennsylvania",IONA,Iona,71.6,Home,LA-SALLE,La Salle,Iona,maac,0,False,False,False,Away,False,8,13,70,42,88,7,19,65,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-13-19-iona,51.7,15,12.5,4,96.0,79.3,23,0.6829999999999999,52,0.5579999999999999,29,0.26899999999999996,14,0.7140000000000001,10,0,200,108.0,17.4,4,17,81,,13.3,10,0.48100000000000004,25,0.52,13,51.9,27,0.691,23.6,18,27,0.593,16,1.0,3,"November 13, 2019",50.0,12,18.5,5,108.0,82.6,19,0.491,57,0.42100000000000004,24,0.316,18,0.889,16,2,200,96.0,20.7,6,18,72,,17.3,13,0.439,25,0.32,8,48.1,25,0.5489999999999999,20.8,17,32,0.5,16,0.0,0,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,74.6,Away,OHIO,Ohio,Iona,maac,1,False,True,True,Home,False,8,16,57,25,52,13,16,52,0,1,8,13,70,0.35714285714285715,42,88,0.4772727272727273,7,19,65,0.4538461538461538,0.0
2,2019-11-22-18-iona,60.0,12,0.0,0,93.8,67.6,23,0.48,49,0.408,20,0.245,12,0.667,8,3,200,85.9,16.1,5,19,55,,14.1,9,0.49,24,0.292,7,43.1,28,0.503,20.5,14,25,0.52,13,0.4,2,"November 22, 2019",78.9,15,8.0,2,85.9,83.9,26,0.479,48,0.396,19,0.563,27,0.519,14,2,200,93.8,32.4,11,15,60,,7.8,5,0.604,29,0.276,8,56.9,37,0.493,18.9,14,19,0.579,11,0.33299999999999996,1,"HP Field House, Orlando, Florida",STETSON,Stetson,63.8,Home,IONA,Iona,Iona,maac,2,True,False,True,Home,True,8,11,48,37,65,7,13,49,1,0,16,29,127,0.4173228346456693,67,140,0.4785714285714286,20,35,117,0.5555555555555556,0.0
3,2019-11-23-18-kennesaw-state,78.3,18,14.6,7,77.6,56.8,25,0.528,53,0.434,23,0.45299999999999996,24,0.792,19,2,200,111.9,44.8,13,20,75,,10.4,7,0.434,23,0.435,10,52.1,38,0.5820000000000001,17.0,13,30,0.433,13,0.5,2,"November 23, 2019",61.9,13,0.0,0,111.9,55.2,16,0.363,62,0.33899999999999997,21,0.306,19,0.368,7,5,200,77.6,43.2,19,18,52,,9.0,6,0.226,14,0.214,3,47.9,35,0.366,19.5,17,48,0.375,18,0.0,0,"HP Field House, Orlando, Florida",KENNESAW-STATE,Kennesaw State,66.7,Away,IONA,Iona,Iona,maac,3,False,False,False,Away,True,10,13,53,38,73,3,18,62,1,0,24,40,175,0.4342857142857143,104,205,0.5073170731707317,27,48,166,0.5331325301204819,0.3333333333333333
4,2019-12-04-19-connecticut,29.2,7,4.4,2,112.7,52.8,19,0.441,59,0.40700000000000003,24,0.22,13,0.769,10,3,200,87.3,26.5,9,17,62,,12.7,9,0.322,19,0.21100000000000002,4,40.0,28,0.47600000000000003,18.8,15,40,0.5,20,0.4,2,"December 4, 2019",60.0,18,20.0,8,87.3,73.5,25,0.531,64,0.469,30,0.313,20,0.6,12,2,200,112.7,47.2,17,16,80,,5.6,4,0.297,19,0.42100000000000004,8,60.0,42,0.544,17.1,15,45,0.489,22,0.75,6,"Harry A. Gampel Pavilion, Storrs, Connecticut",IONA,Iona,71.3,Home,CONNECTICUT,UConn,Iona,maac,4,False,False,False,Away,False,4,20,59,28,70,8,22,64,0,1,34,53,228,0.456140350877193,142,278,0.5107913669064749,30,66,228,0.4868421052631579,0.5
5,2019-12-17-16-iona,85.7,24,0.0,0,108.9,81.8,18,0.644,52,0.5379999999999999,28,0.5,26,0.885,23,7,225,113.9,13.0,3,22,90,,11.4,9,0.5379999999999999,28,0.39299999999999996,11,46.7,21,0.6990000000000001,20.1,16,24,0.708,17,0.3,3,"December 17, 2019",53.3,16,8.3,2,113.9,87.0,20,0.604,53,0.5660000000000001,30,0.547,29,0.759,22,4,225,108.9,18.2,4,21,86,,11.4,9,0.302,16,0.25,4,53.3,24,0.644,20.5,17,37,0.703,26,0.33299999999999996,2,"Barclays Center, Brooklyn, New York",IONA,Iona,69.8,Away,PRINCETON,Princeton,Iona,maac,5,False,True,True,Home,False,4,26,53,24,45,11,17,52,0,1,38,73,287,0.4529616724738676,170,348,0.4885057471264368,38,88,292,0.4965753424657534,0.4
6,2019-12-29-14-colorado,44.4,8,9.4,3,126.9,66.7,18,0.35,60,0.3,18,0.25,15,0.8,12,5,200,69.2,7.5,3,19,54,,14.1,11,0.467,28,0.214,6,31.3,21,0.402,18.4,15,32,0.375,12,0.28600000000000003,2,"December 29, 2019",76.5,26,0.0,0,69.2,92.5,37,0.708,60,0.5670000000000001,34,0.35,21,0.667,14,2,200,126.9,33.3,9,12,99,,9.0,7,0.467,28,0.607,17,68.7,46,0.7070000000000001,17.8,15,32,0.531,17,0.846,11,"Coors Events/Conference Center, Boulder, Colorado",IONA,Iona,77.6,Home,COLORADO,Colorado,Iona,maac,6,False,False,False,Away,False,6,12,60,21,67,17,17,60,0,1,42,99,340,0.4764705882352941,194,393,0.4936386768447837,49,105,344,0.5188953488372093,0.3333333333333333
7,2020-01-03-19-iona,54.2,13,20.0,5,101.4,78.1,25,0.483,60,0.4,24,0.467,28,0.607,17,6,200,102.7,37.8,14,20,75,,9.6,7,0.38299999999999995,23,0.435,10,56.5,39,0.512,16.2,14,37,0.37799999999999995,14,0.4,4,"January 3, 2020",58.3,14,16.2,6,102.7,62.2,23,0.5660000000000001,53,0.45299999999999996,24,0.396,21,0.667,14,6,200,101.4,21.9,7,21,74,,12.3,9,0.528,28,0.429,12,43.5,30,0.588,20.4,16,25,0.48,12,0.25,2,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,72.6,Away,SAINT-PETERS,St. Peter's,Iona,maac,7,False,True,True,Home,False,12,12,53,30,69,10,14,60,0,1,48,111,400,0.4575,215,460,0.4673913043478261,66,122,404,0.5470297029702971,0.2857142857142857
8,2020-01-05-14-monmouth,66.7,12,6.3,2,105.8,71.4,20,0.46799999999999997,47,0.38299999999999995,18,0.426,20,0.85,17,7,200,88.4,32.1,9,27,61,,8.7,6,0.426,20,0.4,8,51.8,29,0.54,26.4,20,27,0.37,10,0.222,2,"January 5, 2020",59.1,13,7.4,2,88.4,67.9,19,0.49,50,0.44,22,0.66,33,0.727,24,6,200,105.8,28.6,8,19,73,,23.2,16,0.36,18,0.278,5,48.2,27,0.556,16.8,13,32,0.531,17,0.5379999999999999,7,"Multipurpose Activity Center, West Long Branch, New Jersey",IONA,Iona,69.1,Home,MONMOUTH,Monmouth,Iona,maac,8,False,False,False,Away,False,8,10,47,29,56,5,17,50,0,1,60,123,453,0.4701986754966888,245,529,0.4631379962192816,76,136,464,0.5387931034482759,0.25
9,2020-01-10-19-rider,44.4,12,0.0,0,95.7,76.5,26,0.596,52,0.519,27,0.192,10,0.7,7,7,200,100.0,21.7,5,19,69,,11.6,8,0.423,22,0.364,8,54.4,31,0.608,24.2,18,30,0.633,19,0.3,3,"January 10, 2020",62.5,15,0.0,0,100.0,78.3,18,0.528,53,0.45299999999999996,24,0.45299999999999996,24,0.41700000000000004,10,6,200,95.7,23.5,8,15,66,,10.1,7,0.528,28,0.28600000000000003,8,45.6,26,0.512,15.9,12,25,0.64,16,0.5710000000000001,8,"Alumni Gymnasium, Lawrenceville, New Jersey",RIDER,Rider,69.1,Away,IONA,Iona,Iona,maac,9,False,False,False,Away,True,8,19,52,31,57,8,16,53,1,0,68,133,500,0.47,274,585,0.4683760683760684,81,153,514,0.5340466926070039,0.2222222222222222
10,2020-01-12-13-iona,58.3,14,11.8,4,100.0,66.7,24,0.516,61,0.39299999999999996,24,0.16399999999999998,10,0.7,7,11,200,101.4,22.5,9,16,70,,10.1,7,0.426,26,0.5770000000000001,15,43.4,33,0.532,13.3,10,35,0.257,9,0.267,4,"January 12, 2020",56.0,14,25.7,9,101.4,77.5,31,0.47600000000000003,63,0.397,25,0.222,14,0.643,9,8,200,100.0,33.3,12,14,69,,4.3,3,0.46,29,0.345,10,56.6,43,0.495,16.8,14,34,0.441,15,0.273,3,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,69.2,Away,NIAGARA,Niagara,Iona,maac,10,False,True,True,Home,False,10,15,63,43,76,15,9,61,0,1,76,152,552,0.4818840579710145,305,642,0.4750778816199377,89,169,567,0.5335097001763669,0.3
11,2020-01-17-19-iona,47.6,10,11.1,4,100.0,71.4,20,0.426,54,0.389,21,0.33299999999999996,18,0.611,11,10,200,89.1,32.3,10,13,57,,1.6,1,0.278,15,0.267,4,50.8,30,0.456,16.2,12,39,0.436,17,0.41200000000000003,7,"January 17, 2020",32.0,8,10.3,4,89.1,67.7,21,0.5,56,0.446,25,0.196,11,0.727,8,8,200,100.0,28.6,8,16,64,,6.3,4,0.35700000000000004,20,0.3,6,49.2,29,0.523,14.1,10,36,0.528,19,0.33299999999999996,4,"Hynes Athletics Center, New Rochelle, New York",FAIRFIELD,Fairfield,63.9,Home,IONA,Iona,Iona,maac,11,True,False,True,Home,True,6,19,56,29,59,4,17,54,1,0,86,167,615,0.4813008130081301,348,718,0.4846796657381616,104,178,628,0.5318471337579618,0.2727272727272727
12,2020-01-19-14-marist,52.2,12,4.3,1,110.7,78.6,22,0.4920000000000001,59,0.39,23,0.305,18,0.833,15,9,200,97.3,11.4,4,21,73,,18.7,14,0.627,37,0.324,12,41.3,26,0.54,14.1,11,22,0.5,11,0.308,4,"January 19, 2020",65.4,17,18.2,4,97.3,88.6,31,0.667,48,0.542,26,0.667,32,0.594,19,13,200,110.7,21.4,6,15,83,,9.3,7,0.521,25,0.48,12,58.7,37,0.657,22.5,18,23,0.609,14,0.188,3,"McCann Recreation Center, Poughkeepsie, New York",IONA,Iona,74.9,Home,MARIST,Marist,Iona,maac,12,False,False,False,Away,False,12,11,59,26,63,12,14,48,0,1,92,186,671,0.4828614008941878,377,777,0.4851994851994852,108,195,682,0.5234604105571847,0.3333333333333333
13,2020-01-24-19-iona,62.5,15,5.9,2,103.0,79.3,23,0.518,56,0.429,24,0.214,12,0.667,8,11,200,98.5,22.6,7,15,66,,10.4,7,0.35700000000000004,20,0.5,10,50.0,30,0.535,16.4,12,36,0.389,14,0.42100000000000004,8,"January 24, 2020",55.6,15,11.1,4,98.5,77.4,24,0.518,57,0.474,27,0.21100000000000002,12,0.833,10,9,200,103.0,20.7,6,13,69,,14.9,10,0.40399999999999997,23,0.217,5,50.0,30,0.55,15.0,11,34,0.647,22,0.35700000000000004,5,"Hynes Athletics Center, New Rochelle, New York",CANISIUS,Canisius,67.2,Home,IONA,Iona,Iona,maac,13,True,False,True,Home,True,5,22,57,30,60,10,14,56,1,0,104,197,730,0.4835616438356165,403,840,0.4797619047619048,120,209,730,0.5328767123287671,0.3076923076923077
14,2020-01-26-13-iona,57.1,16,10.3,3,115.8,88.5,23,0.547,64,0.43799999999999994,28,0.5,32,0.75,24,7,200,123.7,25.7,9,15,94,,9.2,7,0.5,32,0.43799999999999994,14,52.5,32,0.593,6.0,5,32,0.43799999999999994,14,0.632,12,"January 26, 2020",62.5,20,9.4,3,123.7,74.3,26,0.675,60,0.5329999999999999,32,0.2,12,0.583,7,10,200,115.8,11.5,3,23,88,,5.3,4,0.517,31,0.5479999999999999,17,47.5,29,0.67,17.7,14,29,0.517,15,0.33299999999999996,5,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,76.0,Away,MONMOUTH,Monmouth,Iona,maac,14,False,True,True,Home,False,17,15,60,29,61,14,14,64,0,1,109,219,787,0.486022871664549,433,900,0.4811111111111111,130,223,786,0.5318066157760815,0.35714285714285715
15,2020-01-31-19-iona,46.7,14,9.4,3,91.4,86.2,25,0.542,60,0.5,30,0.467,28,0.7859999999999999,22,9,200,124.3,51.7,15,12,87,,10.0,7,0.233,14,0.35700000000000004,5,69.0,40,0.593,13.2,11,46,0.5429999999999999,25,0.526,10,"January 31, 2020",43.5,10,6.5,3,124.3,48.3,14,0.474,57,0.40399999999999997,23,0.21100000000000002,12,0.833,10,11,200,91.4,13.8,4,22,64,,10.0,7,0.439,25,0.32,8,31.0,18,0.51,15.0,11,32,0.469,15,0.312,5,"Hynes Athletics Center, New Rochelle, New York",IONA,Iona,69.5,Away,SIENA,Siena,Iona,maac,15,False,True,True,Home,False,8,15,57,18,58,5,25,60,0,1,126,234,847,0.4994096812278631,462,961,0.4807492195629552,144,237,850,0.5329411764705883,0.3333333333333333
16,2020-02-02-12-manhattan,66.7,10,3.8,1,112.5,51.5,17,0.391,46,0.326,15,0.391,18,0.722,13,12,200,76.6,26.7,8,19,49,,6.3,4,0.435,20,0.3,6,39.7,25,0.449,21.8,15,26,0.34600000000000003,9,0.294,5,"February 2, 2020",68.0,17,19.2,5,76.6,73.3,22,0.517,60,0.41700000000000004,25,0.267,16,0.625,10,10,200,112.5,48.5,16,18,72,,12.5,8,0.5670000000000001,34,0.353,12,60.3,38,0.5329999999999999,17.3,14,26,0.5,13,0.474,9,"Draddy Gymnasium, Riverdale, New York",IONA,Iona,63.6,Home,MANHATTAN,Manhattan,Iona,maac,16,False,False,False,Away,False,6,9,46,25,63,12,13,60,0,1,134,249,904,0.49778761061946897,480,1019,0.4710500490677135,149,262,910,0.5335164835164835,0.3125
17,2020-02-07-19-quinnipiac,57.7,15,12.0,3,77.6,80.5,33,0.517,60,0.433,26,0.2,12,0.917,11,12,200,109.0,23.3,7,12,73,,9.0,6,0.467,28,0.35700000000000004,10,56.3,40,0.556,9.7,7,32,0.5,16,0.33299999999999996,6,"February 7, 2020",57.9,11,9.4,3,109.0,76.7,23,0.39,59,0.322,19,0.16899999999999998,10,0.6,6,10,200,77.6,19.5,8,14,52,,6.0,4,0.5760000000000001,34,0.235,8,43.7,31,0.408,15.9,12,25,0.44,11,0.524,11,"TD Bank Sports Center, Hamden, Connecticut",QUINNIPIAC,Quinnipiac,66.7,Away,IONA,Iona,Iona,maac,17,False,False,False,Away,True,10,16,60,40,71,8,11,59,1,0,140,258,950,0.4926315789473684,505,1082,0.466728280961183,161,275,970,0.5324742268041237,0.29411764705882354
