,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,EAST-CAROLINA_homegame,EAST-CAROLINA_homegame2,EAST-CAROLINA_home,EAST-CAROLINA_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-19-east-carolina,52.0,13,0.0,0,111.1,63.3,19,0.44,67,0.373,25,0.19399999999999998,13,0.6920000000000001,9,1,200,94.4,25.7,9,22,68,,9.7,7,0.358,24,0.375,9,43.1,28,0.465,9.9,8,43,0.3720000000000001,16,0.0,0,"November 5, 2019",54.8,17,16.3,7,94.4,74.3,26,0.569,58,0.534,31,0.414,24,0.583,14,0,200,111.1,36.7,11,15,80,,5.6,4,0.207,12,0.33299999999999996,4,56.9,37,0.5760000000000001,15.9,13,46,0.5870000000000001,27,1.0,1,"Williams Arena at Minges Coliseum, Greenville, North Carolina",VIRGINIA-MILITARY-INSTITUTE,VMI,71.8,Home,EAST-CAROLINA,East Carolina,East Carolina,aac,0,True,False,True,Home,True,4,27,58,37,65,9,16,67,1,0,0,0,0,,0,0,,0,0,0,,
1,2019-11-08-20-navy,68.2,15,15.4,4,89.9,75.0,18,0.45399999999999996,54,0.40700000000000003,22,0.24100000000000002,13,0.615,8,1,200,82.6,30.0,9,27,57,,17.4,12,0.33299999999999996,18,0.278,5,50.0,27,0.474,24.1,19,36,0.47200000000000003,17,0.5,1,"November 8, 2019",57.9,11,0.0,0,82.6,70.0,21,0.524,42,0.452,19,0.619,26,0.6920000000000001,18,1,200,89.9,25.0,6,16,62,,11.6,8,0.381,16,0.375,6,50.0,27,0.57,27.2,20,26,0.5,13,0.5,1,"Alumni Hall, Annapolis, Maryland",EAST-CAROLINA,East Carolina,69.3,Home,NAVY,Navy,East Carolina,aac,1,False,False,False,Away,False,5,17,54,27,54,6,13,42,0,1,4,27,58,0.5689655172413793,37,65,0.5692307692307692,9,16,67,0.44029850746268656,1.0
2,2019-11-12-19-appalachian-state,52.4,11,8.0,2,98.6,80.0,20,0.39799999999999996,59,0.35600000000000004,21,0.322,19,0.789,15,2,200,89.9,26.3,10,22,62,,5.8,4,0.373,22,0.22699999999999998,5,47.6,30,0.456,17.2,14,37,0.4320000000000001,16,0.33299999999999996,1,"November 12, 2019",55.0,11,8.1,3,89.9,73.7,28,0.5329999999999999,45,0.444,20,0.622,28,0.7140000000000001,20,1,200,98.6,20.0,5,19,68,,10.1,7,0.444,20,0.4,8,52.4,33,0.583,18.5,13,25,0.48,12,0.667,2,"Holmes Convocation Center, Boone, North Carolina",EAST-CAROLINA,East Carolina,69.2,Home,APPALACHIAN-STATE,Appalachian State,East Carolina,aac,2,False,False,False,Away,False,5,16,59,30,63,8,12,45,0,1,9,44,112,0.5133928571428571,64,119,0.5378151260504201,15,29,109,0.4724770642201835,0.5
3,2019-11-16-16-east-carolina,61.5,16,8.1,3,89.1,74.2,23,0.573,55,0.473,26,0.345,19,0.737,14,0,200,120.3,34.4,11,19,77,,6.3,4,0.418,23,0.478,11,54.0,34,0.601,13.6,10,32,0.469,15,1.0,4,"November 16, 2019",50.0,10,12.5,4,120.3,65.6,21,0.433,52,0.385,20,0.423,22,0.545,12,3,200,89.1,25.8,8,20,57,,10.9,7,0.28800000000000003,15,0.33299999999999996,5,46.0,29,0.456,14.0,10,37,0.405,15,0.25,1,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,63.7,Away,LIBERTY,Liberty,East Carolina,aac,3,False,True,True,Home,False,5,15,52,29,63,11,15,55,0,1,14,60,171,0.4736842105263158,94,182,0.5164835164835165,23,41,154,0.4902597402597403,0.3333333333333333
4,2019-11-22-20-east-carolina,73.7,14,0.0,0,111.8,70.4,19,0.51,50,0.38,19,0.56,28,0.607,17,2,200,89.5,5.9,2,26,68,,3.9,3,0.66,33,0.39399999999999996,13,34.4,21,0.537,18.3,14,17,0.353,6,0.6,3,"November 22, 2019",46.7,14,5.9,1,89.5,94.1,32,0.5710000000000001,56,0.536,30,0.5,28,0.75,21,3,200,111.8,29.6,8,28,85,,6.6,5,0.214,12,0.33299999999999996,4,65.6,40,0.613,19.0,16,44,0.591,26,0.4,2,"Baha Mar Convention Center, Nassau",EVANSVILLE,Evansville,76.3,Home,EAST-CAROLINA,East Carolina,East Carolina,aac,4,True,False,True,Home,True,4,26,56,40,61,13,6,50,1,0,19,75,223,0.4641255605381166,123,245,0.5020408163265306,34,56,209,0.5119617224880383,0.25
5,2019-11-23-20-east-carolina,53.6,15,17.1,6,97.1,66.7,24,0.542,59,0.475,28,0.28800000000000003,17,0.588,10,3,200,105.7,25.0,8,27,74,,8.6,6,0.271,16,0.5,8,47.1,32,0.552,17.4,14,43,0.465,20,0.5710000000000001,4,"November 23, 2019",50.0,8,14.0,6,105.7,75.0,24,0.33299999999999996,54,0.29600000000000004,16,0.648,35,0.914,32,4,200,97.1,33.3,12,22,68,,7.1,5,0.35200000000000004,19,0.21100000000000002,4,52.9,36,0.48100000000000004,10.3,8,35,0.34299999999999997,12,0.33299999999999996,2,"Baha Mar Convention Center, Nassau",EAST-CAROLINA,East Carolina,69.9,Away,MISSOURI-KANSAS-CITY,UMKC,East Carolina,aac,5,False,True,True,Home,False,4,12,54,36,68,8,20,59,0,1,23,101,279,0.485663082437276,163,306,0.5326797385620915,47,62,259,0.5115830115830116,0.4
6,2019-11-24-17-east-carolina,50.0,12,1.9,1,90.8,58.1,25,0.5,56,0.429,24,0.518,29,0.7240000000000001,21,3,200,101.3,28.6,8,20,77,,3.9,3,0.48200000000000004,27,0.29600000000000004,8,46.5,33,0.552,16.9,14,29,0.552,16,0.667,6,"November 24, 2019",15.4,4,6.9,2,101.3,71.4,20,0.368,72,0.361,26,0.306,22,0.727,16,5,200,90.8,41.9,18,26,69,,5.3,4,0.278,20,0.05,1,53.5,38,0.418,11.9,11,52,0.48100000000000004,25,0.28600000000000003,2,"Baha Mar Convention Center, Nassau",EAST-CAROLINA,East Carolina,75.6,Away,RICE,Rice,East Carolina,aac,6,False,True,True,Home,False,1,25,72,38,71,8,16,56,0,1,27,113,333,0.460960960960961,199,374,0.5320855614973262,55,82,318,0.5172955974842768,0.3333333333333333
7,2019-11-30-16-james-madison,60.0,18,7.7,2,132.0,78.3,18,0.5529999999999999,66,0.455,30,0.273,18,0.889,16,6,200,118.7,15.6,5,23,89,,6.7,5,0.409,27,0.48100000000000004,13,41.8,23,0.597,9.8,8,39,0.436,17,0.25,2,"November 30, 2019",61.3,19,25.6,10,118.7,84.4,27,0.7120000000000001,52,0.596,31,0.615,32,0.7809999999999999,25,3,200,132.0,21.7,5,18,99,,4.0,3,0.5,26,0.462,12,58.2,32,0.737,14.3,11,26,0.731,19,0.625,5,"JMU Convocation Center, Harrisonburg, Virginia",EAST-CAROLINA,East Carolina,75.4,Home,JAMES-MADISON,James Madison,East Carolina,aac,7,False,False,False,Away,False,13,17,66,23,55,12,19,52,0,1,28,138,405,0.4444444444444444,237,445,0.5325842696629214,63,98,374,0.5147058823529411,0.2857142857142857
8,2019-12-03-19-east-carolina,48.4,15,9.5,4,96.2,67.4,29,0.59,61,0.508,31,0.262,16,0.813,13,6,200,109.0,8.0,2,17,85,,7.7,6,0.475,29,0.345,10,45.6,31,0.62,13.9,11,32,0.6559999999999999,21,0.4,4,"December 3, 2019",66.7,18,9.4,3,109.0,92.0,23,0.424,72,0.375,27,0.319,23,0.609,14,7,200,96.2,32.6,14,18,75,,6.4,5,0.41700000000000004,30,0.233,7,54.4,37,0.452,10.9,10,42,0.47600000000000003,20,0.222,2,"Williams Arena at Minges Coliseum, Greenville, North Carolina",EAST-CAROLINA,East Carolina,78.3,Away,COPPIN-STATE,Coppin State,East Carolina,aac,8,False,True,True,Home,False,7,20,72,37,68,10,21,61,0,1,41,155,471,0.4596602972399151,260,500,0.52,75,117,426,0.5387323943661971,0.25
9,2019-12-14-16-east-carolina,44.0,11,14.7,5,102.6,73.1,19,0.45299999999999996,64,0.391,25,0.203,13,0.6920000000000001,9,3,200,87.0,24.3,9,20,67,,14.3,11,0.43799999999999994,28,0.28600000000000003,8,44.4,28,0.47700000000000004,18.7,16,36,0.47200000000000003,17,0.667,6,"December 14, 2019",62.5,15,2.8,1,87.0,75.7,28,0.52,51,0.47100000000000003,24,0.569,29,0.897,26,7,200,102.6,26.9,7,17,79,,10.4,8,0.33299999999999996,17,0.294,5,55.6,35,0.61,23.0,19,34,0.5589999999999999,19,0.3,3,"Williams Arena at Minges Coliseum, Greenville, North Carolina",CAMPBELL,Campbell,77.0,Home,EAST-CAROLINA,East Carolina,East Carolina,aac,9,True,False,True,Home,True,5,19,51,35,63,8,17,64,1,0,48,175,543,0.4548802946593002,297,568,0.522887323943662,85,138,487,0.5451745379876797,0.2222222222222222
