,boxscore,away_assist_percentage,away_assists,away_block_percentage,away_blocks,away_defensive_rating,away_defensive_rebound_percentage,away_defensive_rebounds,away_effective_field_goal_percentage,away_field_goal_attempts,away_field_goal_percentage,away_field_goals,away_free_throw_attempt_rate,away_free_throw_attempts,away_free_throw_percentage,away_free_throws,away_losses,away_minutes_played,away_offensive_rating,away_offensive_rebound_percentage,away_offensive_rebounds,away_personal_fouls,away_points,away_ranking,away_steal_percentage,away_steals,away_three_point_attempt_rate,away_three_point_field_goal_attempts,away_three_point_field_goal_percentage,away_three_point_field_goals,away_total_rebound_percentage,away_total_rebounds,away_true_shooting_percentage,away_turnover_percentage,away_turnovers,away_two_point_field_goal_attempts,away_two_point_field_goal_percentage,away_two_point_field_goals,away_win_percentage,away_wins,date,home_assist_percentage,home_assists,home_block_percentage,home_blocks,home_defensive_rating,home_defensive_rebound_percentage,home_defensive_rebounds,home_effective_field_goal_percentage,home_field_goal_attempts,home_field_goal_percentage,home_field_goals,home_free_throw_attempt_rate,home_free_throw_attempts,home_free_throw_percentage,home_free_throws,home_losses,home_minutes_played,home_offensive_rating,home_offensive_rebound_percentage,home_offensive_rebounds,home_personal_fouls,home_points,home_ranking,home_steal_percentage,home_steals,home_three_point_attempt_rate,home_three_point_field_goal_attempts,home_three_point_field_goal_percentage,home_three_point_field_goals,home_total_rebound_percentage,home_total_rebounds,home_true_shooting_percentage,home_turnover_percentage,home_turnovers,home_two_point_field_goal_attempts,home_two_point_field_goal_percentage,home_two_point_field_goals,home_win_percentage,home_wins,location,losing_abbr,losing_name,pace,winner,winning_abbr,winning_name,team_name,conf,game_number,CALIFORNIA-DAVIS_homegame,CALIFORNIA-DAVIS_homegame2,CALIFORNIA-DAVIS_home,CALIFORNIA-DAVIS_location,team_win_bool,total_threes_made,total_2pt_made,total_fg_attempts,team_rebounds,total_rebounds,total_opp_threes_made,total_opp_2pt_made,total_opp_fg_attempts,team_wins,team_losses,pregame_total_threes_made,pregame_total_2pt_made,pregame_total_fg_attempts,pregame_eFG,pregame_team_rebounds,pregame_total_rebounds,pregame_rebound_percentage,pregame_total_opp_threes_made,pregame_total_opp_2pt_made,pregame_total_opp_fg_attempts,pregame_eFG_allowed,pregame_win_percentage
0,2019-11-05-20-loyola-il,42.9,9,6.4,3,117.1,79.2,19,0.395,57,0.368,21,0.14,8,0.375,3,1,200,68.6,13.9,5,12,48,,4.3,3,0.298,17,0.17600000000000002,3,40.0,24,0.395,18.8,14,40,0.45,18,0.0,0,"November 5, 2019",57.1,20,2.5,1,68.6,86.1,31,0.5870000000000001,63,0.556,35,0.159,10,0.8,8,0,200,117.1,20.8,5,11,82,,10.0,7,0.254,16,0.25,4,60.0,36,0.605,10.6,8,47,0.66,31,1.0,1,"Joseph J. Gentile Center, Chicago, Illinois",CALIFORNIA-DAVIS,UC-Davis,70.3,Home,LOYOLA-IL,Loyola (IL),UC Davis,big-west,0,False,False,False,Away,False,3,18,57,24,60,4,31,63,0,1,0,0,0,,0,0,,0,0,0,,
1,2019-11-07-22-california-davis,63.6,14,2.2,1,134.6,65.0,13,0.415,65,0.33799999999999997,22,0.16899999999999998,11,0.818,9,0,200,77.8,19.0,8,19,63,,6.2,5,0.5379999999999999,35,0.28600000000000003,10,33.9,21,0.449,20.5,18,30,0.4,12,0.0,0,"November 7, 2019",57.5,23,3.3,1,77.8,81.0,34,0.711,64,0.625,40,0.32799999999999996,21,0.857,18,1,200,134.6,35.0,7,17,109,,11.1,9,0.297,19,0.579,11,66.1,41,0.737,17.0,15,45,0.644,29,0.5,1,"The Pavilion, Davis, California","William Jessup
			","William Jessup
			",81.1,Home,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,1,True,False,True,Home,True,11,29,64,41,62,10,12,65,1,0,3,18,57,0.3947368421052632,24,60,0.4,4,31,63,0.5873015873015873,0.0
2,2019-11-14-18-idaho,60.0,15,5.4,2,97.0,64.5,20,0.547,53,0.47200000000000003,25,0.17,9,0.778,7,1,200,98.5,20.7,6,17,65,,9.1,6,0.396,21,0.381,8,43.3,26,0.5670000000000001,20.8,15,32,0.531,17,0.667,2,"November 14, 2019",54.5,12,6.3,2,98.5,79.3,23,0.44299999999999995,53,0.415,22,0.396,21,0.81,17,2,200,97.0,35.5,11,14,64,,10.6,7,0.302,16,0.188,3,56.7,34,0.508,18.4,14,37,0.514,19,0.33299999999999996,1,"Convocation Center, Jonesboro, Arkansas",IDAHO,Idaho,66.1,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,2,False,False,False,Away,True,8,17,53,26,60,3,19,53,1,0,14,47,121,0.5619834710743802,65,122,0.5327868852459017,14,43,128,0.5,0.5
3,2019-11-15-20-arkansas-state,52.0,13,0.0,0,111.1,58.1,18,0.5710000000000001,49,0.51,25,0.28600000000000003,14,0.7859999999999999,11,2,200,93.1,24.0,6,18,67,,6.9,5,0.408,20,0.3,6,42.9,24,0.602,28.5,22,29,0.655,19,0.5,2,"November 15, 2019",64.3,18,6.9,2,93.1,76.0,19,0.534,58,0.483,28,0.379,22,0.818,18,1,200,111.1,41.9,13,16,80,,16.7,12,0.276,16,0.375,6,57.1,32,0.584,19.1,16,42,0.524,22,0.75,3,"Convocation Center, Jonesboro, Arkansas",CALIFORNIA-DAVIS,UC-Davis,71.6,Home,ARKANSAS-STATE,Arkansas State,UC Davis,big-west,3,False,False,False,Away,False,6,19,49,24,56,6,22,58,0,1,22,64,174,0.5574712643678161,91,182,0.5,17,62,181,0.4834254143646409,0.6666666666666666
4,2019-11-17-12-california-davis,88.9,24,10.0,4,101.2,76.3,29,0.445,73,0.37,27,0.37,27,0.889,24,5,250,107.2,31.8,14,22,89,,13.3,11,0.397,29,0.379,11,52.4,43,0.518,10.5,10,44,0.364,16,0.16699999999999998,1,"November 17, 2019",71.4,20,6.8,3,107.2,68.2,30,0.4920000000000001,64,0.43799999999999994,28,0.43799999999999994,28,0.75,21,3,250,101.2,23.7,9,21,84,,7.2,6,0.375,24,0.292,7,47.6,39,0.5429999999999999,16.4,15,40,0.525,21,0.4,2,"Convocation Center, Jonesboro, Arkansas",CALIFORNIA-DAVIS,UC-Davis,66.1,Away,VIRGINIA-MILITARY-INSTITUTE,VMI,UC Davis,big-west,4,False,True,True,Home,False,7,21,64,39,82,11,16,73,0,1,28,83,223,0.5605381165919282,115,238,0.4831932773109244,23,84,239,0.49581589958159,0.5
5,2019-11-20-20-california-davis,40.9,9,4.7,2,78.5,82.8,24,0.45,50,0.44,22,0.36,18,0.889,16,0,200,93.8,32.0,8,21,61,,7.7,5,0.22,11,0.091,1,59.3,32,0.521,17.2,12,39,0.5379999999999999,21,1.0,3,"November 20, 2019",55.6,10,5.1,2,93.8,68.0,17,0.375,48,0.375,18,0.375,18,0.833,15,4,200,78.5,17.2,5,20,51,,4.6,3,0.10400000000000001,5,0.0,0,40.7,22,0.451,21.2,15,43,0.419,18,0.33299999999999996,2,"Golden 1 Center, Sacramento, California",CALIFORNIA-DAVIS,UC-Davis,64.6,Away,SACRAMENTO-STATE,Sacramento State,UC Davis,big-west,5,False,True,True,Home,False,0,18,48,22,54,1,21,50,0,1,35,104,287,0.5452961672473867,154,320,0.48125,34,100,312,0.48397435897435903,0.4
6,2019-11-23-16-portland,72.7,16,6.1,2,110.8,84.6,22,0.446,56,0.39299999999999996,22,0.304,17,0.706,12,5,200,95.4,32.4,11,18,62,,6.2,4,0.304,17,0.353,6,55.0,33,0.484,15.9,12,39,0.41,16,0.28600000000000003,2,"November 23, 2019",80.8,21,12.8,5,95.4,67.6,23,0.604,53,0.491,26,0.245,13,0.615,8,1,200,110.8,15.4,4,16,72,,4.6,3,0.377,20,0.6,12,45.0,27,0.608,14.6,10,33,0.424,14,0.833,5,"Chiles Center, Portland, Oregon",CALIFORNIA-DAVIS,UC-Davis,65.1,Home,PORTLAND,Portland,UC Davis,big-west,6,False,False,False,Away,False,6,16,56,33,60,12,14,53,0,1,35,122,335,0.5208955223880597,176,374,0.4705882352941176,35,121,362,0.4792817679558011,0.3333333333333333
7,2019-11-26-22-california,39.1,9,0.0,0,107.5,88.9,16,0.467,61,0.377,23,0.213,13,0.6920000000000001,9,6,200,98.5,11.1,4,18,66,,6.0,4,0.44299999999999995,27,0.40700000000000003,11,37.0,20,0.491,5.7,4,34,0.353,12,0.25,2,"November 26, 2019",40.7,11,8.8,3,98.5,88.9,32,0.674,46,0.5870000000000001,27,0.348,16,0.625,10,2,200,107.5,11.1,2,18,72,,1.5,1,0.326,15,0.5329999999999999,8,63.0,34,0.672,22.0,15,31,0.613,19,0.7140000000000001,5,"Haas Pavilion, Berkeley, California",CALIFORNIA-DAVIS,UC-Davis,66.9,Home,CALIFORNIA,California,UC Davis,big-west,7,False,False,False,Away,False,11,12,61,20,54,8,19,46,0,1,41,138,391,0.5102301790281331,209,434,0.4815668202764977,47,135,415,0.4951807228915663,0.2857142857142857
8,2019-11-29-21-utah,46.2,12,12.5,3,118.5,81.0,17,0.565,54,0.48100000000000004,26,0.278,15,0.8,12,7,200,112.3,23.1,6,20,73,,4.6,3,0.315,17,0.529,9,48.9,23,0.597,15.4,11,37,0.45899999999999996,17,0.222,2,"November 29, 2019",65.4,17,10.8,4,112.3,76.9,20,0.6890000000000001,45,0.578,26,0.42200000000000004,19,0.789,15,2,200,118.5,19.0,4,14,77,,6.2,4,0.467,21,0.47600000000000003,10,51.1,24,0.713,19.6,13,24,0.667,16,0.7140000000000001,5,"Jon M. Huntsman Center, Salt Lake City, Utah",CALIFORNIA-DAVIS,UC-Davis,64.6,Home,UTAH,Utah,UC Davis,big-west,8,False,False,False,Away,False,9,17,54,23,47,10,16,45,0,1,52,150,452,0.5044247787610621,229,488,0.4692622950819672,55,154,461,0.5130151843817787,0.25
9,2019-12-04-20-northern-arizona,50.0,15,3.8,1,98.5,74.3,26,0.7,50,0.6,30,0.32,16,0.938,15,7,200,126.9,35.0,7,19,85,,9.0,6,0.38,19,0.526,10,60.0,33,0.738,20.8,15,31,0.645,20,0.3,3,"December 4, 2019",77.3,17,0.0,0,126.9,65.0,13,0.47200000000000003,54,0.40700000000000003,22,0.35200000000000004,19,0.789,15,2,200,98.5,25.7,9,15,66,,11.9,8,0.519,28,0.25,7,40.0,22,0.524,18.3,14,26,0.5770000000000001,15,0.6,3,"Rolle Activity Center, Flagstaff, Arizona",NORTHERN-ARIZONA,Northern Arizona,66.8,Away,CALIFORNIA-DAVIS,UC-Davis,UC Davis,big-west,9,False,False,False,Away,True,10,20,50,33,55,7,15,54,1,0,61,167,506,0.5108695652173914,252,535,0.4710280373831776,65,170,506,0.5286561264822134,0.2222222222222222
